state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
ak,27,upper,SB 1,AKV00000303,upper,"Shall CS FOR SENATE BILL NO. 1(EDC) ""An
Act requiring the state Board of Education and Early Development to
provide an annual report to the legislature"" pass the Senate?",2011-03-07 00:00:00,other,16,0,4
ak,27,upper,SB 1,AKV00000304,lower,Shall HCS CSSB 1(RLS) pass the House?,2011-04-15 00:00:00,other,39,1,0
ak,27,upper,SB 3,AKV00000305,upper,"Shall CS FOR SENATE BILL NO. 3(FIN) ""An
Act providing for funding for school lunch and breakfast; and
providing for an effective date"" pass the Senate?",2011-02-28 00:00:00,other,17,0,3
ak,27,upper,SB 8,AKV00000306,upper,"Shall SENATE BILL NO. 8 ""An Act relating to
questionnaires and surveys administered in the public schools"" pass
the Senate?",2011-03-28 00:00:00,other,14,6,0
ak,27,upper,SB 15,AKV00000307,upper,"Shall CS FOR SENATE BILL NO. 15(JUD) ""An
Act relating to penalties for certain alcohol offenses involving persons
under 21 years of age committed by certain sex offenders or child
kidnappers"" pass the Senate?",2011-04-08 00:00:00,other,19,0,1
ak,27,upper,SB 15,AKV00000308,lower,Shall CSSB 15(JUD) pass the House?,2011-04-16 00:00:00,other,40,0,0
ak,27,upper,SB 18,AKV00000309,upper,"Shall CS FOR SENATE BILL NO. 18(FIN) ""An
Act relating to the convening and duration of regular sessions of the
legislature; and providing for an effective date"" pass the Senate?",2011-04-06 00:00:00,other,12,5,3
ak,27,upper,SB 18,AKV00000310,upper,Shall the effective date clauses be adopted?,2011-04-06 00:00:00,other,14,3,3
ak,27,upper,SB 19,AKV00000311,upper,"Shall CS FOR SENATE BILL NO. 19(FIN) ""An
Act specifying the vehicle rental tax for motorcycles and motor-driven
cycles; and providing for an effective date"" pass the Senate?",2011-04-04 00:00:00,other,20,0,0
ak,27,upper,SB 23,AKV00000312,upper,"Shall CS FOR SENATE BILL NO. 23(FIN) ""An
Act relating to transferable film production tax credits and film
production tax credit certificates; requiring the legislative audit
division to audit the Alaska film production incentive program; and
providing for an effective date by amending the effective dates of secs.
3 and 4, ch. 63, SLA 2008"" pass the Senate?",2011-04-06 00:00:00,other,18,0,2
ak,27,upper,SB 30,AKV00000313,upper,"Shall CS FOR SENATE BILL NO. 30(2d JUD)
""An Act providing for the release of certain property in the custody of
a law enforcement agency to a crime victim under certain conditions
and relating to requests for that release by the office of victims' rights""
pass the Senate?",2012-02-01 00:00:00,other,20,0,0
ak,27,upper,SB 31,AKV00000314,upper,"Shall CS FOR SENATE BILL NO. 31(JUD) ""An
Act relating to the counting of write-in votes"" pass the Senate?",2011-02-14 00:00:00,other,18,0,2
ak,27,upper,SB 31,AKV00000315,lower,"Shall HCS CSSB 31(STA) am H pass the
House?",2011-04-13 00:00:00,other,38,1,1
ak,27,upper,SB 33,AKV00000316,upper,"Shall CS FOR SENATE BILL NO. 33(STA)
""An Act relating to the disposition of remains of a member of the
armed forces if the member dies while in a duty status"" pass the
Senate?",2011-02-07 00:00:00,other,20,0,0
ak,27,upper,SB 45,AKV00000322,upper,Shall the effective date clauses be adopted?,2011-06-27 00:00:00,other,15,3,2
ak,27,upper,SB 33,AKV00000317,lower,Shall CSSB 33(STA) pass the House?,2011-02-23 00:00:00,other,38,0,2
ak,27,upper,SB 42,AKV00000318,upper,"Shall CS FOR SENATE BILL NO. 42(FIN) ""An
Act relating to the quorum of the Alaska Energy Authority; relating to
the powers and duties of the Alaska Energy Authority; relating to the
acquisition or construction of a Susitna River power project by the
Alaska Energy Authority; relating to the definition of 'feasibility study'
04-19-2011                     Senate Journal                           0965

in the Alaska Energy Authority Act; providing legislative approval for
certain loans from the power project fund; and providing for an
effective date"" pass the Senate?",2011-04-19 00:00:00,other,20,0,0
ak,27,upper,SB 42,AKV00000319,lower,Shall CSSB 42(FIN) pass the House?,2011-04-20 00:00:00,other,40,0,0
ak,27,upper,SB 45,AKV00000320,upper,"Shall CS FOR SENATE BILL NO. 45(CRA) am
""An Act extending the termination date of the Alaska coastal
management program and relating to the extension; relating to the
review of activities and regulations of the Alaska coastal management
program; establishing the Alaska Coastal Policy Board; relating to the
development, review, and approval of district coastal management
plans; relating to the duties of the Department of Natural Resources
relating to the Alaska coastal management program; relating to the
review of certain consistency determinations; providing for an
effective date by amending the effective date of secs. 1 - 13 and 18,
ch. 31, SLA 2005; and providing for an effective date"" advance from
second to third reading the same day?",2011-06-27 00:00:00,other,15,3,2
ak,27,upper,SB 45,AKV00000321,upper,"Shall CS FOR SENATE BILL NO. 45(CRA) am
""An Act extending the termination date of the Alaska coastal
management program and relating to the extension; relating to the
review of activities and regulations of the Alaska coastal management
program; establishing the Alaska Coastal Policy Board; relating to the
development, review, and approval of district coastal management
plans; relating to the duties of the Department of Natural Resources
relating to the Alaska coastal management program; relating to the
06-27-2011                     Senate Journal                           1162

review of certain consistency determinations; providing for an
effective date by amending the effective date of secs. 1 - 13 and 18,
ch. 31, SLA 2005; and providing for an effective date"" pass the
Senate?",2011-06-27 00:00:00,other,11,7,2
ak,27,upper,SB 46,AKV00000323,upper,Shall Amendment No. 3 be adopted?,2011-05-10 00:00:00,other,3,13,4
ak,27,upper,SB 46,AKV00000324,upper,"Shall CS FOR SENATE BILL NO. 46(FIN) ""An
Act making and amending appropriations, including capital
appropriations, savings deposits in the form of appropriations to the
statutory budget reserve fund, and other appropriations; making
appropriations to capitalize funds; and providing for an effective date""
pass the Senate?",2011-05-10 00:00:00,other,13,3,4
ak,27,upper,SB 46,AKV00000325,upper,Shall the effective date clauses be adopted?,2011-05-10 00:00:00,other,16,0,4
ak,27,upper,SB 46,AKV00000326,lower,Shall Amendment No. 2 be adopted?,2011-05-13 00:00:00,other,9,28,3
ak,27,upper,SB 46,AKV00000327,lower,Shall HCS CSSB 46(FIN) pass the House?,2011-05-13 00:00:00,other,30,7,3
ak,27,upper,SB 51,AKV00000328,upper,"Shall CS FOR SPONSOR SUBSTITUTE FOR
SENATE BILL NO. 51(L&C) ""An Act relating to the operation of
vending facilities on public property"" pass the Senate?",2012-02-08 00:00:00,other,20,0,0
ak,27,upper,SB 58,AKV00000329,upper,"Shall SENATE BILL NO. 58 ""An Act increasing
the number of superior court judges designated for the third judicial
district; and providing for an effective date"" pass the Senate?",2011-04-08 00:00:00,other,19,0,1
ak,27,upper,SB 58,AKV00000330,lower,Shall SB 58 pass the House?,2011-04-17 00:00:00,other,40,0,0
ak,27,upper,SB 61,AKV00000331,upper,"Shall CS FOR SENATE BILL NO. 61(STA)
""An Act making corrective amendments to the Alaska Statutes as
recommended by the revisor of statutes; and providing for an effective
date"" pass the Senate?",2011-03-16 00:00:00,other,20,0,0
ak,27,upper,SB 61,AKV00000332,lower,Shall CSSB 61(STA) pass the House?,2011-04-12 00:00:00,other,40,0,0
ak,27,upper,SB 66,AKV00000333,upper,"Shall CS FOR SENATE BILL NO. 66(L&C)
""An Act creating a new markets tax credit assistance guarantee and
loan program within the Alaska Industrial Development and Export
Authority and relating to the program; and providing for an effective
date"" pass the Senate?",2011-04-17 00:00:00,other,20,0,0
ak,27,upper,SB 76,AKV00000334,lower,Shall CSSB 76(FIN) pass the House?,2011-04-21 00:00:00,other,38,0,2
ak,27,upper,SB 78,AKV00000335,upper,"Shall CS FOR SENATE BILL NO. 78(JUD) ""An
Act relating to liability of certain limited liability organizations
holding liquor licenses; and relating to accidents involving the vehicle
of a person under the influence of alcoholic beverages"" pass the
Senate?",2011-04-08 00:00:00,other,19,0,1
ak,27,upper,SB 78,AKV00000336,lower,Shall CSSB 78(JUD) pass the House?,2011-04-15 00:00:00,other,40,0,0
ak,27,upper,SB 82,AKV00000337,upper,"Shall CS FOR SPONSOR SUBSTITUTE FOR
SENATE BILL NO. 82(JUD) ""An Act relating to the procedures and
jurisdiction of the Department of Health and Social Services for the
care of children who are in state custody; relating to court jurisdiction
and findings pertaining to children who are in state custody; and
modifying the licensing requirements for foster care"" pass the Senate?",2011-04-07 00:00:00,other,20,0,0
ak,27,upper,SB 84,AKV00000338,upper,"Shall CS FOR SENATE BILL NO. 84(FIN) ""An
Act relating to funding for high school vocational and technical
instruction as a component of funding for public schools; relating to
the base student allocation; relating to education tax credits; providing
for an effective date by amending the effective date in sec. 57, ch. 92,
SLA 2010; and providing for an effective date"" pass the Senate?",2011-04-06 00:00:00,other,18,0,2
ak,27,upper,SB 84,AKV00000339,lower,Shall HCS CSSB 84(FIN) pass the House?,2011-04-16 00:00:00,other,40,0,0
ak,27,upper,SB 84,AKV00000340,lower,"Shall HCS CSSB 84(FIN) am H pass the
House?",2011-04-17 00:00:00,other,40,0,0
ak,27,upper,SB 87,AKV00000341,upper,"Shall SENATE BILL NO. 87 ""An Act
establishing a program in the Department of Commerce, Community,
and Economic Development for payment of grants to health care
providers for care of patients who are 65 years of age or older"" pass
the Senate?",2011-04-07 00:00:00,other,18,2,0
ak,27,upper,SB 89,AKV00000342,upper,"Shall CS FOR SENATE BILL NO. 89(JUD) ""An
Act clarifying that a legislator or legislative employee is allowed to
accept certain compassionate gifts; allowing legislators and legislative
employees who are representing persons in an administrative hearing
to contact hearing officers and attempt to influence the outcome of the
hearing if they are professionals licensed in the state, and allowing
legislators and legislative employees who are not professionals
licensed in the state to contact hearing officers for the purpose of
influencing the outcome of the hearing in certain instances; requiring
the Select Committee on Legislative Ethics to maintain a public record
of certain ethics disclosures made by legislators and legislative
employees; prohibiting a public member of the Select Committee on
Legislative Ethics from disclosing confidential information without
authorization; clarifying the ethics disclosure requirements for tickets
to or gifts in connection with charity events; amending disclosure
deadlines under the Legislative Ethics Act; relating to requests to
refrain from disclosure under the Legislative Ethics Act; relating to the
applicability of certain provisions of the Legislative Ethics Act to
certain legislative employees, volunteers, and interns; establishing a
seat for an alternate public member on the Select Committee on
Legislative Ethics; clarifying the requirements related to participation
by alternate public members and alternate legislative members in the
02-08-2012                     Senate Journal                           1435

proceedings of the committee; amending the definition of 'legislative
employee' in the Legislative Ethics Act; and repealing a procedure for
appointment of alternate legislative members"" pass the Senate?",2012-02-08 00:00:00,other,20,0,0
ak,27,upper,SB 90,AKV00000343,upper,"Shall SENATE BILL NO. 90 ""An Act
classifying and setting a monthly salary for the executive secretary of
the Board of Public Accountancy"" pass the Senate?",2011-04-08 00:00:00,other,19,0,1
ak,27,upper,SB 90,AKV00000344,lower,Shall SB 90 pass the House?,2011-04-13 00:00:00,other,39,0,1
ak,27,upper,SB 92,AKV00000345,upper,"Shall CS FOR SENATE BILL NO. 92(FIN) ""An
Act relating to dental hygienists, dentists, dental assistants, dental
hygiene, and dentistry"" pass the Senate?",2011-04-07 00:00:00,other,20,0,0
ak,27,upper,SB 93,AKV00000346,upper,"Shall SENATE BILL NO. 93 ""An Act relating to
special request specialty organization registration plates; and
providing for an effective date"" pass the Senate?",2011-03-21 00:00:00,other,19,0,1
ak,27,upper,SB 94,AKV00000347,upper,"Shall SENATE BILL NO. 94 ""An Act adding a
second verse to the official Alaska state song"" pass the Senate?",2011-04-08 00:00:00,other,18,1,1
ak,27,upper,SB 95,AKV00000348,upper,"Shall SENATE BILL NO. 95 ""An Act naming
the ferry terminal located at Auke Bay in Juneau the Frank Palmer
Ferry Terminal"" pass the Senate?",2011-04-13 00:00:00,other,20,0,0
ak,27,upper,SB 95,AKV00000349,lower,Shall SB 95 am H pass the House?,2011-04-16 00:00:00,other,37,0,3
ak,27,upper,SB 97,AKV00000350,upper,"Shall CS FOR SENATE BILL NO. 97(FIN) ""An
Act authorizing additional appropriations for public education and for
community revenue sharing based on the price of Alaska North Slope
crude oil, and adjusting the formula for payments to communities; and
providing for an effective date"" pass the Senate?",2011-04-01 00:00:00,other,19,1,0
