state,session,chamber,bill_id,date,action,actor,type
al,2011rs,lower,HB 1,2011-03-01 00:00:00,Read for the first time and referred to the House of Representatives committee on Local Legislation,lower,bill:reading:1|committee:referred
al,2011rs,lower,HB 1,2011-03-08 00:00:00,Read for the second time and placed on the calendar,lower,bill:reading:2
al,2011rs,lower,HB 1,2011-03-09 00:00:00,Third Reading Passed,lower,bill:passed
al,2011rs,lower,HB 1,2011-03-09 00:00:00,Motion to Read a Third Time and Pass adopted Roll Call 16,lower,bill:passed
al,2011rs,lower,HB 1,2011-03-10 00:00:00,Read for the first time and referred to the Senate committee on Local Legislation No. 1,upper,bill:reading:1|committee:referred
al,2011rs,lower,HB 1,2011-04-05 00:00:00,Read for the second time and placed on the calendar,upper,bill:reading:2
al,2011rs,lower,HB 1,2011-04-06 00:00:00,Third Reading Passed,upper,bill:passed
al,2011rs,lower,HB 1,2011-04-06 00:00:00,Motion to Read a Third Time and Pass adopted Roll Call 196,upper,bill:passed
al,2011rs,lower,HB 1,2011-04-07 00:00:00,Passed Second House,upper,bill:passed
al,2011rs,lower,HB 1,2011-04-07 00:00:00,Enrolled,upper,other
al,2011rs,lower,HB 1,2011-04-07 00:00:00,Signature Requested,upper,other
al,2011rs,lower,HB 1,2011-04-07 00:00:00,Clerk of the House Certification,upper,other
al,2011rs,lower,HB 1,2011-04-07 00:00:00,Assigned Act No. 2011-135.,upper,other
al,2011rs,lower,HB 1,2011-04-07 00:00:00,"Delivered to Governor at 11:20 a.m. on April 7, 2011",upper,governor:received
al,2011rs,lower,HB 10,2011-03-01 00:00:00,Read for the first time and referred to the House of Representatives committee on State Government,lower,bill:reading:1|committee:referred
al,2011rs,lower,HB 100,2011-03-01 00:00:00,Read for the first time and referred to the House of Representatives committee on Public Safety and Homeland Security,lower,bill:reading:1|committee:referred
al,2011rs,lower,HB 101,2011-03-01 00:00:00,Read for the first time and referred to the House of Representatives committee on Commerce and Small Business,lower,bill:reading:1|committee:referred
al,2011rs,lower,HB 102,2011-03-01 00:00:00,Read for the first time and referred to the House of Representatives committee on Public Safety and Homeland Security,lower,bill:reading:1|committee:referred
al,2011rs,lower,HB 102,2011-03-09 00:00:00,Read for the second time and placed on the calendar  1 amendment,lower,bill:reading:2
