state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
al,2011rs,upper,SR 30,ALV00000001,upper,Beason motion to Adopt adopted Roll Call 13,2011-03-08 00:00:00,other,22,10,3
al,2011rs,upper,SR 31,ALV00000002,upper,Beason motion to Adopt adopted Roll Call 22,2011-03-09 00:00:00,other,32,0,3
al,2011rs,upper,SR 39,ALV00000003,upper,Beason motion to Adopt adopted Roll Call 35,2011-03-10 00:00:00,other,24,7,4
al,2011rs,upper,SR 41,ALV00000004,upper,Motion to Adopt adopted Roll Call 44,2011-03-10 00:00:00,other,30,0,5
al,2011rs,upper,SR 49,ALV00000005,upper,Beason motion to Adopt adopted Roll Call 53,2011-03-22 00:00:00,other,27,2,6
al,2011rs,upper,SR 52,ALV00000006,upper,Beason motion to Adopt adopted Roll Call 72,2011-03-24 00:00:00,other,30,0,5
al,2011rs,upper,SR 56,ALV00000007,upper,Beason motion to Adopt adopted Roll Call 91,2011-03-24 00:00:00,other,35,0,0
al,2011rs,upper,SR 60,ALV00000008,upper,Beason motion to Adopt adopted Roll Call 141,2011-03-31 00:00:00,other,30,0,5
al,2011rs,upper,SJR 65,ALV00000009,lower,Galliher motion to Concur In and Adopt adopted Roll Call 363,2011-04-21 00:00:00,other,57,10,37
al,2011rs,upper,SR 68,ALV00000010,upper,Beason motion to Adopt adopted Roll Call 166,2011-04-05 00:00:00,other,32,0,3
al,2011rs,upper,SR 72,ALV00000011,upper,Beason motion to Adopt adopted Roll Call 203,2011-04-06 00:00:00,other,29,0,6
al,2011rs,upper,SR 78,ALV00000012,upper,Motion to Adopt adopted Roll Call 217,2011-04-07 00:00:00,other,31,0,4
al,2011rs,upper,SJR 82,ALV00000013,upper,Marsh motion to Adopt adopted Roll Call 303,2011-04-19 00:00:00,other,17,9,9
al,2011rs,upper,SR 84,ALV00000014,upper,Beason motion to Adopt adopted Roll Call 230,2011-04-12 00:00:00,other,19,9,7
al,2011rs,upper,SR 89,ALV00000015,upper,Beason motion to Adopt adopted Roll Call 311,2011-04-19 00:00:00,other,29,0,6
al,2011rs,upper,SR 90,ALV00000016,upper,Motion to Adopt adopted Roll Call 330,2011-04-19 00:00:00,other,25,8,2
al,2011rs,upper,SR 95,ALV00000017,upper,Beason motion to Adopt adopted Roll Call 334,2011-04-21 00:00:00,other,30,2,3
al,2011rs,upper,SR 99,ALV00000018,upper,Beason motion to Adopt adopted Roll Call 360,2011-04-26 00:00:00,other,31,1,3
al,2011rs,upper,SR 101,ALV00000019,upper,Beason motion to Adopt adopted Roll Call 374,2011-04-26 00:00:00,other,22,11,2
al,2011rs,upper,SR 102,ALV00000020,upper,Beason motion to Adopt adopted Roll Call 385,2011-04-27 00:00:00,other,23,10,2
al,2011rs,upper,SR 105,ALV00000021,upper,Beason motion to Adopt adopted Roll Call 412,2011-04-27 00:00:00,other,27,3,5
al,2011rs,upper,SR 108,ALV00000022,upper,Blackwell motion to Adopt adopted Roll Call 427,2011-04-27 00:00:00,other,23,1,11
