state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
al,2011rs,lower,HB 1,"Greene Co., sheriff may operate jail store, distrib. for law enforcement purposes, audit, prior actions ratified and confirmed",2011-12-07 21:21:08.377000,2011-12-09 20:57:15.469000,bill,Municipal and County Issues
al,2011rs,lower,HB 10,"Food stamps and welfare, Temporary Assistance for Needy Families (TANF), persons with felony drug conviction, federal law provisions making ineligible, provision for persons to be eligible under certain conditions",2011-12-07 21:21:08.599000,2011-12-07 21:21:08.599000,bill,Legal Issues|Crime
al,2011rs,lower,HB 100,"Motor vehicles, driver without liability insurance and with suspended or revoked license or who has never been issued a driver's license, impoundment of motor vehicle authorized under certain conditions, procedures, civil penalties, sale of vehicle, proceeds to law enforcement",2011-12-07 21:21:10.645000,2011-12-07 21:21:10.645000,bill,Transportation
al,2011rs,lower,HB 101,"Electrical contractors, renewal of licenses, person licensed by Board of Electrical Contractors on or before June 30, 2010, exam not required, Sec. 34-36-16 am'd.; Act 2010-540, 2010 Reg. Sess. am'd.",2011-12-07 21:21:10.657000,2011-12-07 21:21:10.657000,bill,Business and Consumers
al,2011rs,lower,HB 102,"Motor vehicles, text messaging or operating a handheld wireless telecommunication device while operating a motor vehicle on public street, road, or highway prohibited, penalties, law enforcement agencies to report statistical information to Public Safety Department and Attorney General",2011-12-07 21:21:10.682000,2011-12-09 20:57:16.893000,bill,Transportation
al,2011rs,lower,HB 103,"Ephedrine, pseudoephedrine, and phenylpropanolamine, State Board of Health required to classify as controlled substances, exemptions, removed from list of precursor chemicals maintained by State Board of Pharmacy, Secs. 20-2-20, 20-2-181 am'd.",2011-12-07 21:21:10.701000,2011-12-07 21:21:10.701000,bill,Drugs
al,2011rs,lower,HB 104,"Underwater Cultural Resources Act, definition of cultural resources amended to specify articles associated with shipwrecks, artifacts defined, recovery of abandoned artifacts not cultural resources in certain locations authorized, Secs. 41-9-291, 41-9-292 am'd. (2011-20030)",2011-12-07 21:21:10.720000,2011-12-09 20:57:16.922000,bill,Recreation
al,2011rs,lower,HB 105,"Motor vehicles, wreckers, licensing and registration based on gross vehicle weight not to include vehicle towed, Sec. 40-12-248 am'd.",2011-12-07 21:21:10.755000,2011-12-09 20:57:16.934000,bill,Transportation
al,2011rs,lower,HB 106,"Environmental Management Department, civil penalties for violations, certain minimum penalties removed, Sec. 22-22A-5 am'd. (2011-20079)",2011-12-07 21:21:10.781000,2011-12-09 20:57:16.949000,bill,Environmental
al,2011rs,lower,HB 107,"Pharmacy, State Board of, prescription drugs for patients in residential care facilities, repackaging and storing of noncontrolled legend drugs, board may provide for by rule",2011-12-07 21:21:10.796000,2011-12-09 20:57:16.961000,bill,Health
al,2011rs,lower,HB 108,"Sports, youth athletes, concussions and head injuries, each sport or recreational organization to develop guidelines, certain training required, participation of youth athlete limited under certain conditions (2011-20301)",2011-12-07 21:21:10.816000,2011-12-09 20:57:16.976000,bill,Recreation
al,2011rs,lower,HB 109,"Podiatry, practice of, further defined, Sec. 34-24-230 am'd.",2011-12-07 21:21:10.828000,2011-12-07 21:21:10.828000,bill,Health
al,2011rs,lower,HB 11,"Municipalities, annexation of property enclosed within corporate limits, special procedure",2011-12-07 21:21:08.608000,2011-12-07 21:21:08.608000,bill,Municipal and County Issues
al,2011rs,lower,HB 110,"Utility and other underground facilities, One-Call Notification System or Call Before You Dig, all underground facility operators required to be members, responsibility of operators conducting in-house program regarding notifications, further provided for, Sec. 37-15-5 am'd.",2011-12-07 21:21:10.838000,2011-12-07 21:21:10.838000,bill,
al,2011rs,lower,HB 111,"State Health Planning and Development Agency, appointment of new board, board may adopt rules regarding termination of members for cause, Sec. 22-21-260 am'd.",2011-12-07 21:21:10.848000,2011-12-07 21:21:10.848000,bill,State Agencies|Health
al,2011rs,lower,HB 112,"Law enforcement officers, death and disability benefits for municipal police officers, state troopers and certain other state law enforcement officers, extended to all law enforcement officers, definition of occupational disease to include cancer, AIDS, and hepatitis, Secs. 36-30-20, 36-30-21, 36-30-22, 36-30-23 am'd.",2011-12-07 21:21:11.082000,2011-12-09 20:57:17.007000,bill,Public Services
al,2011rs,lower,HB 113,"Telephone service, basic, obligation of carrier of last resort, exceptions based on arrangements with alternative carriers by property owner or developer, Sec. 37-2A-8 am'd.",2011-12-07 21:21:11.100000,2011-12-09 20:57:17.020000,bill,Technology and Communication
al,2011rs,lower,HB 114,"Cell phone service, including prepaid, E-911 service charge, decreased, collection on prepaid on each sale, collection provided for, Prepaid Wireless 911 Charge Act, Secs. 11-98A-1 to 11-98A-7, inclusive, added; Sec. 11-98-7 am'd.",2011-12-07 21:21:11.112000,2011-12-07 21:21:11.112000,bill,Technology and Communication
al,2011rs,lower,HB 115,"Animals, fighting dogs, procedures for seizing, disposition process expedited, bond required under certain conditions, forfeiture of dog under certain conditions, Sec. 3-1-29 am'd.",2011-12-07 21:21:11.138000,2011-12-09 20:57:17.043000,bill,Animal Rights and Wildlife Issues
al,2011rs,lower,HB 116,"Motor vehicles, manufacturers in State of Alabama, discounts for sales to employees",2011-12-07 21:21:11.149000,2011-12-07 21:21:11.149000,bill,Transportation
al,2011rs,lower,HB 117,"Class 3 municipalities, organized under Act 618, 1973 Reg. Sess., income tax credit for hiring certain persons under age 19 during school breaks, after school, or on weekends",2011-12-07 21:21:11.163000,2011-12-09 20:57:17.078000,bill,Municipal and County Issues
al,2011rs,lower,HB 118,"Security Regulatory Board, Sunset Law review, continued with modifications, board members and applicants for licensure, immigration status, Secs. 34-27C-2, 34-27C-4 am'd. (2011-20329)",2011-12-07 21:21:11.202000,2011-12-09 20:57:17.090000,bill,State Agencies
al,2011rs,lower,HB 119,"Motor vehicles, law enforcement officer authorized to issue citation if reasonable suspicion that driver was driving a motor vehicle without a proper license, request to see driver's license authorized under certain conditions, Sec. 32-6-9 am'd. (2011-20872)",2011-12-07 21:21:11.224000,2011-12-09 20:57:17.107000,bill,Crime
al,2011rs,lower,HB 12,"Municipalities, ordinances relating to planning, zoning, or licensing of businesses, publication or posting further provided for, Sec. 11-45-8 am'd.",2011-12-07 21:21:08.621000,2011-12-09 20:57:15.638000,bill,Municipal and County Issues
al,2011rs,lower,HB 120,"Motor vehicles, driving without a license, arresting law enforcement officer required to transport person to nearest magistrate, verification of lawful immigration status, bond required under certain circumstances, Sec. 32-6-9 am'd.",2011-12-07 21:21:11.237000,2011-12-07 21:21:11.237000,bill,Immigration
al,2011rs,lower,HB 121,"Public benefits and employment eligibility, use of false, fictitious, or fraudulent document to obtain benefits or to possess for use in obtaining public benefits, crime established, penalties, Human Resources Department to report violations to local district attorney, proof of lawful presence in United States required, Industrial Relations Department, Human Resources Department, and state and local agencies required to use E-Verify for eligibility for welfare benefits and employment, E-verify training",2011-12-07 21:21:11.249000,2011-12-07 21:21:11.249000,bill,Immigration
al,2011rs,lower,HB 122,"General fund budget, appropriations for ordinary expenses of executive, legislative, and judicial departments",2011-12-07 21:21:11.259000,2011-12-07 21:21:11.259000,bill,"Budget, Spending, and Taxes"
al,2011rs,lower,HB 123,"Education budget, appropriations for the support, maintenance, and development of public education",2011-12-07 21:21:11.354000,2011-12-09 20:57:17.154000,bill,Education
al,2011rs,lower,HB 124,"Occupational tax, levy by county or municipality, prohibited, const. amend.",2011-12-07 21:21:11.384000,2011-12-09 20:57:17.192000,bill,
al,2011rs,lower,HB 125,"Sheriff, employees, certain including deputies and jail employees, sovereign immunity granted, Sec. 14-6-1, 36-22-3 am'd.",2011-12-07 21:21:11.417000,2011-12-09 20:57:17.204000,bill,Public Services|Crime
al,2011rs,lower,HB 126,"Forever Wild Land Trust, payments into extended 20 years",2011-12-07 21:21:11.465000,2011-12-09 20:57:17.228000,bill,Environmental
al,2011rs,lower,HB 127,"Coal, excise and privilege tax, termination date extended, tax proceeds further distributed, Sec. 40-13-6, 40-13-8 am'd. (2011-20623)",2011-12-07 21:21:11.542000,2011-12-09 20:57:17.254000,bill,"Budget, Spending, and Taxes"
al,2011rs,lower,HB 128,"Felony offenders, defendants without prior felony conviction or youthful offender adjudication allowed to apply for special status as first offender under certain conditions, First Time Felony Offender Act",2011-12-07 21:21:11.564000,2011-12-07 21:21:11.564000,bill,Crime
al,2011rs,lower,HB 129,"Pardons and Paroles Board, probation and parole officers to provide probationers with periodic compliance incentive status updates, recommendation for unsupervised status for certain probationers under certain conditions, Sec. 15-22-54 am'd.; Act 2010-753, 2010 Reg. Sess. am'd.",2011-12-07 21:21:11.576000,2011-12-07 21:21:11.576000,bill,Crime
al,2011rs,lower,HB 13,"Competitive bids, public works projects and contracts, life cycle costs may be considered in determining lowest responsible bid, definitions, local governments authorized to purchase goods and services from vendors with GSA contracts, Secs. 39-2-1, 39-2-6, 41-16-51, 41-16-57 am'd.",2011-12-07 21:21:08.654000,2011-12-09 20:57:15.655000,bill,"Budget, Spending, and Taxes"
al,2011rs,lower,HB 130,"Probation, revocation and suspension, technical violations classified on administrative violations, eligible offender and nonviolent offender defined, resentencing of certain offenders, Secs. 15-22-54, 15-22-54.1 am'd.",2011-12-07 21:21:11.586000,2011-12-09 20:57:17.284000,bill,Crime
al,2011rs,lower,HB 131,"Elections, allowable distance from polling place persons authorized to be, extended, Secs. 11-46-28, 17-9-50 am'd.",2011-12-07 21:21:11.595000,2011-12-07 21:21:11.595000,bill,Campaign Finance and Election Issues
al,2011rs,lower,HB 132,"Civil actions against architects, engineers, or builders, statute of repose decreased, Secs. 6-5-221, 6-5-222, 6-5-225, 6-5-227 am'd. (2011-20201)",2011-12-07 21:21:11.611000,2011-12-09 20:57:17.328000,bill,Legal Issues
al,2011rs,lower,HB 133,"Public schools, minimum number of instructional and professional days, Governor authorized to reduce when proration of Education Trust Fund budget declared",2011-12-07 21:21:11.624000,2011-12-07 21:21:11.624000,bill,Education
al,2011rs,lower,HB 134,"Drivers' licenses, suspension based on drug convictions, certain drug offenses deleted from law, certification of act by Governor to U. S. Department of Transportation, Sec. 13A-12-291 am'd.",2011-12-07 21:21:11.645000,2011-12-07 21:21:11.645000,bill,Crime
al,2011rs,lower,HB 135,"Schools, exercise and recreation facilities, joint use agreements between schools, local governments, and private entities, immunity from liability, legislative findings",2011-12-07 21:21:11.655000,2011-12-07 21:21:11.655000,bill,Education
al,2011rs,lower,HB 136,"State parks and certain retail businesses, alcoholic beverages, sale of authorized, referendum, State Park Environmental Protection and Promotion (STEPP) Act",2011-12-07 21:21:11.665000,2011-12-07 21:21:11.665000,bill,Drugs
al,2011rs,lower,HB 137,"Certificates of need (CON), contested cases and fair hearings, direct appeal to Court of Civil Appeals, monetary limits on costs, procedures for processing cases, Sec. 22-21-275 am'd.",2011-12-07 21:21:11.674000,2011-12-07 21:21:11.674000,bill,Health
al,2011rs,lower,HB 138,"Pregnant women, umbilical cord blood, education regarding the potential benefits of donations, storage, and use, Umbilical Cord Blood Use Act",2011-12-07 21:21:11.686000,2011-12-07 21:21:11.686000,bill,Sexual Orientation and Gender Issues
al,2011rs,lower,HB 139,"Criminal defendants, youthful offender status, persons charged with a crime involving intentional serious physical injury or death not eligible, Sec. 15-19-1 am'd.",2011-12-07 21:21:11.709000,2011-12-09 20:57:17.375000,bill,Crime
al,2011rs,lower,HB 14,"Municipal annexations, validated and ratified under certain conditions, Sec. 11-42-5 am'd.",2011-12-07 21:21:08.679000,2011-12-09 20:57:15.677000,bill,"Federal, State, and Local Relations"
al,2011rs,lower,HB 140,"Education Department required to determine the financial capability of a municipality to sustain a school system before the municipality could establish a city school system, minimum population requirement increased, certain municipalities excepted, Sec. 16-11-1 am'd.",2011-12-07 21:21:11.738000,2011-12-09 20:57:17.392000,bill,Education
al,2011rs,lower,HB 141,"Public housing authorities, occupancy agreements, certain regulated by the U. S. Department of Housing and Urban Development exempt from Alabama Uniform Residential Landlord Tenant Act, Sec. 35-9A-122 am'd.",2011-12-07 21:21:11.755000,2011-12-07 21:21:11.755000,bill,Housing and Property
al,2011rs,lower,HB 142,"Counties, sewer system, operating, prohibited from charging any fee to person or entity not connected to the sewer system",2011-12-07 21:21:11.776000,2011-12-09 20:57:17.416000,bill,Municipal and County Issues
al,2011rs,lower,HB 143,"Solid waste, application filed with Environmental Management Department for new facility, local governing body approval, deemed denied if not approved within certain number of days, Sec. 22-27-48 am'd.",2011-12-07 21:21:11.797000,2011-12-09 20:57:17.431000,bill,Environmental
al,2011rs,lower,HB 144,"Sales tax holiday, sales and use tax exemptions, computers, exempted amount increased, Sec. 40-23-210 am'd.",2011-12-07 21:21:11.810000,2011-12-07 21:21:11.810000,bill,"Budget, Spending, and Taxes"
al,2011rs,lower,HB 145,"Evangel Presbyterian Church of Alabaster, exempt from state, county, and municipal sales and use tax",2011-12-07 21:21:11.821000,2011-12-07 21:21:11.821000,bill,"Budget, Spending, and Taxes"
al,2011rs,lower,HB 146,"Marengo Co., constable, office abolished",2011-12-07 21:21:11.833000,2011-12-09 20:57:17.452000,bill,Municipal and County Issues
al,2011rs,lower,HB 147,"Animal shelters, euthanasia of cats and dogs, gas chambers prohibited, delayed effective date, Beckham's Act, Sec. 34-29-131 am'd.",2011-12-07 21:21:11.843000,2011-12-07 21:21:11.843000,bill,Animal Rights and Wildlife Issues
al,2011rs,lower,HB 148,"Hale Co., ad valorem tax, for new county jail pursuant to Act 92-565, 1992 Reg. Sess., excess amount collected distrib. to county general fund for law enforcement purposes, continuation of tax collection, retroactive effect, const. amend.",2011-12-07 21:21:11.875000,2011-12-09 20:57:17.472000,bill,Municipal and County Issues
al,2011rs,lower,HB 149,"Smoking, in places of employment and public places, prohibited, State Board of Health to enforce, Alabama Smoke-free Air Act, Secs. 22-15A-1 to 22-15A-10, inclusive, repealed",2011-12-07 21:21:11.886000,2011-12-07 21:21:11.886000,bill,Drugs
al,2011rs,lower,HB 15,"Municipalities, municipal ordinances, fines in certain cases designated and recodified, Sec. 11-45-9 am'd.; Sec. 13A-5-12.1 repealed",2011-12-07 21:21:08.698000,2011-12-07 21:21:08.698000,bill,Municipal and County Issues
al,2011rs,lower,HB 150,"Public elementary and secondary schools, start date of academic year, specified, School Start and End Date Act",2011-12-07 21:21:11.896000,2011-12-07 21:21:11.896000,bill,Education
al,2011rs,lower,HB 151,"Fair Campaign Practices Act, campaign finance disclosure reports, monthly reports of contributions and expenditures, Secretary of State to maintain searchable electronic database of election documents, political action committees to include Section 527 organization, disqualification of candidate for noncompliance, Secs. 17-5-2, 17-5-8, 17-5-18 am'd.",2011-12-07 21:21:11.907000,2011-12-07 21:21:11.907000,bill,Campaign Finance and Election Issues
al,2011rs,lower,HB 152,"Notaries public, fees for notarizing documents, provision removed, Sec. 36-20-6 repealed",2011-12-07 21:21:11.918000,2011-12-07 21:21:11.918000,bill,Public Services
