leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
ALL000068,member,2011-2014,30,lower,al,Republican,,,,,2012-08-01 00:00:00
ALL000068,committee member,2011-2014,,lower,al,,ALC000014,Rules,,,
ALL000068,committee member,2011-2014,,lower,al,,ALC000022,Commerce and Small Business,,,
ALL000068,committee member,2011-2014,,lower,al,,ALC000027,Financial Services,,,
ALL000128,member,2011-2014,34,lower,al,Republican,,,,,2012-08-31 00:00:00
ALL000039,member,2011-2014,104,lower,al,Republican,,,,,
ALL000039,committee member,2011-2014,,lower,al,,ALC000001,Ways and Means General Fund,,,
ALL000039,committee member,2011-2014,,lower,al,,ALC000002,Mobile County Legislation,,,
ALL000054,member,2011-2014,87,lower,al,Republican,,,,,
ALL000054,committee member,2011-2014,,lower,al,,ALC000018,Agriculture and Forestry,,,
ALL000054,committee member,2011-2014,,lower,al,,ALC000025,Health,,,
ALL000058,member,2011-2014,69,lower,al,Democratic,,,,,
ALL000058,committee member,2011-2014,,lower,al,,ALC000022,Commerce and Small Business,,,
ALL000058,committee member,2011-2014,,lower,al,,ALC000024,Public Safety and Homeland Security,,,
ALL000065,member,2011-2014,102,lower,al,Republican,,,,,
ALL000065,committee member,2011-2014,,lower,al,,ALC000001,Ways and Means General Fund,,,
ALL000065,committee member,2011-2014,,lower,al,,ALC000018,Agriculture and Forestry,,,
ALL000065,committee member,2011-2014,,lower,al,,ALC000002,Mobile County Legislation,,,
ALL000066,member,2011-2014,28,lower,al,Democratic,,,,,
ALL000066,committee member,2011-2014,,lower,al,,ALC000014,Rules,,,
ALL000066,committee member,2011-2014,,lower,al,,ALC000016,Ways and Means Education,,,
ALL000066,committee member,2011-2014,,lower,al,,ALC000022,Commerce and Small Business,,,
ALL000075,member,2011-2014,4,lower,al,Republican,,,,,
ALL000075,committee member,2011-2014,,lower,al,,ALC000010,Economic Development and Tourism,,,
ALL000075,committee member,2011-2014,,lower,al,,ALC000024,Public Safety and Homeland Security,,,
ALL000086,member,2011-2014,7,lower,al,Republican,,,,,
ALL000086,committee member,2011-2014,,lower,al,,ALC000001,Ways and Means General Fund,,,
ALL000086,committee member,2011-2014,,lower,al,,ALC000009,Insurance,,,
ALL000038,member,2011-2014,83,lower,al,Democratic,,,,,
ALL000038,committee member,2011-2014,,lower,al,,ALC000015,"Transportation, Utilities and Infrastructure",,,
ALL000038,committee member,2011-2014,,lower,al,,ALC000067,County and Municipal Government,,,
ALL000038,committee member,2011-2014,,lower,al,,ALC000028,Lee County Legislation,,,
ALL000041,member,2011-2014,88,lower,al,Republican,,,,,
ALL000041,committee member,2011-2014,,lower,al,,ALC000005,Judiciary,,,
ALL000041,committee member,2011-2014,,lower,al,,ALC000006,"Constitutions, Campaigns and Elections",,,
ALL000042,member,2011-2014,65,lower,al,Democratic,,,,,
ALL000042,committee member,2011-2014,,lower,al,,ALC000003,Technology and Research,,,
ALL000042,committee member,2011-2014,,lower,al,,ALC000025,Health,,,
ALL000042,committee member,2011-2014,,lower,al,,ALC000019,Education Policy,,,
ALL000050,member,2011-2014,1,lower,al,Democratic,,,,,
ALL000050,committee member,2011-2014,,lower,al,,ALC000005,Judiciary,,,
ALL000050,committee member,2011-2014,,lower,al,,ALC000008,Local Legislation,,,
ALL000050,committee member,2011-2014,,lower,al,,ALC000009,Insurance,,,
ALL000079,member,2011-2014,78,lower,al,Democratic,,,,,
ALL000079,committee member,2011-2014,,lower,al,,ALC000038,Montgomery County Legislation,,,
ALL000082,member,2011-2014,79,lower,al,Republican,,,,,
ALL000082,committee member,2011-2014,,lower,al,,ALC000028,Lee County Legislation,,,
