leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
ALL000068,Blaine Galliher,Blaine,,Galliher,,,False,al,,,,15936478684f4f64bf12b765a35af3a5,http://www.legislature.state.al.us/graphics/housepics/galliher_b.jpeg,2011-12-07 21:20:44.826000,2013-01-04 14:59:52.565000
ALL000128,Elwyn Thomas,Elwyn,,Thomas,,,False,al,,,,0c41713b22874b608e4f18b8d666acf8,http://www.legislature.state.al.us/graphics/housepics/thomas_e.jpeg,2011-12-07 21:20:45.512000,2013-01-04 15:01:02.757000
ALL000039,Jim Barton,Jim,,Barton,,,True,al,lower,104,Republican,76cf918a1a694e938f283858e0dcf26c,http://www.legislature.state.al.us/graphics/housepics/barton_j.jpeg,2011-12-07 21:20:44.469000,2013-03-01 00:35:24.219000
ALL000054,Donnie Chesteen,Donnie,,Chesteen,,,True,al,lower,87,Republican,341d019b379a4fe9b22102749cbc4c09,http://www.legislature.state.al.us/graphics/housepics/chesteen_d.jpg,2011-12-07 21:20:44.626000,2013-03-01 00:35:24.221000
ALL000058,David Colston,David,,Colston,,,True,al,lower,69,Democratic,6c9fdcec9ae1476aa6f3300888d074dc,http://www.legislature.state.al.us/graphics/housepics/colston_d.jpg,2011-12-07 21:20:44.666000,2013-03-01 00:35:24.223000
ALL000065,Chad Fincher,Chad,,Fincher,,,True,al,lower,102,Republican,302369ad089d4ec989070a7bde17e3f8,http://www.legislature.state.al.us/graphics/housepics/fincher_c.jpeg,2011-12-07 21:20:44.795000,2013-03-01 00:35:24.225000
ALL000066,Craig Ford,Craig,,Ford,,,True,al,lower,28,Democratic,a6e3457a1ad04030a5fdb39a605a43f3,http://www.legislature.state.al.us/graphics/housepics/ford_c.jpeg,2011-12-07 21:20:44.805000,2013-03-01 00:35:24.227000
ALL000075,Micky Hammon,Micky,,Hammon,,,True,al,lower,4,Republican,94e318346c4e415a8d6f2ac2f38418c3,http://www.legislature.state.al.us/graphics/housepics/hammon_m.jpeg,2011-12-07 21:20:44.896000,2013-03-01 00:35:24.229000
ALL000086,Ken Johnson,Ken,,Johnson,,,True,al,lower,7,Republican,427a8ed9b95749fc92ee7ca296e02855,http://www.legislature.state.al.us/graphics/housepics/johnson_k.jpg,2011-12-07 21:20:45.009000,2013-03-01 00:35:24.231000
ALL000038,George C. Bandy,George,C.,Bandy,,,True,al,lower,83,Democratic,4e236d67b7024b1db4e5dd08d1471d7b,http://www.legislature.state.al.us/graphics/housepics/bandy_g.jpeg,2011-12-07 21:20:44.459000,2013-03-01 00:35:24.233000
ALL000041,Paul Beckman,Paul,,Beckman,,,True,al,lower,88,Republican,0bd8ec6b6ec441688927e570c91a9665,http://www.legislature.state.al.us/graphics/housepics/beckman_p.jpg,2011-12-07 21:20:44.489000,2013-03-01 00:35:24.236000
ALL000042,Elaine Beech,Elaine,,Beech,,,True,al,lower,65,Democratic,c1742487ff574658a0567c1b3477c4d5,http://www.legislature.state.al.us/graphics/housepics/beech_e.jpeg,2011-12-07 21:20:44.499000,2013-03-01 00:35:24.239000
ALL000050,Greg Burdine,Greg,,Burdine,,,True,al,lower,1,Democratic,2bd88840c24e4c55854209cbd80b2d2c,http://www.legislature.state.al.us/graphics/housepics/burdine_g.jpg,2011-12-07 21:20:44.582000,2013-03-01 00:35:24.242000
ALL000079,Alvin Holmes,Alvin,,Holmes,,,True,al,lower,78,Democratic,3fb5f77b81a34d06af14996541da02ac,http://www.legislature.state.al.us/graphics/housepics/holmes.jpeg,2011-12-07 21:20:44.938000,2013-03-01 00:35:24.232000
ALL000082,Mike Hubbard,Mike,,Hubbard,,,True,al,lower,79,Republican,50bf65fd1a9b4b4987226c38c9a142e5,http://www.legislature.state.al.us/graphics/housepics/hubbard_m.jpeg,2011-12-07 21:20:44.968000,2013-03-01 00:35:24.245000
ALL000095,Wes Long,Wes,,Long,,,True,al,lower,27,Republican,c8759394ac4f4da88a2acff332aae1ae,http://www.legislature.state.al.us/graphics/housepics/long_w.jpg,2011-12-07 21:20:45.104000,2013-03-01 00:35:24.247000
ALL000117,Arthur Payne,Arthur,,Payne,,,True,al,lower,44,Republican,719ccdb8718c4b1599249faeb7ca9937,http://www.legislature.state.al.us/graphics/housepics/payne_a.jpeg,2011-12-07 21:20:45.334000,2013-03-01 00:35:24.332000
ALL000067,Berry Forte,Berry,,Forte,,,True,al,lower,84,Democratic,7965eb7d1bf84d7996535e23466f0dd0,http://www.legislature.state.al.us/graphics/housepics/forte_b.jpg,2011-12-07 21:20:44.816000,2013-03-01 00:35:24.246000
ALL000036,Alan Baker,Alan,,Baker,,,True,al,lower,66,Republican,9cd66fe1049540cfa6fd560377b02399,http://www.legislature.state.al.us/graphics/housepics/baker_a.jpeg,2011-12-07 21:20:44.439000,2013-03-01 00:35:24.222000
ALL000122,Oliver Robinson,Oliver,,Robinson,,,True,al,lower,58,Democratic,59e5da416b624a2d812d3f08d5fbdbdb,http://www.legislature.state.al.us/graphics/housepics/robinson_o.jpeg,2011-12-07 21:20:45.452000,2013-03-01 00:35:24.250000
ALL000053,Jim Carns,Jim,,Carns,,,True,al,lower,48,Republican,464843963700458da4e1381377097e27,http://www.legislature.state.al.us/graphics/housepics/carns_j.jpeg,2011-12-07 21:20:44.612000,2013-03-01 00:35:24.252000
