state,session,chamber,bill_id,type,name,leg_id
ar,2011,lower,HB 1001,primary,Webb,ARL000123
ar,2011,lower,HB 1002,primary,Garner,ARL000041
ar,2011,lower,HB 1003,primary,Gaskill,ARL000042
ar,2011,lower,HB 1004,primary,J. Edwards,ARL000032
ar,2011,lower,HB 1005,primary,Sanders,ARL000105
ar,2011,lower,HB 1006,primary,Cheatham,ARL000020
ar,2011,lower,HB 1007,primary,Harris,ARL000047
ar,2011,lower,HB 1008,primary,Harris,ARL000047
ar,2011,lower,HB 1009,primary,Woods,ARL000130
ar,2011,lower,HB 1010,primary,Woods,ARL000130
ar,2011,lower,HB 1011,primary,Woods,ARL000130
ar,2011,lower,HB 1012,primary,G. Smith,ARL000108
ar,2011,lower,HB 1013,primary,Nickels,ARL000089
ar,2011,lower,HB 1014,primary,J. Edwards,ARL000032
ar,2011,lower,HB 1015,primary,Woods,ARL000130
ar,2011,lower,HB 1016,primary,Baird,ARL000003
ar,2011,lower,HB 1017,primary,Garner,ARL000041
ar,2011,lower,HB 1018,primary,Kerr,ARL000064
ar,2011,lower,HB 1019,primary,Kerr,ARL000064
ar,2011,lower,HB 1020,primary,Lea,ARL000070
ar,2011,lower,HB 1021,primary,Lea,ARL000070
ar,2011,lower,HB 1022,primary,Cheatham,ARL000020
ar,2011,lower,HB 1023,primary,English,ARL000035
ar,2011,lower,HB 1024,primary,English,ARL000035
ar,2011,lower,HB 1025,primary,D. Altes,ARL000002
ar,2011,lower,HB 1026,primary,D. Altes,ARL000002
ar,2011,lower,HB 1027,primary,D. Altes,ARL000002
ar,2011,lower,HB 1028,primary,D. Altes,ARL000002
ar,2011,lower,HB 1029,primary,D. Altes,ARL000002
ar,2011,lower,HB 1030,primary,D. Altes,ARL000002
ar,2011,lower,HB 1031,primary,D. Altes,ARL000002
ar,2011,lower,HB 1032,primary,D. Altes,ARL000002
ar,2011,lower,HB 1033,primary,D. Altes,ARL000002
ar,2011,lower,HB 1034,primary,D. Altes,ARL000002
ar,2011,lower,HB 1035,primary,D. Altes,ARL000002
ar,2011,lower,HB 1036,primary,D. Altes,ARL000002
ar,2011,lower,HB 1037,primary,D. Altes,ARL000002
ar,2011,lower,HB 1038,primary,D. Altes,ARL000002
ar,2011,lower,HB 1039,primary,English,ARL000035
ar,2011,lower,HB 1040,primary,English,ARL000035
ar,2011,lower,HB 1041,primary,Woods,ARL000130
ar,2011,lower,HB 1042,primary,Woods,ARL000130
ar,2011,lower,HB 1043,primary,D. Altes,ARL000002
ar,2011,lower,HB 1044,primary,D. Altes,ARL000002
ar,2011,lower,HB 1045,primary,D. Hutchinson,ARL000054
ar,2011,lower,HB 1046,primary,English,ARL000035
ar,2011,lower,HB 1047,primary,Carnine,ARL000017
ar,2011,lower,HB 1048,primary,Carnine,ARL000017
ar,2011,lower,HB 1049,primary,Allen,ARL000001
ar,2011,lower,HB 1050,primary,Westerman,ARL000124
ar,2011,lower,HB 1051,primary,D. Altes,ARL000002
ar,2011,lower,HB 1052,primary,Jean,ARL000059
ar,2011,lower,HB 1053,primary,D. Meeks,ARL000085
ar,2011,lower,HB 1054,primary,D. Altes,ARL000002
ar,2011,lower,HB 1055,primary,G. Smith,ARL000108
ar,2011,lower,HB 1056,primary,Lindsey,ARL000074
ar,2011,lower,HB 1057,primary,D. Altes,ARL000002
ar,2011,lower,HB 1058,primary,D. Altes,ARL000002
ar,2011,lower,HB 1059,primary,Wright,ARL000133
ar,2011,lower,HB 1060,primary,Lindsey,ARL000074
ar,2011,lower,HB 1061,primary,Sanders,ARL000105
ar,2011,lower,HB 1062,primary,Lovell,ARL000076
ar,2011,lower,HB 1063,primary,Joint Budget Committee,
ar,2011,lower,HB 1064,primary,Joint Budget Committee,
ar,2011,lower,HB 1065,primary,Joint Budget Committee,
ar,2011,lower,HB 1066,primary,Joint Budget Committee,
ar,2011,lower,HB 1067,primary,Joint Budget Committee,
ar,2011,lower,HB 1068,primary,Joint Budget Committee,
ar,2011,lower,HB 1069,primary,Joint Budget Committee,
ar,2011,lower,HB 1070,primary,Joint Budget Committee,
ar,2011,lower,HB 1071,primary,Joint Budget Committee,
ar,2011,lower,HB 1072,primary,Joint Budget Committee,
ar,2011,lower,HB 1073,primary,Joint Budget Committee,
ar,2011,lower,HB 1074,primary,Joint Budget Committee,
ar,2011,lower,HB 1075,primary,Joint Budget Committee,
ar,2011,lower,HB 1076,primary,Joint Budget Committee,
ar,2011,lower,HB 1077,primary,Joint Budget Committee,
ar,2011,lower,HB 1078,primary,Joint Budget Committee,
ar,2011,lower,HB 1079,primary,Joint Budget Committee,
ar,2011,lower,HB 1080,primary,Joint Budget Committee,
ar,2011,lower,HB 1081,primary,Joint Budget Committee,
ar,2011,lower,HB 1082,primary,Joint Budget Committee,
ar,2011,lower,HB 1083,primary,Joint Budget Committee,
ar,2011,lower,HB 1084,primary,Joint Budget Committee,
ar,2011,lower,HB 1085,primary,Joint Budget Committee,
ar,2011,lower,HB 1086,primary,S. Meeks,ARL000086
ar,2011,lower,HB 1087,primary,Joint Budget Committee,
ar,2011,lower,HB 1088,primary,J. Edwards,ARL000032
ar,2011,lower,HB 1089,primary,T. Rogers,ARL000102
ar,2011,lower,HB 1090,primary,Webb,ARL000123
ar,2011,lower,HB 1091,primary,Lampkin,ARL000068
ar,2011,lower,HB 1092,primary,Joint Budget Committee,
ar,2011,lower,HB 1093,primary,Joint Budget Committee,
ar,2011,lower,HB 1094,primary,Joint Budget Committee,
ar,2011,lower,HB 1095,primary,Carnine,ARL000017
ar,2011,lower,HB 1096,primary,Carnine,ARL000017
ar,2011,lower,HB 1097,primary,Carnine,ARL000017
ar,2011,lower,HB 1098,primary,B. Wilkins,ARL000126
ar,2011,lower,HB 1099,primary,Lenderman,ARL000072
ar,2011,lower,HB 1100,primary,Joint Budget Committee,
ar,2011,lower,HB 1101,primary,Joint Budget Committee,
ar,2011,lower,HB 1102,primary,Joint Budget Committee,
ar,2011,lower,HB 1103,primary,Joint Budget Committee,
ar,2011,lower,HB 1104,primary,Joint Budget Committee,
ar,2011,lower,HB 1105,primary,Joint Budget Committee,
ar,2011,lower,HB 1106,primary,Joint Budget Committee,
ar,2011,lower,HB 1107,primary,Joint Budget Committee,
ar,2011,lower,HB 1108,primary,Joint Budget Committee,
ar,2011,lower,HB 1109,primary,Joint Budget Committee,
ar,2011,lower,HB 1110,primary,Joint Budget Committee,
ar,2011,lower,HB 1111,primary,Stewart,ARL000111
ar,2011,lower,HB 1112,primary,Stewart,ARL000111
ar,2011,lower,HB 1113,primary,B. Overbey,ARL000090
ar,2011,lower,HB 1114,primary,B. Overbey,ARL000090
ar,2011,lower,HB 1115,primary,B. Overbey,ARL000090
ar,2011,lower,HB 1116,primary,D. Hutchinson,ARL000054
ar,2011,lower,HB 1117,primary,Stewart,ARL000111
ar,2011,lower,HB 1118,primary,Pennartz,ARL000092
ar,2011,lower,HB 1119,primary,Pennartz,ARL000092
ar,2011,lower,HB 1120,primary,Ingram,ARL000057
ar,2011,lower,HB 1121,primary,Joint Budget Committee,
ar,2011,lower,HB 1122,primary,Joint Budget Committee,
ar,2011,lower,HB 1123,primary,Joint Budget Committee,
ar,2011,lower,HB 1124,primary,Joint Budget Committee,
ar,2011,lower,HB 1125,primary,Joint Budget Committee,
ar,2011,lower,HB 1126,primary,Joint Budget Committee,
ar,2011,lower,HB 1127,primary,Joint Budget Committee,
ar,2011,lower,HB 1128,primary,Joint Budget Committee,
ar,2011,lower,HB 1129,primary,Joint Budget Committee,
ar,2011,lower,HB 1130,primary,Joint Budget Committee,
ar,2011,lower,HB 1131,primary,Joint Budget Committee,
ar,2011,lower,HB 1132,primary,Joint Budget Committee,
ar,2011,lower,HB 1133,primary,Joint Budget Committee,
ar,2011,lower,HB 1134,primary,Lea,ARL000070
ar,2011,lower,HB 1135,primary,Stewart,ARL000111
ar,2011,lower,HB 1136,primary,Lovell,ARL000076
ar,2011,lower,HB 1137,primary,Pennartz,ARL000092
ar,2011,lower,HB 1138,primary,Joint Budget Committee,
ar,2011,lower,HB 1139,primary,Joint Budget Committee,
ar,2011,lower,HB 1140,primary,Nickels,ARL000089
ar,2011,lower,HB 1141,primary,Stewart,ARL000111
ar,2011,lower,HB 1142,primary,B. Wilkins,ARL000126
ar,2011,lower,HB 1143,primary,Lenderman,ARL000072
ar,2011,lower,HB 1144,primary,Joint Budget Committee,
ar,2011,lower,HB 1145,primary,Hall,ARL000044
ar,2011,lower,HB 1146,primary,Kerr,ARL000064
ar,2011,lower,HB 1147,primary,Carnine,ARL000017
ar,2011,lower,HB 1148,primary,B. Wilkins,ARL000126
ar,2011,lower,HB 1149,primary,Nickels,ARL000089
ar,2011,lower,HB 1150,primary,Nickels,ARL000089
ar,2011,lower,HB 1151,primary,Perry,ARL000093
ar,2011,lower,HB 1152,primary,Joint Budget Committee,
ar,2011,lower,HB 1153,primary,Joint Budget Committee,
ar,2011,lower,HB 1154,primary,Joint Budget Committee,
ar,2011,lower,HB 1155,primary,Joint Budget Committee,
ar,2011,lower,HB 1156,primary,Joint Budget Committee,
ar,2011,lower,HB 1157,primary,Westerman,ARL000124
ar,2011,lower,HB 1158,primary,Branscum,ARL000013
ar,2011,lower,HB 1159,primary,Webb,ARL000123
ar,2011,lower,HB 1160,primary,Webb,ARL000123
ar,2011,lower,HB 1161,primary,Webb,ARL000123
ar,2011,lower,HB 1162,primary,Nickels,ARL000089
ar,2011,lower,HB 1163,primary,D. Hutchinson,ARL000054
ar,2011,lower,HB 1164,primary,Kerr,ARL000064
ar,2011,lower,HB 1165,primary,Kerr,ARL000064
ar,2011,lower,HB 1166,primary,Perry,ARL000093
ar,2011,lower,HB 1167,primary,Perry,ARL000093
ar,2011,lower,HB 1168,primary,Perry,ARL000093
ar,2011,lower,HB 1169,primary,Perry,ARL000093
ar,2011,lower,HB 1170,primary,Perry,ARL000093
ar,2011,lower,HB 1171,primary,Patterson,ARL000091
ar,2011,lower,HB 1172,primary,Hall,ARL000044
ar,2011,lower,HB 1173,primary,Nickels,ARL000089
ar,2011,lower,HB 1174,primary,Nickels,ARL000089
ar,2011,lower,HB 1175,primary,Lindsey,ARL000074
ar,2011,lower,HB 1176,primary,Nickels,ARL000089
ar,2011,lower,HB 1177,primary,Kerr,ARL000064
ar,2011,lower,HB 1178,primary,Kerr,ARL000064
ar,2011,lower,HB 1179,primary,Kerr,ARL000064
ar,2011,lower,HB 1180,primary,Kerr,ARL000064
ar,2011,lower,HB 1181,primary,Kerr,ARL000064
ar,2011,lower,HB 1182,primary,Kerr,ARL000064
ar,2011,lower,HB 1183,primary,Kerr,ARL000064
ar,2011,lower,HB 1184,primary,English,ARL000035
ar,2011,lower,HB 1185,primary,210,
ar,2011,lower,HB 1186,primary,English,ARL000035
ar,2011,lower,HB 1187,primary,Joint Budget Committee,
ar,2011,lower,HB 1188,primary,Joint Budget Committee,
ar,2011,lower,HB 1189,primary,Joint Budget Committee,
ar,2011,lower,HB 1190,primary,Joint Budget Committee,
ar,2011,lower,HB 1191,primary,Joint Budget Committee,
ar,2011,lower,HB 1192,primary,Joint Budget Committee,
ar,2011,lower,HB 1193,primary,Joint Budget Committee,
ar,2011,lower,HB 1194,primary,Joint Budget Committee,
ar,2011,lower,HB 1195,primary,Joint Budget Committee,
ar,2011,lower,HB 1196,primary,Joint Budget Committee,
ar,2011,lower,HB 1197,primary,Joint Budget Committee,
ar,2011,lower,HB 1198,primary,Joint Budget Committee,
ar,2011,lower,HB 1199,primary,Joint Budget Committee,
ar,2011,lower,HB 1200,primary,Joint Budget Committee,
ar,2011,lower,HB 1201,primary,Joint Budget Committee,
ar,2011,lower,HB 1202,primary,Nickels,ARL000089
ar,2011,lower,HB 1203,primary,Nickels,ARL000089
ar,2011,lower,HB 1204,primary,B. Wilkins,ARL000126
ar,2011,lower,HB 1205,primary,Mauch,ARL000081
ar,2011,lower,HB 1206,primary,Bell,ARL000007
ar,2011,lower,HB 1207,primary,Stewart,ARL000111
ar,2011,lower,HB 1208,primary,Lovell,ARL000076
ar,2011,lower,HB 1209,primary,Lovell,ARL000076
ar,2011,lower,HB 1210,primary,Joint Budget Committee,
ar,2011,lower,HB 1211,primary,Mayberry,ARL000082
ar,2011,lower,HB 1212,primary,Carnine,ARL000017
ar,2011,lower,HB 1213,primary,Deffenbaugh,ARL000029
ar,2011,lower,HB 1214,primary,Deffenbaugh,ARL000029
ar,2011,lower,HB 1215,primary,Collins-Smith,ARL000024
ar,2011,lower,HB 1216,primary,Kerr,ARL000064
ar,2011,lower,HB 1217,primary,Tyler,ARL000118
ar,2011,lower,HB 1218,primary,J. Roebuck,ARL000101
ar,2011,lower,HB 1219,primary,Summers,ARL000113
ar,2011,lower,HB 1220,primary,Biviano,ARL000009
ar,2011,lower,HB 1221,primary,Lovell,ARL000076
ar,2011,lower,HB 1222,primary,Pennartz,ARL000092
ar,2011,lower,HB 1223,primary,B. Wilkins,ARL000126
ar,2011,lower,HB 1224,primary,Stewart,ARL000111
ar,2011,lower,HB 1225,primary,Joint Budget Committee,
ar,2011,lower,HB 1226,primary,Joint Budget Committee,
ar,2011,lower,HB 1227,primary,Joint Budget Committee,
ar,2011,lower,HB 1228,primary,Joint Budget Committee,
ar,2011,lower,HB 1229,primary,Hall,ARL000044
ar,2011,lower,HB 1230,primary,Woods,ARL000130
ar,2011,lower,HB 1231,primary,Joint Budget Committee,
ar,2011,lower,HB 1232,primary,T. Thompson,ARL000117
ar,2011,lower,HB 1233,primary,Westerman,ARL000124
ar,2011,lower,HB 1234,primary,Carnine,ARL000017
ar,2011,lower,HB 1235,primary,Allen,ARL000001
ar,2011,lower,HB 1236,primary,Summers,ARL000113
ar,2011,lower,HB 1237,primary,Summers,ARL000113
ar,2011,lower,HB 1238,primary,Summers,ARL000113
ar,2011,lower,HB 1239,primary,Summers,ARL000113
ar,2011,lower,HB 1240,primary,Summers,ARL000113
ar,2011,lower,HB 1241,primary,Summers,ARL000113
ar,2011,lower,HB 1242,primary,G. Smith,ARL000108
ar,2011,lower,HB 1243,primary,Woods,ARL000130
ar,2011,lower,HB 1244,primary,H. Wilkins,ARL000127
ar,2011,lower,HB 1245,primary,H. Wilkins,ARL000127
ar,2011,lower,HB 1246,primary,H. Wilkins,ARL000127
ar,2011,lower,HB 1247,primary,B. Wilkins,ARL000126
ar,2011,lower,HB 1248,primary,B. Wilkins,ARL000126
ar,2011,lower,HB 1249,primary,D. Altes,ARL000002
ar,2011,lower,HB 1250,primary,Stewart,ARL000111
ar,2011,lower,HB 1251,primary,Nickels,ARL000089
ar,2011,lower,HB 1252,primary,T. Baker,ARL000004
ar,2011,lower,HB 1253,primary,Lea,ARL000070
ar,2011,lower,HB 1254,primary,Webb,ARL000123
ar,2011,lower,HB 1255,primary,Jean,ARL000059
ar,2011,lower,HB 1256,primary,Ingram,ARL000057
ar,2011,lower,HB 1257,primary,Ingram,ARL000057
ar,2011,lower,HB 1258,primary,Nickels,ARL000089
ar,2011,lower,HB 1259,primary,Nickels,ARL000089
ar,2011,lower,HB 1260,primary,Joint Budget Committee,
ar,2011,lower,HB 1261,primary,Joint Budget Committee,
ar,2011,lower,HB 1262,primary,English,ARL000035
ar,2011,lower,HB 1263,primary,Joint Budget Committee,
ar,2011,lower,HB 1264,primary,Joint Budget Committee,
ar,2011,lower,HB 1265,primary,Joint Budget Committee,
ar,2011,lower,HB 1266,primary,Joint Budget Committee,
ar,2011,lower,HB 1267,primary,Joint Budget Committee,
ar,2011,lower,HB 1268,primary,Joint Budget Committee,
ar,2011,lower,HB 1269,primary,Joint Budget Committee,
ar,2011,lower,HB 1270,primary,Joint Budget Committee,
ar,2011,lower,HB 1271,primary,Joint Budget Committee,
ar,2011,lower,HB 1272,primary,Joint Budget Committee,
ar,2011,lower,HB 1273,primary,Joint Budget Committee,
ar,2011,lower,HB 1274,primary,Joint Budget Committee,
ar,2011,lower,HB 1275,primary,Joint Budget Committee,
ar,2011,lower,HB 1276,primary,Biviano,ARL000009
ar,2011,lower,HB 1277,primary,Hall,ARL000044
ar,2011,lower,HB 1278,primary,T. Rogers,ARL000102
ar,2011,lower,HB 1279,primary,Leding,ARL000071
ar,2011,lower,HB 1280,primary,Leding,ARL000071
ar,2011,lower,HB 1281,primary,Patterson,ARL000091
ar,2011,lower,HB 1282,primary,Dale,ARL000028
ar,2011,lower,HB 1283,primary,G. Smith,ARL000108
ar,2011,lower,HB 1284,primary,Moore,ARL000087
ar,2011,lower,HB 1285,primary,Joint Budget Committee,
ar,2011,lower,HB 1286,primary,T. Bradford,ARL000012
ar,2011,lower,HB 1287,primary,T. Bradford,ARL000012
ar,2011,lower,HB 1288,primary,T. Bradford,ARL000012
ar,2011,lower,HB 1289,primary,Joint Budget Committee,
ar,2011,lower,HB 1290,primary,Joint Budget Committee,
ar,2011,lower,HB 1291,primary,Joint Budget Committee,
ar,2011,lower,HB 1292,primary,Hubbard,ARL000053
ar,2011,lower,HB 1293,primary,Linck,ARL000073
ar,2011,lower,HB 1294,primary,H. Wilkins,ARL000127
ar,2011,lower,HB 1295,primary,T. Baker,ARL000004
