leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
ARL000024,member,2011-2012,80,lower,ar,Republican,,,,,
ARL000024,committee member,2011-2012,,joint,ar,,ARC000046,ENERGY - JOINT,,,
ARL000024,committee member,2011-2012,,lower,ar,,ARC000085,"CITY, COUNTY & LOCAL AFFAIRS COMMITTEE",FINANCE SUBCOMMITTEE,,
ARL000024,committee member,2011-2012,,lower,ar,,ARC000088,"CITY, COUNTY & LOCAL AFFAIRS COMMITTEE",,,
ARL000024,committee member,2011-2012,,lower,ar,,ARC000102,JUDICIARY COMMITTEE,,,
ARL000024,committee member,2011-2012,,lower,ar,,ARC000112,REVENUE & TAXATION,INCOME TAXES-PERSONAL & CORPORATE SUBCOM.,,
ARL000024,committee member,2011-2012,,lower,ar,,ARC000114,REVENUE & TAXATION,,,
ARL000004,member,2011-2012,55,lower,ar,Democratic,,,,,
ARL000004,committee member,2011-2012,,joint,ar,,ARC000001,ARKANSAS LEGISLATIVE COUNCIL (ALC),ALC/EXECUTIVE SUBCOMMITTEE,,
ARL000004,committee member,2011-2012,,joint,ar,,ARC000002,ARKANSAS LEGISLATIVE COUNCIL (ALC),ADMINISTRATIVE RULES & REGULATIONS,,
ARL000004,committee member,2011-2012,,joint,ar,,ARC000003,ARKANSAS LEGISLATIVE COUNCIL (ALC),"CHARITABLE,PENAL AND CORRECTIONAL INSTITUTIONS",,
ARL000004,committee member,2011-2012,,joint,ar,,ARC000004,ARKANSAS LEGISLATIVE COUNCIL (ALC),CLAIMS REVIEW,,
ARL000004,committee member,2011-2012,,joint,ar,,ARC000006,ARKANSAS LEGISLATIVE COUNCIL (ALC),GAME & FISH/STATE POLICE,,
ARL000004,committee member,2011-2012,,joint,ar,,ARC000007,ARKANSAS LEGISLATIVE COUNCIL (ALC),HIGHER EDUCATION SUBCOMMITTEE,,
