state,session,chamber,bill_id,type,name,leg_id
az,49th-1st-regular,lower,HB 2001,primary,KAVANAGH,AZL000063
az,49th-1st-regular,lower,HB 2002,primary,KONOPNICKI,AZL000064
az,49th-1st-regular,lower,HB 2003,primary,KONOPNICKI,AZL000064
az,49th-1st-regular,lower,HB 2004,primary,KONOPNICKI,AZL000064
az,49th-1st-regular,lower,HB 2005,primary,KONOPNICKI,AZL000064
az,49th-1st-regular,lower,HB 2006,primary,KONOPNICKI,AZL000064
az,49th-1st-regular,lower,HB 2007,primary,KONOPNICKI,AZL000064
az,49th-1st-regular,lower,HB 2008,primary,KONOPNICKI,AZL000064
az,49th-1st-regular,lower,HB 2009,primary,KONOPNICKI,AZL000064
az,49th-1st-regular,lower,HB 2010,primary,KONOPNICKI,AZL000064
az,49th-1st-regular,lower,HB 2011,primary,KONOPNICKI,AZL000064
az,49th-1st-regular,lower,HB 2012,primary,KONOPNICKI,AZL000064
az,49th-1st-regular,lower,HB 2013,primary,KONOPNICKI,AZL000064
az,49th-1st-regular,lower,HB 2014,primary,KONOPNICKI,AZL000064
az,49th-1st-regular,lower,HB 2015,primary,KONOPNICKI,AZL000064
az,49th-1st-regular,lower,HB 2016,primary,KONOPNICKI,AZL000064
az,49th-1st-regular,lower,HB 2017,primary,KONOPNICKI,AZL000064
az,49th-1st-regular,lower,HB 2018,primary,KONOPNICKI,AZL000064
az,49th-1st-regular,lower,HB 2019,primary,CRUMP,AZL000052
az,49th-1st-regular,lower,HB 2020,primary,CRUMP,AZL000052
az,49th-1st-regular,lower,HB 2021,primary,CRUMP,AZL000052
az,49th-1st-regular,lower,HB 2022,primary,CRUMP,AZL000052
az,49th-1st-regular,lower,HB 2023,primary,CRUMP,AZL000052
az,49th-1st-regular,lower,HB 2024,primary,KAVANAGH,AZL000063
az,49th-1st-regular,lower,HB 2025,primary,KAVANAGH,AZL000063
az,49th-1st-regular,lower,HB 2026,primary,KAVANAGH,AZL000063
az,49th-1st-regular,lower,HB 2027,primary,KAVANAGH,AZL000063
az,49th-1st-regular,lower,HB 2028,primary,KAVANAGH,AZL000063
az,49th-1st-regular,lower,HB 2029,primary,KAVANAGH,AZL000063
az,49th-1st-regular,lower,HB 2030,primary,KAVANAGH,AZL000063
az,49th-1st-regular,lower,HB 2031,primary,KAVANAGH,AZL000063
az,49th-1st-regular,lower,HB 2032,primary,KAVANAGH,AZL000063
