state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
az,49th-1st-regular,lower,HB 2001,AZV00000001,lower,committee: do pass,2009-01-20 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2336,AZV00000721,upper,COW ACTION 1: failed to pass,2009-06-27 00:00:00,other,0,0,0
az,49th-1st-regular,lower,HB 2001,AZV00000002,lower,committee: constitutional and in proper form,2009-02-09 00:00:00,other,5,0,3
az,49th-1st-regular,lower,HB 2001,AZV00000003,lower,THIRD READ:,2009-05-28 00:00:00,passage,55,0,5
az,49th-1st-regular,lower,HB 2001,AZV00000004,upper,committee: do pass,2009-06-17 00:00:00,other,7,0,0
az,49th-1st-regular,lower,HB 2004,AZV00000007,lower,committee: do pass,2009-01-20 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2001,AZV00000005,upper,THIRD READ:,2009-07-01 00:00:00,passage,24,3,3
az,49th-1st-regular,lower,HB 2001,AZV00000006,lower,HOUSE FINAL READ:,2009-07-01 00:00:00,passage,43,0,17
az,49th-1st-regular,lower,HB 2004,AZV00000008,lower,committee: constitutional and in proper form,2009-02-09 00:00:00,other,5,0,3
az,49th-1st-regular,lower,HB 2006,AZV00000009,lower,committee: do pass amended,2009-02-02 00:00:00,other,9,0,1
az,49th-1st-regular,lower,HB 2006,AZV00000010,lower,committee: constitutional and in proper form,2009-02-09 00:00:00,other,5,0,3
az,49th-1st-regular,lower,HB 2006,AZV00000011,lower,THIRD READ:,2009-05-14 00:00:00,passage,54,0,6
az,49th-1st-regular,lower,HB 2006,AZV00000012,upper,committee: do pass,2009-06-17 00:00:00,other,6,0,1
az,49th-1st-regular,lower,HB 2006,AZV00000013,upper,THIRD READ:,2009-06-26 00:00:00,passage,18,4,8
az,49th-1st-regular,lower,HB 2007,AZV00000014,lower,committee: do pass,2009-01-20 00:00:00,other,6,0,2
az,49th-1st-regular,lower,HB 2007,AZV00000015,lower,committee: do pass,2009-02-11 00:00:00,other,12,0,1
az,49th-1st-regular,lower,HB 2007,AZV00000016,lower,committee: amended constitutional and in proper form,2009-03-16 00:00:00,other,7,0,1
az,49th-1st-regular,lower,HB 2007,AZV00000017,lower,THIRD READ:,2009-05-18 00:00:00,passage,51,0,9
az,49th-1st-regular,lower,HB 2010,AZV00000018,lower,committee: do pass amended/strike-everything,2009-02-05 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2010,AZV00000019,lower,committee: constitutional and in proper form,2009-02-23 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2010,AZV00000020,lower,THIRD READ:,2009-06-23 00:00:00,passage,54,0,6
az,49th-1st-regular,lower,HB 2011,AZV00000021,lower,committee: do pass amended,2009-02-23 00:00:00,other,9,0,1
az,49th-1st-regular,lower,HB 2011,AZV00000022,lower,committee: do pass,2009-03-02 00:00:00,other,7,1,0
az,49th-1st-regular,lower,HB 2011,AZV00000023,lower,committee: constitutional and in proper form,2009-03-16 00:00:00,other,7,0,1
az,49th-1st-regular,lower,HB 2012,AZV00000024,lower,committee: do pass,2009-01-22 00:00:00,other,10,0,0
az,49th-1st-regular,lower,HB 2012,AZV00000025,lower,committee: do pass,2009-02-11 00:00:00,other,13,0,0
az,49th-1st-regular,lower,HB 2012,AZV00000026,lower,committee: amended constitutional and in proper form,2009-02-23 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2012,AZV00000027,lower,THIRD READ:,2009-06-22 00:00:00,passage,55,1,4
az,49th-1st-regular,lower,HB 2013,AZV00000028,lower,committee: do pass,2009-03-02 00:00:00,other,10,0,0
az,49th-1st-regular,lower,HB 2013,AZV00000029,lower,committee: do pass,2009-03-11 00:00:00,other,12,0,1
az,49th-1st-regular,lower,HB 2013,AZV00000030,lower,committee: constitutional and in proper form,2009-03-16 00:00:00,other,7,0,1
az,49th-1st-regular,lower,HB 2014,AZV00000031,lower,committee: do pass amended,2009-02-10 00:00:00,other,9,0,0
az,49th-1st-regular,lower,HB 2014,AZV00000032,lower,committee: constitutional and in proper form,2009-02-23 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2014,AZV00000033,lower,THIRD READ:,2009-05-28 00:00:00,passage,56,0,4
az,49th-1st-regular,lower,HB 2014,AZV00000034,upper,committee: do pass,2009-06-22 00:00:00,other,6,0,1
az,49th-1st-regular,lower,HB 2014,AZV00000035,upper,THIRD READ:,2009-06-26 00:00:00,passage,19,4,7
az,49th-1st-regular,lower,HB 2015,AZV00000036,lower,committee: do pass,2009-01-26 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2015,AZV00000037,lower,committee: do pass amended,2009-02-17 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2018,AZV00000038,lower,committee: do pass,2009-01-22 00:00:00,other,7,0,0
az,49th-1st-regular,lower,HB 2018,AZV00000039,lower,committee: constitutional and in proper form,2009-03-02 00:00:00,other,6,0,2
az,49th-1st-regular,lower,HB 2019,AZV00000040,lower,committee: do pass amended/strike-everything,2009-03-03 00:00:00,other,9,0,0
az,49th-1st-regular,lower,HB 2019,AZV00000041,lower,committee: constitutional and in proper form,2009-03-16 00:00:00,other,7,0,1
az,49th-1st-regular,lower,HB 2019,AZV00000042,lower,THIRD READ:,2009-05-26 00:00:00,passage,53,2,5
az,49th-1st-regular,lower,HB 2019,AZV00000043,upper,committee: do pass,2009-06-25 00:00:00,other,5,3,0
az,49th-1st-regular,lower,HB 2024,AZV00000044,lower,committee: do pass amended/strike-everything,2009-03-04 00:00:00,other,7,0,1
az,49th-1st-regular,lower,HB 2024,AZV00000045,lower,committee: constitutional and in proper form,2009-06-25 00:00:00,other,5,2,1
az,49th-1st-regular,lower,HB 2026,AZV00000046,lower,committee: do pass,2009-02-04 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2027,AZV00000047,lower,committee: do pass,2009-02-04 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2028,AZV00000048,lower,committee: constitutional and in proper form,2009-05-13 00:00:00,other,5,3,0
az,49th-1st-regular,lower,HB 2028,AZV00000049,lower,THIRD READ:,2009-05-13 00:00:00,passage,33,25,2
az,49th-1st-regular,lower,HB 2028,AZV00000050,upper,THIRD READ:,2009-05-13 00:00:00,passage,19,8,3
az,49th-1st-regular,lower,HB 2029,AZV00000051,lower,committee: do pass amended/strike-everything,2009-05-13 00:00:00,other,8,5,0
az,49th-1st-regular,lower,HB 2029,AZV00000052,lower,committee: constitutional and in proper form,2009-05-13 00:00:00,other,5,3,0
az,49th-1st-regular,lower,HB 2029,AZV00000053,lower,THIRD READ:,2009-05-13 00:00:00,passage,32,23,5
az,49th-1st-regular,lower,HB 2029,AZV00000054,upper,THIRD READ:,2009-05-13 00:00:00,passage,19,8,3
az,49th-1st-regular,lower,HB 2031,AZV00000055,lower,committee: do pass amended,2009-02-16 00:00:00,other,10,0,0
az,49th-1st-regular,lower,HB 2031,AZV00000056,lower,committee: constitutional and in proper form,2009-03-16 00:00:00,other,7,0,1
az,49th-1st-regular,lower,HB 2031,AZV00000057,lower,THIRD READ:,2009-06-09 00:00:00,passage,59,0,1
az,49th-1st-regular,lower,HB 2031,AZV00000058,upper,committee: do pass amended,2009-06-24 00:00:00,other,7,0,0
az,49th-1st-regular,lower,HB 2031,AZV00000059,upper,THIRD READ:,2009-06-30 00:00:00,passage,26,0,4
az,49th-1st-regular,lower,HB 2031,AZV00000060,lower,HOUSE FINAL READ:,2009-06-30 00:00:00,passage,58,0,2
az,49th-1st-regular,lower,HB 2033,AZV00000061,lower,committee: do pass amended,2009-02-19 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2033,AZV00000062,lower,committee: constitutional and in proper form,2009-06-17 00:00:00,other,4,3,1
az,49th-1st-regular,lower,HB 2033,AZV00000063,lower,THIRD READ:,2009-06-18 00:00:00,passage,47,2,11
az,49th-1st-regular,lower,HB 2034,AZV00000064,lower,committee: do pass amended/strike-everything,2009-03-03 00:00:00,other,8,1,0
az,49th-1st-regular,lower,HB 2034,AZV00000065,lower,committee: constitutional and in proper form,2009-03-16 00:00:00,other,7,0,1
az,49th-1st-regular,lower,HB 2034,AZV00000066,lower,THIRD READ:,2009-05-26 00:00:00,passage,44,11,5
az,49th-1st-regular,lower,HB 2034,AZV00000067,upper,committee: failed to pass,2009-06-25 00:00:00,other,3,4,1
az,49th-1st-regular,lower,HB 2039,AZV00000068,lower,committee: do pass amended/strike-everything,2009-02-18 00:00:00,other,6,0,3
az,49th-1st-regular,lower,HB 2042,AZV00000069,lower,committee: do pass,2009-01-26 00:00:00,other,7,0,1
az,49th-1st-regular,lower,HB 2042,AZV00000070,lower,committee: do pass amended,2009-02-11 00:00:00,other,12,1,0
az,49th-1st-regular,lower,HB 2042,AZV00000071,lower,committee: constitutional and in proper form,2009-06-08 00:00:00,other,7,0,1
az,49th-1st-regular,lower,HB 2042,AZV00000072,lower,THIRD READ:,2009-06-17 00:00:00,passage,45,8,7
az,49th-1st-regular,lower,HB 2043,AZV00000073,lower,committee: do pass,2009-02-04 00:00:00,other,7,0,1
az,49th-1st-regular,lower,HB 2043,AZV00000074,lower,committee: constitutional and in proper form,2009-02-23 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2045,AZV00000075,lower,committee: do pass,2009-01-22 00:00:00,other,7,0,0
az,49th-1st-regular,lower,HB 2045,AZV00000076,lower,committee: constitutional and in proper form,2009-02-09 00:00:00,other,5,0,3
az,49th-1st-regular,lower,HB 2047,AZV00000077,lower,committee: do pass amended/strike-everything,2009-03-04 00:00:00,other,7,0,1
az,49th-1st-regular,lower,HB 2048,AZV00000078,lower,committee: do pass,2009-02-05 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2048,AZV00000079,lower,committee: constitutional and in proper form,2009-03-02 00:00:00,other,6,0,2
az,49th-1st-regular,lower,HB 2048,AZV00000080,lower,THIRD READ:,2009-05-06 00:00:00,passage,56,0,4
az,49th-1st-regular,lower,HB 2048,AZV00000081,upper,committee: do pass,2009-06-15 00:00:00,other,7,0,0
az,49th-1st-regular,lower,HB 2048,AZV00000082,upper,THIRD READ:,2009-06-22 00:00:00,passage,27,1,2
az,49th-1st-regular,lower,HB 2049,AZV00000083,lower,committee: do pass amended/strike-everything,2009-02-24 00:00:00,other,9,0,0
az,49th-1st-regular,lower,HB 2049,AZV00000084,lower,committee: constitutional and in proper form,2009-06-08 00:00:00,other,7,0,1
az,49th-1st-regular,lower,HB 2049,AZV00000085,lower,THIRD READ:,2009-06-15 00:00:00,passage,28,23,9
az,49th-1st-regular,lower,HB 2049,AZV00000086,lower,THIRD READ:,2009-06-18 00:00:00,passage,32,17,11
az,49th-1st-regular,lower,HB 2049,AZV00000087,upper,committee: do pass,2009-06-25 00:00:00,other,4,0,2
az,49th-1st-regular,lower,HB 2049,AZV00000088,upper,THIRD READ:,2009-07-01 00:00:00,passage,14,14,2
az,49th-1st-regular,lower,HB 2051,AZV00000089,lower,committee: do pass amended/strike-everything,2009-03-12 00:00:00,other,9,1,3
az,49th-1st-regular,lower,HB 2051,AZV00000090,lower,committee: constitutional and in proper form,2009-03-12 00:00:00,other,6,0,2
az,49th-1st-regular,lower,HB 2051,AZV00000091,lower,THIRD READ:,2009-03-12 00:00:00,passage,50,6,4
az,49th-1st-regular,lower,HB 2051,AZV00000092,upper,THIRD READ:,2009-03-12 00:00:00,passage,23,4,3
az,49th-1st-regular,lower,HB 2056,AZV00000093,lower,committee: do pass amended,2009-02-12 00:00:00,other,6,2,0
az,49th-1st-regular,lower,HB 2057,AZV00000094,lower,committee: do pass amended,2009-02-02 00:00:00,other,6,0,2
az,49th-1st-regular,lower,HB 2057,AZV00000095,lower,committee: constitutional and in proper form,2009-02-09 00:00:00,other,5,0,3
az,49th-1st-regular,lower,HB 2057,AZV00000096,lower,THIRD READ:,2009-06-11 00:00:00,passage,53,0,7
az,49th-1st-regular,lower,HB 2058,AZV00000097,lower,committee: do pass,2009-01-22 00:00:00,other,7,0,0
az,49th-1st-regular,lower,HB 2058,AZV00000098,lower,committee: constitutional and in proper form,2009-02-23 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2058,AZV00000099,lower,THIRD READ:,2009-05-26 00:00:00,passage,55,0,5
az,49th-1st-regular,lower,HB 2058,AZV00000100,upper,committee: do pass,2009-06-22 00:00:00,other,3,1,3
az,49th-1st-regular,lower,HB 2061,AZV00000101,lower,committee: do pass amended/strike-everything,2009-02-24 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2061,AZV00000102,lower,committee: constitutional and in proper form,2009-04-06 00:00:00,other,6,0,2
az,49th-1st-regular,lower,HB 2063,AZV00000103,lower,committee: do pass amended/strike-everything,2009-03-05 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2063,AZV00000104,lower,committee: constitutional and in proper form,2009-03-23 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2063,AZV00000105,lower,THIRD READ:,2009-06-23 00:00:00,passage,54,0,6
az,49th-1st-regular,lower,HB 2064,AZV00000106,lower,committee: do pass,2009-03-02 00:00:00,other,7,0,1
az,49th-1st-regular,lower,HB 2064,AZV00000107,lower,committee: constitutional and in proper form,2009-04-13 00:00:00,other,7,0,1
az,49th-1st-regular,lower,HB 2066,AZV00000108,lower,committee: do pass,2009-03-05 00:00:00,other,8,0,0
az,49th-1st-regular,lower,HB 2070,AZV00000109,lower,committee: do pass amended/strike-everything,2009-03-05 00:00:00,other,7,1,0
az,49th-1st-regular,lower,HB 2070,AZV00000110,lower,committee: constitutional and in proper form,2009-03-30 00:00:00,other,7,0,1
az,49th-1st-regular,lower,HB 2073,AZV00000111,lower,committee: do pass,2009-02-23 00:00:00,other,5,3,0
az,49th-1st-regular,lower,HB 2073,AZV00000112,lower,committee: constitutional and in proper form,2009-03-02 00:00:00,other,5,0,3
az,49th-1st-regular,lower,HB 2075,AZV00000113,lower,committee: do pass amended/strike-everything,2009-02-23 00:00:00,other,8,1,1
az,49th-1st-regular,lower,HB 2078,AZV00000114,lower,committee: do pass amended/strike-everything,2009-03-04 00:00:00,other,7,0,2
az,49th-1st-regular,lower,HB 2078,AZV00000115,lower,committee: constitutional and in proper form,2009-04-06 00:00:00,other,6,0,2
az,49th-1st-regular,lower,HB 2078,AZV00000116,lower,THIRD READ:,2009-06-16 00:00:00,passage,41,10,9
az,49th-1st-regular,lower,HB 2078,AZV00000117,upper,committee: do pass,2009-06-24 00:00:00,other,4,1,2
