state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
az,49th-1st-regular,lower,HB 2001,state monuments; repair fund; purpose.,2011-01-21 19:37:23.614000,2011-01-21 19:37:23.614000,bill,
az,49th-1st-regular,lower,HB 2002,stationary tow trucks; right-of-way,2011-01-21 19:37:23.627000,2011-01-21 19:37:23.627000,bill,
az,49th-1st-regular,lower,HB 2003,vehicle surfing prohibited,2011-01-21 19:37:23.630000,2011-01-21 19:37:23.630000,bill,
az,49th-1st-regular,lower,HB 2004,inmates; tobacco use,2011-01-21 19:37:23.635000,2011-01-21 19:37:23.635000,bill,
az,49th-1st-regular,lower,HB 2005,streets; obstructions prohibited,2011-01-21 19:37:23.637000,2011-01-21 19:37:23.637000,bill,
az,49th-1st-regular,lower,HB 2006,schools; juvenile probation officers,2011-01-21 19:37:23.648000,2011-01-21 19:37:23.648000,bill,
az,49th-1st-regular,lower,HB 2007,CORP; return to work,2011-01-21 19:37:23.667000,2011-01-21 19:37:23.667000,bill,
az,49th-1st-regular,lower,HB 2008,county procedures; technical correction,2011-01-21 19:37:23.670000,2011-01-21 19:37:23.670000,bill,
az,49th-1st-regular,lower,HB 2009,counties; powers; technical correction,2011-01-21 19:37:23.672000,2011-01-21 19:37:23.672000,bill,
az,49th-1st-regular,lower,HB 2010,license plate attachment and display,2011-01-21 19:37:23.680000,2011-01-21 19:37:23.680000,bill,
az,49th-1st-regular,lower,HB 2011,provisional community college districts; bonding,2011-01-21 19:37:23.686000,2011-01-21 19:37:23.686000,bill,
az,49th-1st-regular,lower,HB 2012,community college bookstores; revenue expenditures,2011-01-21 19:37:23.705000,2011-01-21 19:37:23.705000,bill,
az,49th-1st-regular,lower,HB 2013,community colleges; nonresidents; reimbursement,2011-01-21 19:37:23.711000,2011-01-21 19:37:23.711000,bill,
az,49th-1st-regular,lower,HB 2014,municipalities; exchange of real property,2011-01-21 19:37:23.722000,2011-01-21 19:37:23.722000,bill,
az,49th-1st-regular,lower,HB 2015,county retiree health insurance,2011-01-21 19:37:23.727000,2011-01-21 19:37:23.727000,bill,
az,49th-1st-regular,lower,HB 2016,interpreters; licensure; exemption,2011-01-21 19:37:23.730000,2011-01-21 19:37:23.730000,bill,
az,49th-1st-regular,lower,HB 2017,state personnel board; members,2011-01-21 19:37:23.732000,2011-01-21 19:37:23.732000,bill,
az,49th-1st-regular,lower,HB 2018,writ fee; collection; courts,2011-01-21 19:37:23.746000,2011-01-21 19:37:23.746000,bill,
az,49th-1st-regular,lower,HB 2019,state personnel; technical correction,2011-01-21 19:37:23.755000,2011-01-21 19:37:23.755000,bill,
az,49th-1st-regular,lower,HB 2020,state employees; recognition; technical correction,2011-01-21 19:37:23.757000,2011-01-21 19:37:23.757000,bill,
az,49th-1st-regular,lower,HB 2021,state institutions; technical correction,2011-01-21 19:37:23.760000,2011-01-21 19:37:23.760000,bill,
az,49th-1st-regular,lower,HB 2022,forfeiture of office; technical correction,2011-01-21 19:37:23.762000,2011-01-21 19:37:23.762000,bill,
az,49th-1st-regular,lower,HB 2023,technical correction; state facilities,2011-01-21 19:37:23.764000,2011-01-21 19:37:23.764000,bill,
az,49th-1st-regular,lower,HB 2024,law enforcement; duty fitness examination,2011-01-21 19:37:23.768000,2011-01-21 19:37:23.768000,bill,
az,49th-1st-regular,lower,HB 2025,insurance; fraud unit,2011-01-21 19:37:23.770000,2011-01-21 19:37:23.770000,bill,
az,49th-1st-regular,lower,HB 2026,peace officers; firearms; school grounds,2011-01-21 19:37:23.773000,2011-01-21 19:37:23.773000,bill,
az,49th-1st-regular,lower,HB 2027,weapons; peace officers; posse; reserves.,2011-01-21 19:37:23.786000,2011-01-21 19:37:23.786000,bill,
az,49th-1st-regular,lower,HB 2028,jury duty; motor vehicle parking,2011-01-21 19:37:23.794000,2011-01-21 19:37:23.794000,bill,
az,49th-1st-regular,lower,HB 2029,school districts; liability; immunity waiver,2011-01-21 19:37:23.803000,2011-01-21 19:37:23.803000,bill,
az,49th-1st-regular,lower,HB 2030,driver license requirements; violation; classification,2011-01-21 19:37:23.806000,2011-01-21 19:37:23.806000,bill,
az,49th-1st-regular,lower,HB 2031,schools; contractors; fingerprint clearance cards,2011-01-21 19:37:23.819000,2011-01-21 19:37:23.819000,bill,
az,49th-1st-regular,lower,HB 2032,vendors; government contracts; personal information,2011-01-21 19:37:23.822000,2011-01-21 19:37:23.822000,bill,
az,49th-1st-regular,lower,HB 2033,city elections; runoff; vote total,2011-01-21 19:37:23.840000,2011-01-21 19:37:23.840000,bill,
az,49th-1st-regular,lower,HB 2034,technical correction; ambulances,2011-01-21 19:37:23.849000,2011-01-21 19:37:23.849000,bill,
az,49th-1st-regular,lower,HB 2035,technical correction; insurance; existing actions,2011-01-21 19:37:23.852000,2011-01-21 19:37:23.852000,bill,
az,49th-1st-regular,lower,HB 2036,technical correction; financial responsibility; verification,2011-01-21 19:37:23.854000,2011-01-21 19:37:23.854000,bill,
az,49th-1st-regular,lower,HB 2037,technical correction; insurance; uniform plans,2011-01-21 19:37:23.856000,2011-01-21 19:37:23.856000,bill,
az,49th-1st-regular,lower,HB 2038,technical correction; children,2011-01-21 19:37:23.858000,2011-01-21 19:37:23.858000,bill,
az,49th-1st-regular,lower,HB 2039,technical correction; public health,2011-01-21 19:37:23.861000,2011-01-21 19:37:23.861000,bill,
az,49th-1st-regular,lower,HB 2040,technical correction; food standards,2011-01-21 19:37:23.864000,2011-01-21 19:37:23.864000,bill,
az,49th-1st-regular,lower,HB 2041,technical correction; AHCCCS; capitation rates,2011-01-21 19:37:23.876000,2011-01-21 19:37:23.876000,bill,
az,49th-1st-regular,lower,HB 2042,loan originator fees; DFI funds.,2011-01-21 19:37:23.884000,2011-01-21 19:37:23.884000,bill,
az,49th-1st-regular,lower,HB 2043,corporations and LLC omnibus,2011-01-21 19:37:23.889000,2011-01-21 19:37:23.889000,bill,
az,49th-1st-regular,lower,HB 2044,election dates; technical correction,2011-01-21 19:37:23.891000,2011-01-21 19:37:23.891000,bill,
az,49th-1st-regular,lower,HB 2045,constables; jurisdiction,2011-01-21 19:37:23.896000,2011-01-21 19:37:23.896000,bill,
az,49th-1st-regular,lower,HB 2046,used tire disposal; fire code,2011-01-21 19:37:23.898000,2011-01-21 19:37:23.898000,bill,
az,49th-1st-regular,lower,HB 2047,workers' compensation; technical correction,2011-01-21 19:37:23.901000,2011-01-21 19:37:23.901000,bill,
az,49th-1st-regular,lower,HB 2048,local elections; signature requirements,2011-01-21 19:37:23.922000,2011-01-21 19:37:23.922000,bill,
az,49th-1st-regular,lower,HB 2049,exchange teachers; technical correction,2011-01-21 19:37:23.935000,2011-01-21 19:37:23.935000,bill,
