leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
AZL000005,member,49,25,upper,az,Democratic,,,,,
AZL000003,member,49,8,upper,az,Republican,,,,,
AZL000007,member,49,6,upper,az,Republican,,,,,
AZL000009,member,49,9,upper,az,Republican,,,,,
AZL000081,member,49,10,lower,az,Republican,,,,,2010-05-27 00:00:00
AZL000091,member,49,20,lower,az,Democratic,,,,,
AZL000097,member,49,26,lower,az,Democratic,,,,,
AZL000008,member,49,7,upper,az,Republican,,,,,
AZL000013,member,49,27,upper,az,Democratic,,,,,
AZL000195,member,51,29,lower,az,Independent,,,,,2013-01-10 00:00:00
AZL000195,member,50,29,lower,az,Independent,,,,,
AZL000042,member,49,4,lower,az,Republican,,,,,
AZL000044,member,49,5,lower,az,Democratic,,,,,
AZL000048,member,49,16,lower,az,Democratic,,,,,
AZL000052,member,49,6,lower,az,Republican,,,,,2010-02-01 00:00:00
AZL000053,member,49,2,lower,az,Democratic,,,,,
AZL000056,member,49,25,lower,az,Democratic,,,,,
AZL000057,member,49,13,lower,az,Democratic,,,,,
AZL000061,member,49,22,lower,az,Republican,,,,,
AZL000064,member,49,5,lower,az,Republican,,,,,
AZL000066,member,49,27,lower,az,Democratic,,,,,
AZL000068,member,49,1,lower,az,Republican,,,,,
AZL000074,member,49,16,lower,az,Democratic,,,,,
AZL000077,member,49,21,lower,az,Republican,,,,,
AZL000131,member,50,17,lower,az,Democratic,,,,,
AZL000131,committee member,50,,lower,az,,AZC000021,Government,,,
AZL000131,committee member,50,,lower,az,,AZC000043,"Higher Education, Innovation and Reform",,,
AZL000036,member,50,19,lower,az,Republican,,,,,2011-04-28 00:00:00
AZL000036,member,49,19,lower,az,Republican,,,,,
AZL000026,member,50,13,lower,az,Democratic,,,,,2012-02-20 00:00:00
AZL000026,member,49,13,upper,az,Democratic,,,,,
AZL000029,member,50,18,upper,az,Republican,,,,,2011-11-21 00:00:00
AZL000029,member,49,18,upper,az,Republican,,,,,
AZL000002,member,50,15,upper,az,Democratic,,,,,2012-01-03 00:00:00
AZL000002,member,49,24,upper,az,Democratic,,,,,
AZL000010,member,49,17,upper,az,Democratic,,,,,
AZL000011,member,49,15,upper,az,Democratic,,,,,
AZL000012,member,49,27,upper,az,Democratic,,,,,2010-10-15 00:00:00
AZL000014,member,49,6,upper,az,Republican,,,,,2010-01-25 00:00:00
AZL000016,member,49,19,upper,az,Republican,,,,,
AZL000020,member,49,20,upper,az,Republican,,,,,
AZL000032,member,49,21,upper,az,Republican,,,,,
AZL000039,member,49,7,lower,az,Republican,,,,,
AZL000004,member,51,5,upper,az,Republican,,,,,2013-01-10 00:00:00
AZL000004,committee member,51,,upper,az,,AZC000001,Appropriations,,,
AZL000004,committee member,51,,upper,az,,AZC000032,"Border Security, Federalism and States Sovereignty",,,
AZL000004,committee member,51,,upper,az,,AZC000035,Education,,,
AZL000004,committee member,51,,upper,az,,AZC000011,Rules,,,
AZL000004,committee member,51,,upper,az,,AZC000038,"Water, Land Use and Rural Development",,,
