state,session,chamber,bill_id,type,name,leg_id
ca,20092010,lower,AB 1,primary,Monning,CAL000107
ca,20092010,lower,AB 10,primary,Hagman,CAL000092
ca,20092010,lower,AB 100,primary,Price,CAL000040
ca,20092010,lower,AB 1000,primary,Ma,CAL000070
ca,20092010,lower,AB 1000,primary,Skinner,CAL000058
ca,20092010,lower,AB 1000,cosponsor,Hill,CAL000083
ca,20092010,lower,AB 1001,primary,Skinner,CAL000058
ca,20092010,lower,AB 1001,primary,Ma,CAL000070
ca,20092010,lower,AB 1002,primary,Fong,CAL000084
ca,20092010,lower,AB 1002,primary,Ma,CAL000070
ca,20092010,lower,AB 1003,primary,John A. Perez,CAL000089
ca,20092010,lower,AB 1004,primary,Portantino,CAL000071
ca,20092010,lower,AB 1005,primary,Block,CAL000044
ca,20092010,lower,AB 1006,primary,Buchanan,CAL000059
ca,20092010,lower,AB 1006,cosponsor,Huber,CAL000063
ca,20092010,lower,AB 1006,cosponsor,Portantino,CAL000071
ca,20092010,lower,AB 1007,primary,Carter,CAL000061
ca,20092010,lower,AB 1008,primary,Block,CAL000044
ca,20092010,lower,AB 1009,primary,V. Manuel Perez,CAL000098
ca,20092010,lower,AB 101,primary,Anderson,CAL000116
ca,20092010,lower,AB 1010,primary,Galgiani,CAL000062
ca,20092010,lower,AB 1011,primary,Jones,CAL000076
ca,20092010,lower,AB 1012,primary,V. Manuel Perez,CAL000098
ca,20092010,lower,AB 1012,primary,Bradford,CAL000111
ca,20092010,lower,AB 1012,primary,Skinner,CAL000058
ca,20092010,lower,AB 1013,primary,Block,CAL000044
ca,20092010,lower,AB 1014,primary,Galgiani,CAL000062
ca,20092010,lower,AB 1015,primary,Torlakson,CAL000048
ca,20092010,lower,AB 1015,cosponsor,John A. Perez,CAL000089
ca,20092010,lower,AB 1015,cosponsor,V. Manuel Perez,CAL000098
ca,20092010,lower,AB 1016,primary,Villines,CAL000075
ca,20092010,lower,AB 1016,cosponsor,Adams,CAL000119
ca,20092010,lower,AB 1016,cosponsor,Bill Berryhill,CAL000106
ca,20092010,lower,AB 1016,cosponsor,Emmerson,CAL000041
ca,20092010,lower,AB 1016,cosponsor,Fletcher,CAL000082
ca,20092010,lower,AB 1016,cosponsor,Gaines,CAL000102
ca,20092010,lower,AB 1016,cosponsor,Gilmore,CAL000064
ca,20092010,lower,AB 1016,cosponsor,Hagman,CAL000092
ca,20092010,lower,AB 1016,cosponsor,Harkey,CAL000045
ca,20092010,lower,AB 1016,cosponsor,Jeffries,CAL000093
ca,20092010,lower,AB 1016,cosponsor,Knight,CAL000065
ca,20092010,lower,AB 1016,cosponsor,Miller,CAL000095
ca,20092010,lower,AB 1016,cosponsor,Niello,CAL000053
ca,20092010,lower,AB 1016,cosponsor,Smyth,CAL000074
ca,20092010,lower,AB 1017,primary,Portantino,CAL000071
ca,20092010,lower,AB 1017,primary,Brownley,CAL000109
ca,20092010,lower,AB 1017,cosponsor,Blumenfield,CAL000088
ca,20092010,lower,AB 1017,cosponsor,Fuentes,CAL000121
ca,20092010,lower,AB 1017,cosponsor,Lieu,CAL000072
ca,20092010,lower,AB 1017,cosponsor,Salas,CAL000097
ca,20092010,lower,AB 1017,cosponsor,Skinner,CAL000058
ca,20092010,lower,AB 1018,primary,Hill,CAL000083
ca,20092010,lower,AB 1019,primary,Beall,CAL000051
ca,20092010,lower,AB 1019,cosponsor,Torlakson,CAL000048
ca,20092010,lower,AB 102,primary,Smyth,CAL000074
ca,20092010,lower,AB 1020,primary,Emmerson,CAL000041
ca,20092010,lower,AB 1020,primary,Ma,CAL000070
ca,20092010,lower,AB 1021,primary,Emmerson,CAL000041
ca,20092010,lower,AB 1022,primary,Nava,CAL000060
ca,20092010,lower,AB 1022,primary,Cook,CAL000114
ca,20092010,lower,AB 1023,primary,Ruskin,CAL000079
ca,20092010,lower,AB 1024,primary,Harkey,CAL000045
ca,20092010,lower,AB 1025,primary,Conway,CAL000108
ca,20092010,lower,AB 1026,primary,Nestande,CAL000081
ca,20092010,lower,AB 1027,primary,Blumenfield,CAL000088
ca,20092010,lower,AB 1028,primary,Blumenfield,CAL000088
ca,20092010,lower,AB 1029,primary,Blumenfield,CAL000088
ca,20092010,lower,AB 103,primary,De Leon,CAL000057
ca,20092010,lower,AB 103,cosponsor,Ammiano,CAL000104
ca,20092010,lower,AB 103,cosponsor,Block,CAL000044
ca,20092010,lower,AB 103,cosponsor,Brownley,CAL000109
ca,20092010,lower,AB 103,cosponsor,Evans,CAL000077
ca,20092010,lower,AB 103,cosponsor,Huffman,CAL000043
ca,20092010,lower,AB 103,cosponsor,Niello,CAL000053
ca,20092010,lower,AB 103,cosponsor,John A. Perez,CAL000089
ca,20092010,lower,AB 103,cosponsor,Price,CAL000040
ca,20092010,lower,AB 103,cosponsor,Yamada,CAL000099
ca,20092010,lower,AB 1030,primary,Blumenfield,CAL000088
ca,20092010,lower,AB 1031,primary,Blumenfield,CAL000088
ca,20092010,lower,AB 1032,primary,Blumenfield,CAL000088
ca,20092010,lower,AB 1032,cosponsor,Beall,CAL000051
ca,20092010,lower,AB 1032,cosponsor,Block,CAL000044
ca,20092010,lower,AB 1032,cosponsor,Huber,CAL000063
ca,20092010,lower,AB 1032,cosponsor,Logue,CAL000042
ca,20092010,lower,AB 1032,cosponsor,V. Manuel Perez,CAL000098
ca,20092010,lower,AB 1032,cosponsor,Salas,CAL000097
ca,20092010,lower,AB 1033,primary,Nielsen,CAL000103
ca,20092010,lower,AB 1034,primary,Huffman,CAL000043
ca,20092010,lower,AB 1035,cosponsor,Adams,CAL000119
ca,20092010,lower,AB 1035,cosponsor,Fuller,CAL000087
ca,20092010,lower,AB 1035,cosponsor,Garrick,CAL000069
ca,20092010,lower,AB 1035,cosponsor,Jeffries,CAL000093
ca,20092010,lower,AB 1035,cosponsor,Miller,CAL000095
ca,20092010,lower,AB 1035,cosponsor,Nestande,CAL000081
ca,20092010,lower,AB 1035,cosponsor,Niello,CAL000053
ca,20092010,lower,AB 1035,cosponsor,Nielsen,CAL000103
ca,20092010,lower,AB 1035,primary,DeVore,CAL000047
ca,20092010,lower,AB 1035,cosponsor,Silva,CAL000094
ca,20092010,lower,AB 1035,cosponsor,Smyth,CAL000074
ca,20092010,lower,AB 1036,primary,Niello,CAL000053
ca,20092010,lower,AB 1037,primary,Bonnie Lowenthal,CAL000080
ca,20092010,lower,AB 1037,cosponsor,Torres,CAL000113
ca,20092010,lower,AB 1038,primary,Furutani,CAL000073
ca,20092010,lower,AB 1039,primary,Audra Strickland,CAL000067
ca,20092010,lower,AB 104,primary,Charles Calderon,
ca,20092010,lower,AB 1040,primary,Audra Strickland,CAL000067
ca,20092010,lower,AB 1041,primary,Audra Strickland,CAL000067
ca,20092010,lower,AB 1042,primary,Carter,CAL000061
ca,20092010,lower,AB 1043,primary,Fong,CAL000084
ca,20092010,lower,AB 1044,primary,Jones,CAL000076
ca,20092010,lower,AB 1045,primary,John A. Perez,CAL000089
ca,20092010,lower,AB 1046,primary,Anderson,CAL000116
ca,20092010,lower,AB 1046,primary,Gilmore,CAL000064
ca,20092010,lower,AB 1046,primary,Lieu,CAL000072
ca,20092010,lower,AB 1047,primary,V. Manuel Perez,CAL000098
ca,20092010,lower,AB 1048,primary,Torrico,CAL000078
ca,20092010,lower,AB 1048,cosponsor,Blumenfield,CAL000088
ca,20092010,lower,AB 1048,cosponsor,Buchanan,CAL000059
ca,20092010,lower,AB 1048,cosponsor,De Leon,CAL000057
ca,20092010,lower,AB 1048,cosponsor,DeVore,CAL000047
ca,20092010,lower,AB 1048,cosponsor,Fletcher,CAL000082
ca,20092010,lower,AB 1048,cosponsor,Fuentes,CAL000121
ca,20092010,lower,AB 1048,cosponsor,Harkey,CAL000045
ca,20092010,lower,AB 1048,cosponsor,Krekorian,CAL000100
ca,20092010,lower,AB 1048,cosponsor,Ma,CAL000070
ca,20092010,lower,AB 1048,cosponsor,Nielsen,CAL000103
ca,20092010,lower,AB 1048,cosponsor,V. Manuel Perez,CAL000098
ca,20092010,lower,AB 1048,cosponsor,Salas,CAL000097
ca,20092010,lower,AB 1048,cosponsor,Silva,CAL000094
ca,20092010,lower,AB 1048,cosponsor,Skinner,CAL000058
ca,20092010,lower,AB 1048,cosponsor,Audra Strickland,CAL000067
ca,20092010,lower,AB 1049,primary,Torrico,CAL000078
ca,20092010,lower,AB 1049,cosponsor,Beall,CAL000051
ca,20092010,lower,AB 1049,cosponsor,Caballero,CAL000066
ca,20092010,lower,AB 1049,cosponsor,Coto,CAL000054
ca,20092010,lower,AB 1049,cosponsor,DeVore,CAL000047
ca,20092010,lower,AB 1049,cosponsor,Fletcher,CAL000082
ca,20092010,lower,AB 1049,cosponsor,Fuentes,CAL000121
ca,20092010,lower,AB 1049,cosponsor,Gilmore,CAL000064
ca,20092010,lower,AB 1049,cosponsor,Harkey,CAL000045
ca,20092010,lower,AB 1049,cosponsor,Jeffries,CAL000093
ca,20092010,lower,AB 1049,cosponsor,Krekorian,CAL000100
ca,20092010,lower,AB 1049,cosponsor,Ma,CAL000070
ca,20092010,lower,AB 1049,cosponsor,Nielsen,CAL000103
ca,20092010,lower,AB 1049,cosponsor,Portantino,CAL000071
ca,20092010,lower,AB 1049,cosponsor,Solorio,CAL000052
ca,20092010,lower,AB 1049,cosponsor,Swanson,CAL000105
ca,20092010,lower,AB 105,primary,Evans,CAL000077
ca,20092010,lower,AB 1050,primary,Ma,CAL000070
ca,20092010,lower,AB 1051,primary,Fletcher,CAL000082
ca,20092010,lower,AB 1052,primary,Caballero,CAL000066
ca,20092010,lower,AB 1053,primary,Solorio,CAL000052
ca,20092010,lower,AB 1054,primary,Coto,CAL000054
ca,20092010,lower,AB 1055,primary,Chesbro,CAL000101
ca,20092010,lower,AB 1056,primary,Tom Berryhill,CAL000085
ca,20092010,lower,AB 1057,primary,Galgiani,CAL000062
ca,20092010,lower,AB 1057,primary,Beall,CAL000051
ca,20092010,lower,AB 1058,primary,Beall,CAL000051
ca,20092010,lower,AB 1058,primary,Fuentes,CAL000121
ca,20092010,lower,AB 1059,primary,Silva,CAL000094
ca,20092010,lower,AB 106,primary,Price,CAL000040
ca,20092010,lower,AB 1060,primary,De La Torre,CAL000056
ca,20092010,lower,AB 1061,primary,Lieu,CAL000072
ca,20092010,lower,AB 1061,cosponsor,Bill Berryhill,CAL000106
ca,20092010,lower,AB 1061,cosponsor,Huffman,CAL000043
ca,20092010,lower,AB 1061,cosponsor,Jeffries,CAL000093
ca,20092010,lower,AB 1061,cosponsor,Jones,CAL000076
ca,20092010,lower,AB 1061,cosponsor,Salas,CAL000097
ca,20092010,lower,AB 1061,cosponsor,Skinner,CAL000058
ca,20092010,lower,AB 1062,primary,Garrick,CAL000069
ca,20092010,lower,AB 1063,primary,Garrick,CAL000069
ca,20092010,lower,AB 1064,primary,Garrick,CAL000069
ca,20092010,lower,AB 1065,primary,Gilmore,CAL000064
ca,20092010,lower,AB 1066,primary,Mendoza,CAL000091
ca,20092010,lower,AB 1066,primary,Nielsen,CAL000103
ca,20092010,lower,AB 1066,cosponsor,Coto,CAL000054
ca,20092010,lower,AB 1066,cosponsor,Gaines,CAL000102
ca,20092010,lower,AB 1066,cosponsor,Harkey,CAL000045
ca,20092010,lower,AB 1066,cosponsor,Huber,CAL000063
ca,20092010,lower,AB 1066,cosponsor,Solorio,CAL000052
ca,20092010,lower,AB 1066,cosponsor,Villines,CAL000075
ca,20092010,lower,AB 1067,primary,Brownley,CAL000109
ca,20092010,lower,AB 1068,primary,Saldana,CAL000115
ca,20092010,lower,AB 1069,primary,Monning,CAL000107
ca,20092010,lower,AB 107,primary,Galgiani,CAL000062
ca,20092010,lower,AB 107,primary,Conway,CAL000108
ca,20092010,lower,AB 107,cosponsor,Blumenfield,CAL000088
ca,20092010,lower,AB 107,cosponsor,Gilmore,CAL000064
ca,20092010,lower,AB 107,cosponsor,Jeffries,CAL000093
ca,20092010,lower,AB 107,cosponsor,Portantino,CAL000071
ca,20092010,lower,AB 1070,primary,Hill,CAL000083
ca,20092010,lower,AB 1071,primary,Emmerson,CAL000041
ca,20092010,lower,AB 1072,primary,Eng,CAL000050
ca,20092010,lower,AB 1073,primary,Nestande,CAL000081
ca,20092010,lower,AB 1074,primary,Conway,CAL000108
ca,20092010,lower,AB 1075,primary,Nava,CAL000060
ca,20092010,lower,AB 1076,primary,Jones,CAL000076
ca,20092010,lower,AB 1077,primary,Anderson,CAL000116
ca,20092010,lower,AB 1078,primary,Feuer,CAL000110
ca,20092010,lower,AB 1079,primary,V. Manuel Perez,CAL000098
ca,20092010,lower,AB 1079,cosponsor,Blumenfield,CAL000088
ca,20092010,lower,AB 1079,cosponsor,Chesbro,CAL000101
ca,20092010,lower,AB 1079,cosponsor,Portantino,CAL000071
ca,20092010,lower,AB 1079,cosponsor,Salas,CAL000097
ca,20092010,lower,AB 108,primary,Hayashi,CAL000117
