leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
CAL000004,member,20092010,4,upper,ca,Republican,,,,,
CAL000012,member,20092010,15,upper,ca,Republican,,,,,
CAL000013,member,20092010,17,upper,ca,Republican,,,,,
CAL000013,member,20112012,17,upper,ca,Republican,,,,,2010-12-20 00:00:00
CAL000014,member,20092010,18,upper,ca,Republican,,,,,
CAL000019,member,20092010,24,upper,ca,Democratic,,,,,
CAL000021,member,20092010,28,upper,ca,Democratic,,,,,
CAL000001,member,20092010,1,upper,ca,Republican,,,,,
CAL000002,member,20092010,2,upper,ca,Democratic,,,,,
CAL000011,member,20092010,14,upper,ca,Republican,,,,,
CAL000017,member,20092010,22,upper,ca,Democratic,,,,,
CAL000017,member,20112012,45,lower,ca,Democratic,,,,,
CAL000017,committee member,20112012,,lower,ca,,CAC000318,Standing Committee on Budget,,,
CAL000017,committee member,20112012,,lower,ca,,CAC000335,Standing Committee on Public Safety,,,
CAL000017,committee member,20112012,,lower,ca,,CAC000039,Select Committee on Community Colleges,,,
CAL000017,committee member,20112012,,lower,ca,,CAC000208,Select Committee on Immigration and the Economy,,,
CAL000017,committee member,20112012,,lower,ca,,CAC000414,Standing Committee on Budget,Subcommittee No. 5 on Public Safety,,
CAL000017,committee member,20112012,,lower,ca,,CAC000415,Standing Committee on Budget,Subcommittee No. 6 on Budget Process Oversight & Program Evaluation,,
CAL000023,member,20092010,31,upper,ca,Republican,,,,,
CAL000023,member,20112012,31,upper,ca,Republican,,,,,
CAL000023,committee member,20112012,,upper,ca,,CAC000270,Standing Committee on Appropriations,,,
CAL000023,committee member,20112012,,upper,ca,,CAC000278,Standing Committee on Governance and Finance,,,
CAL000023,committee member,20112012,,upper,ca,,CAC000289,Standing Committee on Rules,,,
CAL000023,committee member,20112012,,upper,ca,,CAC000418,Select Committee on Autism and Related Disorders,,,
CAL000023,committee member,20112012,,upper,ca,,CAC000236,Select Committee on California Job Creation and Retention,,,
CAL000023,committee member,20112012,,upper,ca,,CAC000268,Select Committee on California-Mexico Cooperation,,,
CAL000023,committee member,20112012,,upper,ca,,CAC000421,Select Committee on Charity Care and Non-Profit Hospitals,,,
CAL000023,committee member,20112012,,upper,ca,,CAC000246,Select Committee on Procurement,,,
CAL000023,committee member,20112012,,upper,ca,,CAC000254,Select Committee on Small Business and the Underground Economy,,,
CAL000023,committee member,20112012,,upper,ca,,CAC000422,Select Committee on The Alameda Corridor,,,
CAL000023,committee member,20112012,,joint,ca,,CAC000357,Joint Committee on Emergency Management,,,
CAL000023,committee member,20112012,,joint,ca,,CAC000359,Joint Committee on Joint Rules,,,
CAL000023,committee member,20112012,,joint,ca,,CAC000360,Joint Legislative Audit Committee,,,
CAL000043,member,20092010,6,lower,ca,Democratic,,,,,
CAL000043,member,20112012,6,lower,ca,Democratic,,,,,
CAL000043,committee member,20112012,,joint,ca,,CAC000110,Joint Committee on Fisheries and Aquaculture,,,
CAL000043,committee member,20112012,,lower,ca,,CAC000318,Standing Committee on Budget,,,
CAL000043,committee member,20112012,,lower,ca,,CAC000333,Standing Committee on Natural Resources,,,
CAL000043,committee member,20112012,,lower,ca,,CAC000341,"Standing Committee on Water, Parks and Wildlife",,,
CAL000043,committee member,20112012,,lower,ca,,CAC000217,Select Committee on Delinquency Prevention and Youth Development,,,
CAL000043,committee member,20112012,,lower,ca,,CAC000045,Select Committee on High Speed Rail for California,,,
CAL000043,committee member,20112012,,lower,ca,,CAC000344,Select Committee on Regional Approaches to Addressing the State’s Water Crisis,,,
CAL000043,committee member,20112012,,lower,ca,,CAC000345,Select Committee on Revitalization of the Los Angles River and Pacoima Wash,,,
CAL000043,committee member,20112012,,lower,ca,,CAC000067,Select Committee on Wine,,,
CAL000043,committee member,20112012,,lower,ca,,CAC000412,Standing Committee on Budget,Subcommittee No. 3 on Resources and Transportation,,
CAL000043,committee member,20112012,,lower,ca,,CAC000415,Standing Committee on Budget,Subcommittee No. 6 on Budget Process Oversight & Program Evaluation,,
CAL000047,member,20092010,70,lower,ca,Republican,,,,,
CAL000048,member,20092010,11,lower,ca,Democratic,,,,,
CAL000050,member,20092010,49,lower,ca,Democratic,,,,,
CAL000050,member,20112012,49,lower,ca,Democratic,,,,,
CAL000050,committee member,20112012,,lower,ca,,CAC000320,Standing Committee on Education,,,
CAL000050,committee member,20112012,,lower,ca,,CAC000324,Standing Committee on Health,,,
CAL000050,committee member,20112012,,lower,ca,,CAC000337,Standing Committee on Rules,,,
CAL000050,committee member,20112012,,lower,ca,,CAC000338,Standing Committee on Transportation,,,
CAL000050,committee member,20112012,,lower,ca,,CAC000045,Select Committee on High Speed Rail for California,,,
CAL000050,committee member,20112012,,lower,ca,,CAC000208,Select Committee on Immigration and the Economy,,,
CAL000050,committee member,20112012,,lower,ca,,CAC000048,Select Committee on Inland Empire Transportation Issues,,,
CAL000050,committee member,20112012,,lower,ca,,CAC000055,Select Committee on Procurement,,,
CAL000050,committee member,20112012,,lower,ca,,CAC000259,Select Committee on State School Financial Takeovers,,,
CAL000050,committee member,20112012,,lower,ca,,CAC000068,Select Committee on Workforce Development within the Developmentally Disabled Community,,,
CAL000050,committee member,20112012,,lower,ca,,CAC000416,Standing Committee on Rules,Sexual Harassment Prevention and Response,,
CAL000052,member,20092010,69,lower,ca,Democratic,,,,,
CAL000052,member,20112012,69,lower,ca,Democratic,,,,,
CAL000052,committee member,20112012,,lower,ca,,CAC000315,Standing Committee on Appropriations,,,
CAL000052,committee member,20112012,,lower,ca,,CAC000338,Standing Committee on Transportation,,,
CAL000052,committee member,20112012,,lower,ca,,CAC000034,Select Committee on Biotechnology,,,
CAL000052,committee member,20112012,,lower,ca,,CAC000217,Select Committee on Delinquency Prevention and Youth Development,,,
CAL000052,committee member,20112012,,lower,ca,,CAC000045,Select Committee on High Speed Rail for California,,,
CAL000052,committee member,20112012,,lower,ca,,CAC000342,Select Committee on Post-Secondary Access and Matriculation,,,
CAL000052,committee member,20112012,,lower,ca,,CAC000344,Select Committee on Regional Approaches to Addressing the State’s Water Crisis,,,
CAL000053,member,20092010,5,lower,ca,Republican,,,,,
CAL000054,member,20092010,23,lower,ca,Democratic,,,,,
CAL000056,member,20092010,50,lower,ca,Democratic,,,,,
CAL000060,member,20092010,35,lower,ca,Democratic,,,,,
CAL000061,member,20092010,62,lower,ca,Democratic,,,,,
CAL000061,member,20112012,62,lower,ca,Democratic,,,,,
CAL000061,committee member,20112012,,joint,ca,,CAC000359,Joint Committee on Joint Rules,,,
CAL000061,committee member,20112012,,lower,ca,,CAC000316,"Standing Committee on Arts, Entertainment, Sports, Tourism, and Internet Media",,,
CAL000061,committee member,20112012,,lower,ca,,CAC000320,Standing Committee on Education,,,
CAL000061,committee member,20112012,,lower,ca,,CAC000328,Standing Committee on Insurance,,,
CAL000061,committee member,20112012,,lower,ca,,CAC000337,Standing Committee on Rules,,,
CAL000061,committee member,20112012,,lower,ca,,CAC000257,Select Committee on 9-1-1 Service and Public Safety Communications,,,
CAL000061,committee member,20112012,,lower,ca,,CAC000048,Select Committee on Inland Empire Transportation Issues,,,
CAL000061,committee member,20112012,,lower,ca,,CAC000342,Select Committee on Post-Secondary Access and Matriculation,,,
CAL000061,committee member,20112012,,lower,ca,,CAC000344,Select Committee on Regional Approaches to Addressing the State’s Water Crisis,,,
CAL000061,committee member,20112012,,lower,ca,,CAC000416,Standing Committee on Rules,Sexual Harassment Prevention and Response,,
CAL000064,member,20092010,30,lower,ca,Republican,,,,,
CAL000066,member,20092010,28,lower,ca,Democratic,,,,,
CAL000067,member,20092010,37,lower,ca,Republican,,,,,
CAL000068,member,20092010,47,lower,ca,Democratic,,,,,
CAL000069,member,20092010,74,lower,ca,Republican,,,,,
CAL000069,member,20112012,74,lower,ca,Republican,,,,,
CAL000069,committee member,20112012,,lower,ca,,CAC000312,Standing Committee on Accountability and Administrative Review,,,
CAL000069,committee member,20112012,,lower,ca,,CAC000323,Standing Committee on Governmental Organization,,,
CAL000069,committee member,20112012,,lower,ca,,CAC000324,Standing Committee on Health,,,
CAL000069,committee member,20112012,,lower,ca,,CAC000036,Select Committee on Career Technical Education and Workforce Development,,,
CAL000069,committee member,20112012,,lower,ca,,CAC000210,"Select Committee on San Diego Trade, Tourism and Job Creation",,,
CAL000073,member,20092010,55,lower,ca,Democratic,,,,,
CAL000073,member,20112012,55,lower,ca,Democratic,,,,,
CAL000073,committee member,20112012,,lower,ca,,CAC000331,Standing Committee on Labor and Employment,,,
CAL000073,committee member,20112012,,lower,ca,,CAC000334,"Standing Committee on Public Employees, Retirement and Social Security",,,
CAL000073,committee member,20112012,,lower,ca,,CAC000337,Standing Committee on Rules,,,
CAL000073,committee member,20112012,,lower,ca,,CAC000338,Standing Committee on Transportation,,,
CAL000073,committee member,20112012,,lower,ca,,CAC000036,Select Committee on Career Technical Education and Workforce Development,,,
CAL000073,committee member,20112012,,lower,ca,,CAC000039,Select Committee on Community Colleges,,,
CAL000073,committee member,20112012,,lower,ca,,CAC000053,Select Committee on Ports,,,
CAL000073,committee member,20112012,,lower,ca,,CAC000346,Select Committee on Status of Boys and Men of Color in California,,,
CAL000073,committee member,20112012,,lower,ca,,CAC000416,Standing Committee on Rules,Sexual Harassment Prevention and Response,,
CAL000078,member,20092010,20,lower,ca,Democratic,,,,,
CAL000096,member,20092010,72,lower,ca,Republican,,,,,
CAL000096,member,20112012,72,lower,ca,Republican,,,,,
CAL000096,committee member,20112012,,joint,ca,,CAC000360,Joint Legislative Audit Committee,,,
CAL000096,committee member,20112012,,lower,ca,,CAC000315,Standing Committee on Appropriations,,,
CAL000096,committee member,20112012,,lower,ca,,CAC000320,Standing Committee on Education,,,
CAL000096,committee member,20112012,,lower,ca,,CAC000332,Standing Committee on Local Government,,,
CAL000096,committee member,20112012,,lower,ca,,CAC000338,Standing Committee on Transportation,,,
CAL000096,committee member,20112012,,lower,ca,,CAC000342,Select Committee on Post-Secondary Access and Matriculation,,,
CAL000122,member,20092010,72,lower,ca,Republican,,,,,
CAL000029,member,20092010,37,upper,ca,Republican,,,,,
CAL000032,member,20092010,12,upper,ca,Republican,,,,,
CAL000063,member,20092010,10,lower,ca,Democratic,,,,,
CAL000063,member,20112012,10,lower,ca,Democratic,,,,,
CAL000063,committee member,20112012,,joint,ca,,CAC000360,Joint Legislative Audit Committee,,,
CAL000063,committee member,20112012,,lower,ca,,CAC000312,Standing Committee on Accountability and Administrative Review,,,
CAL000063,committee member,20112012,,lower,ca,,CAC000330,Standing Committee on Judiciary,,,
CAL000063,committee member,20112012,,lower,ca,,CAC000342,Select Committee on Post-Secondary Access and Matriculation,,,
CAL000063,committee member,20112012,,lower,ca,,CAC000067,Select Committee on Wine,,,
CAL000071,member,20092010,44,lower,ca,Democratic,,,,,
CAL000071,member,20112012,44,lower,ca,Democratic,,,,,
CAL000071,committee member,20112012,,lower,ca,,CAC000312,Standing Committee on Accountability and Administrative Review,,,
CAL000071,committee member,20112012,,lower,ca,,CAC000325,Standing Committee on Higher Education,,,
CAL000071,committee member,20112012,,lower,ca,,CAC000327,Standing Committee on Human Services,,,
CAL000071,committee member,20112012,,lower,ca,,CAC000338,Standing Committee on Transportation,,,
CAL000071,committee member,20112012,,lower,ca,,CAC000043,Select Committee on Foster Care,,,
CAL000071,committee member,20112012,,lower,ca,,CAC000343,Select Committee on Preservation of California’s Entertainment Industry,,,
CAL000071,committee member,20112012,,lower,ca,,CAC000346,Select Committee on Status of Boys and Men of Color in California,,,
CAL000071,committee member,20112012,,lower,ca,,CAC000347,Select Committee on The Continued Expansion of the University of California at Merced,,,
CAL000075,member,20092010,29,lower,ca,Republican,,,,,
CAL000076,member,20092010,9,lower,ca,Democratic,,,,,
CAL000079,member,20092010,21,lower,ca,Democratic,,,,,
CAL000090,member,20092010,48,lower,ca,Democratic,,,,,
CAL000090,member,20112012,48,lower,ca,Democratic,,,,,
