state,session,chamber,bill_id,date,action,actor,type
co,2011A,lower,HB 11-1001,2011-01-12 00:00:00,Introduced In House - Assigned to Judiciary,lower,bill:introduced|committee:referred
co,2011A,lower,HB 11-1001,2011-01-20 00:00:00,House Committee on Judiciary Refer Unamended to House Committee of the Whole,lower,committee:passed
co,2011A,lower,HB 11-1001,2011-01-25 00:00:00,House Second Reading Laid Over to 01/28/2011,lower,other
co,2011A,lower,HB 11-1001,2011-01-28 00:00:00,House Second Reading Passed,lower,bill:reading:2
co,2011A,lower,HB 11-1001,2011-01-31 00:00:00,House Third Reading Passed,lower,bill:reading:3
co,2011A,lower,HB 11-1001,2011-01-31 00:00:00,Introduced In Senate - Assigned to Judiciary,upper,bill:introduced|committee:referred
co,2011A,lower,HB 11-1001,2011-02-07 00:00:00,Senate Committee on Judiciary Refer Unamended - Consent Calendar to Senate Committee of the Whole,upper,committee:passed
co,2011A,lower,HB 11-1001,2011-02-10 00:00:00,Senate Second Reading Laid Over Daily,upper,other
co,2011A,lower,HB 11-1001,2011-02-11 00:00:00,Senate Second Reading Passed,upper,bill:reading:2
co,2011A,lower,HB 11-1001,2011-02-14 00:00:00,Senate Third Reading Passed,upper,bill:reading:3
co,2011A,lower,HB 11-1001,2011-02-18 00:00:00,Signed by the Speaker of the House,lower,other
co,2011A,lower,HB 11-1001,2011-02-21 00:00:00,Signed by the President of the Senate,upper,other
co,2011A,lower,HB 11-1001,2011-02-21 00:00:00,Sent to the Governor,joint,governor:received
co,2011A,lower,HB 11-1001,2011-03-01 00:00:00,Governor Action - Signed,governor,governor:signed
co,2011A,lower,HB 11-1002,2011-01-12 00:00:00,Introduced In House - Assigned to Transportation ,lower,bill:introduced|committee:referred
co,2011A,lower,HB 11-1002,2011-01-26 00:00:00,House Committee on Transportation  Refer Unamended to Appropriations,lower,committee:passed
co,2011A,lower,HB 11-1002,2011-02-11 00:00:00,House Committee on Appropriations Refer Amended to House Committee of the Whole,lower,committee:passed
