vote_id,leg_id,name,vote
COV00003020,COL000011,Brophy,yes
COV00003020,COL000020,Morse,yes
COV00003020,COL000031,Harvey,yes
COV00003020,COL000002,Hodge,yes
COV00003020,COL000032,Foster,yes
COV00003020,COL000005,Jahn,yes
COV00003020,COL000022,Renfroe,yes
COV00003020,COL000019,White,yes
COV00003020,COL000013,Grantham,yes
COV00003020,COL000006,Boyd,yes
COV00003020,COL000021,Cadman,yes
COV00003020,COL000018,Lambert,yes
COV00003020,COL000012,Giron,yes
COV00003020,COL000003,Newell,yes
COV00003020,COL000028,Hudak,yes
COV00003020,,President,yes
COV00003020,COL000009,Williams S.,yes
COV00003020,COL000023,King K.,yes
COV00003020,COL000015,Scheffel,yes
COV00003020,COL000007,Neville,yes
COV00003020,COL000024,Lundberg,yes
COV00003020,COL000035,Aguilar,yes
COV00003020,COL000010,Carroll,yes
COV00003020,COL000027,Nicholson,yes
COV00003020,COL000029,Heath,yes
COV00003020,COL000017,Roberts,yes
COV00003020,COL000001,Tochtrop,yes
COV00003020,COL000030,Steadman,yes
COV00003020,COL000034,Johnston,yes
COV00003020,COL000008,Mitchell,yes
COV00003020,COL000014,Schwartz,yes
COV00003020,COL000025,Bacon,yes
COV00003020,COL000033,Guzman,yes
COV00003020,COL000016,King S.,yes
COV00003020,COL000004,Spence,other
COV00000001,COL000011,Brophy,yes
COV00000001,COL000033,Guzman,yes
COV00000001,COL000005,Jahn,yes
COV00000001,COL000034,Johnston,yes
COV00000001,COL000023,King K.,yes
COV00000001,COL000012,Giron,yes
COV00000001,COL000015,Scheffel,other
COV00000002,COL000082,Jones,yes
COV00000002,COL000077,Brown,yes
COV00000002,COL000093,Fischer,yes
COV00000002,COL000090,Hamner,yes
COV00000002,COL000085,Barker,yes
COV00000002,COL000039,Ramirez,yes
COV00000002,COL000069,Williams A.,yes
COV00000002,COL000054,Tyler,yes
COV00000002,COL000037,Scott,yes
COV00000002,COL000087,Looper,yes
COV00000002,COL000098,Vaad,yes
COV00000002,COL000036,Priola,yes
COV00000002,COL000079,Gardner D.,yes
COV00000003,COL000035,Aguilar,yes
COV00000003,COL000031,Harvey,yes
COV00000003,COL000005,Jahn,yes
COV00000003,COL000019,White,yes
COV00000003,COL000009,Williams S.,yes
COV00000003,COL000001,Tochtrop,yes
COV00000003,COL000008,Mitchell,other
COV00000004,COL000091,DelGrosso,yes
COV00000004,COL000045,Sonnenberg,yes
COV00000004,COL000048,Gerou,yes
COV00000004,COL000066,Ferrandino,yes
COV00000004,,Riesberg,yes
COV00000004,COL000043,Becker,yes
COV00000004,COL000052,Gardner B.,yes
COV00000004,COL000089,Solano,no
COV00000004,COL000049,Kerr A.,no
COV00000004,COL000080,Hullinghorst,no
COV00000004,COL000087,Looper,no
COV00000004,COL000098,Vaad,no
COV00000004,COL000068,Pabon,no
COV00000005,COL000082,Jones,yes
COV00000005,COL000077,Brown,yes
COV00000005,COL000093,Fischer,yes
COV00000005,COL000090,Hamner,yes
COV00000005,COL000085,Barker,yes
COV00000005,COL000039,Ramirez,yes
COV00000005,COL000069,Williams A.,yes
COV00000005,COL000054,Tyler,yes
COV00000005,COL000037,Scott,yes
COV00000005,COL000087,Looper,yes
COV00000005,COL000098,Vaad,yes
COV00000005,COL000079,Gardner D.,yes
COV00000005,COL000036,Priola,no
COV00000006,COL000091,DelGrosso,yes
COV00000006,COL000081,Levy,yes
COV00000006,COL000045,Sonnenberg,yes
COV00000006,COL000085,Barker,yes
COV00000006,COL000083,Waller,yes
COV00000006,COL000073,Nikkel,yes
COV00000006,COL000052,Gardner B.,yes
COV00000006,COL000088,Lee,no
COV00000006,COL000092,Ryden,no
COV00000006,COL000067,Duran,no
COV00000006,COL000065,Kagan,no
COV00000007,COL000002,Hodge,yes
COV00000007,COL000025,Bacon,yes
COV00000007,COL000029,Heath,yes
COV00000007,COL000027,Nicholson,yes
COV00000007,COL000030,Steadman,yes
COV00000007,COL000012,Giron,yes
COV00000007,COL000013,Grantham,no
COV00000007,COL000018,Lambert,no
COV00000007,COL000031,Harvey,no
COV00000007,COL000023,King K.,no
COV00000008,COL000035,Aguilar,yes
COV00000008,COL000031,Harvey,yes
COV00000008,COL000005,Jahn,yes
COV00000008,COL000019,White,yes
COV00000008,COL000008,Mitchell,yes
COV00000008,COL000009,Williams S.,yes
COV00000008,COL000001,Tochtrop,yes
COV00000009,COL000006,Boyd,yes
COV00000009,COL000035,Aguilar,yes
COV00000009,COL000010,Carroll,yes
COV00000009,COL000003,Newell,yes
COV00000009,COL000017,Roberts,yes
COV00000009,COL000032,Foster,yes
COV00000009,COL000019,White,yes
COV00000009,COL000024,Lundberg,no
COV00000009,COL000008,Mitchell,no
COV00000010,COL000006,Boyd,yes
COV00000010,COL000035,Aguilar,yes
COV00000010,COL000010,Carroll,yes
COV00000010,COL000003,Newell,yes
COV00000010,COL000017,Roberts,yes
COV00000010,COL000032,Foster,yes
COV00000010,COL000019,White,yes
COV00000010,COL000024,Lundberg,no
COV00000010,COL000008,Mitchell,no
COV00000011,COL000091,DelGrosso,yes
COV00000011,COL000045,Sonnenberg,yes
COV00000011,COL000088,Lee,yes
COV00000011,COL000085,Barker,yes
COV00000011,COL000083,Waller,yes
COV00000011,COL000073,Nikkel,yes
COV00000011,COL000065,Kagan,yes
COV00000011,COL000081,Levy,no
COV00000011,COL000092,Ryden,no
COV00000011,COL000067,Duran,no
COV00000011,COL000052,Gardner B.,other
COV00000012,COL000091,DelGrosso,yes
COV00000012,COL000045,Sonnenberg,yes
COV00000012,COL000088,Lee,yes
COV00000012,COL000085,Barker,yes
COV00000012,COL000083,Waller,yes
COV00000012,COL000073,Nikkel,yes
COV00000012,COL000065,Kagan,yes
COV00000012,COL000081,Levy,no
COV00000012,COL000092,Ryden,no
COV00000012,COL000067,Duran,no
COV00000012,COL000052,Gardner B.,other
COV00000013,COL000033,Guzman,yes
COV00000013,COL000024,Lundberg,yes
COV00000013,COL000026,Scheffel,yes
COV00000013,COL000027,Nicholson,yes
COV00000013,COL000003,Newell,yes
COV00000013,COL000010,Carroll,yes
COV00000013,COL000017,Roberts,yes
COV00000013,COL000016,King S.,yes
COV00000013,COL000012,Giron,yes
COV00000014,COL000091,DelGrosso,yes
COV00000014,COL000045,Sonnenberg,yes
COV00000014,COL000089,Solano,yes
COV00000014,COL000048,Gerou,yes
COV00000014,,Riesberg,yes
COV00000014,COL000066,Ferrandino,yes
COV00000014,COL000038,Kerr J.,yes
COV00000014,COL000049,Kerr A.,yes
COV00000014,COL000080,Hullinghorst,yes
COV00000014,COL000087,Looper,yes
COV00000014,COL000043,Becker,yes
COV00000014,COL000052,Gardner B.,yes
COV00000014,COL000068,Pabon,yes
COV00000015,COL000077,Brown,yes
COV00000015,COL000094,Kefalas,yes
COV00000015,COL000053,Summers,yes
COV00000015,COL000059,Fields,yes
COV00000015,COL000038,Kerr J.,yes
COV00000015,COL000040,Massey,yes
COV00000015,COL000084,Joshi,yes
COV00000015,COL000072,McCann,yes
COV00000015,COL000061,Acree,yes
COV00000015,COL000064,Peniston,yes
COV00000015,COL000047,Schafer S.,yes
COV00000015,,Riesberg,yes
COV00000015,COL000096,Bradford,other
COV00000016,COL000082,Jones,yes
COV00000016,COL000077,Brown,yes
COV00000016,COL000041,Wilson,yes
COV00000016,COL000045,Sonnenberg,yes
COV00000016,COL000093,Fischer,yes
COV00000016,COL000098,Vaad,yes
COV00000016,COL000078,Coram,yes
COV00000016,COL000092,Ryden,yes
COV00000016,COL000042,Vigil,yes
COV00000016,COL000037,Scott,yes
COV00000016,COL000087,Looper,yes
COV00000016,COL000044,McKinley,yes
COV00000016,COL000099,Baumgardner,yes
COV00000017,COL000033,Guzman,yes
COV00000017,COL000024,Lundberg,yes
COV00000017,COL000027,Nicholson,yes
COV00000017,COL000003,Newell,yes
COV00000017,COL000016,King S.,yes
COV00000017,COL000012,Giron,yes
COV00000017,COL000026,Scheffel,other
COV00000017,COL000010,Carroll,other
COV00000017,COL000017,Roberts,other
COV00000018,COL000041,Wilson,yes
COV00000018,COL000057,Holbert,yes
COV00000018,COL000050,Szabo,yes
COV00000018,COL000071,Miklosi,yes
COV00000018,COL000056,Swerdfeger,yes
COV00000018,COL000086,Liston,yes
COV00000018,COL000075,Soper,yes
COV00000018,COL000069,Williams A.,yes
COV00000018,COL000074,Balmer,yes
COV00000018,COL000054,Tyler,yes
COV00000018,COL000036,Priola,yes
COV00000018,COL000079,Gardner D.,yes
COV00000018,COL000097,Swalm,no
COV00000019,COL000035,Aguilar,yes
COV00000019,COL000031,Harvey,yes
COV00000019,COL000005,Jahn,yes
COV00000019,COL000019,White,yes
COV00000019,COL000009,Williams S.,yes
COV00000019,COL000001,Tochtrop,yes
COV00000019,COL000008,Mitchell,no
COV00000020,COL000027,Nicholson,yes
COV00000020,COL000029,Heath,yes
COV00000020,COL000028,Hudak,yes
COV00000020,COL000022,Renfroe,yes
COV00000020,COL000034,Johnston,yes
COV00000020,COL000023,King K.,yes
COV00000020,COL000004,Spence,yes
COV00000020,COL000025,Bacon,no
COV00000021,COL000025,Bacon,yes
COV00000021,COL000029,Heath,yes
COV00000021,COL000028,Hudak,yes
COV00000021,COL000034,Johnston,yes
COV00000021,COL000023,King K.,yes
COV00000021,COL000004,Spence,yes
COV00000021,COL000027,Nicholson,other
COV00000021,COL000022,Renfroe,other
COV00000022,COL000085,Barker,yes
COV00000022,COL000083,Waller,yes
COV00000022,COL000073,Nikkel,yes
COV00000022,COL000052,Gardner B.,yes
COV00000022,COL000081,Levy,no
COV00000022,COL000045,Sonnenberg,no
COV00000022,COL000088,Lee,no
COV00000022,COL000067,Duran,no
COV00000022,COL000065,Kagan,no
COV00000022,COL000091,DelGrosso,other
