state,session,chamber,bill_id,type,name,leg_id
co,2011A,lower,HB 11-1001,primary,GARDNER B.,COL000052
co,2011A,lower,HB 11-1001,primary,MORSE,COL000020
co,2011A,lower,HB 11-1002,primary,NIKKEL,COL000073
co,2011A,lower,HB 11-1002,primary,KOPP,
co,2011A,lower,HB 11-1003,primary,SUMMERS,COL000053
co,2011A,lower,HB 11-1003,primary,HARVEY,COL000031
co,2011A,lower,HB 11-1004,primary,BAUMGARDNER,COL000099
co,2011A,lower,HB 11-1004,primary,HARVEY,COL000031
co,2011A,lower,HB 11-1005,primary,SONNENBERG,COL000045
co,2011A,lower,HB 11-1005,primary,BROPHY,COL000011
co,2011A,lower,HB 11-1006,primary,CORAM,COL000078
co,2011A,lower,HB 11-1006,primary,SCHWARTZ,COL000014
co,2011A,lower,HB 11-1007,primary,BRADFORD,COL000096
co,2011A,lower,HB 11-1007,primary,KING S.,COL000016
co,2011A,lower,HB 11-1008,primary,KERR J.,COL000038
co,2011A,lower,HB 11-1008,primary,ROBERTS,COL000017
co,2011A,lower,HB 11-1009,primary,WALLER,COL000083
co,2011A,lower,HB 11-1009,primary,NEWELL,COL000003
co,2011A,lower,HB 11-1010,primary,ACREE,COL000061
co,2011A,lower,HB 11-1010,primary,BROPHY,COL000011
co,2011A,lower,HB 11-1011,primary,PENISTON,COL000064
co,2011A,lower,HB 11-1011,primary,GIRON,COL000012
co,2011A,lower,HB 11-1012,primary,CASSO,COL000046
co,2011A,lower,HB 11-1013,primary,SCHAFER S.,COL000047
co,2011A,lower,HB 11-1013,primary,BACON,COL000025
co,2011A,lower,HB 11-1014,primary,DELGROSSO,COL000091
co,2011A,lower,HB 11-1014,primary,ROBERTS,COL000017
co,2011A,lower,HB 11-1015,primary,JONES,COL000082
co,2011A,lower,HB 11-1015,primary,TOCHTROP,COL000001
co,2011A,lower,HB 11-1016,primary,SUMMERS,COL000053
co,2011A,lower,HB 11-1016,primary,BOYD,COL000006
co,2011A,lower,HB 11-1017,primary,DURAN,COL000067
co,2011A,lower,HB 11-1017,primary,STEADMAN,COL000030
co,2011A,lower,HB 11-1018,primary,TYLER,COL000054
co,2011A,lower,HB 11-1018,primary,KING S.,COL000016
co,2011A,lower,HB 11-1019,primary,KAGAN,COL000065
co,2011A,lower,HB 11-1019,primary,BOYD,COL000006
co,2011A,lower,HB 11-1020,primary,BALMER,COL000074
co,2011A,lower,HB 11-1021,primary,TODD,COL000062
co,2011A,lower,HB 11-1021,primary,STEADMAN,COL000030
co,2011A,lower,HB 11-1022,primary,SCOTT,COL000037
co,2011A,lower,HB 11-1022,primary,MORSE,COL000020
co,2011A,lower,HB 11-1023,primary,FERRANDINO,COL000066
co,2011A,lower,HB 11-1023,primary,CARROLL,COL000010
co,2011A,lower,HB 11-1024,primary,VIGIL,COL000042
co,2011A,lower,HB 11-1024,primary,BROPHY,COL000011
co,2011A,lower,HB 11-1025,primary,JOSHI,COL000084
co,2011A,lower,HB 11-1025,primary,LUNDBERG,COL000024
co,2011A,lower,HB 11-1026,primary,GEROU,COL000048
co,2011A,lower,HB 11-1026,primary,JAHN,COL000005
co,2011A,lower,HB 11-1027,primary,LOOPER,COL000087
co,2011A,lower,HB 11-1027,primary,NEWELL,COL000003
co,2011A,lower,HB 11-1028,primary,LISTON,COL000086
co,2011A,lower,HB 11-1028,primary,JOHNSTON,COL000034
co,2011A,lower,HB 11-1029,primary,LABUDA,COL000063
co,2011A,lower,HB 11-1029,primary,AGUILAR,COL000035
co,2011A,lower,HB 11-1030,primary,GARDNER B.,COL000052
co,2011A,lower,HB 11-1030,primary,BOYD,COL000006
co,2011A,lower,HB 11-1031,primary,MIKLOSI,COL000071
co,2011A,lower,HB 11-1031,primary,FOSTER,COL000032
co,2011A,lower,HB 11-1032,primary,LEE,COL000088
co,2011A,lower,HB 11-1032,primary,NEWELL,COL000003
co,2011A,lower,HB 11-1033,primary,WILLIAMS A.,COL000069
co,2011A,lower,HB 11-1033,primary,JAHN,COL000005
co,2011A,lower,HB 11-1034,primary,WILSON,COL000041
co,2011A,lower,HB 11-1034,primary,SCHWARTZ,COL000014
co,2011A,lower,HB 11-1035,primary,COURT,COL000070
co,2011A,lower,HB 11-1035,primary,CARROLL,COL000010
co,2011A,lower,HB 11-1036,primary,GARDNER D.,COL000079
co,2011A,lower,HB 11-1036,primary,KING S.,COL000016
co,2011A,lower,HB 11-1037,primary,RYDEN,COL000092
co,2011A,lower,HB 11-1037,primary,CARROLL,COL000010
co,2011A,lower,HB 11-1038,primary,MCKINLEY,COL000044
co,2011A,lower,HB 11-1039,primary,MCCANN,COL000072
co,2011A,lower,HB 11-1040,primary,BROWN,COL000077
co,2011A,lower,HB 11-1040,primary,TOCHTROP,COL000001
co,2011A,lower,HB 11-1041,primary,RIESBERG,
co,2011A,lower,HB 11-1041,primary,HARVEY,COL000031
co,2011A,lower,HB 11-1042,primary,LEVY,COL000081
co,2011A,lower,HB 11-1042,primary,NICHOLSON,COL000027
co,2011A,lower,HB 11-1043,primary,MASSEY,COL000040
co,2011A,lower,HB 11-1043,primary,STEADMAN,COL000030
co,2011A,lower,HB 11-1044,primary,HOLBERT,COL000057
co,2011A,lower,HB 11-1044,primary,RENFROE,COL000022
co,2011A,lower,HB 11-1045,primary,KEFALAS,COL000094
co,2011A,lower,HB 11-1045,primary,NEWELL,COL000003
co,2011A,lower,HB 11-1046,primary,VAAD,COL000098
co,2011A,lower,HB 11-1047,primary,JONES,COL000082
co,2011A,lower,HB 11-1047,primary,SCHWARTZ,COL000014
co,2011A,lower,HB 11-1048,primary,SWALM,COL000097
co,2011A,lower,HB 11-1048,primary,LUNDBERG,COL000024
co,2011A,lower,HB 11-1049,primary,BARKER,COL000085
co,2011A,lower,HB 11-1049,primary,ROBERTS,COL000017
co,2011A,lower,HB 11-1050,primary,SOPER,COL000075
co,2011A,lower,HB 11-1050,primary,TOCHTROP,COL000001
co,2011A,lower,HB 11-1051,primary,SWERDFEGER,COL000056
co,2011A,lower,HB 11-1051,primary,KING S.,COL000016
co,2011A,lower,HB 11-1052,primary,HULLINGHORST,COL000080
co,2011A,lower,HB 11-1052,primary,MORSE,COL000020
co,2011A,lower,HB 11-1053,primary,SOLANO,COL000089
co,2011A,lower,HB 11-1053,primary,STEADMAN,COL000030
co,2011A,lower,HB 11-1054,primary,RAMIREZ,COL000039
co,2011A,lower,HB 11-1054,primary,HARVEY,COL000031
co,2011A,lower,HB 11-1055,primary,BEEZLEY,COL000095
co,2011A,lower,HB 11-1055,primary,SPENCE,COL000004
co,2011A,lower,HB 11-1056,primary,KERR A.,COL000049
co,2011A,lower,HB 11-1056,primary,STEADMAN,COL000030
co,2011A,lower,HB 11-1057,primary,FISCHER,COL000093
co,2011A,lower,HB 11-1057,primary,BACON,COL000025
co,2011A,lower,HB 11-1058,primary,PABON,COL000068
co,2011A,lower,HB 11-1058,primary,JAHN,COL000005
co,2011A,lower,HB 11-1059,primary,SWALM,COL000097
co,2011A,lower,HB 11-1059,primary,SPENCE,COL000004
co,2011A,lower,HB 11-1060,primary,TODD,COL000062
co,2011A,lower,HB 11-1060,primary,RENFROE,COL000022
co,2011A,lower,HB 11-1061,primary,FERRANDINO,COL000066
co,2011A,lower,HB 11-1062,primary,VIGIL,COL000042
co,2011A,lower,HB 11-1062,primary,SCHWARTZ,COL000014
co,2011A,lower,HB 11-1063,primary,MCKINLEY,COL000044
co,2011A,lower,HB 11-1064,primary,WALLER,COL000083
co,2011A,lower,HB 11-1064,primary,STEADMAN,COL000030
