state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
co,2012B,lower,HJR 12S-1001,COV00003020,upper,"On motion of Senator Morse, the resolution was adopted by the following roll call vote:     ",2012-05-16 00:00:00,other,34,0,1
co,2011A,upper,SB 11-001,COV00000001,upper,"Lay over Senate Bill 11-001 until May 12. The motion passed on a 6-0 roll call vote, with one excused.",2011-05-03 13:45:51,other,6,0,1
co,2011A,upper,SB 11-002,COV00000002,lower,Moved to refer Senate Bill 11-093 to the Committee of the Whole. The motion passed on a 13-0 roll call vote.,2011-03-03 10:30:50,other,13,0,0
co,2011A,upper,SB 11-002,COV00000003,lower,Refer Senate Bill 11-002 to the Committee of the Whole with a recommendation that it be placed on the consent calendar. The motion passed on a 6-0 roll call vote.,2011-03-03 13:45:58,other,6,0,1
co,2011A,upper,SB 11-003,COV00000004,lower,Postpone indefinitely,2011-04-01 10:46:53,other,7,6,0
co,2011A,upper,SB 11-003,COV00000005,lower,Moved to refer Senate Bill 11-003 to the Committee on Appropriations. The motion passed on a 12-1 roll call vote.,2011-04-01 14:10:14,other,12,1,0
co,2011A,upper,SB 11-004,COV00000006,lower,Postpone Senate Bill 11-004 indefinitely. The motion passed on a vote 7-4.,2011-05-03 16:45:59,other,7,4,0
co,2011A,upper,SB 11-004,COV00000007,lower,COW AMD,2011-05-03 07:41:19,other,6,4,0
co,2011A,upper,SB 11-005,COV00000008,upper,Postpone Senate Bill 11-005 indefinitely. The motion passed on a 7-0 roll call vote.,2011-04-20 13:32:02,other,7,0,0
co,2011A,upper,SB 11-005,COV00000009,upper,Reverse the previous roll call vote and postpone indefinitely Senate Bill 11-006. The motion passed on a vote of 7-2.,2011-04-20 18:27:48,other,7,2,0
co,2011A,upper,SB 11-006,COV00000010,upper,Reverse the previous roll call vote and postpone indefinitely Senate Bill 11-006. The motion passed on a vote of 7-2.,2011-02-03 18:27:48,other,7,2,0
co,2011A,upper,SB 11-006,COV00000011,upper,"Refer Senate Bill 11-007 to the Committee of the Whole with a favorable recommendation. The motion passed on a vote of 7-3, with 1 excused.",2011-02-03 14:07:43,other,7,3,1
