state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
co,2011A,lower,HB 11-1001,Enactment Of 2010 CRS,2012-01-19 01:01:55.302000,2012-01-19 17:22:24.577000,bill,
co,2011A,lower,HB 11-1002,CDOT On-line Financial Database,2012-01-19 01:01:55.316000,2012-02-25 01:02:46.330000,bill,
co,2011A,lower,HB 11-1003,Define ID For Voting,2012-01-19 01:01:55.332000,2012-02-25 01:02:46.350000,bill,
co,2011A,lower,HB 11-1004,Farm Truck Registration ,2012-01-19 01:01:55.349000,2012-02-25 01:02:46.362000,bill,
co,2011A,lower,HB 11-1005,Reinstate Tax Exemption For Ag Products,2012-01-19 01:01:55.365000,2012-02-25 01:02:46.374000,bill,
co,2011A,lower,HB 11-1006,Regional Tourism Authority Boards,2012-01-19 01:01:55.379000,2012-01-19 17:22:24.619000,bill,
co,2011A,lower,HB 11-1007,Mesa State College Personnel,2012-01-19 01:01:55.400000,2012-01-19 17:22:24.650000,bill,
co,2011A,lower,HB 11-1008,Composition Of PERA Board,2012-01-19 01:01:55.413000,2012-01-19 17:22:24.658000,bill,
co,2011A,lower,HB 11-1009,Interstate Compact Parolee Residency,2012-01-19 01:01:55.427000,2012-01-19 17:22:24.667000,bill,
co,2011A,lower,HB 11-1010,Incidental Use Of Tax-exempt Property,2012-01-19 01:01:55.452000,2012-02-25 01:02:46.427000,bill,
co,2011A,lower,HB 11-1011,Board Of Assessment Appeals Hearings,2012-01-19 01:01:55.465000,2012-01-19 01:01:55.465000,bill,
co,2011A,lower,HB 11-1012,Unaffiliated Electors To Vote In Primary,2012-01-19 01:01:55.488000,2012-01-19 17:22:24.713000,bill,
co,2011A,lower,HB 11-1013,Exempt Active Military Prof Regulation,2012-01-19 01:01:55.502000,2012-02-25 01:02:46.456000,bill,
co,2011A,lower,HB 11-1014,Child Care Contrib Income Tax Credit,2012-01-19 01:01:55.520000,2012-02-25 01:02:46.467000,bill,
co,2011A,lower,HB 11-1015,Licensing Of Accountants,2012-01-19 01:01:55.537000,2012-01-19 17:22:24.770000,bill,
co,2011A,lower,HB 11-1016,Prohibit E-cigarette Possession By Minor,2012-01-19 01:01:55.553000,2012-02-25 01:02:46.488000,bill,
co,2011A,lower,HB 11-1017,Replace Student Faculty Auraria Board,2012-01-19 01:01:55.575000,2012-01-19 17:22:24.789000,bill,
co,2011A,lower,HB 11-1018,Electronically Transmitted Court Docs,2012-01-19 01:01:55.589000,2012-01-19 17:22:24.798000,bill,
co,2011A,lower,HB 11-1019,Exempt School-based Clinics Copay,2012-01-19 01:01:55.604000,2012-01-19 17:22:24.807000,bill,
co,2011A,lower,HB 11-1020,Subcontractor Notice For Mechanics' Lien,2012-01-19 01:01:55.617000,2012-02-25 01:02:46.528000,bill,
co,2011A,lower,HB 11-1021,Colorado Channel Authority Fiscal Year,2012-01-19 01:01:55.631000,2012-01-19 17:22:24.824000,bill,
co,2011A,lower,HB 11-1022,Seller Financing Of Real Property,2012-01-19 01:01:55.645000,2012-01-19 17:22:24.832000,bill,
co,2011A,lower,HB 11-1023,Continue Foreclosure Deferment Program,2012-01-19 01:01:55.663000,2012-01-19 17:22:24.841000,bill,
co,2011A,lower,HB 11-1024,Agricultural Youth Driver's License,2012-01-19 01:01:55.677000,2012-02-25 01:02:46.570000,bill,
