leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
COL000073,member,2011-2012,49,lower,co,Republican,,,,,
COL000073,committee member,2011-2012,,lower,co,,COC000009,Judiciary,,,
COL000073,committee member,2011-2012,,lower,co,,COC000014,Congressional Redistricting,,,
COL000073,committee member,2011-2012,,lower,co,,COC000015,Legislative Council,,,
COL000077,member,2011-2012,59,lower,co,Republican,,,,,
COL000077,committee member,2011-2012,,lower,co,,COC000001,"Agriculture, Livestock & Natural Resources",,,
COL000077,committee member,2011-2012,,lower,co,,COC000019,Capital Development,,,
COL000077,committee member,2011-2012,,lower,co,,COC000005,Health & Environment,,,
COL000077,committee member,2011-2012,,lower,co,,COC000006,Transportation,,,
COL000086,member,2011-2012,16,lower,co,Republican,,,,,
COL000086,committee member,2011-2012,,lower,co,,COC000012,Economic & Business Development,,,
COL000086,committee member,2011-2012,,lower,co,,COC000011,"State, Veterans & Military Affairs",,,
COL000087,member,2011-2012,19,lower,co,Republican,,,,,
COL000087,committee member,2011-2012,,lower,co,,COC000006,Transportation,,,
COL000087,committee member,2011-2012,,lower,co,,COC000001,"Agriculture, Livestock & Natural Resources",,,
COL000087,committee member,2011-2012,,lower,co,,COC000004,Appropriations,,,
COL000089,member,2011-2012,31,lower,co,Democratic,,,,,
COL000089,committee member,2011-2012,,lower,co,,COC000004,Appropriations,,,
COL000089,committee member,2011-2012,,lower,co,,COC000007,Education,,,
COL000098,member,2011-2012,48,lower,co,Republican,,,,,
COL000098,committee member,2011-2012,,lower,co,,COC000004,Appropriations,,,
COL000098,committee member,2011-2012,,lower,co,,COC000008,"Agriculture, Livestock, & Natural Resources",,,
COL000007,member,2011-2012,22,upper,co,Republican,,,,,
COL000026,member,2011-2012,17,upper,co,Democratic,,,,,
COL000026,committee member,2011-2012,,upper,co,,COC000034,Executive Committee of Legislative Council,,,
COL000004,committee member,2013-2014,,upper,co,,COC000118,"Legislative Emergency Preparedness, Response, and Recovery Committee",,,
COL000004,member,2011-2012,27,upper,co,Republican,,,,,
COL000006,committee member,2013-2014,,upper,co,,COC000118,"Legislative Emergency Preparedness, Response, and Recovery Committee",,,
COL000006,member,2011-2012,21,upper,co,Democratic,,,,,
COL000006,committee member,2011-2012,,upper,co,,COC000036,Health and Human Services,,,
COL000006,committee member,2011-2012,,upper,co,,COC000031,"State, Veterans & Military Affairs",,,
COL000008,member,2011-2012,23,upper,co,Republican,,,,,
COL000008,committee member,2011-2012,,upper,co,,COC000029,"Business, Labor & Technology",,,
COL000008,committee member,2011-2012,,upper,co,,COC000030,Health & Human Services,,,
COL000009,member,2011-2012,28,upper,co,Democratic,,,,,
COL000009,committee member,2011-2012,,upper,co,,COC000035,Transportation,,,
COL000009,committee member,2011-2012,,upper,co,,COC000029,"Business, Labor & Technology",,,
