state,session,chamber,bill_id,date,action,actor,type
ct,2011,lower,HB 5551,2011-01-20 00:00:00,"REF. TO JOINT COMM. ON Finance, Revenue and Bonding",lower,committee:referred
ct,2011,lower,HB 5552,2011-01-20 00:00:00,"REF. TO JOINT COMM. ON Finance, Revenue and Bonding",lower,committee:referred
ct,2011,lower,HB 5553,2011-01-20 00:00:00,"REF. TO JOINT COMM. ON Finance, Revenue and Bonding",lower,committee:referred
ct,2011,lower,HB 5554,2011-01-20 00:00:00,"REF. TO JOINT COMM. ON Finance, Revenue and Bonding",lower,committee:referred
ct,2011,lower,HB 5555,2011-01-20 00:00:00,"REF. TO JOINT COMM. ON Finance, Revenue and Bonding",lower,committee:referred
ct,2011,lower,HB 5556,2011-01-20 00:00:00,"REF. TO JOINT COMM. ON Finance, Revenue and Bonding",lower,committee:referred
ct,2011,lower,HB 5557,2011-01-20 00:00:00,"REF. TO JOINT COMM. ON Finance, Revenue and Bonding",lower,committee:referred
ct,2011,lower,HB 5558,2011-01-20 00:00:00,REF. TO JOINT COMM. ON Human Services,lower,committee:referred
ct,2011,lower,HB 5558,2011-01-27 00:00:00,DRAFTED BY COMMITTEE,lower,other
ct,2011,lower,HB 5558,2011-01-28 00:00:00,REF. TO JOINT COMM. ON Human Services,lower,committee:referred
ct,2011,lower,HB 5558,2011-02-04 00:00:00,PUBLIC HEARING 0210,lower,other
ct,2011,lower,HB 5558,2011-03-10 00:00:00,Joint Favorable Substitute,lower,committee:passed:favorable
ct,2011,lower,HB 5558,2011-03-11 00:00:00,FILED WITH LCO,lower,other
ct,2011,lower,HB 5558,2011-03-17 00:00:00,REFERRED TO Office of Legislative Research AND Office of Fiscal Analysis 03/22/11,lower,other
ct,2011,lower,HB 5558,2011-03-23 00:00:00,RPTD. OUT OF LCO,lower,other
ct,2011,lower,HB 5558,2011-03-23 00:00:00,"FAV. RPT., TABLED FOR HOUSE CALENDER",lower,other
ct,2011,lower,HB 5558,2011-03-23 00:00:00,HOUSE CALENDAR NUMBER 113,lower,other
ct,2011,lower,HB 5558,2011-03-23 00:00:00,FILE NO. 176,lower,other
ct,2011,lower,HB 5558,2011-04-27 00:00:00,HOUSE PASSED,lower,bill:passed
