state,session,chamber,bill_id,type,name,leg_id
ct,2011,lower,HB 5551,primary,"Wright, Elissa T.",CTL000077
ct,2011,lower,HB 5552,primary,"Grogins, Auden",CTL000165
ct,2011,lower,HB 5552,primary,"Reynolds, Tom",CTL000078
ct,2011,lower,HB 5552,primary,"Fawcett, Kim",CTL000169
ct,2011,lower,HB 5552,primary,"Schofield, Linda",CTL000052
ct,2011,lower,HB 5552,primary,"Urban, Diana S.",CTL000079
ct,2011,lower,HB 5553,primary,"Hoydick, Laura R",CTL000156
ct,2011,lower,HB 5554,primary,"O Neill, Arthur J.",CTL000105
ct,2011,lower,HB 5555,primary,"Stillman, Andrea L.",CTL000020
ct,2011,lower,HB 5555,primary,"Wright, Elissa T.",CTL000077
ct,2011,lower,HB 5555,primary,"Ryan, Kevin",CTL000175
ct,2011,lower,HB 5555,primary,"Olson-Riley, Melissa M.",
ct,2011,lower,HB 5555,primary,"Ritter, Elizabeth B.",CTL000074
ct,2011,lower,HB 5556,primary,"Ackert, Tim",CTL000044
ct,2011,lower,HB 5557,primary,"Reynolds, Tom",CTL000078
ct,2011,lower,HB 5557,primary,"Schofield, Linda",CTL000052
ct,2011,lower,HB 5558,primary,"Harp, Toni Nathaniel",CTL000010
ct,2011,lower,HB 5558,primary,"Morris, Bruce V.",CTL000176
ct,2011,lower,HB 5558,primary,"Miller, Patricia Billie",CTL000181
ct,2011,lower,HB 5558,primary,"McCrory, Douglas",CTL000043
ct,2011,lower,HB 5558,primary,"Holder-Winfield, Gary A.",CTL000130
ct,2011,lower,HB 5558,primary,"Stallworth, Charlie L.",CTL000162
ct,2011,lower,HB 5558,primary,"Abercrombie, Catherine F.",CTL000119
ct,2011,lower,HB 5558,primary,"Gibbons, Lile R.",CTL000186
ct,2011,lower,HB 5558,primary,"Walker, Toni E.",CTL000129
ct,2011,lower,HB 5559,primary,"Rep. Tim O'Brien, 24th Dist.",CTL000060
ct,2011,lower,HB 5560,primary,"Harp, Toni Nathaniel",CTL000010
ct,2011,lower,HB 5560,primary,"Prague, Edith G.",CTL000019
ct,2011,lower,HB 5560,primary,"Nardello, Vickie Orsini",CTL000125
ct,2011,lower,HB 5560,primary,"Ritter, Elizabeth B.",CTL000074
ct,2011,lower,HB 5560,primary,"Walker, Toni E.",CTL000129
ct,2011,lower,HB 5560,primary,"Thompson, John W.",CTL000049
ct,2011,lower,HB 5561,primary,"Rep. Tim O'Brien, 24th Dist.",CTL000060
ct,2011,lower,HB 5562,primary,"Wood, Terrie",CTL000177
ct,2011,lower,HB 5563,primary,"Grogins, Auden",CTL000165
ct,2011,lower,HB 5563,primary,"Urban, Diana S.",CTL000079
ct,2011,lower,HB 5563,primary,"Johnson, Susan M.",CTL000085
ct,2011,lower,HB 5564,primary,"Carter, Dan",CTL000038
ct,2011,lower,HB 5565,primary,"Santiago, Ezequiel",CTL000166
