state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
ct,2011,upper,SB 714,CTV00000001,upper,Senate Roll Call Vote 81,2011-04-13 00:00:00,other,35,0,1
ct,2011,upper,SB 495,CTV00000002,upper,Senate Roll Call Vote 68,2011-04-13 00:00:00,other,28,7,1
ct,2011,upper,SB 1238,CTV00000003,upper,Senate Roll Call Vote 54 PASS     EMERGENCY CERTIFICATION,2011-04-13 00:00:00,other,35,0,1
ct,2011,upper,SB 1238,CTV00000004,lower,House Roll Call Vote 38 EMERGENCY CERTIFI,2011-04-13 00:00:00,other,144,0,6
ct,2011,upper,SR 16,CTV00000005,upper,Senate Roll Call Vote 16,2011-02-04 00:00:00,other,32,0,1
ct,2011,upper,SJ 38,CTV00000006,upper,Senate Roll Call Vote 56,2011-04-13 00:00:00,other,36,0,0
ct,2011,upper,SB 828,CTV00000007,upper,Senate Roll Call Vote 80,2011-04-13 00:00:00,other,35,0,1
ct,2011,upper,SJ 39,CTV00000009,upper,Senate Roll Call Vote 57,2011-04-13 00:00:00,other,36,0,0
ct,2011,upper,SB 869,CTV00000010,upper,Senate Roll Call Vote 79,2011-04-13 00:00:00,other,35,0,1
ct,2011,upper,SJ 26,CTV00000011,upper,Senate Roll Call Vote 38,2011-02-16 00:00:00,other,32,0,1
ct,2011,upper,SJ 35,CTV00000012,upper,Senate Roll Call Vote 66,2011-04-13 00:00:00,other,36,0,0
ct,2011,upper,SJ 34,CTV00000013,upper,Senate Roll Call Vote 65,2011-04-13 00:00:00,other,36,0,0
ct,2011,upper,SJ 33,CTV00000014,upper,Senate Roll Call Vote 64,2011-04-13 00:00:00,other,36,0,0
ct,2011,upper,SJ 32,CTV00000015,upper,Senate Roll Call Vote 61,2011-04-13 00:00:00,other,36,0,0
ct,2011,upper,SB 980,CTV00000016,upper,Senate Roll Call Vote 70,2011-04-13 00:00:00,other,35,0,1
ct,2011,upper,SJ 24,CTV00000017,upper,Senate Roll Call Vote 10 ADOPT,2011-02-04 00:00:00,other,32,0,1
ct,2011,upper,SJ 24,CTV00000018,upper,Senate Roll Call Vote 2 ADOPT,2011-02-04 00:00:00,other,31,1,1
ct,2011,upper,SJ 24,CTV00000019,lower,House Roll Call Vote 16,2011-02-04 00:00:00,other,132,0,13
ct,2011,upper,SJ 17,CTV00000021,upper,Senate Roll Call Vote 3 ADOPT,2011-02-04 00:00:00,other,32,0,1
ct,2011,upper,SJ 17,CTV00000022,lower,House Roll Call Vote 9,2011-02-04 00:00:00,other,134,0,11
ct,2011,upper,SR 14,CTV00000023,upper,Senate Roll Call Vote 14,2011-02-04 00:00:00,other,32,0,1
ct,2011,upper,SJ 20,CTV00000024,upper,Senate Roll Call Vote 6 ADOPT,2011-02-04 00:00:00,other,32,0,1
ct,2011,upper,SJ 20,CTV00000025,lower,House Roll Call Vote 12,2011-02-04 00:00:00,other,136,0,9
ct,2011,upper,SR 17,CTV00000026,upper,Senate Roll Call Vote 11,2011-02-04 00:00:00,other,32,0,1
ct,2011,upper,SB 1194,CTV00000027,lower,House Roll Call Vote 23 EMERGENCY CERTIFI,2011-03-16 00:00:00,other,121,22,7
ct,2011,upper,SB 1194,CTV00000028,upper,Senate Roll Call Vote 40 EMERGENCY CERTIFICATION,2011-03-16 00:00:00,other,32,0,4
ct,2011,upper,SB 859,CTV00000029,upper,Senate Roll Call Vote 78,2011-04-13 00:00:00,other,35,0,1
ct,2011,upper,SR 20,CTV00000030,upper,Senate Roll Call Vote 55,2011-04-13 00:00:00,other,36,0,0
ct,2011,upper,SR 22,CTV00000031,upper,Senate Roll Call Vote 62,2011-04-13 00:00:00,other,36,0,0
ct,2011,upper,SR 23,CTV00000032,upper,Senate Roll Call Vote 63,2011-04-13 00:00:00,other,36,0,0
ct,2011,upper,SJ 23,CTV00000033,upper,Senate Roll Call Vote 9 ADOPT,2011-02-04 00:00:00,other,32,0,1
ct,2011,upper,SJ 23,CTV00000034,lower,House Roll Call Vote 15,2011-02-04 00:00:00,other,133,0,12
