id,state,chamber,committee,subcommittee,parent_id
CTC000003,ct,joint,Transportation,,
CTC000006,ct,joint,Government Administration and Elections,,
CTC000007,ct,joint,Appropriations,,
CTC000010,ct,joint,Planning and Development,,
CTC000014,ct,joint,Insurance and Real Estate,,
CTC000018,ct,joint,Public Health,,
CTC000028,ct,joint,Children,,
CTC000019,ct,joint,Program Review and Investigations,,
CTC000025,ct,joint,Aging,,
CTC000008,ct,joint,Education,,
CTC000017,ct,joint,Energy and Technology,,
CTC000027,ct,joint,Housing,,
CTC000029,ct,joint,Veterans' Affairs,,
CTC000021,ct,joint,Human Services,,
CTC000022,ct,joint,Regulations Review,,
CTC000024,ct,joint,Labor and Public Employees,,
CTC000012,ct,joint,Executive and Legislative Nominations,,
CTC000004,ct,joint,Commerce,,
CTC000002,ct,joint,"Finance, Revenue and Bonding",,
CTC000026,ct,joint,Internship,,
CTC000020,ct,joint,General Law,,
CTC000001,ct,joint,Banks,,
CTC000005,ct,joint,Public Safety and Security,,
CTC000016,ct,joint,Judiciary,,
CTC000013,ct,joint,Higher Education and Employment Advancement,,
CTC000034,ct,joint,Legislative Management,,
CTC000023,ct,joint,Environment,,
