leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
CTL000071,member,2011-2012,35,lower,ct,Democratic,,,,,
CTL000071,committee member,2011-2012,,joint,ct,,CTC000017,Energy and Technology,,,
CTL000071,committee member,2011-2012,,joint,ct,,CTC000014,Insurance and Real Estate,,,
CTL000071,committee member,2011-2012,,joint,ct,,CTC000003,Transportation,,,
CTL000082,member,2011-2012,46,lower,ct,Democratic,,,,,
CTL000082,committee member,2011-2012,,joint,ct,,CTC000016,Judiciary,,,
CTL000082,committee member,2011-2012,,joint,ct,,CTC000011,Joint Committee on Legislative Management,,,
CTL000082,committee member,2011-2012,,joint,ct,,CTC000018,Public Health,,,
CTL000099,member,2011-2012,63,lower,ct,Republican,,,,,
CTL000099,committee member,2011-2012,,joint,ct,,CTC000007,Appropriations,,,
CTL000099,committee member,2011-2012,,joint,ct,,CTC000023,Environment,,,
CTL000099,committee member,2011-2012,,joint,ct,,CTC000024,Labor and Public Employees,,,
CTL000060,member,2011-2012,24,lower,ct,Democratic,,,,,2012-01-01 00:00:00
CTL000060,committee member,2011-2012,,joint,ct,,CTC000001,Banks,,,
CTL000060,committee member,2011-2012,,joint,ct,,CTC000002,"Finance, Revenue and Bonding",,,
CTL000060,committee member,2011-2012,,joint,ct,,CTC000006,Government Administration and Elections,,,
CTL000060,committee member,2011-2012,,joint,ct,,CTC000022,Regulations Review,,,
CTL000040,member,2011-2012,4,lower,ct,Democratic,,,,,
CTL000040,committee member,2011-2012,,joint,ct,,CTC000007,Appropriations,,,
CTL000040,committee member,2011-2012,,joint,ct,,CTC000014,Insurance and Real Estate,,,
CTL000040,committee member,2011-2012,,joint,ct,,CTC000016,Judiciary,,,
CTL000040,committee member,2011-2012,,joint,ct,,CTC000022,Regulations Review,,,
CTL000042,member,2011-2012,6,lower,ct,Democratic,,,,,
CTL000042,committee member,2011-2012,,joint,ct,,CTC000002,"Finance, Revenue and Bonding",,,
CTL000042,committee member,2011-2012,,joint,ct,,CTC000020,General Law,,,
CTL000042,committee member,2011-2012,,joint,ct,,CTC000005,Public Safety and Security,,,
CTL000070,member,2011-2012,34,lower,ct,Democratic,,,,,
CTL000083,member,2011-2012,47,lower,ct,Republican,,,,,
CTL000083,committee member,2011-2012,,joint,ct,,CTC000004,Commerce,,,
CTL000120,member,2011-2012,84,lower,ct,Democratic,,,,,
CTL000120,committee member,2011-2012,,joint,ct,,CTC000011,Joint Committee on Legislative Management,,,
CTL000013,member,2011-2012,13,upper,ct,Republican,,,,,
CTL000013,committee member,2011-2012,,joint,ct,,CTC000007,Appropriations,,,
CTL000013,committee member,2011-2012,,joint,ct,,CTC000008,Education,,,
CTL000013,committee member,2011-2012,,joint,ct,,CTC000009,Select Committee on Children,,,
CTL000030,member,2011-2012,30,upper,ct,Republican,,,,,
CTL000030,committee member,2011-2012,,joint,ct,,CTC000023,Environment,,,
CTL000030,committee member,2011-2012,,joint,ct,,CTC000012,Executive and Legislative Nominations,,,
CTL000030,committee member,2011-2012,,joint,ct,,CTC000002,"Finance, Revenue and Bonding",,,
CTL000030,committee member,2011-2012,,joint,ct,,CTC000016,Judiciary,,,
CTL000030,committee member,2011-2012,,joint,ct,,CTC000022,Regulations Review,,,
CTL000041,member,2011-2012,5,lower,ct,Democratic,,,,,
CTL000041,committee member,2011-2012,,joint,ct,,CTC000007,Appropriations,,,
CTL000041,committee member,2011-2012,,joint,ct,,CTC000012,Executive and Legislative Nominations,,,
CTL000041,committee member,2011-2012,,joint,ct,,CTC000011,Joint Committee on Legislative Management,,,
CTL000041,committee member,2011-2012,,joint,ct,,CTC000005,Public Safety and Security,,,
CTL000052,member,2011-2012,16,lower,ct,Democratic,,,,,
CTL000052,committee member,2011-2012,,joint,ct,,CTC000007,Appropriations,,,
