leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
CTL000071,James M. Crawford,James,M.,Crawford, ,,False,ct,,,,64c2297865574884817d2ff3604c153d,,2011-04-20 16:37:11.095000,2013-01-09 20:13:52.400000
CTL000082,Melissa M. Riley,Melissa,M.,Riley, ,,False,ct,,,,c35b06d6ad07404eb065d48366e732b2,,2011-04-20 16:37:11.141000,2013-01-09 20:13:52.398000
CTL000099,John B. Rigby,John,B.,Rigby, ,,False,ct,,,,1f3843c347bc4369894686d3c1c76d48,,2011-04-20 16:37:11.188000,2013-01-09 20:13:52.399000
CTL000060,Tim O'Brien,Tim, ,O'Brien, ,,False,ct,,,,775236a094604842812c38432ce51c9a,,2011-04-20 16:37:11.003000,2012-06-06 16:49:42.217000
CTL000040,Kelvin Roldan,Kelvin, ,Roldan, ,,False,ct,,,,b1e90ec58e5543f9abb0ed67ddb5f6d7,,2011-04-20 16:37:10.871000,2013-01-09 20:13:52.405000
CTL000042,Hector L. Robles,Hector,L.,Robles, ,,False,ct,,,,7acaac566efd4ab2be779b96df35f158,,2011-04-20 16:37:10.887000,2013-01-09 20:13:52.404000
CTL000070,Gail K. Hamm,Gail,K.,Hamm, ,,False,ct,,,,9af7a5a423554e65b32329f983b5387c,http://www.housedems.ct.gov/Hamm/images/Hamm2.jpg,2011-04-20 16:37:11.065000,2013-01-09 20:13:52.456000
CTL000083,Christopher D. Coutu,Christopher,D.,Coutu, ,,False,ct,,,,e86f4db2be5443a8a27733b0a0a71813,,2011-04-20 16:37:11.143000,2013-01-09 20:13:52.406000
CTL000120,Christopher G. Donovan,Christopher,G.,Donovan, ,,False,ct,,,,0b1dfe4652df4a78b64052cce0757ce5,,2011-04-20 16:37:11.244000,2013-01-09 20:13:52.407000
CTL000013,Len Suzio,Len, ,Suzio, ,,False,ct,,,,a7d37a1666f24315a1782c10d7a1ae0c,http://ctsenaterepublicans.com/wp-content/uploads/2012/06/suzio-splash.jpg,2011-04-20 16:37:10.693000,2013-01-09 20:13:52.401000
CTL000030,Andrew W. Roraback,Andrew,W.,Roraback, ,,False,ct,,,,1fb58fc8bc4843099147b202f3f88ba9,http://www.ctsenaterepublicans.com/images/headshot_roraback.png,2011-04-20 16:37:10.810000,2013-01-09 20:13:52.414000
CTL000041,Marie Lopez Kirkley-Bey,Marie Lopez, ,Kirkley-Bey, ,,False,ct,,,,0227dc1c33544527ac63080bbcbe10a3,,2011-04-20 16:37:10.873000,2013-01-09 20:13:52.413000
CTL000052,Linda Schofield,Linda, ,Schofield, ,,False,ct,,,,8c921b816d154b64a5b2f642c3198766,http://www.housedems.ct.gov/Schofield/images/Schofield_35.jpg,2011-04-20 16:37:10.951000,2013-01-09 20:13:52.411000
CTL000057,William Wadsworth,William, ,Wadsworth, ,,False,ct,,,,33bc5ef0718147a3a0df1a95297a84b2,,2011-04-20 16:37:10.981000,2013-01-09 20:13:52.409000
CTL000078,Tom Reynolds,Tom, ,Reynolds, ,,False,ct,,,,c1fae7b92ef64f59a263791a0f7efa45,http://www.housedems.ct.gov/Reynolds/images/Reynolds10.jpg,2011-04-20 16:37:11.132000,2013-01-09 20:13:52.408000
