state,session,chamber,bill_id,date,action,actor,type
dc,19,upper,B 19-0001,2011-01-04 00:00:00,Introduction,upper,bill:introduced
dc,19,upper,B 19-0001,2011-07-06 00:00:00,Committee Action,upper,other
dc,19,upper,B 19-0001,2011-07-12 00:00:00,First Vote,upper,bill:reading:1
dc,19,upper,B 19-0001,2011-09-20 00:00:00,Final Vote,upper,bill:reading:3
dc,19,upper,B 19-0001,2011-09-27 00:00:00,Transmitted to Mayor,upper,governor:received
dc,19,upper,B 19-0001,2011-10-11 00:00:00,Signed by Mayor,mayor,governor:signed
dc,19,upper,B 19-0001,2011-10-11 00:00:00,Enacted,upper,other
dc,19,upper,B 19-0001,2011-10-12 00:00:00,Returned by Mayor,mayor,other
dc,19,upper,B 19-0001,2011-10-19 00:00:00,Transmitted to Congress,upper,other
dc,19,upper,B 19-0002,2011-01-04 00:00:00,Introduction,upper,bill:introduced
dc,19,upper,B 19-0002,2011-11-10 00:00:00,Committee Action,upper,other
dc,19,upper,B 19-0002,2011-12-06 00:00:00,First Vote,upper,bill:reading:1
dc,19,upper,B 19-0002,2011-12-20 00:00:00,Final Vote,upper,bill:reading:3
dc,19,upper,B 19-0002,2012-01-03 00:00:00,Transmitted to Mayor,upper,governor:received
dc,19,upper,B 19-0002,2012-01-17 00:00:00,Signed by Mayor,mayor,governor:signed
dc,19,upper,B 19-0002,2012-01-17 00:00:00,Returned by Mayor,mayor,other
dc,19,upper,B 19-0002,2012-01-17 00:00:00,Enacted,upper,other
dc,19,upper,B 19-0002,2012-01-19 00:00:00,Transmitted to Congress,upper,other
dc,19,upper,B 19-0003,2011-01-04 00:00:00,Introduction,upper,bill:introduced
dc,19,upper,B 19-0004,2011-01-04 00:00:00,Introduction,upper,bill:introduced
dc,19,upper,B 19-0005,2011-01-04 00:00:00,Introduction,upper,bill:introduced
dc,19,upper,B 19-0005,2011-03-29 00:00:00,Committee Action,upper,other
dc,19,upper,B 19-0005,2011-05-03 00:00:00,First Vote,upper,bill:reading:1
dc,19,upper,B 19-0005,2011-06-07 00:00:00,Final Vote,upper,bill:reading:3
dc,19,upper,B 19-0005,2011-06-16 00:00:00,Transmitted to Mayor,upper,governor:received
dc,19,upper,B 19-0005,2011-06-24 00:00:00,Signed by Mayor,mayor,governor:signed
dc,19,upper,B 19-0005,2011-06-24 00:00:00,Enacted,upper,other
dc,19,upper,B 19-0005,2011-06-27 00:00:00,Returned by Mayor,mayor,other
dc,19,upper,B 19-0005,2011-07-06 00:00:00,Transmitted to Congress,upper,other
dc,19,upper,B 19-0006,2011-01-04 00:00:00,Introduction,upper,bill:introduced
dc,19,upper,B 19-0007,2011-01-04 00:00:00,Introduction,upper,bill:introduced
dc,19,upper,B 19-0007,2011-03-11 00:00:00,Committee Action,upper,other
dc,19,upper,B 19-0007,2011-06-07 00:00:00,First Vote,upper,bill:reading:1
dc,19,upper,B 19-0007,2011-07-12 00:00:00,Final Vote,upper,bill:reading:3
dc,19,upper,B 19-0007,2011-07-15 00:00:00,Transmitted to Mayor,upper,governor:received
dc,19,upper,B 19-0007,2011-07-27 00:00:00,Signed by Mayor,mayor,governor:signed
dc,19,upper,B 19-0007,2011-07-27 00:00:00,Enacted,upper,other
dc,19,upper,B 19-0007,2011-07-29 00:00:00,Returned by Mayor,mayor,other
dc,19,upper,B 19-0007,2011-09-07 00:00:00,Transmitted to Congress,upper,other
dc,19,upper,B 19-0008,2011-01-04 00:00:00,Introduction,upper,bill:introduced
dc,19,upper,B 19-0008,2011-07-11 00:00:00,Committee Action,upper,other
dc,19,upper,B 19-0008,2011-12-06 00:00:00,First Vote,upper,bill:reading:1
dc,19,upper,B 19-0008,2012-05-01 00:00:00,Final Vote,upper,bill:reading:3
dc,19,upper,B 19-0009,2011-01-04 00:00:00,Introduction,upper,bill:introduced
dc,19,upper,B 19-0010,2011-01-04 00:00:00,Introduction,upper,bill:introduced
dc,19,upper,B 19-0010,2011-05-26 00:00:00,Committee Action,upper,other
dc,19,upper,B 19-0010,2011-06-07 00:00:00,First Vote,upper,bill:reading:1
dc,19,upper,B 19-0010,2011-07-12 00:00:00,Final Vote,upper,bill:reading:3
dc,19,upper,B 19-0010,2011-07-29 00:00:00,Transmitted to Mayor,upper,governor:received
dc,19,upper,B 19-0010,2011-08-09 00:00:00,Signed by Mayor,mayor,governor:signed
dc,19,upper,B 19-0010,2011-08-09 00:00:00,Returned by Mayor,mayor,other
dc,19,upper,B 19-0010,2011-08-09 00:00:00,Enacted,upper,other
dc,19,upper,B 19-0010,2011-09-07 00:00:00,Transmitted to Congress,upper,other
dc,19,upper,B 19-0011,2011-01-04 00:00:00,Introduction,upper,bill:introduced
dc,19,upper,B 19-0011,2012-04-20 00:00:00,Committee Action,upper,other
dc,19,upper,B 19-0011,2012-05-01 00:00:00,First Vote,upper,bill:reading:1
dc,19,upper,B 19-0011,2012-06-05 00:00:00,Final Vote,upper,bill:reading:3
dc,19,upper,B 19-0011,2012-06-08 00:00:00,Transmitted to Mayor,upper,governor:received
dc,19,upper,B 19-0011,2012-06-22 00:00:00,Signed by Mayor,mayor,governor:signed
dc,19,upper,B 19-0011,2012-06-22 00:00:00,Returned by Mayor,mayor,other
dc,19,upper,B 19-0011,2012-06-22 00:00:00,Enacted,upper,other
dc,19,upper,B 19-0011,2012-06-26 00:00:00,Transmitted to Congress,upper,other
dc,19,upper,B 19-0012,2011-01-04 00:00:00,Introduction,upper,bill:introduced
dc,19,upper,B 19-0013,2011-01-04 00:00:00,Introduction,upper,bill:introduced
