vote_id,leg_id,name,vote
DCV00001954,DCL000010,Yvette Alexander,yes
DCV00001954,DCL000011,Muriel Bowser,yes
DCV00001954,DCL000003,David Catania,yes
DCV00001954,DCL000002,Mary M. Cheh,yes
DCV00001954,DCL000009,Jack Evans,yes
DCV00001954,DCL000007,Jim Graham,yes
DCV00001954,DCL000004,Michael A. MBrown,yes
DCV00001954,DCL000017,Kenyan McDuffie,yes
DCV00001954,DCL000005,Phil PMendelson,yes
DCV00001954,DCL000008,Tommy Wells,yes
DCV00001954,DCL000012,Marion Barry,other
DCV00001954,DCL000014,Vincent Orange,other
DCV00001955,DCL000010,Yvette Alexander,yes
DCV00001955,DCL000011,Muriel Bowser,yes
DCV00001955,DCL000003,David Catania,yes
DCV00001955,DCL000002,Mary M. Cheh,yes
DCV00001955,DCL000009,Jack Evans,yes
DCV00001955,DCL000007,Jim Graham,yes
DCV00001955,DCL000004,Michael A. MBrown,yes
DCV00001955,DCL000017,Kenyan McDuffie,yes
DCV00001955,DCL000005,Phil PMendelson,yes
DCV00001955,DCL000008,Tommy Wells,yes
DCV00001955,DCL000012,Marion Barry,other
DCV00001955,DCL000014,Vincent Orange,other
DCV00001904,DCL000010,Yvette Alexander,yes
DCV00001904,DCL000003,David Catania,yes
DCV00001904,DCL000002,Mary M. Cheh,yes
DCV00001904,DCL000009,Jack Evans,yes
DCV00001904,DCL000007,Jim Graham,yes
DCV00001904,DCL000004,Michael A. MBrown,yes
DCV00001904,DCL000017,Kenyan McDuffie,yes
DCV00001904,DCL000014,Vincent Orange,yes
DCV00001904,DCL000005,Phil PMendelson,yes
DCV00001904,DCL000008,Tommy Wells,yes
DCV00001904,DCL000012,Marion Barry,other
DCV00001904,DCL000011,Muriel Bowser,other
DCV00001956,DCL000010,Yvette Alexander,yes
DCV00001956,DCL000011,Muriel Bowser,yes
DCV00001956,DCL000003,David Catania,yes
DCV00001956,DCL000002,Mary M. Cheh,yes
DCV00001956,DCL000009,Jack Evans,yes
DCV00001956,DCL000007,Jim Graham,yes
DCV00001956,DCL000004,Michael A. MBrown,yes
DCV00001956,DCL000017,Kenyan McDuffie,yes
DCV00001956,DCL000005,Phil PMendelson,yes
DCV00001956,DCL000008,Tommy Wells,yes
DCV00001956,DCL000012,Marion Barry,other
DCV00001956,DCL000014,Vincent Orange,other
DCV00001957,DCL000010,Yvette Alexander,yes
DCV00001957,DCL000011,Muriel Bowser,yes
DCV00001957,DCL000003,David Catania,yes
DCV00001957,DCL000002,Mary M. Cheh,yes
DCV00001957,DCL000009,Jack Evans,yes
DCV00001957,DCL000007,Jim Graham,yes
DCV00001957,DCL000004,Michael A. MBrown,yes
DCV00001957,DCL000017,Kenyan McDuffie,yes
DCV00001957,DCL000005,Phil PMendelson,yes
DCV00001957,DCL000008,Tommy Wells,yes
DCV00001957,DCL000012,Marion Barry,other
DCV00001957,DCL000014,Vincent Orange,other
DCV00001958,DCL000010,Yvette Alexander,yes
DCV00001958,DCL000011,Muriel Bowser,yes
DCV00001958,DCL000003,David Catania,yes
DCV00001958,DCL000002,Mary M. Cheh,yes
DCV00001958,DCL000009,Jack Evans,yes
DCV00001958,DCL000007,Jim Graham,yes
