state,session,chamber,bill_id,type,name,leg_id
dc,19,upper,B 19-0001,primary,MBrown,DCL000004
dc,19,upper,B 19-0001,primary,Brown,DCL000001
dc,19,upper,B 19-0001,cosponsor,Alexander,DCL000010
dc,19,upper,B 19-0001,cosponsor,Cheh,DCL000002
dc,19,upper,B 19-0001,cosponsor,Graham,DCL000007
dc,19,upper,B 19-0001,cosponsor,Mendelson,DCL000005
dc,19,upper,B 19-0002,primary,Catania,DCL000003
dc,19,upper,B 19-0002,cosponsor,Bowser,DCL000011
dc,19,upper,B 19-0002,cosponsor,Wells,DCL000008
dc,19,upper,B 19-0002,cosponsor,MBrown,DCL000004
dc,19,upper,B 19-0002,cosponsor,Mendelson,DCL000005
dc,19,upper,B 19-0002,cosponsor,Evans,DCL000009
dc,19,upper,B 19-0003,primary,Catania,DCL000003
dc,19,upper,B 19-0003,cosponsor,Wells,DCL000008
dc,19,upper,B 19-0003,cosponsor,Graham,DCL000007
dc,19,upper,B 19-0003,cosponsor,MBrown,DCL000004
dc,19,upper,B 19-0003,cosponsor,Bowser,DCL000011
dc,19,upper,B 19-0003,cosponsor,Evans,DCL000009
dc,19,upper,B 19-0003,cosponsor,Mendelson,DCL000005
dc,19,upper,B 19-0003,cosponsor,Thomas,DCL000013
dc,19,upper,B 19-0003,cosponsor,Brown,DCL000001
dc,19,upper,B 19-0005,primary,Mendelson,DCL000005
dc,19,upper,B 19-0005,primary,Barry,DCL000012
dc,19,upper,B 19-0005,primary,Cheh,DCL000002
dc,19,upper,B 19-0005,cosponsor,Alexander,DCL000010
dc,19,upper,B 19-0006,primary,Mendelson,DCL000005
dc,19,upper,B 19-0006,primary,Cheh,DCL000002
dc,19,upper,B 19-0006,primary,Brown,DCL000001
dc,19,upper,B 19-0006,cosponsor,Alexander,DCL000010
dc,19,upper,B 19-0006,cosponsor,Thomas,DCL000013
dc,19,upper,B 19-0007,primary,Mendelson,DCL000005
dc,19,upper,B 19-0007,primary,Thomas,DCL000013
dc,19,upper,B 19-0007,primary,Catania,DCL000003
dc,19,upper,B 19-0007,cosponsor,Bowser,DCL000011
dc,19,upper,B 19-0007,cosponsor,MBrown,DCL000004
dc,19,upper,B 19-0007,cosponsor,Alexander,DCL000010
dc,19,upper,B 19-0007,cosponsor,Cheh,DCL000002
dc,19,upper,B 19-0007,cosponsor,Brown,DCL000001
dc,19,upper,B 19-0008,primary,Cheh,DCL000002
dc,19,upper,B 19-0008,cosponsor,MBrown,DCL000004
dc,19,upper,B 19-0008,cosponsor,Alexander,DCL000010
dc,19,upper,B 19-0008,cosponsor,Mendelson,DCL000005
dc,19,upper,B 19-0008,cosponsor,Bowser,DCL000011
dc,19,upper,B 19-0008,cosponsor,Barry,DCL000012
dc,19,upper,B 19-0009,primary,Cheh,DCL000002
dc,19,upper,B 19-0009,cosponsor,Mendelson,DCL000005
dc,19,upper,B 19-0009,cosponsor,Graham,DCL000007
dc,19,upper,B 19-0009,cosponsor,MBrown,DCL000004
dc,19,upper,B 19-0009,cosponsor,Wells,DCL000008
dc,19,upper,B 19-0009,cosponsor,Barry,DCL000012
dc,19,upper,B 19-0010,primary,Cheh,DCL000002
dc,19,upper,B 19-0010,cosponsor,Alexander,DCL000010
dc,19,upper,B 19-0010,cosponsor,Wells,DCL000008
dc,19,upper,B 19-0010,cosponsor,MBrown,DCL000004
