state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
dc,19,upper,B 19-0162,DCV00001954,upper,Final Reading,2012-11-01 00:00:00,other,10,0,2
dc,19,upper,B 19-0214,DCV00001955,upper,Final Reading,2012-11-01 00:00:00,other,10,0,2
dc,19,upper,B 19-0224,DCV00001904,upper,1st Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-0224,DCV00001956,upper,Final Reading,2012-11-01 00:00:00,other,10,0,2
dc,19,upper,B 19-0277,DCV00001957,upper,1st Reading,2012-11-01 00:00:00,other,10,0,2
dc,19,upper,B 19-0376,DCV00001958,upper,Final Reading,2012-11-01 00:00:00,other,10,0,2
dc,19,upper,B 19-0615,DCV00001906,upper,1st Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-0615,DCV00001959,upper,Final Reading,2012-11-01 00:00:00,other,10,0,2
dc,19,upper,B 19-0670,DCV00002036,upper,1st Reading,2012-11-01 00:00:00,other,10,0,2
dc,19,upper,B 19-0747,DCV00001908,upper,Final Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-0754,DCV00001991,upper,1st Reading,2012-11-01 00:00:00,other,11,0,1
dc,19,upper,B 19-0769,DCV00001964,upper,1st Reading,2012-11-01 00:00:00,other,10,0,2
dc,19,upper,B 19-0784,DCV00001879,upper,Final Reading,2012-10-02 00:00:00,other,12,0,0
dc,19,upper,B 19-0829,DCV00001910,upper,Final Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-0902,DCV00001912,upper,Final Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-0915,DCV00001859,upper,Final Reading,2012-10-02 00:00:00,other,12,0,0
dc,19,upper,B 19-0916,DCV00001915,upper,Final Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-0917,DCV00001969,upper,Final Reading,2012-11-01 00:00:00,other,10,0,2
dc,19,upper,B 19-0918,DCV00001917,upper,Final Reading,2012-10-16 00:00:00,other,10,1,1
dc,19,upper,B 19-0919,DCV00001953,upper,Final Reading,2012-10-02 00:00:00,other,8,4,0
dc,19,upper,B 19-0922,DCV00001918,upper,Final Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-0924,DCV00001919,upper,Final Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-0949,DCV00001920,upper,Final Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-0949,DCV00001921,upper,1st Reading,2012-09-19 00:00:00,other,11,0,1
dc,19,upper,B 19-0951,DCV00001922,upper,Final Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-0958,DCV00001923,upper,Final Reading,2012-10-16 00:00:00,other,11,0,1
dc,19,upper,B 19-0968,DCV00001924,upper,Final Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-0969,DCV00001925,upper,Final Reading,2012-10-16 00:00:00,other,11,0,1
dc,19,upper,B 19-0976,DCV00001926,upper,Final Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-0978,DCV00001927,upper,Final Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-0978,DCV00001928,upper,1st Reading,2012-10-02 00:00:00,other,12,0,0
dc,19,upper,B 19-0979,DCV00001893,upper,Final Reading,2012-10-02 00:00:00,other,12,0,0
dc,19,upper,B 19-0980,DCV00001929,upper,Final Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-0996,DCV00001930,upper,Final Reading,2012-10-16 00:00:00,other,11,0,1
dc,19,upper,B 19-0997,DCV00001931,upper,Final Reading,2012-10-16 00:00:00,other,11,0,1
dc,19,upper,B 19-1001,DCV00001992,upper,Final Reading,2012-11-01 00:00:00,other,10,0,2
dc,19,upper,B 19-1002,DCV00001932,upper,Final Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-1003,DCV00001933,upper,Final Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,PR 19-0746,DCV00001866,upper,Final Reading,2012-10-02 00:00:00,other,12,0,0
dc,19,upper,PR 19-0747,DCV00001867,upper,Final Reading,2012-10-02 00:00:00,other,12,0,0
dc,19,upper,B 19-0749,DCV00001962,upper,1st Reading,2012-11-01 00:00:00,other,10,0,2
dc,19,upper,B 19-0916,DCV00001860,upper,1st Reading,2012-10-02 00:00:00,other,12,0,0
dc,19,upper,B 19-0976,DCV00001861,upper,1st Reading,2012-10-02 00:00:00,other,12,0,0
dc,19,upper,PR 19-0993,DCV00002010,upper,Final Reading,2012-11-01 00:00:00,other,10,0,2
dc,19,upper,B 19-0162,DCV00001902,upper,1st Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-0214,DCV00001903,upper,1st Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-0376,DCV00001905,upper,1st Reading,2012-10-16 00:00:00,other,10,0,2
dc,19,upper,B 19-0895,DCV00001881,upper,Final Reading,2012-10-02 00:00:00,other,12,0,0
