id,state,chamber,committee,subcommittee,parent_id
DCC000014,dc,upper,Human Services,,
DCC000017,dc,upper,Finance and Revenue,,
DCC000025,dc,upper,Subcommittee on Redistricting 2011,,
DCC000029,dc,upper,"Business, Consumer and Regulatory Affairs",,
DCC000028,dc,upper,Transportation and the Environment,,
DCC000032,dc,upper,Education,,
DCC000030,dc,upper,the Judiciary and Public Safety,,
DCC000022,dc,upper,Government Operations,,
DCC000023,dc,upper,Health,,
DCC000031,dc,upper,Workforce and Community Affairs,,
DCC000033,dc,upper,D.C. Council Calendar,,
