leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
DCL000001,member,2011-2012,Chairman,upper,dc,Democratic,,,,,2012-06-06 00:00:00
DCL000004,member,2011-2012,At-Large,upper,dc,Independent,,,,,
DCL000004,committee member,2011-2012,,upper,dc,,DCC000015,Small and Local Business Development,,,
DCL000004,committee member,2011-2012,,upper,dc,,DCC000017,Finance and Revenue,,,
DCL000004,committee member,2011-2012,,upper,dc,,DCC000027,Jobs and Workforce Development,,,
DCL000004,committee member,2011-2012,,upper,dc,,DCC000026,Economic Development and Housing,,,
DCL000004,committee member,2011-2012,,upper,dc,,DCC000022,Government Operations,,,
DCL000004,committee member,2011-2012,,upper,dc,,DCC000025,Subcommittee on Redistricting 2011,,,
DCL000004,committee member,2011-2012,,upper,dc,,DCC000014,Human Services,,,
DCL000006,member,2011-2012,At-Large,upper,dc,Independent,,,,,2012-04-15 00:00:00
DCL000013,member,2011-2012,Ward 5,upper,dc,Democratic,,,,,2012-01-05 00:00:00
DCL000013,committee member,2011-2012,,upper,dc,,DCC000015,Small and Local Business Development,,,
DCL000013,committee member,2011-2012,,upper,dc,,DCC000020,Housing and Workforce Development,,,
DCL000013,committee member,2011-2012,,upper,dc,,DCC000022,Government Operations,,,
DCL000021,member,2013-2014,At-Large,upper,dc,Democratic,,,,,
DCL000021,committee member,2013-2014,,upper,dc,,DCC000030,the Judiciary and Public Safety,,,
DCL000021,committee member,2013-2014,,upper,dc,,DCC000014,Human Services,,,
DCL000021,committee member,2013-2014,,upper,dc,,DCC000023,Health,,,
DCL000005,member,2013-2014,Chairman,upper,dc,Democratic,,,,,
DCL000005,member,2011-2012,Chairman,upper,dc,Democratic,,,,,
DCL000005,committee member,2011-2012,,upper,dc,,DCC000016,"Libraries, Parks, Recreation, and Planning",,,
DCL000005,committee member,2011-2012,,upper,dc,,DCC000027,Jobs and Workforce Development,,,
DCL000005,committee member,2011-2012,,upper,dc,,DCC000021,the Judiciary,,,
DCL000005,committee member,2011-2012,,upper,dc,,DCC000018,Public Services and Consumer Affairs,,,
DCL000005,committee member,2011-2012,,upper,dc,,DCC000025,Subcommittee on Redistricting 2011,,,
DCL000020,member,2013-2014,At-Large,upper,dc,Independent,,,,,
DCL000020,committee member,2013-2014,,upper,dc,,DCC000017,Finance and Revenue,,,
DCL000020,committee member,2013-2014,,upper,dc,,DCC000032,Education,,,
