state,session,chamber,bill_id,date,action,actor,type
de,146,lower,HB 1,2011-01-06 00:00:00,Introduced and Assigned to Education Committee in House,lower,bill:introduced|committee:referred
de,146,lower,HB 1,2011-01-12 00:00:00,Amendment HA 1 -  Introduced and Placed With Bill,lower,amendment:introduced
de,146,lower,HB 1,2011-01-12 00:00:00,Reported Out of Committee (EDUCATION) in House with 14 Favorable,lower,committee:passed|committee:passed:favorable
de,146,lower,HB 1,2011-01-13 00:00:00,Assigned to Appropriations Committee in House,lower,bill:introduced|committee:referred
de,146,lower,HB 1,2011-01-19 00:00:00,Reported Out of Committee (APPROPRIATIONS) in House with 6 Favorable,lower,committee:passed|committee:passed:favorable
de,146,lower,HB 1,2011-01-20 00:00:00,Amendment HA 1 -  Passed in House by Voice Vote,lower,amendment:passed
de,146,lower,HB 1,2011-01-20 00:00:00,Passed by House of Representatives. Votes: Passed   41 YES     0 NO     0 NOT VOTING     0 ABSENT     0 VACANT,lower,bill:passed
de,146,lower,HB 1,2011-01-25 00:00:00,Assigned to Education Committee in Senate,upper,bill:introduced|committee:referred
de,146,lower,HB 1,2011-01-25 00:00:00,Assigned to Education Committee in Senate,upper,bill:introduced|committee:referred
de,146,lower,HB 1,2011-01-26 00:00:00,Reported Out of Committee (EDUCATION) in Senate with 4 On Its Merits,upper,committee:passed
de,146,lower,HB 1,2011-01-26 00:00:00,Passed by Senate. Votes: Passed   13 YES     0 NO     0 NOT VOTING     8 ABSENT     0 VACANT,upper,bill:passed
de,146,lower,HB 1,2011-02-17 00:00:00,Signed by Governor,governor,governor:signed
de,146,lower,HB 10,2011-01-18 00:00:00,Introduced and Assigned to Revenue & Finance Committee in House,lower,bill:introduced|committee:referred
de,146,lower,HB 10,2011-01-19 00:00:00,Reported Out of Committee (REVENUE & FINANCE) in House with 11 On Its Merits,lower,committee:passed
de,146,lower,HB 10,2011-01-20 00:00:00,Amendment HA 1 -  Introduced and Placed With Bill,lower,amendment:introduced
de,146,lower,HB 10,2011-01-20 00:00:00,Amendment HA 1 -  Passed in House by Voice Vote,lower,amendment:passed
de,146,lower,HB 10,2011-01-20 00:00:00,Passed by House of Representatives. Votes: Passed   41 YES     0 NO     0 NOT VOTING     0 ABSENT     0 VACANT,lower,bill:passed
de,146,lower,HB 10,2011-01-25 00:00:00,Assigned to Executive Committee in Senate,upper,bill:introduced|committee:referred
de,146,lower,HB 10,2011-01-26 00:00:00, Necessary rules are suspended in Senate,upper,other
de,146,lower,HB 10,2011-01-26 00:00:00,Passed by Senate. Votes: Passed   13 YES     0 NO     0 NOT VOTING     8 ABSENT     0 VACANT,upper,bill:passed
de,146,lower,HB 10,2011-01-28 00:00:00,Signed by Governor,governor,governor:signed
de,146,lower,HB 100,2011-05-04 00:00:00,Introduced and Assigned to Judiciary Committee in House,lower,bill:introduced|committee:referred
de,146,lower,HB 100,2011-05-11 00:00:00,Reported Out of Committee (JUDICIARY) in House with 7 On Its Merits,lower,committee:passed
de,146,lower,HB 100,2011-06-02 00:00:00,Amendment HA 1 -  Introduced and Placed With Bill,lower,amendment:introduced
de,146,lower,HB 100,2011-06-02 00:00:00,Amendment HA 1 -  Passed in House by Voice Vote,lower,amendment:passed
de,146,lower,HB 100,2011-06-02 00:00:00,Passed by House of Representatives. Votes: Passed   37 YES     0 NO     0 NOT VOTING     4 ABSENT     0 VACANT,lower,bill:passed
de,146,lower,HB 100,2011-06-07 00:00:00,Assigned to Judiciary Committee in Senate,upper,bill:introduced|committee:referred
de,146,lower,HB 100,2011-06-21 00:00:00,Reported Out of Committee (JUDICIARY) in Senate with 4 On Its Merits,upper,committee:passed
de,146,lower,HB 100,2011-06-23 00:00:00,Amendment SA 1 -   Introduced in Senate,upper,amendment:introduced
de,146,lower,HB 100,2011-06-23 00:00:00,Amendment SA 1 -  Laid On Table in Senate,upper,amendment:tabled
de,146,lower,HB 100,2011-06-23 00:00:00,Defeated by Senate. Votes: Defeated   10 YES     5 NO     5 NOT VOTING     1 ABSENT     0 VACANT,upper,bill:failed
