id,state,chamber,committee,subcommittee,parent_id
DEC000026,de,lower,Transportation/Land Use and Infrastructure,,
DEC000027,de,lower,Manufactured Housing,,
DEC000028,de,lower,House Rules,,
DEC000031,de,lower,Revenue & Finance,,
DEC000036,de,lower,Housing & Community Affairs,,
DEC000037,de,lower,Gaming & Parimutuels,,
DEC000038,de,lower,Ethics,,
DEC000045,de,lower,Energy,,
DEC000047,de,lower,Economic Development/Banking/Insurance/Commerce,,
DEC000050,de,lower,House Administration,,
DEC000035,de,lower,Judiciary,,
DEC000039,de,lower,Sunset Committee (Policy Analysis & Government Accountability),,
DEC000048,de,lower,Education,,
DEC000049,de,lower,Agriculture,,
DEC000051,de,lower,Legislative Council,,
DEC000029,de,lower,Labor,,
DEC000030,de,lower,Public Safety & Homeland Security,,
DEC000034,de,lower,Telecommunication Internet & Technology,,
DEC000044,de,lower,Natural Resources,,
DEC000046,de,lower,Capital Infrastructure,,
DEC000032,de,lower,Joint Finance,,
DEC000033,de,lower,Health & Human Development,,
DEC000040,de,lower,Appropriations,,
DEC000041,de,lower,Veterans Affairs,,
DEC000043,de,lower,Corrections,,
DEC000002,de,upper,Labor & Industrial Relations,,
DEC000003,de,upper,Natural Resources & Environmental Control,,
DEC000004,de,upper,Energy & Transit,,
DEC000005,de,upper,Finance,,
DEC000006,de,upper,Judiciary,,
DEC000010,de,upper,Children; Youth & Families,,
DEC000011,de,upper,Veterans Affairs,,
DEC000012,de,upper,Legislative Council,,
DEC000013,de,upper,Sunset,,
DEC000014,de,upper,Adult & Juvenile Corrections,,
DEC000016,de,upper,Banking,,
DEC000017,de,upper,Highways & Transportation,,
DEC000018,de,upper,Public Safety,,
DEC000021,de,upper,Administrative Services/Elections,,
DEC000022,de,upper,Small Business,,
DEC000023,de,upper,Education,,
DEC000007,de,upper,Ethics,,
DEC000024,de,upper,Agriculture,,
DEC000025,de,upper,Insurance,,
DEC000001,de,upper,Community/County Affairs,,
DEC000008,de,upper,Bond,,
DEC000009,de,upper,Permanent Rules,,
DEC000019,de,upper,Executive,,
DEC000020,de,upper,Health & Social Services,,
