vote_id,leg_id,name,vote
FLV00000001,FLL000001,Alexander,yes
FLV00000001,FLL000015,Gaetz,yes
FLV00000001,FLL000002,Altman,yes
FLV00000001,FLL000016,Garcia,yes
FLV00000001,FLL000031,Richter,yes
FLV00000001,FLL000003,Benacquisto,yes
FLV00000001,FLL000017,Gardiner,yes
FLV00000001,FLL000004,Bennett,yes
FLV00000001,FLL000019,Hays,yes
FLV00000001,FLL000005,Bogdanoff,yes
FLV00000001,FLL000034,Simmons,yes
FLV00000001,FLL000021,Jones,yes
FLV00000001,FLL000008,Dean,yes
FLV00000001,FLL000023,Latvala,yes
FLV00000001,FLL000009,Detert,yes
FLV00000001,FLL000024,Lynn,yes
FLV00000001,FLL000038,Storms,yes
FLV00000001,FLL000010,Diaz de la Portilla,yes
FLV00000001,FLL000039,Thrasher,yes
FLV00000001,FLL000011,Dockery,yes
FLV00000001,FLL000026,Montford,yes
FLV00000001,FLL000040,Wise,yes
FLV00000001,FLL000012,Evers,yes
FLV00000001,FLL000027,Negron,yes
FLV00000001,FLL000018,President Haridopolos,yes
FLV00000001,FLL000013,Fasano,yes
FLV00000001,FLL000028,Norman,yes
FLV00000001,FLL000014,Flores,yes
FLV00000001,FLL000029,Oelrich,yes
FLV00000001,FLL000030,Rich,no
FLV00000001,FLL000032,Ring,no
FLV00000001,FLL000033,Sachs,no
FLV00000001,FLL000020,Hill,no
FLV00000001,FLL000006,Braynon,no
FLV00000001,FLL000035,Siplin,no
FLV00000001,FLL000022,Joyner,no
FLV00000001,FLL000036,Smith,no
FLV00000001,FLL000037,Sobel,no
FLV00000001,FLL000025,Margolis,no
FLV00000001,FLL000007,Bullard,other
FLV00000002,FLL000001,Alexander,yes
FLV00000002,FLL000015,Gaetz,yes
FLV00000002,FLL000030,Rich,yes
FLV00000002,FLL000002,Altman,yes
FLV00000002,FLL000016,Garcia,yes
FLV00000002,FLL000031,Richter,yes
FLV00000002,FLL000003,Benacquisto,yes
FLV00000002,FLL000017,Gardiner,yes
FLV00000002,FLL000004,Bennett,yes
FLV00000002,FLL000019,Hays,yes
FLV00000002,FLL000033,Sachs,yes
FLV00000002,FLL000005,Bogdanoff,yes
FLV00000002,FLL000020,Hill,yes
FLV00000002,FLL000034,Simmons,yes
FLV00000002,FLL000006,Braynon,yes
FLV00000002,FLL000021,Jones,yes
FLV00000002,FLL000035,Siplin,yes
FLV00000002,FLL000022,Joyner,yes
FLV00000002,FLL000036,Smith,yes
FLV00000002,FLL000008,Dean,yes
FLV00000002,FLL000023,Latvala,yes
FLV00000002,FLL000037,Sobel,yes
FLV00000002,FLL000009,Detert,yes
FLV00000002,FLL000024,Lynn,yes
FLV00000002,FLL000038,Storms,yes
FLV00000002,FLL000010,Diaz de la Portilla,yes
FLV00000002,FLL000025,Margolis,yes
FLV00000002,FLL000039,Thrasher,yes
FLV00000002,FLL000011,Dockery,yes
FLV00000002,FLL000026,Montford,yes
FLV00000002,FLL000040,Wise,yes
FLV00000002,FLL000012,Evers,yes
FLV00000002,FLL000027,Negron,yes
FLV00000002,FLL000018,President Haridopolos,yes
FLV00000002,FLL000013,Fasano,yes
FLV00000002,FLL000028,Norman,yes
FLV00000002,FLL000014,Flores,yes
FLV00000002,FLL000029,Oelrich,yes
FLV00000002,FLL000032,Ring,other
FLV00000002,FLL000007,Bullard,other
FLV00000003,FLL000001,Alexander,yes
FLV00000003,FLL000015,Gaetz,yes
FLV00000003,FLL000030,Rich,yes
FLV00000003,FLL000002,Altman,yes
FLV00000003,FLL000016,Garcia,yes
FLV00000003,FLL000031,Richter,yes
FLV00000003,FLL000003,Benacquisto,yes
FLV00000003,FLL000017,Gardiner,yes
FLV00000003,FLL000004,Bennett,yes
FLV00000003,FLL000019,Hays,yes
FLV00000003,FLL000033,Sachs,yes
FLV00000003,FLL000005,Bogdanoff,yes
FLV00000003,FLL000020,Hill,yes
FLV00000003,FLL000034,Simmons,yes
FLV00000003,FLL000006,Braynon,yes
FLV00000003,FLL000021,Jones,yes
FLV00000003,FLL000035,Siplin,yes
FLV00000003,FLL000022,Joyner,yes
FLV00000003,FLL000036,Smith,yes
FLV00000003,FLL000008,Dean,yes
FLV00000003,FLL000037,Sobel,yes
FLV00000003,FLL000009,Detert,yes
FLV00000003,FLL000024,Lynn,yes
FLV00000003,FLL000038,Storms,yes
FLV00000003,FLL000010,Diaz de la Portilla,yes
FLV00000003,FLL000025,Margolis,yes
FLV00000003,FLL000039,Thrasher,yes
FLV00000003,FLL000011,Dockery,yes
FLV00000003,FLL000026,Montford,yes
FLV00000003,FLL000040,Wise,yes
FLV00000003,FLL000012,Evers,yes
FLV00000003,FLL000027,Negron,yes
FLV00000003,FLL000018,President Haridopolos,yes
FLV00000003,FLL000013,Fasano,yes
FLV00000003,FLL000028,Norman,yes
FLV00000003,FLL000014,Flores,yes
FLV00000003,FLL000029,Oelrich,yes
FLV00000003,FLL000032,Ring,other
FLV00000003,FLL000007,Bullard,other
FLV00000003,FLL000023,Latvala,other
FLV00000004,FLL000015,Gaetz,yes
FLV00000004,FLL000030,Rich,yes
FLV00000004,FLL000002,Altman,yes
FLV00000004,FLL000016,Garcia,yes
FLV00000004,FLL000031,Richter,yes
