state,session,chamber,bill_id,type,name,leg_id
fl,2011,lower,H 1,primary,Plakon,FLL000120
fl,2011,lower,H 1001,primary,Williams,
fl,2011,lower,H 1003,primary,Artiles,FLL000045
fl,2011,lower,H 1005,primary,Artiles,FLL000045
fl,2011,lower,H 1007,primary,Bernard,FLL000050
fl,2011,lower,H 1009,primary,McBurney,FLL000106
fl,2011,lower,H 101,primary,Cruz,FLL000069
fl,2011,lower,H 1011,primary,McBurney,FLL000106
fl,2011,lower,H 1013,primary,Ingram,FLL000095
fl,2011,lower,H 1015,primary,Trujillo,FLL000150
fl,2011,lower,H 1017,primary,Thompson,FLL000147
fl,2011,lower,H 1019,primary,Plakon,FLL000120
fl,2011,lower,H 1021,primary,Dorworth,FLL000072
fl,2011,lower,H 1023,primary,Plakon,FLL000120
fl,2011,lower,H 1025,primary,Brodeur,FLL000055
fl,2011,lower,H 1027,primary,Steube,FLL000145
fl,2011,lower,H 1029,primary,Brodeur,FLL000055
fl,2011,lower,H 103,primary,Diaz,FLL000071
fl,2011,lower,H 1031,primary,Frishe,FLL000077
fl,2011,lower,H 1033,primary,Diaz,FLL000071
fl,2011,lower,H 1035,primary,Grant,FLL000085
fl,2011,lower,H 1037,primary,Bembry,FLL000048
fl,2011,lower,H 1039,primary,Patronis,FLL000116
fl,2011,lower,H 1041,primary,Kriseman,FLL000101
fl,2011,lower,H 1043,primary,Smith,FLL000139
fl,2011,lower,H 1045,primary,Clemens,FLL000064
fl,2011,lower,H 1047,primary,Diaz,FLL000071
fl,2011,lower,H 1049,primary,Nehr,FLL000110
fl,2011,lower,H 105,primary,Goodson,FLL000084
fl,2011,lower,H 1051,primary,Brandes,FLL000054
fl,2011,lower,H 1053,primary,Dorworth,FLL000072
fl,2011,lower,H 1055,primary,Garcia,FLL000080
fl,2011,lower,H 1057,primary,Artiles,FLL000045
fl,2011,lower,H 1059,primary,Burgin,FLL000058
fl,2011,lower,H 1061,primary,Waldman,FLL000152
fl,2011,lower,H 1063,primary,Goodson,FLL000084
fl,2011,lower,H 1065,primary,Moraitis,FLL000109
