state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
fl,2011,upper,S 2,FLV00000001,upper,Third Reading,2011-03-09 00:00:00,other,29,10,1
fl,2011,upper,S 84,FLV00000002,upper,Third Reading,2011-03-24 00:00:00,other,38,0,2
fl,2011,upper,S 94,FLV00000003,upper,Third Reading,2011-03-30 00:00:00,other,37,0,3
fl,2011,upper,S 138,FLV00000004,upper,Third Reading,2011-04-06 00:00:00,other,37,0,3
fl,2011,upper,S 142,FLV00000005,upper,Third Reading,2011-03-16 00:00:00,other,28,12,0
fl,2011,upper,S 146,FLV00000006,upper,Third Reading,2011-03-24 00:00:00,other,39,0,1
fl,2011,upper,S 170,FLV00000007,upper,Third Reading,2011-04-06 00:00:00,other,39,0,1
fl,2011,upper,S 228,FLV00000008,upper,Third Reading,2011-03-24 00:00:00,other,38,0,2
fl,2011,upper,S 240,FLV00000009,upper,Third Reading,2011-04-06 00:00:00,other,39,0,1
fl,2011,upper,S 244,FLV00000010,upper,Third Reading,2011-04-06 00:00:00,other,37,1,2
fl,2011,upper,S 246,FLV00000011,upper,Third Reading,2011-04-06 00:00:00,other,39,0,1
fl,2011,upper,S 248,FLV00000012,upper,Third Reading,2011-03-16 00:00:00,other,40,0,0
fl,2011,upper,S 298,FLV00000013,upper,Third Reading,2011-03-16 00:00:00,other,40,0,0
fl,2011,upper,S 312,FLV00000014,upper,Third Reading,2011-04-06 00:00:00,other,39,0,1
fl,2011,upper,S 330,FLV00000015,upper,Third Reading,2011-04-06 00:00:00,other,37,0,3
fl,2011,upper,S 344,FLV00000016,upper,Third Reading,2011-03-24 00:00:00,other,38,0,2
fl,2011,upper,S 382,FLV00000017,upper,Third Reading,2011-04-06 00:00:00,other,38,0,2
fl,2011,upper,S 400,FLV00000018,upper,Third Reading,2011-04-06 00:00:00,other,39,0,1
fl,2011,upper,S 410,FLV00000019,upper,Third Reading,2011-03-30 00:00:00,other,37,1,2
fl,2011,upper,S 444,FLV00000020,upper,Third Reading,2011-03-24 00:00:00,other,37,0,3
fl,2011,upper,S 462,FLV00000021,upper,Third Reading,2011-04-06 00:00:00,other,37,1,2
fl,2011,upper,S 478,FLV00000022,upper,Third Reading,2011-03-24 00:00:00,other,38,0,2
fl,2011,upper,S 618,FLV00000023,upper,Third Reading,2011-03-30 00:00:00,other,38,0,2
fl,2011,upper,S 702,FLV00000024,upper,Third Reading,2011-04-06 00:00:00,other,39,0,1
fl,2011,upper,S 736,FLV00000025,upper,Third Reading,2011-03-10 00:00:00,other,26,12,2
fl,2011,upper,S 736,FLV00000026,lower,Quorum,2011-03-15 00:00:00,other,116,2,2
fl,2011,upper,S 782,FLV00000027,upper,Third Reading,2011-04-06 00:00:00,other,37,0,3
fl,2011,upper,S 916,FLV00000028,upper,Third Reading,2011-03-09 00:00:00,other,39,0,1
fl,2011,upper,S 916,FLV00000029,lower,Passage,2011-03-10 00:00:00,other,118,0,2
fl,2011,upper,S 924,FLV00000030,upper,Third Reading,2011-03-09 00:00:00,other,39,0,1
fl,2011,upper,S 924,FLV00000031,lower,Passage,2011-03-10 00:00:00,other,118,0,2
fl,2011,upper,S 944,FLV00000032,upper,Third Reading,2011-03-09 00:00:00,other,39,0,1
fl,2011,upper,S 944,FLV00000033,lower,Passage,2011-03-10 00:00:00,other,119,0,1
fl,2011,upper,S 946,FLV00000034,upper,Third Reading,2011-03-09 00:00:00,other,38,0,2
fl,2011,upper,S 946,FLV00000035,lower,Passage,2011-03-10 00:00:00,other,118,0,2
fl,2011,upper,S 958,FLV00000036,upper,Third Reading,2011-03-15 00:00:00,other,27,13,0
fl,2011,upper,S 960,FLV00000037,upper,Third Reading,2011-04-06 00:00:00,other,39,0,1
fl,2011,upper,S 968,FLV00000038,upper,Third Reading,2011-04-06 00:00:00,other,39,0,1
fl,2011,upper,S 1012,FLV00000039,upper,Trust Fund Bill,2011-03-15 00:00:00,other,40,0,0
fl,2011,upper,S 1012,FLV00000040,lower,Passage,2011-04-06 00:00:00,other,116,0,3
fl,2011,upper,S 1014,FLV00000041,upper,Trust Fund Bill,2011-03-15 00:00:00,other,40,0,0
fl,2011,upper,S 1014,FLV00000042,lower,Passage,2011-04-06 00:00:00,other,114,0,5
fl,2011,upper,S 1016,FLV00000043,upper,Trust Fund Bill,2011-03-15 00:00:00,other,40,0,0
fl,2011,upper,S 1016,FLV00000044,lower,Passage,2011-04-06 00:00:00,other,116,0,3
fl,2011,upper,S 1018,FLV00000045,upper,Trust Fund Bill,2011-03-15 00:00:00,other,40,0,0
fl,2011,upper,S 1020,FLV00000047,upper,Trust Fund Bill,2011-03-15 00:00:00,other,40,0,0
fl,2011,upper,S 1020,FLV00000048,lower,Passage,2011-04-06 00:00:00,other,116,0,3
fl,2011,upper,S 1022,FLV00000049,upper,Trust Fund Bill,2011-03-15 00:00:00,other,40,0,0
fl,2011,upper,S 1022,FLV00000050,lower,Passage,2011-04-06 00:00:00,other,115,0,4
fl,2011,upper,S 1024,FLV00000051,upper,Trust Fund Bill,2011-03-15 00:00:00,other,40,0,0
fl,2011,upper,S 1024,FLV00000052,lower,Passage,2011-04-06 00:00:00,other,115,0,4
fl,2011,upper,S 1026,FLV00000053,upper,Trust Fund Bill,2011-03-15 00:00:00,other,40,0,0
fl,2011,upper,S 1026,FLV00000054,lower,Passage,2011-04-06 00:00:00,other,117,0,2
fl,2011,upper,S 1028,FLV00000055,upper,Trust Fund Bill,2011-03-15 00:00:00,other,40,0,0
fl,2011,upper,S 1028,FLV00000056,lower,Passage,2011-04-06 00:00:00,other,117,0,2
fl,2011,upper,S 1030,FLV00000057,upper,Trust Fund Bill,2011-03-15 00:00:00,other,40,0,0
fl,2011,upper,S 1030,FLV00000058,lower,Passage,2011-04-06 00:00:00,other,115,0,4
fl,2011,upper,S 1032,FLV00000059,upper,Trust Fund Bill,2011-03-15 00:00:00,other,40,0,0
fl,2011,upper,S 1032,FLV00000060,lower,Passage,2011-04-06 00:00:00,other,118,0,1
fl,2011,upper,S 1034,FLV00000061,upper,Trust Fund Bill,2011-03-15 00:00:00,other,40,0,0
fl,2011,upper,S 1034,FLV00000062,lower,Passage,2011-04-06 00:00:00,other,118,0,1
fl,2011,upper,S 1036,FLV00000063,upper,Trust Fund Bill,2011-03-15 00:00:00,other,40,0,0
fl,2011,upper,S 1036,FLV00000064,lower,Passage,2011-04-06 00:00:00,other,116,0,3
fl,2011,upper,S 1038,FLV00000065,upper,Trust Fund Bill,2011-03-15 00:00:00,other,39,0,1
fl,2011,upper,S 1038,FLV00000066,lower,Passage,2011-04-06 00:00:00,other,118,0,1
fl,2011,upper,S 1040,FLV00000067,upper,Trust Fund Bill,2011-03-15 00:00:00,other,39,0,1
fl,2011,upper,S 1042,FLV00000069,upper,Trust Fund Bill,2011-03-15 00:00:00,other,40,0,0
fl,2011,upper,S 1042,FLV00000070,lower,Passage,2011-04-06 00:00:00,other,116,0,3
fl,2011,upper,S 1044,FLV00000071,upper,Trust Fund Bill,2011-03-15 00:00:00,other,40,0,0
fl,2011,upper,S 1044,FLV00000072,lower,Passage,2011-04-06 00:00:00,other,115,0,4
fl,2011,upper,S 1142,FLV00000073,upper,Third Reading,2011-04-06 00:00:00,other,39,0,1
