state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
fl,2011,lower,H 1,Health Care Services,2011-03-02 21:41:54.687000,2012-03-19 22:20:32.570000,bill,
fl,2011,lower,H 1001,Permitting of Consumptive Uses of Water,2011-03-02 21:41:55.825000,2011-09-28 01:08:43.171000,bill,
fl,2011,lower,H 1003,Collection of Delinquent Financial Obligations,2011-03-02 21:41:55.847000,2011-09-28 01:08:43.179000,bill,
fl,2011,lower,H 1005,Murder of a Child 17 Years Of Age or Younger,2011-03-02 21:41:55.849000,2011-12-14 01:15:26.523000,bill,
fl,2011,lower,H 1007,Insurer Insolvency,2011-03-02 21:41:55.851000,2011-12-14 01:15:26.540000,bill,
fl,2011,lower,H 1009,"City of Jacksonville, Duval County",2011-03-02 21:41:55.852000,2011-12-14 01:15:26.548000,bill,
fl,2011,lower,H 101,Violations of Injunctions for Protection,2011-03-02 21:41:54.814000,2012-03-19 22:20:41.198000,bill,
fl,2011,lower,H 1011,"City of Jacksonville, Duval County",2011-03-02 21:41:55.854000,2011-09-28 01:08:43.220000,bill,
fl,2011,lower,H 1013,"Relief/James D. Feurtado, III/Miami-Dade County",2011-03-02 21:41:55.856000,2011-12-14 01:15:26.565000,bill,
fl,2011,lower,H 1015,Depositions in Juvenile Proceedings,2011-03-02 21:41:55.858000,2011-09-28 01:08:43.237000,bill,
fl,2011,lower,H 1017,State Lotteries,2011-03-02 21:41:55.859000,2011-10-19 01:14:53.858000,bill,
fl,2011,lower,H 1019,Foster Care Providers,2011-03-02 21:41:55.861000,2011-12-14 01:15:26.582000,bill,
fl,2011,lower,H 1021,Labor and Employment,2011-03-02 21:41:55.862000,2011-12-14 01:15:26.589000,bill,
fl,2011,lower,H 1023,Labor Organizations,2011-03-02 21:41:55.864000,2011-09-28 01:08:43.280000,bill,
fl,2011,lower,H 1025,Collective Bargaining,2011-03-02 21:41:55.866000,2011-09-28 01:08:43.287000,bill,
fl,2011,lower,H 1027,Pub. Rec./Law Enforcement/Firefighters,2011-03-02 21:41:55.868000,2011-12-14 01:15:26.606000,bill,
fl,2011,lower,H 1029,Interstate Compact for Juveniles,2011-03-02 21:41:55.869000,2011-12-14 01:15:26.614000,bill,
fl,2011,lower,H 103,State Lotteries,2011-03-02 21:41:54.816000,2012-03-19 22:20:41.269000,bill,
fl,2011,lower,H 1031,Collective Bargaining for Certain Public Employees,2011-03-02 21:41:55.871000,2011-12-05 01:20:54.770000,bill,
fl,2011,lower,H 1033,Retirement,2011-03-02 21:41:55.872000,2011-09-28 01:08:43.324000,bill,
fl,2011,lower,H 1035,Condominium/Cooperative/Homeowners' Associations,2011-03-02 21:41:55.874000,2011-09-28 01:08:43.331000,bill,
fl,2011,lower,H 1037,Continuing Care Retirement Communities,2011-03-02 21:41:55.876000,2011-12-14 01:15:26.642000,bill,
fl,2011,lower,H 1039,Controlled Substances,2011-03-02 21:41:55.878000,2011-12-14 01:15:26.650000,bill,
fl,2011,lower,H 1041,"Pinellas Planning Council, Pinellas County",2011-03-02 21:41:55.879000,2011-09-28 01:08:43.357000,bill,
fl,2011,lower,H 1043,Citrus County,2011-03-02 21:41:55.881000,2012-03-19 22:21:57.440000,bill,
fl,2011,lower,H 1045,Loxahatchee Groves Water Control Dist./Palm Beach,2011-03-02 21:41:55.883000,2011-12-14 01:15:26.671000,bill,
fl,2011,lower,H 1047,Nonresident Alien Accounts,2011-03-02 21:41:55.884000,2011-12-14 01:15:26.678000,bill,
fl,2011,lower,H 1049,Pinellas County,2011-03-02 21:41:55.886000,2011-09-28 01:08:43.393000,bill,
fl,2011,lower,H 105,Open House Parties,2011-03-02 21:41:54.818000,2012-03-19 22:20:41.581000,bill,
fl,2011,lower,H 1051,Economic Development,2011-03-02 21:41:55.888000,2011-11-01 01:20:50.392000,bill,
fl,2011,lower,H 1053,Special Election,2011-03-02 21:41:55.889000,2011-12-14 01:15:26.695000,bill,
fl,2011,lower,H 1055,Community Residential Homes,2011-03-02 21:41:55.891000,2011-09-28 01:08:43.416000,bill,
fl,2011,lower,H 1057,Regulation of Hoisting Equipment,2011-03-02 21:41:55.893000,2011-09-28 01:08:43.423000,bill,
fl,2011,lower,H 1059,Request for Information by Department of Lottery,2011-03-02 21:41:55.894000,2011-12-14 01:15:26.727000,bill,
fl,2011,lower,H 1061,Treatment of Stroke,2011-03-02 21:41:55.896000,2011-12-14 01:15:26.736000,bill,
fl,2011,lower,H 1063,"Canaveral Port District, Brevard County",2011-03-02 21:41:55.898000,2011-12-14 01:15:26.791000,bill,
fl,2011,lower,H 1065,Public Meetings/Discussions of Pending Litigation,2011-03-02 21:41:55.900000,2011-09-28 01:08:43.462000,bill,
fl,2011,lower,H 1067,Death and Fetal Death Registration,2011-03-02 21:41:55.901000,2011-12-14 01:15:26.803000,bill,
fl,2011,lower,H 1069,Capital Investment Tax Credit,2011-03-02 21:41:55.903000,2011-12-14 01:15:26.816000,bill,
fl,2011,lower,H 107,Local Government Accountability,2011-03-02 21:41:54.820000,2012-03-19 22:20:41.770000,bill,
