id,state,chamber,committee,subcommittee,parent_id
FLC000093,fl,joint,Joint Administrative Procedures Committee,,
FLC000094,fl,joint,Joint Committee on Public Counsel Oversight,,
FLC000095,fl,joint,Joint Legislative Auditing Committee,,
FLC000100,fl,joint,Joint Legislative Budget Commission,,
FLC000097,fl,joint,Joint Select Committee on Collective Bargaining,,
FLC000061,fl,lower,Appropriations,Agriculture & Natural Resources Appropriations,FLC000060
FLC000062,fl,lower,Appropriations,Government Operations Appropriations,FLC000060
FLC000063,fl,lower,Appropriations,Health Care Appropriations,FLC000060
FLC000065,fl,lower,Appropriations,Justice Appropriations,FLC000060
FLC000067,fl,lower,Appropriations,Transportation & Economic Development Appropriations,FLC000060
FLC000068,fl,lower,Economic Affairs,,
FLC000082,fl,lower,Judiciary,Civil Justice,FLC000081
FLC000083,fl,lower,Judiciary,Criminal Justice,FLC000081
FLC000084,fl,lower,Rules & Calendar,,
FLC000087,fl,lower,State Affairs,Agriculture & Natural Resources,FLC000086
FLC000090,fl,lower,State Affairs,Government Operations,FLC000086
FLC000114,fl,lower,Appropriations,Finance & Tax,FLC000060
FLC000117,fl,lower,Education,Choice & Innovation,FLC000074
FLC000120,fl,lower,Health & Human Services,Health Innovation,FLC000078
FLC000131,fl,lower,State Affairs,Ethics & Elections,FLC000086
FLC000132,fl,lower,Select Committee on Claim Bills,,
FLC000060,fl,lower,Appropriations,,
FLC000113,fl,lower,Appropriations,Education Appropriations,FLC000060
FLC000115,fl,lower,Economic Affairs,Economic Development & Tourism,FLC000068
FLC000073,fl,lower,Economic Affairs,Transportation & Highway Safety,FLC000068
FLC000116,fl,lower,Economic Affairs,Veteran & Military Affairs,FLC000068
FLC000074,fl,lower,Education,,
FLC000118,fl,lower,Education,Higher Education & Workforce,FLC000074
FLC000119,fl,lower,Education,K-12,FLC000074
FLC000078,fl,lower,Health & Human Services,,
FLC000121,fl,lower,Health & Human Services,Health Quality,FLC000078
FLC000122,fl,lower,Health & Human Services,Healthy Families,FLC000078
FLC000081,fl,lower,Judiciary,,
FLC000123,fl,lower,Local & Federal Affairs,,
FLC000124,fl,lower,Regulatory Affairs,,
FLC000125,fl,lower,Regulatory Affairs,Business & Professional Regulation,FLC000124
FLC000126,fl,lower,Regulatory Affairs,Energy & Utilities,FLC000124
FLC000127,fl,lower,Regulatory Affairs,Insurance & Banking,FLC000124
FLC000128,fl,lower,Rules & Calendar,Rulemaking Oversight & Repeal,FLC000084
FLC000086,fl,lower,State Affairs,,
FLC000133,fl,lower,Select Committee on PPACA (Patient Protection and Affordable Care Act),,
FLC000134,fl,lower,Select Committee on Gaming,,
FLC000105,fl,upper,Appropriations,General Government,FLC000101
FLC000107,fl,upper,Appropriations,"Transportation, Tourism, and Economic Development",FLC000101
FLC000002,fl,upper,Banking and Insurance,,
FLC000012,fl,upper,Commerce and Tourism,,
FLC000001,fl,upper,Agriculture,,
FLC000101,fl,upper,Appropriations,,
FLC000106,fl,upper,Appropriations,Health and Human Services,FLC000101
FLC000011,fl,upper,"Children, Families, and Elder Affairs",,
FLC000013,fl,upper,"Communications, Energy, and Public Utilities",,
FLC000014,fl,upper,Community Affairs,,
FLC000015,fl,upper,Criminal Justice,,
FLC000108,fl,upper,Education,,
FLC000017,fl,upper,Environmental Preservation and Conservation,,
FLC000109,fl,upper,Ethics and Elections,,
FLC000110,fl,upper,Gaming,,
FLC000018,fl,upper,Governmental Oversight and Accountability,,
FLC000111,fl,upper,Health Policy,,
FLC000021,fl,upper,Judiciary,,
FLC000022,fl,upper,"Military Affairs, Space, and Domestic Security",,
FLC000024,fl,upper,Regulated Industries,,
FLC000025,fl,upper,Rules,,
FLC000027,fl,upper,Transportation,,
FLC000112,fl,upper,Select Committee on Patient Protection and Affordable Care Act,,
FLC000104,fl,upper,Appropriations,Finance and Tax,FLC000101
FLC000102,fl,upper,Appropriations,Criminal and Civil Justice,FLC000101
FLC000103,fl,upper,Appropriations,Education,FLC000101
