leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
FLL000030,member,2011-2012,34,upper,fl,Democratic,,,,,
FLL000030,committee member,2011-2012,,upper,fl,,FLC000003,Budget,,,
FLL000030,committee member,2011-2012,,upper,fl,,FLC000008,Budget,Health and Human Services Appropriations,,
FLL000030,committee member,2011-2012,,upper,fl,,FLC000011,"Children, Families, and Elder Affairs",,,
FLL000030,committee member,2011-2012,,upper,fl,,FLC000017,Environmental Preservation and Conservation,,,
FLL000030,committee member,2011-2012,,upper,fl,,FLC000023,Reapportionment,,,
FLL000030,committee member,2011-2012,,upper,fl,,FLC000024,Regulated Industries,,,
FLL000004,member,2011-2012,21,upper,fl,Republican,,,,,
FLL000004,committee member,2011-2012,,upper,fl,,FLC000002,Banking and Insurance,,,
FLL000004,committee member,2011-2012,,upper,fl,,FLC000003,Budget,,,
FLL000004,committee member,2011-2012,,upper,fl,,FLC000004,Budget,Criminal and Civil Justice Appropriations,,
FLL000004,committee member,2011-2012,,upper,fl,,FLC000010,Budget,"Transportation, Tourism, and Economic Development Appropriations",,
FLL000004,committee member,2011-2012,,upper,fl,,FLC000014,Community Affairs,,,
FLL000004,committee member,2011-2012,,upper,fl,,FLC000015,Criminal Justice,,,
FLL000004,committee member,2011-2012,,upper,fl,,FLC000022,"Military Affairs, Space, and Domestic Security",,,
FLL000011,member,2011-2012,15,upper,fl,Republican,,,,,
FLL000011,committee member,2011-2012,,upper,fl,,FLC000001,Agriculture,,,
FLL000011,committee member,2011-2012,,upper,fl,,FLC000005,Budget,Education Pre-K - 12 Appropriations,,
FLL000011,committee member,2011-2012,,upper,fl,,FLC000011,"Children, Families, and Elder Affairs",,,
FLL000011,committee member,2011-2012,,upper,fl,,FLC000012,Commerce and Tourism,,,
FLL000011,committee member,2011-2012,,upper,fl,,FLC000026,Rules,Ethics and Elections,,
FLL000011,committee member,2011-2012,,joint,fl,,FLC000094,Joint Committee on Public Counsel Oversight,,,
FLL000018,member,2011-2012,26,upper,fl,Republican,,,,,
FLL000020,member,2011-2012,1,upper,fl,Democratic,,,,,2011-06-01 00:00:00
FLL000021,member,2011-2012,13,upper,fl,Republican,,,,,
FLL000021,committee member,2011-2012,,upper,fl,,FLC000007,Budget,General Government Appropriations,,
FLL000021,committee member,2011-2012,,upper,fl,,FLC000017,Environmental Preservation and Conservation,,,
FLL000021,committee member,2011-2012,,upper,fl,,FLC000019,Health Regulation,,,
FLL000021,committee member,2011-2012,,upper,fl,,FLC000022,"Military Affairs, Space, and Domestic Security",,,
FLL000021,committee member,2011-2012,,upper,fl,,FLC000024,Regulated Industries,,,
FLL000021,committee member,2011-2012,,upper,fl,,FLC000025,Rules,,,
FLL000029,member,2011-2012,14,upper,fl,Republican,,,,,
FLL000029,committee member,2011-2012,,upper,fl,,FLC000002,Banking and Insurance,,,
FLL000029,committee member,2011-2012,,upper,fl,,FLC000008,Budget,Health and Human Services Appropriations,,
FLL000029,committee member,2011-2012,,upper,fl,,FLC000009,Budget,Higher Education Appropriations,,
FLL000029,committee member,2011-2012,,upper,fl,,FLC000017,Environmental Preservation and Conservation,,,
FLL000029,committee member,2011-2012,,upper,fl,,FLC000020,Higher Education,,,
FLL000029,committee member,2011-2012,,upper,fl,,FLC000026,Rules,Ethics and Elections,,
FLL000046,member,2011-2012,74,lower,fl,Republican,,,,,
FLL000046,committee member,2011-2012,,lower,fl,,FLC000060,Appropriations,,,
FLL000046,committee member,2011-2012,,lower,fl,,FLC000084,Rules & Calendar,,,
FLL000048,member,2011-2012,10,lower,fl,Democratic,,,,,
FLL000048,committee member,2011-2012,,lower,fl,,FLC000060,Appropriations,,,
FLL000048,committee member,2011-2012,,lower,fl,,FLC000061,Appropriations,Agriculture & Natural Resources Appropriations,,
FLL000048,committee member,2011-2012,,lower,fl,,FLC000076,Education,K-20 Innovation,,
FLL000048,committee member,2011-2012,,lower,fl,,FLC000092,Select Committee on Water Policy,,,
FLL000048,committee member,2011-2012,,lower,fl,,FLC000086,State Affairs,,,
FLL000052,member,2011-2012,110,lower,fl,Republican,,,,,2011-03-25 00:00:00
FLL000061,member,2011-2012,35,lower,fl,Republican,,,,,
FLL000067,member,2011-2012,26,lower,fl,Republican,,,,,
FLL000067,committee member,2011-2012,,lower,fl,,FLC000062,Appropriations,Government Operations Appropriations,,
FLL000067,committee member,2011-2012,,lower,fl,,FLC000070,Economic Affairs,Community & Military Affairs,,
FLL000067,committee member,2011-2012,,lower,fl,,FLC000077,Finance & Tax,,,
FLL000067,committee member,2011-2012,,lower,fl,,FLC000089,State Affairs,Federal Affairs,,
FLL000072,member,2011-2012,34,lower,fl,Republican,,,,,
FLL000072,committee member,2011-2012,,lower,fl,,FLC000060,Appropriations,,,
