state,session,chamber,bill_id,type,name,leg_id
ga,2011_12,lower,HB 1,primary,"Franklin, Bobby",
ga,2011_12,lower,HB 10,primary,"Franklin, Bobby",
ga,2011_12,lower,HB 100,primary,"Peake, Allen",GAL000182
ga,2011_12,lower,HB 100,primary,"Williams, Roger",GAL000231
ga,2011_12,lower,HB 100,primary,"Lindsey, Edward",GAL000153
ga,2011_12,lower,HB 100,primary,"Knight, David",GAL000151
ga,2011_12,lower,HB 100,primary,"Abrams, Stacey",GAL000056
ga,2011_12,lower,HB 100,primary,"Powell, Jay",GAL000184
ga,2011_12,lower,HB 100,cosponsor,"Cowsert, Bill",GAL000009
ga,2011_12,lower,HB 1000,primary,"Roberts, Jay",GAL000193
ga,2011_12,lower,HB 1001,primary,"Roberts, Jay",GAL000193
ga,2011_12,lower,HB 1002,primary,"Roberts, Jay",GAL000193
ga,2011_12,lower,HB 1002,primary,"Pruett, Jimmy",GAL000185
ga,2011_12,lower,HB 1002,cosponsor,"Tolleson, Ross",GAL000052
ga,2011_12,lower,HB 1003,primary,"Roberts, Jay",GAL000193
ga,2011_12,lower,HB 1004,primary,"Sims, Chuck",GAL000202
ga,2011_12,lower,HB 1005,primary,"Sims, Chuck",GAL000202
ga,2011_12,lower,HB 1006,primary,"Parent, Elena",GAL000179
ga,2011_12,lower,HB 1006,primary,"Taylor, Tom",GAL000217
ga,2011_12,lower,HB 1006,primary,"Bell, Simone",GAL000067
ga,2011_12,lower,HB 1006,primary,"Gardner, Pat",GAL000113
ga,2011_12,lower,HB 1006,primary,"Henson, Michele",GAL000129
ga,2011_12,lower,HB 1006,primary,"Stephenson, Pam",GAL000212
ga,2011_12,lower,HB 1007,primary,"Williams, Al",GAL000228
ga,2011_12,lower,HB 1007,primary,"Stephens, Ron",GAL000211
ga,2011_12,lower,HB 1007,primary,"Dutton, Delvis",GAL000103
ga,2011_12,lower,HB 1008,primary,"Williams, Al",GAL000228
ga,2011_12,lower,HB 1008,primary,"Stephens, Ron",GAL000211
ga,2011_12,lower,HB 1008,primary,"Dutton, Delvis",GAL000103
ga,2011_12,lower,HB 1009,primary,"Harden, Buddy",GAL000121
ga,2011_12,lower,HB 1009,primary,"Rynders, Ed",GAL000195
ga,2011_12,lower,HB 101,primary,"McKillip, Doug",GAL000164
ga,2011_12,lower,HB 101,primary,"Holt, Doug",GAL000133
ga,2011_12,lower,HB 101,cosponsor,"Cowsert, Bill",GAL000009
ga,2011_12,lower,HB 1010,primary,"Harden, Buddy",GAL000121
ga,2011_12,lower,HB 1010,primary,"Rynders, Ed",GAL000195
ga,2011_12,lower,HB 1011,primary,"Heard, Keith",GAL000126
ga,2011_12,lower,HB 1011,primary,"McKillip, Doug",GAL000164
ga,2011_12,lower,HB 1011,primary,"Williams, Chuck",GAL000229
ga,2011_12,lower,HB 1011,cosponsor,"Unterman, Renee",GAL000053
ga,2011_12,lower,HB 1012,primary,"Benton, Tommy",GAL000069
ga,2011_12,lower,HB 1013,primary,"Benton, Tommy",GAL000069
ga,2011_12,lower,HB 1013,primary,"McCall, Tom",GAL000163
ga,2011_12,lower,HB 1014,primary,"Powell, Alan",GAL000183
ga,2011_12,lower,HB 1014,primary,"Harden, Michael",GAL000122
ga,2011_12,lower,HB 1015,primary,"Burns, Jon",GAL000078
ga,2011_12,lower,HB 1016,primary,"Powell, Alan",GAL000183
ga,2011_12,lower,HB 1016,primary,"Harden, Michael",GAL000122
ga,2011_12,lower,HB 1017,primary,"Powell, Alan",GAL000183
ga,2011_12,lower,HB 1017,primary,"Harden, Michael",GAL000122
ga,2011_12,lower,HB 1018,primary,"Maddox, Gene",GAL000156
ga,2011_12,lower,HB 1018,primary,"Taylor, Darlene",GAL000215
ga,2011_12,lower,HB 1019,primary,"Parent, Elena",GAL000179
ga,2011_12,lower,HB 1019,primary,"Taylor, Tom",GAL000217
ga,2011_12,lower,HB 1019,primary,"Bell, Simone",GAL000067
ga,2011_12,lower,HB 102,primary,"McKillip, Doug",GAL000164
ga,2011_12,lower,HB 1020,primary,"Dutton, Delvis",GAL000103
