state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
ga,2011_12,upper,SB 1,GAV00000001,upper,VETO OVERRIDE                  2010 VETO # 20,2011-01-27 11:05:00,other,52,0,4
ga,2011_12,upper,SB 10,GAV00000010,upper,PASSAGE AS AMENDED,2011-03-16 13:08:00,other,32,22,2
ga,2011_12,upper,SB 10,GAV00001507,lower,PASSAGE,2011-04-12 21:44:00,other,127,44,9
ga,2011_12,upper,SB 19,GAV00001519,lower,PASSAGE,2011-04-12 22:17:00,other,135,21,24
ga,2011_12,upper,SB 30,GAV00001524,lower,PASSAGE,2011-03-30 14:49:00,other,135,31,14
ga,2011_12,upper,SB 33,GAV00001529,lower,PASSAGE,2011-04-12 21:16:00,other,135,38,7
ga,2011_12,upper,SB 36,GAV00001535,lower,PASSAGE,2011-03-31 16:07:00,other,117,45,18
ga,2011_12,upper,SB 36,GAV00001536,lower,Agree Sen Am,2011-04-14 16:51:00,other,131,32,17
ga,2011_12,upper,SB 37,GAV00001541,upper,AGREE TO HOUSE SUBSTITUTE,2012-03-29 20:27:00,other,50,0,6
ga,2011_12,upper,SB 38,GAV00001542,lower,PASSAGE,2011-04-12 17:45:00,other,167,2,11
ga,2011_12,upper,SB 39,GAV00001545,lower,PASSAGE,2011-04-12 10:54:00,other,157,5,18
ga,2011_12,upper,SB 40,GAV00001548,upper,ADOPTION OF AMENDMENT #2 BY SENATOR FROM THE 11TH TO COMMITTEE SUB,2011-03-14 15:11:00,other,27,27,2
ga,2011_12,upper,SB 47,GAV00001552,lower,Bearden AM 28 1115,2011-04-12 20:10:00,other,73,92,15
ga,2011_12,upper,SB 47,GAV00001553,lower,PASSAGE,2011-04-12 20:11:00,other,155,18,7
ga,2011_12,upper,SB 54,GAV00001559,lower,PASSAGE,2011-03-31 11:36:00,other,157,14,9
ga,2011_12,upper,SB 54,GAV00001560,lower,Agree Sen Am,2011-04-14 22:00:00,other,154,15,11
ga,2011_12,upper,SB 58,GAV00001568,lower,PASSAGE,2011-03-31 11:41:00,other,166,1,13
ga,2011_12,upper,SB 58,GAV00001569,lower,Agree Sen Am,2011-04-14 23:29:00,other,150,2,28
ga,2011_12,upper,SB 76,GAV00001581,lower,PASSAGE,2011-04-12 16:03:00,other,167,3,10
ga,2011_12,upper,SB 79,GAV00001587,upper,ADOPTION OF AMENDMENT #2 BY THE SENATOR FROM THE 1ST,2011-03-10 11:08:00,other,36,19,1
ga,2011_12,upper,SB 79,GAV00001588,upper,PASSAGE AS AMENDED,2011-03-10 11:11:00,other,32,22,2
ga,2011_12,upper,SB 79,GAV00001584,lower,Extend Debate,2011-04-11 14:56:00,other,59,100,21
ga,2011_12,upper,SB 79,GAV00001585,lower,PASSAGE,2011-04-11 16:29:00,other,109,62,9
ga,2011_12,upper,SB 79,GAV00001589,upper,AGREE TO HOUSE SUBSTITUTE AS AMENDED BY THE SENATOR FROM THE 39TH,2011-04-14 20:27:00,other,13,32,11
ga,2011_12,upper,SB 79,GAV00001590,upper,AGREE TO HOUSE SUBSTITUTE AS AMENDED BY THE SENATOR FROM THE 2ND,2011-04-14 20:30:00,other,12,34,10
ga,2011_12,upper,SB 81,GAV00001595,lower,PASSAGE,2011-04-12 11:32:00,other,137,30,13
ga,2011_12,upper,SB 82,GAV00001597,lower,PASSAGE,2011-04-12 11:38:00,other,160,7,13
ga,2011_12,upper,SB 82,GAV00001598,lower,Agree Sen Am,2011-04-14 23:23:00,other,153,9,18
ga,2011_12,upper,SB 86,GAV00001602,lower,PASSAGE,2011-03-30 14:31:00,other,159,7,14
ga,2011_12,upper,SB 88,GAV00001606,upper,ADOPTION OF AMENDMENT #1 BY SENATOR FROM THE 27TH TO COMMITTEE SUB,2011-03-03 11:17:00,other,26,25,5
ga,2011_12,upper,SB 92,GAV00001613,upper,AGREE TO HOUSE SUBSTITUTE,2012-03-29 18:16:00,other,37,18,1
ga,2011_12,upper,SB 93,GAV00001614,lower,PASSAGE,2011-04-12 11:41:00,other,167,3,10
ga,2011_12,upper,SB 94,GAV00001617,lower,PASSAGE,2011-03-31 14:11:00,other,160,6,14
ga,2011_12,upper,SB 95,GAV00001620,lower,PASSAGE,2011-04-12 11:48:00,other,143,31,6
ga,2011_12,upper,SB 96,GAV00001622,lower,PASSAGE,2011-03-30 11:34:00,other,167,0,13
ga,2011_12,upper,SB 100,GAV00000113,upper,PASSAGE BY SUBSTITUTE,2011-03-10 12:11:00,other,48,1,7
ga,2011_12,upper,SB 100,GAV00001626,lower,PASSAGE,2011-04-12 22:22:00,other,162,1,17
ga,2011_12,upper,SB 100,GAV00001627,lower,Agree Sen Am,2011-04-14 22:41:00,other,160,2,18
ga,2011_12,upper,SB 108,GAV00001634,lower,PASSAGE,2011-03-30 14:40:00,other,167,1,12
ga,2011_12,upper,SB 110,GAV00001638,lower,PASSAGE,2012-03-21 11:45:00,other,166,0,14
ga,2011_12,upper,SB 115,GAV00001649,lower,PASSAGE,2011-04-12 11:44:00,other,164,1,15
ga,2011_12,upper,SB 121,GAV00001654,lower,PASSAGE,2011-03-31 13:50:00,other,146,7,27
ga,2011_12,upper,SB 121,GAV00001655,lower,Agree Sen Am,2011-04-14 23:07:00,other,139,23,18
ga,2011_12,upper,SB 122,GAV00001658,lower,PASSAGE,2011-03-30 16:06:00,other,92,68,20
ga,2011_12,upper,SB 122,GAV00001659,lower,RECON,2011-03-31 10:45:00,other,68,72,40
ga,2011_12,upper,SB 125,GAV00001663,lower,Local Calendar,2011-03-08 11:05:00,other,146,1,33
