state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
ga,2011_12,lower,HB 1,Crimes and Offenses; prenatal murder unlawful; provide,2011-10-07 20:03:26.407000,2012-10-18 01:39:45.101000,bill,
ga,2011_12,lower,HB 10,Child Protection Act; enact,2011-10-07 20:03:26.492000,2012-10-18 01:39:45.156000,bill,
ga,2011_12,lower,HB 100,Georgia Tax Court; create,2011-10-07 20:03:27.965000,2012-10-16 01:39:49.573000,bill,
ga,2011_12,lower,HB 1000,Irwin County; Board of Commissioners; change description of districts,2012-02-17 00:08:11.482000,2012-09-28 20:54:55.787000,bill,
ga,2011_12,lower,HB 1001,Irwin County; Board of Education; change description of districts,2012-02-17 00:08:11.498000,2012-09-28 20:54:55.851000,bill,
ga,2011_12,lower,HB 1002,Ben Hill County; Board of Commissioners; change description of districts,2012-02-17 00:08:11.508000,2012-09-28 20:54:55.906000,bill,
ga,2011_12,lower,HB 1003,Telfair County; Board of Commissioners; change description of districts,2012-02-17 00:08:11.519000,2012-09-28 20:54:56.040000,bill,
ga,2011_12,lower,HB 1004,Coffee County; board of commissioners; change description of districts,2012-02-17 00:08:11.530000,2012-09-28 20:54:56.061000,bill,
ga,2011_12,lower,HB 1005,Coffee County; Board of Education; change description of districts,2012-02-17 00:08:11.541000,2012-09-28 20:54:56.099000,bill,
ga,2011_12,lower,HB 1006,"Chamblee, City of; corporate limits; change",2012-02-17 00:08:11.556000,2012-09-28 20:54:56.123000,bill,
ga,2011_12,lower,HB 1007,Liberty County; Board of Commissioners; change description of districts,2012-02-17 00:08:11.570000,2012-09-28 20:54:56.148000,bill,
ga,2011_12,lower,HB 1008,Liberty County; Board of Education; change description of districts,2012-02-17 00:08:11.581000,2012-09-28 20:54:56.186000,bill,
ga,2011_12,lower,HB 1009,Worth County; board of commissioners; reapportion districts,2012-02-17 00:08:11.591000,2012-09-28 20:54:56.209000,bill,
ga,2011_12,lower,HB 101,Bicycles; safety; change provisions,2011-10-07 20:03:27.991000,2012-10-16 01:39:49.652000,bill,
ga,2011_12,lower,HB 1010,Worth County; Board of Education; reapportion districts,2012-02-17 00:08:11.602000,2012-09-28 20:54:56.227000,bill,
ga,2011_12,lower,HB 1011,Clarke County; City of Athens; board of education; change districts,2012-02-17 00:08:11.613000,2012-10-13 01:39:11.478000,bill,
ga,2011_12,lower,HB 1012,"Commerce, City of; board of commissioners; change description of districts",2012-02-17 00:08:11.624000,2012-09-28 20:54:56.406000,bill,
ga,2011_12,lower,HB 1013,Jackson County; School System; change description of districts,2012-02-17 00:08:11.647000,2012-09-28 20:54:56.470000,bill,
ga,2011_12,lower,HB 1014,"Lavonia, City of; corporate limits; change and extend",2012-02-17 00:08:11.659000,2012-09-28 20:54:56.485000,bill,
ga,2011_12,lower,HB 1015,Jenkins County; board of commissioners; revise districts,2012-02-17 00:08:11.670000,2012-09-28 20:54:56.523000,bill,
ga,2011_12,lower,HB 1016,Franklin County; board of commissioners; change description of districts,2012-02-17 00:08:11.682000,2012-09-28 20:54:56.541000,bill,
ga,2011_12,lower,HB 1017,Franklin County; Board of Education; change description of districts,2012-02-17 00:08:11.694000,2012-09-28 20:54:56.558000,bill,
ga,2011_12,lower,HB 1018,Grady County; board of education; change description of districts,2012-02-17 00:08:11.705000,2012-09-28 20:54:56.575000,bill,
ga,2011_12,lower,HB 1019,Dekalb County; City of Doraville; filling of vacancies in offices of mayor and councilmember; provide,2012-02-17 00:08:11.720000,2012-09-28 20:54:56.596000,bill,
ga,2011_12,lower,HB 102,Civil actions; conservation easement property; provide limitation,2011-10-07 20:03:28.013000,2012-09-28 20:54:25.372000,bill,
ga,2011_12,lower,HB 1020,Evans County; board of commissioners; change description of districts,2012-02-17 00:08:11.740000,2012-09-28 20:54:56.613000,bill,
ga,2011_12,lower,HB 1021,Evans County; Board of Education; change description of districts,2012-02-17 00:08:11.751000,2012-09-28 20:54:56.711000,bill,
