leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
GAL000137,member,2011-2012,124,lower,ga,Democratic,,,,,
GAL000137,committee member,2011-2012,,lower,ga,,GAC000043,Economic Development and Tourism,,,
GAL000137,committee member,2011-2012,,lower,ga,,GAC000047,"Energy, Utilities and Telecommunications",,,
GAL000137,committee member,2011-2012,,lower,ga,,GAC000055,Health and Human Services,,,
GAL000137,committee member,2011-2012,,lower,ga,,GAC000077,Economic Development & Tourism,,,
GAL000137,committee member,2011-2012,,lower,ga,,GAC000078,"Energy, Utilities & Telecommunications",,,
GAL000137,committee member,2011-2012,,lower,ga,,GAC000080,Health & Human Services,,,
GAL000137,committee member,2011-2012,,lower,ga,,GAC000083,Legislative & Congressional Reapportionment,,,
GAL000220,member,2011-2012,60,lower,ga,Democratic,,,,,
GAL000220,committee member,2011-2012,,lower,ga,,GAC000031,Interstate Cooperation,,,
GAL000220,committee member,2011-2012,,lower,ga,,GAC000033,Intragovernmental Coordination,,,
GAL000220,committee member,2011-2012,,lower,ga,,GAC000056,Special Committee on Small Business,,,
GAL000065,member,2011-2012,68,lower,ga,Republican,,,,,
GAL000039,member,2011-2012,26,upper,ga,Democratic,,,,,
GAL000039,committee member,2011-2012,,upper,ga,,GAC000006,Economic Development,,,
GAL000039,committee member,2011-2012,,upper,ga,,GAC000007,Education and Youth,,,
GAL000039,committee member,2011-2012,,upper,ga,,GAC000011,Health and Human Services,,,
GAL000039,committee member,2011-2012,,upper,ga,,GAC000029,"Veterans, Military and Homeland Security",,,
GAL000015,member,2011-2012,7,upper,ga,Republican,,,,,
GAL000015,committee member,2011-2012,,upper,ga,,GAC000002,Agriculture and Consumer Affairs,,,
GAL000015,committee member,2011-2012,,upper,ga,,GAC000003,Appropriations,,,
GAL000015,committee member,2011-2012,,upper,ga,,GAC000004,Assignments,,,
GAL000015,committee member,2011-2012,,upper,ga,,GAC000011,Health and Human Services,,,
GAL000015,committee member,2011-2012,,upper,ga,,GAC000013,Insurance and Labor,,,
GAL000015,committee member,2011-2012,,upper,ga,,GAC000022,Rules,,,
GAL000025,member,2011-2012,14,upper,ga,Democratic,,,,,
GAL000025,committee member,2011-2012,,upper,ga,,GAC000003,Appropriations,,,
GAL000025,committee member,2011-2012,,upper,ga,,GAC000008,Ethics,,,
GAL000025,committee member,2011-2012,,upper,ga,,GAC000017,Natural Resources and the Environment,,,
GAL000025,committee member,2011-2012,,upper,ga,,GAC000020,Regulated Industries and Utilities,,,
GAL000025,committee member,2011-2012,,upper,ga,,GAC000022,Rules,,,
GAL000018,member,2011-2012,25,upper,ga,Republican,,,,,
GAL000018,committee member,2011-2012,,upper,ga,,GAC000003,Appropriations,,,
GAL000018,committee member,2011-2012,,upper,ga,,GAC000011,Health and Human Services,,,
GAL000018,committee member,2011-2012,,upper,ga,,GAC000012,Higher Education,,,
GAL000018,committee member,2011-2012,,upper,ga,,GAC000018,Public Safety,,,
GAL000018,committee member,2011-2012,,upper,ga,,GAC000022,Rules,,,
GAL000018,committee member,2011-2012,,joint,ga,,GAC000071,Special Joint Committee on Georgia Criminal Justice Reform,,,
GAL000018,committee member,2011-2012,,upper,ga,,GAC000026,State Institutions and Property,,,
GAL000041,member,2013-2014,21,upper,ga,Republican,,,,,2012-12-05 00:00:00
GAL000041,member,2011-2012,21,upper,ga,Republican,,,,,
GAL000041,committee member,2011-2012,,upper,ga,,GAC000001,Administrative Affairs,,,
GAL000041,committee member,2011-2012,,upper,ga,,GAC000003,Appropriations,,,
GAL000041,committee member,2011-2012,,upper,ga,,GAC000004,Assignments,,,
GAL000041,committee member,2011-2012,,upper,ga,,GAC000007,Education and Youth,,,
GAL000041,committee member,2011-2012,,upper,ga,,GAC000009,Finance,,,
GAL000041,committee member,2011-2012,,upper,ga,,GAC000013,Insurance and Labor,,,
GAL000041,committee member,2011-2012,,upper,ga,,GAC000019,Reapportionment and Redistricting,,,
GAL000041,committee member,2011-2012,,upper,ga,,GAC000022,Rules,,,
GAL000041,committee member,2011-2012,,joint,ga,,GAC000071,Special Joint Committee on Georgia Criminal Justice Reform,,,
GAL000041,committee member,2011-2012,,joint,ga,,GAC000072,Special Joint Committee on Georgia Revenue Structure,,,
GAL000047,member,2011-2012,6,upper,ga,Democratic,,,,,
GAL000047,committee member,2011-2012,,upper,ga,,GAC000006,Economic Development,,,
GAL000047,committee member,2011-2012,,upper,ga,,GAC000016,MARTOC,,,
