vote_id,leg_id,name,vote
HIV00000014,HIL000017,Nishihara,yes
HIV00000014,HIL000013,Kahele,yes
HIV00000014,HIL000002,Chun Oakland,yes
HIV00000014,HIL000019,Shimabukuro,yes
HIV00000014,HIL000023,Tokuda,yes
HIV00000014,HIL000003,Dela Cruz,other
HIV00000014,HIL000016,Kouchi,other
HIV00000014,HIL000025,Wakai,other
HIV00000014,HIL000020,Slom.,other
HIV00000034,HIL000011,Ige,yes
HIV00000034,HIL000014,Kidani,yes
HIV00000034,HIL000002,Chun Oakland,yes
HIV00000034,HIL000003,Dela Cruz,yes
HIV00000034,HIL000004,English,yes
HIV00000034,HIL000006,Fukunaga,yes
HIV00000034,HIL000013,Kahele,yes
HIV00000034,HIL000015,Kim,yes
HIV00000034,HIL000016,Kouchi,yes
HIV00000034,HIL000018,Ryan,yes
HIV00000034,HIL000023,Tokuda,yes
HIV00000034,HIL000025,Wakai,yes
HIV00000034,HIL000020,Slom,yes
HIV00000034,HIL000005,Espero.,other
HIV00000049,HIL000004,English,yes
HIV00000049,HIL000005,Espero,yes
HIV00000049,HIL000003,Dela Cruz,yes
HIV00000049,HIL000007,Gabbard,yes
HIV00000049,HIL000013,Kahele,yes
HIV00000049,HIL000016,Kouchi,yes
HIV00000049,HIL000020,Slom,yes
HIV00000062,HIL000009,Green,yes
HIV00000062,HIL000001,Baker,yes
HIV00000062,HIL000002,Chun Oakland,yes
HIV00000062,HIL000019,Shimabukuro,yes
HIV00000062,HIL000025,Wakai,yes
HIV00000062,HIL000017,Nishihara ,yes
HIV00000062,HIL000020,Slom.,other
HIV00000074,HIL000075, Yamane,yes
HIV00000074,HIL000057,Morikawa,yes
HIV00000074,HIL000028,Belatti,yes
HIV00000074,HIL000040,Hanohano,yes
HIV00000074,HIL000047,Jordan,yes
HIV00000074,HIL000050,C. Lee,yes
HIV00000074,HIL000056,Mizuno,yes
HIV00000074,HIL000074,Wooley,yes
HIV00000074,HIL000033, Ching,other
HIV00000074,HIL000062,Pine.,other
HIV00000077,HIL000003,Dela Cruz,yes
HIV00000077,HIL000021,Solomon,yes
HIV00000077,HIL000018,Ryan,yes
HIV00000077,HIL000019,Shimabukuro,yes
HIV00000077,HIL000020,Slom,yes
