state,session,chamber,bill_id,type,name,leg_id
hi,2011 Regular Session,lower,HB 1,primary,TAKAI,HIL000068
hi,2011 Regular Session,lower,HB 1,primary,AQUINO,HIL000026
hi,2011 Regular Session,lower,HB 1,primary,BELATTI,HIL000028
hi,2011 Regular Session,lower,HB 1,primary,BROWER,HIL000029
hi,2011 Regular Session,lower,HB 1,primary,CHANG,HIL000032
hi,2011 Regular Session,lower,HB 1,primary,EVANS,HIL000038
hi,2011 Regular Session,lower,HB 1,primary,HANOHANO,HIL000040
hi,2011 Regular Session,lower,HB 1,primary,HERKES,HIL000043
hi,2011 Regular Session,lower,HB 1,primary,ITO,HIL000045
hi,2011 Regular Session,lower,HB 1,primary,JOHANSON,HIL000046
hi,2011 Regular Session,lower,HB 1,primary,C. LEE,HIL000050
hi,2011 Regular Session,lower,HB 1,primary,M. LEE,HIL000051
hi,2011 Regular Session,lower,HB 1,primary,MANAHAN,HIL000053
hi,2011 Regular Session,lower,HB 1,primary,MARUMOTO,HIL000054
hi,2011 Regular Session,lower,HB 1,primary,MIZUNO,HIL000056
hi,2011 Regular Session,lower,HB 1,primary,NAKASHIMA,HIL000058
hi,2011 Regular Session,lower,HB 1,primary,NISHIMOTO,HIL000059
hi,2011 Regular Session,lower,HB 1,primary,RIVIERE,HIL000064
hi,2011 Regular Session,lower,HB 1,primary,THIELEN,HIL000070
hi,2011 Regular Session,lower,HB 1,primary,WOOLEY,HIL000074
hi,2011 Regular Session,lower,HB 1,primary,Chong,HIL000034
hi,2011 Regular Session,lower,HB 1,primary,Fontaine,HIL000039
hi,2011 Regular Session,lower,HB 1,primary,Luke,HIL000052
hi,2011 Regular Session,lower,HB 1,primary,McKelvey,HIL000055
hi,2011 Regular Session,lower,HB 1,primary,B. Oshiro,HIL000060
hi,2011 Regular Session,lower,HB 1,primary,Pine,HIL000062
hi,2011 Regular Session,lower,HB 1,primary,Rhoads,HIL000063
hi,2011 Regular Session,lower,HB 1,primary,Saiki,HIL000065
hi,2011 Regular Session,lower,HB 1,primary,Souki,HIL000067
hi,2011 Regular Session,lower,HB 10,primary,THIELEN,HIL000070
hi,2011 Regular Session,lower,HB 10,primary,RIVIERE,HIL000064
hi,2011 Regular Session,lower,HB 10,primary,TAKAI,HIL000068
hi,2011 Regular Session,lower,HB 10,primary,Herkes,HIL000043
hi,2011 Regular Session,lower,HB 10,primary,C. Lee,HIL000050
hi,2011 Regular Session,lower,HB 100,primary,MCKELVEY,HIL000055
hi,2011 Regular Session,lower,HB 100,primary,AWANA,HIL000027
hi,2011 Regular Session,lower,HB 100,primary,BELATTI,HIL000028
hi,2011 Regular Session,lower,HB 100,primary,COFFMAN,HIL000036
hi,2011 Regular Session,lower,HB 100,primary,EVANS,HIL000038
hi,2011 Regular Session,lower,HB 100,primary,HERKES,HIL000043
hi,2011 Regular Session,lower,HB 100,primary,KEITH-AGARAN,HIL000049
hi,2011 Regular Session,lower,HB 100,primary,C. LEE,HIL000050
hi,2011 Regular Session,lower,HB 100,primary,MIZUNO,HIL000056
hi,2011 Regular Session,lower,HB 100,primary,MORIKAWA,HIL000057
hi,2011 Regular Session,lower,HB 100,primary,MORITA,HIL000078
hi,2011 Regular Session,lower,HB 100,primary,NAKASHIMA,HIL000058
hi,2011 Regular Session,lower,HB 100,primary,Aquino,HIL000026
hi,2011 Regular Session,lower,HB 100,primary,Cullen,HIL000037
hi,2011 Regular Session,lower,HB 100,primary,Luke,HIL000052
hi,2011 Regular Session,lower,HB 1000,primary,SAY,HIL000066
hi,2011 Regular Session,lower,HB 1001,primary,SAY (Introduced by request of another party),HIL000066
hi,2011 Regular Session,lower,HB 1002,primary,SAY (Introduced by request of another party),HIL000066
hi,2011 Regular Session,lower,HB 1003,primary,SAY,HIL000066
hi,2011 Regular Session,lower,HB 1004,primary,SAY,HIL000066
hi,2011 Regular Session,lower,HB 1005,primary,SAY,HIL000066
hi,2011 Regular Session,lower,HB 1006,primary,SAY (Introduced by request of another party),HIL000066
hi,2011 Regular Session,lower,HB 1007,primary,SAY (Introduced by request of another party),HIL000066
hi,2011 Regular Session,lower,HB 1008,primary,SAY (Introduced by request of another party),HIL000066
hi,2011 Regular Session,lower,HB 1009,primary,SAY,HIL000066
