state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
hi,2011 Regular Session,upper,SB 6,HIV00000014,upper,The committee(s) on  AGL recommend(s) that the measure be HELD.,2011-02-01 00:00:00,other,5,0,4
hi,2011 Regular Session,upper,SB 20,HIV00000034,upper,"The committee(s) on  WAM recommend(s) that the measure be PASSED, WITH AMENDMENTS.",2011-02-09 00:00:00,other,13,0,1
hi,2011 Regular Session,upper,SB 30,HIV00000049,upper,"The committee(s) on TIA recommend(s) that the measure be PASSED, UNAMENDED.",2011-02-07 00:00:00,other,7,0,0
hi,2011 Regular Session,upper,SB 38,HIV00000062,upper,"The committee(s) on  HTH recommend(s) that the measure be PASSED, WITH AMENDMENTS.",2011-02-09 00:00:00,other,6,0,1
hi,2011 Regular Session,upper,SB 41,HIV00000074,lower,"The committees on HLT recommend that the measure be PASSED, UNAMENDED.",2011-03-22 00:00:00,other,8,0,2
hi,2011 Regular Session,upper,SB 42,HIV00000077,upper,"The committee(s) on  WLH recommend(s) that the measure be PASSED, WITH AMENDMENTS.",2011-02-10 00:00:00,other,5,0,2
hi,2011 Regular Session,upper,SB 144,HIV00000207,upper,"The committee(s) on WLH recommend(s) that the measure be PASSED, UNAMENDED.",2011-02-03 00:00:00,other,5,0,2
hi,2011 Regular Session,upper,SB 145,HIV00000209,upper,"The committee(s) on  WLH recommend(s) that the measure be PASSED, WITH AMENDMENTS.",2011-02-12 00:00:00,other,4,0,3
hi,2011 Regular Session,upper,SB 169,HIV00000249,lower,"The committees on TRN recommend that the measure be PASSED, WITH AMENDMENTS.",2011-03-23 00:00:00,other,10,0,1
hi,2011 Regular Session,upper,SB 170,HIV00000254,lower,"The committees on TRN recommend that the measure be PASSED, WITH AMENDMENTS.",2011-03-03 00:00:00,other,8,0,3
hi,2011 Regular Session,upper,SB 240,HIV00000337,lower,"The committees on HLT recommend that the measure be PASSED, WITH AMENDMENTS.",2011-03-22 00:00:00,other,8,0,2
hi,2011 Regular Session,upper,SB 249,HIV00000353,lower,"The committees on AGR recommend that the measure be PASSED, WITH AMENDMENTS.",2011-03-18 00:00:00,other,11,0,0
hi,2011 Regular Session,upper,SB 608,HIV00000489,lower,"The committees on WLO recommend that the measure be PASSED, WITH AMENDMENTS.",2011-03-18 00:00:00,other,9,0,2
hi,2011 Regular Session,upper,SB 1144,HIV00001044,upper,The committee(s) on  AGL recommend(s) that the measure be HELD.,2011-02-12 00:00:00,other,6,0,3
