state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
hi,2011 Regular Session,lower,HB 1,RELATING TO SPECIAL NUMBER PLATES.,2011-05-04 16:48:26.355000,2012-08-30 02:41:31.552000,bill,Family and Children Issues
hi,2011 Regular Session,lower,HB 10,RELATING TO FINANCING THE INSTALLATION OF PHOTOVOLTAIC SOLAR PANELS ON SCHOOLS.,2011-05-04 16:48:26.463000,2012-08-28 02:43:01.810000,bill,Energy|Education
hi,2011 Regular Session,lower,HB 100,RELATING TO VOTING.,2011-05-04 16:48:26.841000,2012-08-30 02:41:34.648000,bill,Campaign Finance and Election Issues
hi,2011 Regular Session,lower,HB 1000,RELATING TO ENHANCED 911 SERVICES.,2011-05-04 16:48:32.792000,2011-10-20 01:30:06.789000,bill,Public Services|Other
hi,2011 Regular Session,lower,HB 1001,"MAKING APPROPRIATIONS FOR CLAIMS AGAINST THE STATE, ITS OFFICERS, OR ITS EMPLOYEES.",2011-05-04 16:48:32.803000,2012-10-18 02:23:08.670000,bill,Other|Legal Issues
hi,2011 Regular Session,lower,HB 1002,RELATING TO THE PENAL CODE.,2011-05-04 16:48:32.806000,2012-10-18 02:23:08.685000,bill,Crime
hi,2011 Regular Session,lower,HB 1003,RELATING TO THE PENAL CODE.,2011-05-04 16:48:32.818000,2011-10-20 01:30:06.843000,bill,Health|Legal Issues|Family and Children Issues
hi,2011 Regular Session,lower,HB 1004,"RELATING TO CHAPTER 480, HAWAII REVISED STATUTES.",2011-05-04 16:48:32.827000,2011-10-20 01:30:06.854000,bill,Legal Issues
hi,2011 Regular Session,lower,HB 1005,RELATING TO CHILD SUPPORT ENFORCEMENT.,2011-05-04 16:48:32.841000,2011-10-20 01:30:06.867000,bill,Family and Children Issues
hi,2011 Regular Session,lower,HB 1006,RELATING TO THE SOLICITATION OF FUNDS FROM THE PUBLIC.,2011-05-04 16:48:32.846000,2012-10-18 02:23:08.697000,bill,"Budget, Spending, and Taxes"
hi,2011 Regular Session,lower,HB 1007,RELATING TO PORNOGRAPHY OFFENSES AGAINST CHILDREN.,2011-05-04 16:48:32.853000,2012-10-18 02:23:08.717000,bill,Family and Children Issues
hi,2011 Regular Session,lower,HB 1008,RELATING TO THE POWER OF ARREST.,2011-05-04 16:48:32.861000,2012-10-18 02:23:08.740000,bill,Labor and Employment|Other
hi,2011 Regular Session,lower,HB 1009,RELATING TO FINGERPRINT RETENTION BY HAWAII CRIMINAL JUSTICE DATA CENTER.,2011-05-04 16:48:32.892000,2011-10-20 01:30:06.917000,bill,Other|Legal Issues
hi,2011 Regular Session,lower,HB 101,RELATING TO TRANSPORTATION.,2011-05-04 16:48:26.845000,2012-08-30 02:41:34.711000,bill,
hi,2011 Regular Session,lower,HB 1010,RELATING TO THE DISCLOSURE OF VITAL STATISTICS RECORDS TO LAW,2011-05-04 16:48:32.895000,2012-10-18 02:23:08.767000,bill,Other
hi,2011 Regular Session,lower,HB 1011,RELATING TO THE DEPARTMENT OF THE ATTORNEY GENERAL.,2011-05-04 16:48:32.899000,2012-10-18 02:23:08.778000,bill,Judiciary
hi,2011 Regular Session,lower,HB 1012,RELATING TO THE DEPARTMENT OF THE ATTORNEY GENERAL.,2011-05-04 16:48:32.910000,2012-10-18 02:23:08.803000,bill,Other|Judiciary
hi,2011 Regular Session,lower,HB 1013,RELATING TO LOW-INCOME HOUSING TAX CREDITS.,2011-05-04 16:48:32.913000,2012-10-18 02:23:08.817000,bill,"Housing and Property|Budget, Spending, and Taxes"
hi,2011 Regular Session,lower,HB 1014,RELATING TO CONVEYANCE TAX.,2011-05-04 16:48:32.915000,2012-10-18 02:23:08.824000,bill,"Housing and Property|Budget, Spending, and Taxes"
hi,2011 Regular Session,lower,HB 1015,MAKING AN EMERGENCY APPROPRIATION OUT OF THE BROWNFIELDS CLEANUP REVOLVING LOAN FUND.,2011-05-04 16:48:32.928000,2011-10-20 01:30:07.003000,bill,Environmental
hi,2011 Regular Session,lower,HB 1016,RELATING TO TRANSPORTATION ENERGY INITIATIVES.,2011-05-04 16:48:32.934000,2012-10-18 02:23:08.839000,bill,Transportation
hi,2011 Regular Session,lower,HB 1017,RELATING TO BIOFUELS.,2011-05-04 16:48:32.960000,2012-10-18 02:23:08.856000,bill,Energy
hi,2011 Regular Session,lower,HB 1018,RELATING TO RENEWABLE FUELS.,2011-05-04 16:48:32.962000,2012-10-18 02:23:08.882000,bill,Energy
hi,2011 Regular Session,lower,HB 1019,RELATING TO SUSTAINABILITY.,2011-05-04 16:48:32.973000,2012-10-18 02:23:08.902000,bill,Agriculture and Food|Environmental|Energy
hi,2011 Regular Session,lower,HB 102,RELATING TO EDUCATION.,2011-05-04 16:48:26.848000,2012-08-28 02:43:03.620000,bill,"Education|Other|Budget, Spending, and Taxes"
hi,2011 Regular Session,lower,HB 1020,RELATING TO THE ALOHA TOWER DEVELOPMENT CORPORATION.,2011-05-04 16:48:32.988000,2011-10-20 01:30:07.064000,bill,Other|Transportation
hi,2011 Regular Session,lower,HB 1021,MAKING APPROPRIATIONS FOR COLLECTIVE BARGAINING COST ITEMS.,2011-05-04 16:48:32.991000,2012-10-18 02:23:08.920000,bill,Legal Issues
hi,2011 Regular Session,lower,HB 1022,MAKING APPROPRIATIONS FOR COLLECTIVE BARGAINING COST ITEMS.,2011-05-04 16:48:32.993000,2012-10-18 02:23:08.927000,bill,Legal Issues
hi,2011 Regular Session,lower,HB 1023,MAKING APPROPRIATIONS FOR COLLECTIVE BARGAINING COST ITEMS.,2011-05-04 16:48:32.995000,2012-10-18 02:23:08.934000,bill,Legal Issues
hi,2011 Regular Session,lower,HB 1024,MAKING APPROPRIATIONS FOR COLLECTIVE BARGAINING COST ITEMS.,2011-05-04 16:48:32.998000,2012-10-18 02:23:08.941000,bill,Legal Issues
hi,2011 Regular Session,lower,HB 1025,MAKING APPROPRIATIONS FOR COLLECTIVE BARGAINING COST ITEMS.,2011-05-04 16:48:33,2012-10-18 02:23:08.948000,bill,Legal Issues
