leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
HIL000078,member,2011-2012,14,lower,hi,Democratic,,,,,2011-04-01 00:00:00
HIL000080,member,2011-2012,33,lower,hi,Democratic,,,,,2012-02-02 00:00:00
HIL000024,member,2011-2012,4,upper,hi,Democratic,,,,,
HIL000034,member,2011-2012,49,lower,hi,Democratic,,,,,
HIL000053,member,2011-2012,29,lower,hi,Democratic,,,,,
HIL000053,committee member,2011-2012,,lower,hi,,HIC000016,Legislative Management,,,
HIL000081,member,2011-2012,33,lower,hi,Democratic,,,,,
HIL000081,committee member,2011-2012,,lower,hi,,HIC000007,Finance,,,
HIL000006,member,2011-2012,11,upper,hi,Democratic,,,,,
HIL000006,committee member,2011-2012,,upper,hi,,HIC000024,Economic Development and Technology,,,
HIL000006,committee member,2011-2012,,upper,hi,,HIC000036,"Water, Land, and Housing",,,
HIL000006,committee member,2011-2012,,upper,hi,,HIC000030,Ways and Means,,,
HIL000018,member,2011-2012,25,upper,hi,Democratic,,,,,
HIL000018,committee member,2011-2012,,upper,hi,,HIC000034,Hawaiian Affairs,,,
HIL000018,committee member,2011-2012,,upper,hi,,HIC000026,"Public Safety, Government Operations, and Military Affairs",,,
HIL000018,committee member,2011-2012,,upper,hi,,HIC000036,"Water, Land, and Housing",,,
HIL000018,committee member,2011-2012,,upper,hi,,HIC000030,Ways and Means,,,
HIL000032,member,2011-2012,2,lower,hi,Democratic,,,,,
HIL000032,committee member,2011-2012,,lower,hi,,HIC000020,"Water, Land, & Ocean Resources",,,
HIL000032,committee member,2011-2012,,lower,hi,,HIC000004,Education,,,
HIL000032,committee member,2011-2012,,lower,hi,,HIC000005,Energy & Environmental Protection,,,
HIL000032,committee member,2011-2012,,lower,hi,,HIC000009,Higher Education,,,
HIL000032,committee member,2011-2012,,lower,hi,,HIC000011,Housing,,,
HIL000033,member,2011-2012,27,lower,hi,Republican,,,,,
HIL000033,committee member,2011-2012,,lower,hi,,HIC000002,Consumer Protection & Commerce,,,
HIL000033,committee member,2011-2012,,lower,hi,,HIC000010,Health,,,
HIL000033,committee member,2011-2012,,lower,hi,,HIC000009,Higher Education,,,
HIL000033,committee member,2011-2012,,lower,hi,,HIC000012,Human Services,,,
HIL000033,committee member,2011-2012,,lower,hi,,HIC000018,Tourism,,,
HIL000039,member,2011-2012,11,lower,hi,Republican,,,,,
HIL000039,committee member,2011-2012,,lower,hi,,HIC000004,Education,,,
HIL000039,committee member,2011-2012,,lower,hi,,HIC000014,Judiciary,,,
HIL000039,committee member,2011-2012,,lower,hi,,HIC000015,Labor & Public Employment,,,
HIL000039,committee member,2011-2012,,lower,hi,,HIC000017,Public Safety & Military Affairs,,,
HIL000039,committee member,2011-2012,,lower,hi,,HIC000019,Transportation,,,
HIL000043,member,2011-2012,5,lower,hi,Democratic,,,,,
HIL000043,committee member,2011-2012,,lower,hi,,HIC000002,Consumer Protection & Commerce,,,
HIL000043,committee member,2011-2012,,lower,hi,,HIC000005,Energy & Environmental Protection,,,
HIL000043,committee member,2011-2012,,lower,hi,,HIC000011,Housing,,,
HIL000043,committee member,2011-2012,,lower,hi,,HIC000014,Judiciary,,,
HIL000043,committee member,2011-2012,,lower,hi,,HIC000020,"Water, Land, & Ocean Resources",,,
HIL000051,member,2011-2012,38,lower,hi,Democratic,,,,,
HIL000051,committee member,2011-2012,,lower,hi,,HIC000007,Finance,,,
HIL000051,committee member,2011-2012,,lower,hi,,HIC000015,Labor & Public Employment,,,
HIL000051,committee member,2011-2012,,lower,hi,,HIC000017,Public Safety & Military Affairs,,,
HIL000051,committee member,2011-2012,,lower,hi,,HIC000019,Transportation,,,
HIL000054,member,2011-2012,19,lower,hi,Republican,,,,,
HIL000054,committee member,2011-2012,,lower,hi,,HIC000001,Agriculture,,,
HIL000054,committee member,2011-2012,,lower,hi,,HIC000002,Consumer Protection & Commerce,,,
HIL000054,committee member,2011-2012,,lower,hi,,HIC000006,Economic Revitalization & Business,,,
HIL000054,committee member,2011-2012,,lower,hi,,HIC000007,Finance,,,
HIL000054,committee member,2011-2012,,lower,hi,,HIC000013,International Affairs,,,
HIL000054,committee member,2011-2012,,lower,hi,,HIC000014,Judiciary,,,
HIL000054,committee member,2011-2012,,lower,hi,,HIC000018,Tourism,,,
HIL000060,member,2011-2012,33,lower,hi,Democratic,,,,,2011-12-07 00:00:00
HIL000060,committee member,2011-2012,,lower,hi,,HIC000002,Consumer Protection & Commerce,,,
HIL000060,committee member,2011-2012,,lower,hi,,HIC000014,Judiciary,,,
HIL000060,committee member,2011-2012,,lower,hi,,HIC000016,Legislative Management,,,
HIL000062,member,2011-2012,43,lower,hi,Republican,,,,,
HIL000062,committee member,2011-2012,,lower,hi,,HIC000003,Culture & the Arts,,,
HIL000062,committee member,2011-2012,,lower,hi,,HIC000006,Economic Revitalization & Business,,,
HIL000062,committee member,2011-2012,,lower,hi,,HIC000008,Hawaiian Affairs,,,
HIL000062,committee member,2011-2012,,lower,hi,,HIC000010,Health,,,
HIL000062,committee member,2011-2012,,lower,hi,,HIC000011,Housing,,,
HIL000062,committee member,2011-2012,,lower,hi,,HIC000012,Human Services,,,
HIL000064,member,2011-2012,46,lower,hi,Republican,,,,,
HIL000064,committee member,2011-2012,,lower,hi,,HIC000001,Agriculture,,,
HIL000064,committee member,2011-2012,,lower,hi,,HIC000005,Energy & Environmental Protection,,,
HIL000064,committee member,2011-2012,,lower,hi,,HIC000007,Finance,,,
HIL000064,committee member,2011-2012,,lower,hi,,HIC000020,"Water, Land, & Ocean Resources",,,
HIL000069,member,2011-2012,36,lower,hi,Democratic,,,,,
HIL000069,committee member,2011-2012,,lower,hi,,HIC000004,Education,,,
HIL000069,committee member,2011-2012,,lower,hi,,HIC000009,Higher Education,,,
HIL000069,committee member,2011-2012,,lower,hi,,HIC000015,Labor & Public Employment,,,
HIL000069,committee member,2011-2012,,lower,hi,,HIC000017,Public Safety & Military Affairs,,,
HIL000069,committee member,2011-2012,,lower,hi,,HIC000019,Transportation,,,
