state,session,chamber,bill_id,date,action,actor,type
ia,2011-2012,lower,HCR 1,2011-01-10 00:00:00,Resolution filed.,lower,bill:introduced
ia,2011-2012,lower,HCR 1,2011-01-10 00:00:00,Asked and received unanimous consent for the immediate consideration.,lower,other
ia,2011-2012,lower,HCR 1,2011-01-10 00:00:00,Resolution adopted.,lower,bill:passed
ia,2011-2012,lower,HCR 1,2011-01-10 00:00:00,Immediate message.,lower,other
ia,2011-2012,lower,HCR 1,2011-01-10 00:00:00,Message from House.,upper,other
ia,2011-2012,lower,HCR 1,2011-01-10 00:00:00,Placed on calendar.,upper,other
ia,2011-2012,lower,HCR 1,2011-01-10 00:00:00,Resolution adopted.,upper,bill:passed
ia,2011-2012,lower,HCR 1,2011-01-10 00:00:00,Immediate message.,upper,other
ia,2011-2012,lower,HCR 1,2011-01-10 00:00:00,Message from Senate.,lower,other
ia,2011-2012,lower,HCR 1,2011-12-31 00:00:00,* * * * * END OF 2011 ACTIONS * * * * *,lower,other
ia,2011-2012,lower,HCR 10,2011-02-18 00:00:00,"Resolution filed, referred to Human Resources.",lower,bill:introduced
ia,2011-2012,lower,HCR 10,2011-12-31 00:00:00,* * * * * END OF 2011 ACTIONS * * * * *,lower,other
ia,2011-2012,lower,HCR 101,2012-01-09 00:00:00,Resolution filed.,lower,bill:introduced
ia,2011-2012,lower,HCR 101,2012-01-09 00:00:00,Asked and received unanimous consent for the immediate consideration.,lower,other
ia,2011-2012,lower,HCR 101,2012-01-09 00:00:00,Resolution adopted.,lower,bill:passed
ia,2011-2012,lower,HCR 101,2012-01-09 00:00:00,Immediate message.,lower,other
ia,2011-2012,lower,HCR 101,2012-01-10 00:00:00,Message from House.,upper,other
ia,2011-2012,lower,HCR 101,2012-01-10 00:00:00,Placed on calendar.,upper,other
ia,2011-2012,lower,HCR 101,2012-01-10 00:00:00,Resolution adopted.,upper,bill:passed
ia,2011-2012,lower,HCR 101,2012-01-10 00:00:00,Immediate message.,upper,other
ia,2011-2012,lower,HCR 101,2012-01-10 00:00:00,Message from Senate.,lower,other
ia,2011-2012,lower,HCR 102,2012-01-09 00:00:00,Resolution filed.,lower,bill:introduced
ia,2011-2012,lower,HCR 102,2012-01-09 00:00:00,Asked and received unanimous consent for the immediate consideration.,lower,other
ia,2011-2012,lower,HCR 102,2012-01-09 00:00:00,Resolution adopted.,lower,bill:passed
