vote_id,leg_id,name,vote
IAV00000001,IAL000001,Anderson,yes
IAV00000001,IAL000019,Ernst,yes
IAV00000001,IAL000032,Johnson,yes
IAV00000001,IAL000047,Ward,yes
IAV00000001,IAL000002,Bacon,yes
IAV00000001,IAL000020,Feenstra,yes
IAV00000001,IAL000033,Kapucian,yes
IAV00000001,IAL000048,Whitver,yes
IAV00000001,IAL000003,Bartz,yes
IAV00000001,IAL000022,Greiner,yes
IAV00000001,IAL000034,Kettering,yes
IAV00000001,IAL000050,Zaun,yes
IAV00000001,IAL000006,Bertrand,yes
IAV00000001,IAL000024,Hahn,yes
IAV00000001,IAL000043,Seymour,yes
IAV00000001,IAL000008,Boettger,yes
IAV00000001,IAL000025,Hamerlinck,yes
IAV00000001,IAL000044,Smith,yes
IAV00000001,IAL000016,Dix,yes
IAV00000001,IAL000030,Houser,yes
IAV00000001,IAL000046,Sorenson,yes
IAV00000001,IAL000004,Beall,no
IAV00000001,IAL000017,Dotzler,no
IAV00000001,IAL000029,Horn,no
IAV00000001,IAL000040,Rielly,no
IAV00000001,IAL000007,Black,no
IAV00000001,IAL000018,Dvorsky,no
IAV00000001,IAL000031,Jochum,no
IAV00000001,IAL000041,Schoenjahn,no
IAV00000001,IAL000009,Bolkcom,no
IAV00000001,IAL000021,Fraise,no
IAV00000001,IAL000035,Kibbie,no
IAV00000001,IAL000042,Seng,no
IAV00000001,IAL000010,Bowman,no
IAV00000001,IAL000023,Gronstal,no
IAV00000001,IAL000151,Mathis,no
IAV00000001,IAL000045,Sodders,no
IAV00000001,IAL000012,Courtney,no
IAV00000001,IAL000026,Hancock,no
IAV00000001,IAL000036,McCoy,no
IAV00000001,IAL000049,Wilhelm,no
IAV00000001,IAL000014,Danielson,no
IAV00000001,IAL000027,Hatch,no
IAV00000001,IAL000038,Quirmbach,no
IAV00000001,IAL000015,Dearden,no
IAV00000001,IAL000028,Hogg,no
IAV00000001,IAL000039,Ragan,no
IAV00000001,IAL000005,Behn,other
IAV00000001,IAL000011,Chelgren,other
IAV00000001,IAL000037,McKinley,other
IAV00000002,IAL000004,Beall,yes
IAV00000002,IAL000015,Dearden,yes
IAV00000002,IAL000029,Horn,yes
IAV00000002,IAL000039,Ragan,yes
IAV00000002,IAL000007,Black,yes
IAV00000002,IAL000017,Dotzler,yes
IAV00000002,IAL000031,Jochum,yes
IAV00000002,IAL000040,Rielly,yes
IAV00000002,IAL000009,Bolkcom,yes
IAV00000002,IAL000018,Dvorsky,yes
IAV00000002,IAL000035,Kibbie,yes
IAV00000002,IAL000041,Schoenjahn,yes
IAV00000002,IAL000010,Bowman,yes
IAV00000002,IAL000021,Fraise,yes
IAV00000002,IAL000151,Mathis,yes
IAV00000002,IAL000042,Seng,yes
IAV00000002,IAL000012,Courtney,yes
IAV00000002,IAL000023,Gronstal,yes
IAV00000002,IAL000036,McCoy,yes
IAV00000002,IAL000045,Sodders,yes
IAV00000002,IAL000014,Danielson,yes
IAV00000002,IAL000026,Hancock,yes
IAV00000002,IAL000038,Quirmbach,yes
IAV00000002,IAL000049,Wilhelm,yes
IAV00000002,IAL000001,Anderson,no
IAV00000002,IAL000019,Ernst,no
IAV00000002,IAL000028,Hogg,no
IAV00000002,IAL000044,Smith,no
IAV00000002,IAL000002,Bacon,no
IAV00000002,IAL000020,Feenstra,no
IAV00000002,IAL000030,Houser,no
IAV00000002,IAL000046,Sorenson,no
IAV00000002,IAL000003,Bartz,no
IAV00000002,IAL000022,Greiner,no
IAV00000002,IAL000032,Johnson,no
IAV00000002,IAL000047,Ward,no
IAV00000002,IAL000006,Bertrand,no
IAV00000002,IAL000024,Hahn,no
IAV00000002,IAL000033,Kapucian,no
IAV00000002,IAL000048,Whitver,no
IAV00000002,IAL000008,Boettger,no
IAV00000002,IAL000025,Hamerlinck,no
IAV00000002,IAL000034,Kettering,no
IAV00000002,IAL000050,Zaun,no
IAV00000002,IAL000016,Dix,no
IAV00000002,IAL000027,Hatch,no
IAV00000002,IAL000043,Seymour,no
IAV00000002,IAL000005,Behn,other
IAV00000002,IAL000011,Chelgren,other
IAV00000002,IAL000037,McKinley,other
IAV00000003,IAL000001,Anderson,yes
IAV00000003,IAL000017,Dotzler,yes
IAV00000003,IAL000029,Horn,yes
IAV00000003,IAL000042,Seng,yes
IAV00000003,IAL000003,Bartz,yes
IAV00000003,IAL000018,Dvorsky,yes
IAV00000003,IAL000030,Houser,yes
IAV00000003,IAL000043,Seymour,yes
IAV00000003,IAL000004,Beall,yes
IAV00000003,IAL000019,Ernst,yes
IAV00000003,IAL000031,Jochum,yes
IAV00000003,IAL000044,Smith,yes
IAV00000003,IAL000006,Bertrand,yes
IAV00000003,IAL000020,Feenstra,yes
IAV00000003,IAL000033,Kapucian,yes
IAV00000003,IAL000045,Sodders,yes
IAV00000003,IAL000007,Black,yes
IAV00000003,IAL000021,Fraise,yes
IAV00000003,IAL000034,Kettering,yes
IAV00000003,IAL000046,Sorenson,yes
IAV00000003,IAL000008,Boettger,yes
IAV00000003,IAL000022,Greiner,yes
IAV00000003,IAL000035,Kibbie,yes
IAV00000003,IAL000047,Ward,yes
IAV00000003,IAL000009,Bolkcom,yes
IAV00000003,IAL000023,Gronstal,yes
IAV00000003,IAL000151,Mathis,yes
IAV00000003,IAL000048,Whitver,yes
IAV00000003,IAL000010,Bowman,yes
IAV00000003,IAL000024,Hahn,yes
IAV00000003,IAL000036,McCoy,yes
IAV00000003,IAL000049,Wilhelm,yes
IAV00000003,IAL000012,Courtney,yes
IAV00000003,IAL000025,Hamerlinck,yes
IAV00000003,IAL000037,McKinley,yes
IAV00000003,IAL000050,Zaun,yes
IAV00000003,IAL000014,Danielson,yes
IAV00000003,IAL000026,Hancock,yes
IAV00000003,IAL000039,Ragan,yes
IAV00000003,IAL000015,Dearden,yes
IAV00000003,IAL000027,Hatch,yes
IAV00000003,IAL000040,Rielly,yes
IAV00000003,IAL000016,Dix,yes
IAV00000003,IAL000028,Hogg,yes
IAV00000003,IAL000041,Schoenjahn,yes
IAV00000003,IAL000002,Bacon,other
IAV00000003,IAL000011,Chelgren,other
IAV00000003,IAL000038,Quirmbach,other
IAV00000003,IAL000005,Behn,other
IAV00000003,IAL000032,Johnson,other
IAV00000004,IAL000051,Abdul-Samad,yes
IAV00000004,IAL000054,Arnold,yes
IAV00000004,IAL000055,Baltimore,yes
IAV00000004,IAL000056,Baudler,yes
IAV00000004,IAL000057,Berry,yes
IAV00000004,IAL000058,Brandenburg,yes
IAV00000004,IAL000059,Byrnes,yes
IAV00000004,IAL000060,Chambers,yes
IAV00000004,IAL000061,Cohoon,yes
IAV00000004,IAL000062,Cownie,yes
IAV00000004,IAL000063,De Boef,yes
IAV00000004,IAL000064,Deyoe,yes
IAV00000004,IAL000065,Dolecheck,yes
IAV00000004,IAL000066,Drake,yes
IAV00000004,IAL000067,Forristall,yes
IAV00000004,IAL000068,Fry,yes
IAV00000004,IAL000069,Gaines,yes
IAV00000004,IAL000070,Garrett,yes
IAV00000004,IAL000071,Gaskill,yes
IAV00000004,IAL000072,Grassley,yes
IAV00000004,IAL000073,Hagenow,yes
IAV00000004,IAL000074,Hager,yes
IAV00000004,IAL000075,Hall,yes
IAV00000004,IAL000076,Hanson,yes
IAV00000004,IAL000077,Hanusa,yes
IAV00000004,IAL000078,Heaton,yes
IAV00000004,IAL000079,Heddens,yes
IAV00000004,IAL000080,Hein,yes
IAV00000004,IAL000081,Helland,yes
IAV00000004,IAL000082,Horbach,yes
IAV00000004,IAL000083,Hunter,yes
IAV00000004,IAL000084,Huseman,yes
IAV00000004,IAL000085,Isenhart,yes
IAV00000004,IAL000086,Iverson,yes
IAV00000004,IAL000087,Jacoby,yes
IAV00000004,IAL000088,Jorgensen,yes
IAV00000004,IAL000089,Kajtazovic,yes
IAV00000004,IAL000090,Kaufmann,yes
IAV00000004,IAL000092,Kelley,yes
IAV00000004,IAL000093,Klein,yes
IAV00000004,IAL000094,Koester,yes
IAV00000004,IAL000095,Kressig,yes
IAV00000004,IAL000096,Lensing,yes
IAV00000004,IAL000097,Lofgren,yes
IAV00000004,IAL000098,Lukan,yes
IAV00000004,IAL000099,Lykam,yes
IAV00000004,IAL000100,Mascher,yes
IAV00000004,IAL000101,Massie,yes
IAV00000004,IAL000102,McCarthy,yes
IAV00000004,IAL000103,"Miller, H.",yes
IAV00000004,IAL000104,"Miller, L.",yes
IAV00000004,IAL000105,Moore,yes
IAV00000004,IAL000106,Muhlbauer,yes
IAV00000004,IAL000108,Oldson,yes
IAV00000004,IAL000109,"Olson, R.",yes
IAV00000004,IAL000110,"Olson, S.",yes
IAV00000004,IAL000111,"Olson, T.",yes
IAV00000004,IAL000113,Paustian,yes
IAV00000004,IAL000114,Pearson,yes
IAV00000004,IAL000115,Petersen,yes
IAV00000004,IAL000116,Pettengill,yes
IAV00000004,IAL000117,Quirk,yes
IAV00000004,IAL000118,Raecker,yes
IAV00000004,IAL000119,Rasmussen,yes
IAV00000004,IAL000120,Rayhons,yes
IAV00000004,IAL000121,Rogers,yes
IAV00000004,IAL000122,Running-Marquardt,yes
IAV00000004,IAL000123,Sands,yes
IAV00000004,IAL000124,Schulte,yes
IAV00000004,IAL000125,Schultz,yes
IAV00000004,IAL000126,Shaw,yes
IAV00000004,IAL000127,"Smith, J.",yes
IAV00000004,IAL000128,"Smith, M.",yes
IAV00000004,IAL000129,Soderberg,yes
IAV00000004,IAL000130,Steckman,yes
IAV00000004,IAL000131,Swaim,yes
IAV00000004,IAL000132,Sweeney,yes
IAV00000004,IAL000133,"Taylor, J.",yes
IAV00000004,IAL000134,"Taylor, T.",yes
IAV00000004,IAL000135,Thede,yes
IAV00000004,IAL000136,Thomas,yes
IAV00000004,IAL000137,Tjepkes,yes
IAV00000004,IAL000138,Upmeyer,yes
IAV00000004,IAL000139,Van Engelenhoven,yes
IAV00000004,IAL000140,Vander Linden,yes
IAV00000004,IAL000141,Wagner,yes
IAV00000004,IAL000142,Watts,yes
IAV00000004,IAL000143,Wenthe,yes
IAV00000004,IAL000144,Wessel-Kroeschell,yes
IAV00000004,IAL000145,Willems,yes
IAV00000004,IAL000146,Winckler,yes
IAV00000004,IAL000147,Windschitl,yes
IAV00000004,IAL000148,Wittneben,yes
IAV00000004,IAL000149,Wolfe,yes
IAV00000004,IAL000150,Worthan,yes
IAV00000004,IAL000112,Paulsen,yes
IAV00000004,IAL000052,Alons,other
IAV00000004,IAL000053,Anderson,other
IAV00000004,IAL000091,Kearns,other
IAV00000004,IAL000107,Murphy,other
IAV00000005,IAL000001,Anderson,yes
IAV00000005,IAL000015,Dearden,yes
IAV00000005,IAL000027,Hatch,yes
IAV00000005,IAL000041,Schoenjahn,yes
IAV00000005,IAL000002,Bacon,yes
IAV00000005,IAL000016,Dix,yes
IAV00000005,IAL000028,Hogg,yes
IAV00000005,IAL000042,Seng,yes
IAV00000005,IAL000003,Bartz,yes
IAV00000005,IAL000017,Dotzler,yes
IAV00000005,IAL000029,Horn,yes
IAV00000005,IAL000043,Seymour,yes
IAV00000005,IAL000005,Behn,yes
IAV00000005,IAL000018,Dvorsky,yes
IAV00000005,IAL000031,Jochum,yes
IAV00000005,IAL000044,Smith,yes
IAV00000005,IAL000006,Bertrand,yes
IAV00000005,IAL000019,Ernst,yes
IAV00000005,IAL000034,Kettering,yes
IAV00000005,IAL000045,Sodders,yes
IAV00000005,IAL000007,Black,yes
IAV00000005,IAL000020,Feenstra,yes
IAV00000005,IAL000035,Kibbie,yes
IAV00000005,IAL000047,Ward,yes
IAV00000005,IAL000008,Boettger,yes
IAV00000005,IAL000021,Fraise,yes
IAV00000005,IAL000151,Mathis,yes
IAV00000005,IAL000048,Whitver,yes
IAV00000005,IAL000009,Bolkcom,yes
IAV00000005,IAL000022,Greiner,yes
IAV00000005,IAL000036,McCoy,yes
IAV00000005,IAL000049,Wilhelm,yes
