state,session,chamber,bill_id,type,name,leg_id
ia,2011-2012,lower,HCR 1,primary,Paulsen,IAL000112
ia,2011-2012,lower,HCR 1,primary,McCarthy,IAL000102
ia,2011-2012,lower,HCR 10,primary,Schulte,IAL000124
ia,2011-2012,lower,HCR 101,primary,Paulsen,IAL000112
ia,2011-2012,lower,HCR 101,primary,McCarthy,IAL000102
ia,2011-2012,lower,HCR 102,primary,Paulsen,IAL000112
ia,2011-2012,lower,HCR 102,primary,McCarthy,IAL000102
ia,2011-2012,lower,HCR 103,primary,Paulsen,IAL000112
ia,2011-2012,lower,HCR 103,primary,McCarthy,IAL000102
ia,2011-2012,lower,HCR 104,primary,Administration,
ia,2011-2012,lower,HCR 104,primary,Rules,
ia,2011-2012,lower,HCR 105,primary,"Olson, S",IAL000110
ia,2011-2012,lower,HCR 105,primary,"Miller, L",IAL000104
ia,2011-2012,lower,HCR 105,primary,Paustian,IAL000113
ia,2011-2012,lower,HCR 105,primary,Lykam,IAL000099
ia,2011-2012,lower,HCR 105,primary,Moore,IAL000105
ia,2011-2012,lower,HCR 105,primary,Thede,IAL000135
ia,2011-2012,lower,HCR 105,primary,Winckler,IAL000146
ia,2011-2012,lower,HCR 106,primary,Agriculture,
ia,2011-2012,lower,HCR 11,primary,Upmeyer,IAL000138
ia,2011-2012,lower,HCR 11,primary,McCarthy,IAL000102
ia,2011-2012,lower,HCR 12,primary,Administration,
ia,2011-2012,lower,HCR 12,primary,Rules,
ia,2011-2012,lower,HCR 13,primary,Commerce,
ia,2011-2012,lower,HCR 14,primary,Tjepkes,IAL000137
ia,2011-2012,lower,HCR 15,primary,Jacoby,IAL000087
ia,2011-2012,lower,HCR 16,primary,Upmeyer,IAL000138
ia,2011-2012,lower,HCR 16,primary,McCarthy,IAL000102
ia,2011-2012,lower,HCR 2,primary,Paulsen,IAL000112
ia,2011-2012,lower,HCR 2,primary,McCarthy,IAL000102
ia,2011-2012,lower,HCR 3,primary,Paulsen,IAL000112
ia,2011-2012,lower,HCR 3,primary,McCarthy,IAL000102
ia,2011-2012,lower,HCR 4,primary,Paulsen,IAL000112
ia,2011-2012,lower,HCR 4,primary,McCarthy,IAL000102
ia,2011-2012,lower,HCR 5,primary,Paulsen,IAL000112
ia,2011-2012,lower,HCR 5,primary,McCarthy,IAL000102
ia,2011-2012,lower,HCR 6,primary,Upmeyer,IAL000138
ia,2011-2012,lower,HCR 6,primary,McCarthy,IAL000102
ia,2011-2012,lower,HCR 7,primary,Chambers,IAL000060
ia,2011-2012,lower,HCR 7,primary,Kearns,IAL000091
ia,2011-2012,lower,HCR 8,primary,Alons,IAL000052
ia,2011-2012,lower,HCR 8,primary,Brandenburg,IAL000058
ia,2011-2012,lower,HCR 8,primary,Windschitl,IAL000147
ia,2011-2012,lower,HCR 8,primary,Fry,IAL000068
ia,2011-2012,lower,HCR 8,primary,Rogers,IAL000121
ia,2011-2012,lower,HCR 8,primary,De Boef,IAL000063
ia,2011-2012,lower,HCR 8,primary,Chambers,IAL000060
ia,2011-2012,lower,HCR 9,primary,Isenhart,IAL000085
ia,2011-2012,lower,HF 1,primary,Paulsen,IAL000112
ia,2011-2012,lower,HF 1,primary,Raecker,IAL000118
ia,2011-2012,lower,HF 1,primary,Upmeyer,IAL000138
ia,2011-2012,lower,HF 1,primary,Schulte,IAL000124
ia,2011-2012,lower,HF 1,primary,Watts,IAL000142
ia,2011-2012,lower,HF 1,primary,Tjepkes,IAL000137
ia,2011-2012,lower,HF 1,primary,Schultz,IAL000125
ia,2011-2012,lower,HF 1,primary,Anderson,IAL000053
ia,2011-2012,lower,HF 1,primary,De Boef,IAL000063
ia,2011-2012,lower,HF 1,primary,Huseman,IAL000084
ia,2011-2012,lower,HF 1,primary,Lukan,IAL000098
ia,2011-2012,lower,HF 1,primary,Lofgren,IAL000097
ia,2011-2012,lower,HF 1,primary,Moore,IAL000105
ia,2011-2012,lower,HF 1,primary,Garrett,IAL000070
ia,2011-2012,lower,HF 1,primary,Forristall,IAL000067
ia,2011-2012,lower,HF 1,primary,"Miller, L",IAL000104
ia,2011-2012,lower,HF 1,primary,Rayhons,IAL000120
ia,2011-2012,lower,HF 1,primary,Drake,IAL000066
ia,2011-2012,lower,HF 1,primary,Wagner,IAL000141
ia,2011-2012,lower,HF 1,primary,Helland,IAL000081
ia,2011-2012,lower,HF 1,primary,Kaufmann,IAL000090
ia,2011-2012,lower,HF 1,primary,Pearson,IAL000114
ia,2011-2012,lower,HF 1,primary,Shaw,IAL000126
ia,2011-2012,lower,HF 1,primary,Hagenow,IAL000073
ia,2011-2012,lower,HF 1,primary,"Smith, J",IAL000127
ia,2011-2012,lower,HF 1,primary,Jorgensen,IAL000088
ia,2011-2012,lower,HF 1,primary,Deyoe,IAL000064
ia,2011-2012,lower,HF 1,primary,Brandenburg,IAL000058
ia,2011-2012,lower,HF 1,primary,Sweeney,IAL000132
ia,2011-2012,lower,HF 1,primary,Hein,IAL000080
ia,2011-2012,lower,HF 1,primary,Klein,IAL000093
ia,2011-2012,lower,HF 1,primary,"Olson, S",IAL000110
ia,2011-2012,lower,HF 1,primary,Grassley,IAL000072
ia,2011-2012,lower,HF 1,primary,Rasmussen,IAL000119
ia,2011-2012,lower,HF 1,primary,Baltimore,IAL000055
ia,2011-2012,lower,HF 1,primary,Soderberg,IAL000129
ia,2011-2012,lower,HF 1,primary,Fry,IAL000068
ia,2011-2012,lower,HF 1,primary,Worthan,IAL000150
ia,2011-2012,lower,HF 1,primary,Byrnes,IAL000059
ia,2011-2012,lower,HF 1,primary,Sands,IAL000123
ia,2011-2012,lower,HF 1,primary,Windschitl,IAL000147
ia,2011-2012,lower,HF 1,primary,Massie,IAL000101
ia,2011-2012,lower,HF 1,primary,Pettengill,IAL000116
ia,2011-2012,lower,HF 10,primary,Pettengill,IAL000116
ia,2011-2012,lower,HF 10,primary,Sands,IAL000123
ia,2011-2012,lower,HF 10,primary,Deyoe,IAL000064
ia,2011-2012,lower,HF 10,primary,Lukan,IAL000098
ia,2011-2012,lower,HF 10,primary,Windschitl,IAL000147
ia,2011-2012,lower,HF 10,primary,Dolecheck,IAL000065
ia,2011-2012,lower,HF 10,primary,Chambers,IAL000060
ia,2011-2012,lower,HF 10,primary,Shaw,IAL000126
ia,2011-2012,lower,HF 10,primary,Watts,IAL000142
ia,2011-2012,lower,HF 10,primary,Kaufmann,IAL000090
ia,2011-2012,lower,HF 10,primary,Soderberg,IAL000129
ia,2011-2012,lower,HF 10,primary,Worthan,IAL000150
ia,2011-2012,lower,HF 10,primary,Paustian,IAL000113
ia,2011-2012,lower,HF 10,primary,Schultz,IAL000125
ia,2011-2012,lower,HF 10,primary,De Boef,IAL000063
ia,2011-2012,lower,HF 100,primary,Watts,IAL000142
ia,2011-2012,lower,HF 101,primary,Wagner,IAL000141
ia,2011-2012,lower,HF 102,primary,Garrett,IAL000070
ia,2011-2012,lower,HF 102,primary,Worthan,IAL000150
ia,2011-2012,lower,HF 102,primary,Massie,IAL000101
ia,2011-2012,lower,HF 102,primary,Watts,IAL000142
ia,2011-2012,lower,HF 102,primary,Rogers,IAL000121
ia,2011-2012,lower,HF 102,primary,Iverson,IAL000086
ia,2011-2012,lower,HF 102,primary,Hanson,IAL000076
ia,2011-2012,lower,HF 102,primary,Hall,IAL000075
ia,2011-2012,lower,HF 103,primary,Winckler,IAL000146
ia,2011-2012,lower,HF 104,primary,Windschitl,IAL000147
ia,2011-2012,lower,HF 105,primary,Wagner,IAL000141
ia,2011-2012,lower,HF 106,primary,Heddens,IAL000079
ia,2011-2012,lower,HF 107,primary,Abdul-Samad,IAL000051
ia,2011-2012,lower,HF 108,primary,Abdul-Samad,IAL000051
ia,2011-2012,lower,HF 109,primary,Jorgensen,IAL000088
ia,2011-2012,lower,HF 109,primary,"Olson, S",IAL000110
ia,2011-2012,lower,HF 109,primary,Soderberg,IAL000129
ia,2011-2012,lower,HF 11,primary,Pettengill,IAL000116
ia,2011-2012,lower,HF 11,primary,Lofgren,IAL000097
ia,2011-2012,lower,HF 110,primary,Isenhart,IAL000085
ia,2011-2012,lower,HF 110,primary,Hunter,IAL000083
ia,2011-2012,lower,HF 111,primary,Commerce,
ia,2011-2012,lower,HF 112,primary,Heaton,IAL000078
ia,2011-2012,lower,HF 112,primary,Forristall,IAL000067
ia,2011-2012,lower,HF 112,primary,Drake,IAL000066
ia,2011-2012,lower,HF 112,primary,Iverson,IAL000086
ia,2011-2012,lower,HF 112,primary,Garrett,IAL000070
ia,2011-2012,lower,HF 112,primary,Jorgensen,IAL000088
ia,2011-2012,lower,HF 112,primary,Baudler,IAL000056
ia,2011-2012,lower,HF 112,primary,Huseman,IAL000084
ia,2011-2012,lower,HF 112,primary,Chambers,IAL000060
ia,2011-2012,lower,HF 112,primary,Baltimore,IAL000055
ia,2011-2012,lower,HF 113,primary,Brandenburg,IAL000058
ia,2011-2012,lower,HF 114,primary,Watts,IAL000142
ia,2011-2012,lower,HF 114,primary,Baltimore,IAL000055
ia,2011-2012,lower,HF 114,primary,Cownie,IAL000062
ia,2011-2012,lower,HF 114,primary,Sands,IAL000123
ia,2011-2012,lower,HF 114,primary,Helland,IAL000081
ia,2011-2012,lower,HF 115,primary,Hagenow,IAL000073
ia,2011-2012,lower,HF 116,primary,Jorgensen,IAL000088
ia,2011-2012,lower,HF 116,primary,Iverson,IAL000086
ia,2011-2012,lower,HF 117,primary,Helland,IAL000081
ia,2011-2012,lower,HF 118,primary,Lukan,IAL000098
ia,2011-2012,lower,HF 118,primary,Kaufmann,IAL000090
ia,2011-2012,lower,HF 118,primary,Sweeney,IAL000132
ia,2011-2012,lower,HF 118,primary,Dolecheck,IAL000065
ia,2011-2012,lower,HF 118,primary,"Taylor, J",IAL000133
ia,2011-2012,lower,HF 118,primary,Jorgensen,IAL000088
ia,2011-2012,lower,HF 118,primary,Grassley,IAL000072
ia,2011-2012,lower,HF 119,primary,Lukan,IAL000098
ia,2011-2012,lower,HF 119,primary,Byrnes,IAL000059
ia,2011-2012,lower,HF 119,primary,Iverson,IAL000086
ia,2011-2012,lower,HF 119,primary,Baltimore,IAL000055
ia,2011-2012,lower,HF 119,primary,Koester,IAL000094
ia,2011-2012,lower,HF 119,primary,Shaw,IAL000126
ia,2011-2012,lower,HF 119,primary,Alons,IAL000052
ia,2011-2012,lower,HF 119,primary,"Smith, J",IAL000127
ia,2011-2012,lower,HF 119,primary,Helland,IAL000081
ia,2011-2012,lower,HF 119,primary,Schultz,IAL000125
ia,2011-2012,lower,HF 119,primary,Chambers,IAL000060
ia,2011-2012,lower,HF 119,primary,Huseman,IAL000084
ia,2011-2012,lower,HF 119,primary,Baudler,IAL000056
ia,2011-2012,lower,HF 119,primary,Jorgensen,IAL000088
ia,2011-2012,lower,HF 119,primary,Garrett,IAL000070
ia,2011-2012,lower,HF 119,primary,Lofgren,IAL000097
ia,2011-2012,lower,HF 119,primary,Drake,IAL000066
