state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
ia,2011-2012,upper,SF 2344,IAV00000001,upper,Shall amendment S–5258 be adopted?,2012-05-08 00:00:00,other,21,26,3
ia,2011-2012,upper,SF 2344,IAV00000002,upper,Shall the bill pass?,2012-05-08 00:00:00,other,24,23,3
ia,2011-2012,upper,SF 2343,IAV00000003,upper,Shall the bill pass?,2012-05-07 00:00:00,other,45,0,5
ia,2011-2012,upper,SF 2343,IAV00000004,lower,Shall the bill pass?,2012-05-08 00:00:00,other,96,0,4
ia,2011-2012,upper,SF 2342,IAV00000005,upper,Shall the bill pass?,2012-04-26 00:00:00,other,45,1,4
ia,2011-2012,upper,SF 2342,IAV00000006,lower,Shall the bill pass?,2012-05-07 00:00:00,other,82,14,4
ia,2011-2012,upper,SF 2339,IAV00000007,upper,Shall the bill pass?,2012-04-23 00:00:00,other,49,0,1
ia,2011-2012,upper,SF 2338,IAV00000008,upper,Shall amendment S–5224 be adopted?,2012-04-19 00:00:00,other,24,24,2
ia,2011-2012,upper,SF 2338,IAV00000009,upper,Shall the bill pass?,2012-04-19 00:00:00,other,47,0,3
ia,2011-2012,upper,SF 2338,IAV00000010,lower,Shall the bill pass?,2012-04-25 00:00:00,other,93,0,7
ia,2011-2012,upper,SF 2336,IAV00000011,upper,Shall amendment S–5209 to amendment S–5203 be adopted?,2012-04-12 00:00:00,other,21,26,3
ia,2011-2012,upper,SF 2336,IAV00000012,upper,Shall amendment S–5206 be adopted?,2012-04-12 00:00:00,other,22,25,3
ia,2011-2012,upper,SF 2336,IAV00000013,upper,Shall amendment S–5207 be adopted?,2012-04-12 00:00:00,other,22,25,3
ia,2011-2012,upper,SF 2336,IAV00000014,upper,Shall amendment S–5210 be adopted?,2012-04-12 00:00:00,other,47,0,3
ia,2011-2012,upper,SF 2336,IAV00000015,upper,Shall the bill pass?,2012-04-12 00:00:00,other,26,21,3
ia,2011-2012,upper,SF 2336,IAV00000017,upper,Shall the bill pass?,2012-05-09 00:00:00,other,27,18,5
ia,2011-2012,upper,SF 2336,IAV00000556,lower,"Shall amendment H–8473 , to amendment H–8464 ,be adopted?",2012-04-18 00:00:00,other,39,58,3
ia,2011-2012,upper,SF 2336,IAV00000557,lower,"Shall amendment H–8488 , to amendment H–8464 ,be adopted?",2012-04-18 00:00:00,other,38,57,5
ia,2011-2012,upper,SF 2336,IAV00000558,lower,"Shall amendment H–8468 , to amendment H–8464 ,be adopted?",2012-04-18 00:00:00,other,38,55,7
ia,2011-2012,upper,SF 2336,IAV00000559,lower,"Shall amendment H–8470 , to amendment H–8464 ,be adopted?",2012-04-18 00:00:00,other,37,58,5
ia,2011-2012,upper,SF 2336,IAV00000560,lower,"Shall amendment H–8477 , to amendment H–8464 ,be adopted?",2012-04-18 00:00:00,other,37,58,5
ia,2011-2012,upper,SF 2336,IAV00000561,lower,"Shall amendment H–8474 , to amendment H–8464 ,be adopted?",2012-04-18 00:00:00,other,38,58,4
ia,2011-2012,upper,SF 2336,IAV00000562,lower,"Shall amendment H–8489 , to amendment H–8464 ,be adopted?",2012-04-18 00:00:00,other,58,37,5
ia,2011-2012,upper,SF 2336,IAV00000563,lower,"Shall amendment H–8479 , to amendment H–8464 , beadopted?",2012-04-18 00:00:00,other,38,56,6
