state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
ia,2011-2012,lower,HCR 1,"A concurrent resolution to provide for a joint convention of the two houses
of the 2011 session of the Eighty-fourth General Assembly to be held on
Monday, January 10, 2011, at 2:00 p.m. for the canvass of votes and for a
joint convention of the two houses of the General Assembly to be held on
Tuesday, January 11, 2011, at 10:00 a.m. for Governor Chester J. Culver to
deliver his condition of the state message.",2011-09-13 01:17:11.399000,2012-08-22 03:01:37.846000,concurrent resolution,Resolutions|Other|Legislative Affairs
ia,2011-2012,lower,HCR 10,"A concurrent resolution requesting the legislative council to establish an
interim study committee to examine domestic abuse.",2011-09-13 01:17:11.293000,2012-08-22 03:01:37.806000,concurrent resolution,Resolutions|Legislative Affairs|Family and Children Issues|Crime
ia,2011-2012,lower,HCR 101,"A concurrent resolution to provide for a joint convention of the two houses
of the 2012 session of the Eighty-fourth General Assembly to be held on
Tuesday, January 10, 2012, at 10:00 a.m.  for Governor Terry E. Branstad to
deliver his condition of the state address.",2012-01-10 01:25:11.788000,2012-08-22 03:01:37.785000,concurrent resolution,Resolutions|Other|Legislative Affairs
ia,2011-2012,lower,HCR 102,"A concurrent resolution to provide for a joint convention of the two houses
of the 2012 session of the Eighty-fourth General Assembly to be held on
Wednesday, January 11, 2012, at 10:00 a.m. for Chief Justice Mark Cady to
present his condition of the judicial branch message.",2012-01-10 01:25:11.773000,2012-09-12 03:01:00.756000,concurrent resolution,Resolutions|Other|Judiciary|Legislative Affairs
ia,2011-2012,lower,HCR 103,"A concurrent resolution to provide for a joint convention of the two houses
of the 2012 session of the Eighty-fourth General Assembly to be held on
Wednesday, January 18, 2012, at 10:00 a.m.  for Adjutant General Timothy Orr
to present his message of the Condition of the Iowa National Guard.",2012-01-10 01:25:11.756000,2012-08-22 03:01:37.779000,concurrent resolution,Military|Resolutions|Other|Legislative Affairs
ia,2011-2012,lower,HCR 104,"A concurrent resolution amending the joint rules of the Senate and House of
Representatives relating to session timetable changes.  (Formerly HSB 501)",2012-01-13 01:25:53.332000,2012-10-19 03:04:03.480000,concurrent resolution,Resolutions|Other|Legislative Affairs
ia,2011-2012,lower,HCR 105,"A concurrent resolution urging the President of the United States and the
United States Congress to protect the Rock Island Arsenal from future budget
reductions.",2012-02-11 01:50:03.640000,2012-08-22 03:01:37.732000,concurrent resolution,"Military|Resolutions|Federal, State, and Local Relations|Municipal and County Issues"
ia,2011-2012,lower,HCR 106,A concurrent resolution recognizing National Agriculture Day.,2012-03-03 02:17:34.886000,2012-08-22 03:01:37.729000,concurrent resolution,Agriculture and Food|Resolutions
ia,2011-2012,lower,HCR 11,A concurrent resolution relating to Pioneer Lawmakers.,2011-09-13 01:17:11.284000,2012-08-22 03:01:37.803000,concurrent resolution,Resolutions|Other|Legislative Affairs
ia,2011-2012,lower,HCR 12,"A concurrent resolution relating to joint rules of the Senate and House of
Representatives for the Eighty-fourth General Assembly.  (Formerly HSB 3)",2011-09-13 01:17:11.272000,2012-10-19 03:04:03.540000,concurrent resolution,Resolutions|Other|Legislative Affairs
ia,2011-2012,lower,HCR 13,"A concurrent resolution urging the United States Congress to modernize the
Toxic Substances Control Act of 1976.",2011-09-13 01:17:11.262000,2012-09-20 03:17:05.067000,concurrent resolution,
ia,2011-2012,lower,HCR 14,"A concurrent resolution requesting the legislative council create a study
committee relating to law enforcement officer training in Iowa.",2011-09-13 01:17:11.251000,2012-08-22 03:01:37.793000,concurrent resolution,Resolutions|Other|Legislative Affairs
ia,2011-2012,lower,HCR 15,"A concurrent resolution amending the joint rules of the Senate and House of
Representatives relating to the consideration of bills and joint resolutions
in successive regular sessions of the same general assembly.",2011-09-13 01:17:11.241000,2012-08-22 03:01:37.791000,concurrent resolution,Resolutions|Other|Legislative Affairs
ia,2011-2012,lower,HCR 16,A concurrent resolution to provide for adjournment sine die.,2011-09-13 01:17:11.228000,2012-08-22 03:01:37.788000,concurrent resolution,Resolutions|Legislative Affairs
ia,2011-2012,lower,HCR 2,"A concurrent resolution relating to the appointment of a joint inaugural
committee.",2011-09-13 01:17:11.388000,2012-08-22 03:01:37.842000,concurrent resolution,Campaign Finance and Election Issues|Resolutions|Other
ia,2011-2012,lower,HCR 3,"A concurrent resolution to provide for a joint convention of the two houses
of the 2011 session of the Eighty-fourth General Assembly to be held on
Wednesday, January 12, 2011, at 10:00 a.m.  for Chief Justice Mark Cady to
present his message of the condition of the judicial branch.",2011-09-13 01:17:11.377000,2012-08-22 03:01:37.839000,concurrent resolution,Resolutions|State Agencies|Other|Judiciary|Legislative Affairs
ia,2011-2012,lower,HCR 4,"A concurrent resolution to provide for a joint convention of the two houses
of the 2011 session of the Eighty-fourth General Assembly to be held on
Thursday, January 27, 2011, at 10:00 a.m.  for Governor Terry E. Branstad to
deliver his budget message.",2011-09-13 01:17:11.366000,2012-08-22 03:01:37.836000,concurrent resolution,Resolutions|Other|Legislative Affairs
ia,2011-2012,lower,HCR 5,"A concurrent resolution to provide for a joint convention of the two houses
of the 2011 session of the Eighty-fourth General Assembly to be held on
Friday, January 14, 2011, at 9:00 a.m. at Hy-Vee Hall in Des Moines, Iowa
for the inauguration of Governor-elect Terry E. Branstad and Lieutenant
Governor-elect Kim Reynolds.",2011-09-13 01:17:11.353000,2012-08-22 03:01:37.832000,concurrent resolution,Campaign Finance and Election Issues|Resolutions|Other|Legislative Affairs
ia,2011-2012,lower,HCR 6,"A concurrent resolution to provide for a joint convention of the two houses
of the 2011 session of the Eighty-fourth General Assembly to be held on
Wednesday, February 16, 2011, at 10:00 a.m.  for Brigadier General Timothy
Orr to deliver his message of the Condition of the Iowa National Guard.",2011-09-13 01:17:11.342000,2012-08-22 03:01:37.829000,concurrent resolution,Military|Resolutions|Other|Legislative Affairs
ia,2011-2012,lower,HCR 7,"A concurrent resolution supporting the establishment of a veterans national
recovery center at the former Veterans Affairs Hospital campus in Knoxville,
Iowa.",2011-09-13 01:17:11.332000,2012-08-22 03:01:37.826000,concurrent resolution,Military|Resolutions
ia,2011-2012,lower,HCR 8,"A concurrent resolution requesting the United States Food and Drug
Administration to rescind approval of ulipristal acetate.",2011-09-13 01:17:11.316000,2012-08-22 03:01:37.823000,concurrent resolution,
