id,state,chamber,committee,subcommittee,parent_id
IAC000009,ia,lower,Ethics,,
IAC000001,ia,lower,Agriculture,,
IAC000002,ia,lower,Environmental Protection,,
IAC000003,ia,lower,Public Safety,,
IAC000004,ia,lower,Ways and Means,,
IAC000005,ia,lower,Local Government,,
IAC000011,ia,lower,Administration and Rules,,
IAC000012,ia,lower,Education,,
IAC000015,ia,lower,Appropriations,"Transportation, Infrastructure, and Capitals",IAC000008
IAC000016,ia,lower,Labor,,
IAC000018,ia,lower,Appropriations,Health and Human Services,IAC000008
IAC000019,ia,lower,Human Resources,,
IAC000021,ia,lower,Appropriations,Education,IAC000008
IAC000023,ia,lower,Government Oversight,,
IAC000024,ia,lower,Appropriations,Agriculture and Natural Resources,IAC000008
IAC000026,ia,lower,Appropriations,Justice System,IAC000008
IAC000028,ia,lower,Administrative Rules Review Committee,,
IAC000014,ia,lower,Veterans Affairs,,
IAC000022,ia,lower,Appropriations,Economic Development,IAC000008
IAC000006,ia,lower,Natural Resources,,
IAC000060,ia,lower,Economic Growth,,
IAC000013,ia,lower,Judiciary,,
IAC000025,ia,lower,Appropriations,Administration and Regulation,IAC000008
IAC000010,ia,lower,State Government,,
IAC000007,ia,lower,Transportation,,
IAC000017,ia,lower,Commerce,,
IAC000008,ia,lower,Appropriations,,
IAC000045,ia,upper,Ways and Means,,
IAC000048,ia,upper,Education,,
IAC000031,ia,upper,Labor and Business Relations,,
IAC000032,ia,upper,Natural Resources and Environment,,
IAC000033,ia,upper,Rules and Administration,,
IAC000034,ia,upper,State Government,,
IAC000036,ia,upper,Appropriations,Agriculture and Natural Resources,
IAC000037,ia,upper,Agriculture,,
IAC000038,ia,upper,Ethics,,
IAC000039,ia,upper,Government Oversight,,
IAC000040,ia,upper,Veterans Affairs,,
IAC000042,ia,upper,Public Retirement Systems Committee,,
IAC000043,ia,upper,Commerce,,
IAC000044,ia,upper,Local Government,,
IAC000046,ia,upper,Appropriations,Administration and Regulation,
IAC000047,ia,upper,Economic Growth/Rebuild Iowa,,
IAC000049,ia,upper,Human Resources,,
IAC000051,ia,upper,Appropriations,"Transportation, Infrastructure, and Capitals",
IAC000052,ia,upper,Medical Assistance Projections and Assessment Council,,
IAC000053,ia,upper,State Government Efficiency Review Committee,,
IAC000054,ia,upper,Appropriations,Education,
IAC000055,ia,upper,Appropriations,Health and Human Services,
IAC000057,ia,upper,Appropriations,Economic Development,
IAC000050,ia,upper,Judiciary,,
IAC000056,ia,upper,Appropriations,Justice System,
IAC000035,ia,upper,Transportation,,
IAC000041,ia,upper,Administrative Rules Review Committee,,
IAC000061,ia,upper,Economic Growth,,
