leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
IAL000118,member,2011-2012,63,lower,ia,Republican,,,,,
IAL000118,committee member,2011-2012,,lower,ia,,IAC000008,Appropriations,,,
IAL000118,committee member,2011-2012,,lower,ia,,IAC000009,Ethics,,,
IAL000118,committee member,2011-2012,,lower,ia,,IAC000010,State Government,,,
IAL000003,member,2011-2012,6,upper,ia,Republican,,,,,
IAL000003,committee member,2011-2012,,upper,ia,,IAC000046,Appropriations,,,
IAL000003,committee member,2011-2012,,upper,ia,,IAC000044,Local Government,,,
IAL000003,committee member,2011-2012,,upper,ia,,IAC000033,Rules and Administration,,,
IAL000003,committee member,2011-2012,,upper,ia,,IAC000045,Ways and Means,,,
IAL000003,committee member,2011-2012,,upper,ia,,,Appropriations,Administration and Regulation,,
IAL000003,committee member,2011-2012,,upper,ia,,IAC000041,Administrative Rules Review Committee,,,
IAL000013,member,2011-2012,18,upper,ia,Democratic,,,,,2011-09-16 00:00:00
IAL000013,committee member,2011-2012,,upper,ia,,IAC000043,Commerce,,,
IAL000013,committee member,2011-2012,,upper,ia,,IAC000047,Economic Growth/Rebuild Iowa,,,
IAL000013,committee member,2011-2012,,upper,ia,,IAC000035,Transportation,,,
IAL000013,committee member,2011-2012,,upper,ia,,IAC000045,Ways and Means,,,
IAL000013,committee member,2011-2012,,upper,ia,,IAC000057,Appropriations,Economic Development,,
IAL000021,member,2011-2012,46,upper,ia,Democratic,,,,,
IAL000021,committee member,2011-2012,,upper,ia,,IAC000037,Agriculture,,,
IAL000021,committee member,2011-2012,,upper,ia,,IAC000046,Appropriations,,,
IAL000021,committee member,2011-2012,,upper,ia,,IAC000038,Ethics,,,
IAL000021,committee member,2011-2012,,upper,ia,,IAC000050,Judiciary,,,
IAL000021,committee member,2011-2012,,upper,ia,,IAC000031,Labor and Business Relations,,,
IAL000021,committee member,2011-2012,,upper,ia,,IAC000034,State Government,,,
IAL000021,committee member,2011-2012,,upper,ia,,IAC000056,Appropriations,Justice System,,
IAL000024,member,2011-2012,40,upper,ia,Republican,,,,,
IAL000024,committee member,2011-2012,,upper,ia,,IAC000037,Agriculture,,,
IAL000024,committee member,2011-2012,,upper,ia,,IAC000032,Natural Resources and Environment,,,
IAL000024,committee member,2011-2012,,upper,ia,,IAC000035,Transportation,,,
IAL000024,committee member,2011-2012,,upper,ia,,IAC000036,Appropriations,Agriculture and Natural Resources,,
IAL000025,member,2011-2012,42,upper,ia,Republican,,,,,
IAL000025,committee member,2011-2012,,upper,ia,,IAC000048,Education,,,
IAL000025,committee member,2011-2012,,upper,ia,,IAC000044,Local Government,,,
IAL000025,committee member,2011-2012,,upper,ia,,IAC000032,Natural Resources and Environment,,,
IAL000025,committee member,2011-2012,,upper,ia,,IAC000054,Appropriations,Education,,
IAL000025,committee member,2011-2012,,upper,ia,,IAC000059,Iowa Commission on Interstate Cooperation,,,
IAL000026,member,2011-2012,16,upper,ia,Democratic,,,,,
IAL000026,committee member,2011-2012,,upper,ia,,IAC000037,Agriculture,,,
IAL000026,committee member,2011-2012,,upper,ia,,IAC000046,Appropriations,,,
IAL000026,committee member,2011-2012,,upper,ia,,IAC000050,Judiciary,,,
IAL000026,committee member,2011-2012,,upper,ia,,IAC000032,Natural Resources and Environment,,,
IAL000026,committee member,2011-2012,,upper,ia,,IAC000035,Transportation,,,
IAL000026,committee member,2011-2012,,upper,ia,,IAC000056,Appropriations,Justice System,,
IAL000034,member,2011-2012,26,upper,ia,Republican,,,,,
IAL000034,committee member,2011-2012,,upper,ia,,IAC000046,Appropriations,,,
IAL000034,committee member,2011-2012,,upper,ia,,IAC000043,Commerce,,,
IAL000034,committee member,2011-2012,,upper,ia,,IAC000038,Ethics,,,
IAL000034,committee member,2011-2012,,upper,ia,,IAC000042,Public Retirement Systems Committee,,,
IAL000034,committee member,2011-2012,,upper,ia,,,Appropriations,,,
IAL000034,committee member,2011-2012,,upper,ia,,IAC000033,Rules and Administration,,,
IAL000035,member,2011-2012,4,upper,ia,Democratic,,,,,
IAL000035,committee member,2011-2012,,upper,ia,,IAC000037,Agriculture,,,
IAL000035,committee member,2011-2012,,upper,ia,,IAC000038,Ethics,,,
IAL000035,committee member,2011-2012,,upper,ia,,IAC000039,Government Oversight,,,
IAL000035,committee member,2011-2012,,upper,ia,,IAC000033,Rules and Administration,,,
IAL000035,committee member,2011-2012,,upper,ia,,IAC000034,State Government,,,
IAL000035,committee member,2011-2012,,upper,ia,,IAC000040,Veterans Affairs,,,
IAL000035,committee member,2011-2012,,upper,ia,,IAC000041,Administrative Rules Review Committee,,,
IAL000035,committee member,2011-2012,,upper,ia,,IAC000042,Public Retirement Systems Committee,,,
IAL000037,member,2011-2012,36,upper,ia,Republican,,,,,
IAL000037,committee member,2011-2012,,upper,ia,,IAC000038,Ethics,,,
IAL000037,committee member,2011-2012,,upper,ia,,IAC000033,Rules and Administration,,,
IAL000037,committee member,2011-2012,,upper,ia,,,Rules and Administration,,,
IAL000040,member,2011-2012,38,upper,ia,Democratic,,,,,
IAL000040,committee member,2011-2012,,upper,ia,,IAC000037,Agriculture,,,
IAL000040,committee member,2011-2012,,upper,ia,,IAC000043,Commerce,,,
IAL000040,committee member,2011-2012,,upper,ia,,IAC000047,Economic Growth/Rebuild Iowa,,,
IAL000040,committee member,2011-2012,,upper,ia,,IAC000044,Local Government,,,
IAL000040,committee member,2011-2012,,upper,ia,,IAC000035,Transportation,,,
IAL000043,member,2011-2012,28,upper,ia,Republican,,,,,
IAL000043,committee member,2011-2012,,upper,ia,,IAC000046,Appropriations,,,
IAL000043,committee member,2011-2012,,upper,ia,,IAC000049,Human Resources,,,
IAL000043,committee member,2011-2012,,upper,ia,,IAC000040,Veterans Affairs,,,
IAL000043,committee member,2011-2012,,upper,ia,,IAC000056,Appropriations,Justice System,,
IAL000043,committee member,2011-2012,,upper,ia,,IAC000041,Administrative Rules Review Committee,,,
IAL000043,committee member,2011-2012,,upper,ia,,IAC000052,Medical Assistance Projections and Assessment Council,,,
IAL000047,member,2011-2012,30,upper,ia,Republican,,,,,
IAL000047,committee member,2011-2012,,upper,ia,,IAC000043,Commerce,,,
IAL000047,committee member,2011-2012,,upper,ia,,IAC000047,Economic Growth/Rebuild Iowa,,,
IAL000047,committee member,2011-2012,,upper,ia,,IAC000050,Judiciary,,,
IAL000047,committee member,2011-2012,,upper,ia,,IAC000031,Labor and Business Relations,,,
IAL000053,member,2011-2012,97,lower,ia,Republican,,,,,
IAL000053,committee member,2011-2012,,lower,ia,,IAC000020,Economic Growth/Rebuild Iowa,,,
IAL000053,committee member,2011-2012,,lower,ia,,IAC000019,Human Resources,,,
IAL000053,committee member,2011-2012,,lower,ia,,IAC000013,Judiciary,,,
IAL000053,committee member,2011-2012,,lower,ia,,IAC000026,Appropriations,Justice System,,
IAL000054,member,2011-2012,72,lower,ia,Republican,,,,,
IAL000054,committee member,2011-2012,,lower,ia,,IAC000005,Local Government,,,
IAL000054,committee member,2011-2012,,lower,ia,,IAC000006,Natural Resources,,,
IAL000054,committee member,2011-2012,,lower,ia,,IAC000007,Transportation,,,
IAL000060,member,2011-2012,5,lower,ia,Republican,,,,,
IAL000060,committee member,2011-2012,,lower,ia,,IAC000008,Appropriations,,,
IAL000060,committee member,2011-2012,,lower,ia,,IAC000012,Education,,,
IAL000060,committee member,2011-2012,,lower,ia,,IAC000014,Veterans Affairs,,,
IAL000060,committee member,2011-2012,,lower,ia,,IAC000015,Appropriations,"Transportation, Infrastructure, and Capitals",,
IAL000063,member,2011-2012,76,lower,ia,Republican,,,,,
IAL000063,committee member,2011-2012,,lower,ia,,IAC000001,Agriculture,,,
IAL000063,committee member,2011-2012,,lower,ia,,IAC000020,Economic Growth/Rebuild Iowa,,,
IAL000063,committee member,2011-2012,,lower,ia,,IAC000002,Environmental Protection,,,
IAL000063,committee member,2011-2012,,lower,ia,,IAC000004,Ways and Means,,,
IAL000074,member,2011-2012,16,lower,ia,Republican,,,,,
IAL000074,committee member,2011-2012,,lower,ia,,IAC000020,Economic Growth/Rebuild Iowa,,,
IAL000074,committee member,2011-2012,,lower,ia,,IAC000002,Environmental Protection,,,
IAL000074,committee member,2011-2012,,lower,ia,,IAC000005,Local Government,,,
IAL000074,committee member,2011-2012,,lower,ia,,IAC000006,Natural Resources,,,
IAL000074,committee member,2011-2012,,lower,ia,,IAC000022,Appropriations,Economic Development,,
IAL000081,member,2011-2012,69,lower,ia,Republican,,,,,
IAL000081,committee member,2011-2012,,lower,ia,,IAC000011,Administration and Rules,,,
IAL000081,committee member,2011-2012,,lower,ia,,IAC000005,Local Government,,,
IAL000081,committee member,2011-2012,,lower,ia,,IAC000010,State Government,,,
IAL000081,committee member,2011-2012,,lower,ia,,IAC000004,Ways and Means,,,
IAL000082,member,2011-2012,40,lower,ia,Republican,,,,,
IAL000082,committee member,2011-2012,,lower,ia,,IAC000017,Commerce,,,
IAL000082,committee member,2011-2012,,lower,ia,,IAC000016,Labor,,,
IAL000082,committee member,2011-2012,,lower,ia,,IAC000005,Local Government,,,
IAL000082,committee member,2011-2012,,lower,ia,,IAC000026,Appropriations,Justice System,,
IAL000086,member,2011-2012,9,lower,ia,Republican,,,,,
IAL000086,committee member,2011-2012,,lower,ia,,IAC000017,Commerce,,,
IAL000086,committee member,2011-2012,,lower,ia,,IAC000019,Human Resources,,,
IAL000086,committee member,2011-2012,,lower,ia,,IAC000010,State Government,,,
IAL000086,committee member,2011-2012,,lower,ia,,IAC000007,Transportation,,,
IAL000086,committee member,2011-2012,,lower,ia,,IAC000025,Appropriations,Administration and Regulation,,
IAL000086,committee member,2011-2012,,lower,ia,,IAC000005,Local Government,,,
IAL000090,member,2011-2012,79,lower,ia,Republican,,,,,
IAL000090,committee member,2011-2012,,lower,ia,,IAC000011,Administration and Rules,,,
IAL000090,committee member,2011-2012,,lower,ia,,IAC000013,Judiciary,,,
IAL000090,committee member,2011-2012,,lower,ia,,IAC000010,State Government,,,
IAL000090,committee member,2011-2012,,lower,ia,,IAC000004,Ways and Means,,,
IAL000098,member,2011-2012,32,lower,ia,Republican,,,,,
IAL000098,committee member,2011-2012,,lower,ia,,IAC000011,Administration and Rules,,,
IAL000098,committee member,2011-2012,,lower,ia,,IAC000008,Appropriations,,,
IAL000098,committee member,2011-2012,,lower,ia,,IAC000020,Economic Growth/Rebuild Iowa,,,
IAL000098,committee member,2011-2012,,lower,ia,,IAC000006,Natural Resources,,,
IAL000098,committee member,2011-2012,,lower,ia,,IAC000014,Veterans Affairs,,,
IAL000101,member,2011-2012,74,lower,ia,Republican,,,,,
IAL000101,committee member,2011-2012,,lower,ia,,IAC000019,Human Resources,,,
IAL000101,committee member,2011-2012,,lower,ia,,IAC000013,Judiciary,,,
IAL000101,committee member,2011-2012,,lower,ia,,IAC000010,State Government,,,
IAL000101,committee member,2011-2012,,lower,ia,,IAC000007,Transportation,,,
IAL000101,committee member,2011-2012,,lower,ia,,IAC000021,Appropriations,Education,,
IAL000113,member,2011-2012,84,lower,ia,Republican,,,,,
IAL000113,committee member,2011-2012,,lower,ia,,IAC000001,Agriculture,,,
IAL000113,committee member,2011-2012,,lower,ia,,IAC000017,Commerce,,,
IAL000113,committee member,2011-2012,,lower,ia,,IAC000002,Environmental Protection,,,
IAL000113,committee member,2011-2012,,lower,ia,,IAC000004,Ways and Means,,,
IAL000113,committee member,2011-2012,,lower,ia,,IAC000024,Appropriations,Agriculture and Natural Resources,,
IAL000114,member,2011-2012,42,lower,ia,Republican,,,,,
