state,session,chamber,bill_id,date,action,actor,type
id,2011,lower,H 1,2011-01-17 00:00:00,House intro - 1st rdg - to printing,lower,bill:introduced|bill:reading:1
id,2011,lower,H 1,2011-01-18 00:00:00,Rpt prt - to Health/Wel,lower,committee:referred
id,2011,lower,H 10,2011-01-17 00:00:00,House intro - 1st rdg - to printing,lower,bill:introduced|bill:reading:1
id,2011,lower,H 10,2011-01-18 00:00:00,Rpt prt - to Rev/Tax,lower,committee:referred
id,2011,lower,H 10,2011-01-20 00:00:00,Rpt out - rec d/p - to 2nd rdg,lower,committee:passed:favorable
id,2011,lower,H 10,2011-01-21 00:00:00,2nd rdg - to 3rd rdg,lower,bill:reading:3
id,2011,lower,H 10,2011-01-24 00:00:00,"3rd rdg - PASSED - 67-0-3AYES -- Andrus, Barbieri, Barrett, Bateman, Bayer, Bedke, Bell, Bilbao, Black, Block, Bolz, Boyle, Buckner-Webb, Burgoyne(Herzfeld), Chadderdon(Chadderdon), Chew, Collins, Crane, Cronin, DeMordaunt, Ellsworth, Eskridge, Gibbs, Guthrie, Hagedorn, Hart, Hartgen, Harwood, Henderson, Higgins, Jaquet, King, Lacey, Lake, Loertscher, Luker, Marriott, McGeachin, McMillan, Moyle, Nesset, Nielsen, Nonini, Palmer, Patrick, Pence, Perry, Raybould, Ringo, Roberts, Rusche, Schaefer, Shepherd, Shirley, Simpson, Sims, Smith(24), Stevenson, Takasugi(Batt), Thayn, Thompson, Trail, Vander Woude, Wills, Wood(27), Wood(35), Mr. SpeakerNAYS -- NoneAbsent and excused -- Anderson, Killen, Smith(30)Floor Sponsor - BayerTitle apvd - to Senate",lower,bill:reading:3|bill:passed
id,2011,lower,H 10,2011-01-25 00:00:00,Senate intro - 1st rdg - to Loc Gov,upper,bill:introduced|bill:reading:1|committee:referred
id,2011,lower,H 10,2011-02-03 00:00:00,Rpt out - rec d/p - to 2nd rdg,upper,committee:passed:favorable
id,2011,lower,H 10,2011-02-04 00:00:00,2nd rdg - to 3rd rdg,upper,bill:reading:3
id,2011,lower,H 10,2011-02-08 00:00:00,"3rd rdg - PASSED - 35-0-0AYES -- Andreason, Bair, Bilyeu, Bock, Brackett, Broadsword, Cameron, Corder, Darrington, Davis, Fulcher, Goedde, Hammond, Heider, Hill, Keough, LeFavour, Lodge, Malepeai, McGee, McKague, McKenzie, Mortimer, Nuxoll, Pearce, Schmidt, Siddoway, Smyser, Stegner, Stennett, Tippets, Toryanski, Vick, Werk, WinderNAYS -- NoneAbsent and excused -- NoneFloor Sponsor - HammondTitle apvd - to House",upper,bill:reading:3|bill:passed
id,2011,lower,H 10,2011-02-09 00:00:00,To enrol,lower,other
id,2011,lower,H 10,2011-02-10 00:00:00,Rpt enrol - Sp signed,lower,other
id,2011,lower,H 10,2011-02-11 00:00:00,Pres signed,lower,other
id,2011,lower,H 10,2011-02-14 00:00:00,To Governor,lower,governor:received
id,2011,lower,H 10,2011-02-15 00:00:00,Delivered to Governor on 02/14,lower,other
id,2011,lower,H 10,2011-02-15 00:00:00,Governor signedSession Law Chapter 4Effective: 07/01/11,lower,governor:signed
id,2011,lower,H 100,2011-02-03 00:00:00,House intro - 1st rdg - to printing,lower,bill:introduced|bill:reading:1
id,2011,lower,H 100,2011-02-04 00:00:00,Rpt prt - to 2nd rdg,lower,other
id,2011,lower,H 100,2011-02-07 00:00:00,2nd rdg - to 3rd rdg,lower,bill:reading:3
id,2011,lower,H 100,2011-02-08 00:00:00,"3rd rdg - PASSED - 66-0-4AYES -- Anderson, Andrus, Barbieri, Barrett, Bateman, Bell, Bilbao, Black, Block, Bolz, Boyle, Buckner-Webb, Burgoyne, Chadderdon(Chadderdon), Chew, Collins, Crane, Cronin, DeMordaunt, Ellsworth, Eskridge, Gibbs(Wheeler), Guthrie, Hagedorn, Hart, Hartgen, Harwood, Higgins, Jaquet, Killen, King, Lacey, Lake, Luker, Marriott, McGeachin, McMillan, Moyle, Nesset, Nielsen, Nonini, Palmer, Patrick, Pence, Perry, Raybould, Ringo, Roberts, Rusche, Schaefer, Shepherd, Shirley, Simpson, Sims, Smith(30), Smith(24), Stevenson, Takasugi(Batt), Thayn, Thompson, Trail, Vander Woude, Wills, Wood(27), Wood(35), Mr. SpeakerNAYS -- NoneAbsent and excused -- Bayer, Bedke, Henderson, LoertscherFloor Sponsor - TrailTitle apvd - to Senate",lower,bill:reading:3|bill:passed
id,2011,lower,H 100,2011-02-09 00:00:00,Senate intro - 1st rdg - to Agric Aff,upper,bill:introduced|bill:reading:1|committee:referred
id,2011,lower,H 100,2011-03-01 00:00:00,Rpt out - rec d/p - to 2nd rdg,upper,committee:passed:favorable
id,2011,lower,H 100,2011-03-02 00:00:00,2nd rdg - to 3rd rdg,upper,bill:reading:3
id,2011,lower,H 100,2011-03-03 00:00:00,"3rd rdg - PASSED - 34-0-1AYES -- Andreason, Bair, Bilyeu, Bock, Broadsword, Cameron, Corder, Darrington, Davis, Fulcher, Goedde, Hammond, Heider, Hill, Keough, LeFavour, Lodge, Malepeai, McGee, McKague, McKenzie, Mortimer, Nuxoll, Pearce, Schmidt, Siddoway, Smyser, Stegner, Stennett, Tippets, Toryanski, Vick, Werk, WinderNAYS -- NoneAbsent and excused -- BrackettFloor Sponsor - HammondTitle apvd - to House",upper,bill:reading:3|bill:passed
id,2011,lower,H 100,2011-03-04 00:00:00,To enrol,lower,other
id,2011,lower,H 100,2011-03-07 00:00:00,Rpt enrol - Sp signed,lower,other
id,2011,lower,H 100,2011-03-08 00:00:00,Pres signed,lower,other
id,2011,lower,H 100,2011-03-09 00:00:00,To Governor,lower,governor:received
id,2011,lower,H 100,2011-03-10 00:00:00,Delivered to Governor on 03/09,lower,other
id,2011,lower,H 100,2011-03-11 00:00:00,Governor signedSession Law Chapter 54Effective: 07/01/11,lower,governor:signed
id,2011,lower,H 101,2011-02-03 00:00:00,House intro - 1st rdg - to printing,lower,bill:introduced|bill:reading:1
id,2011,lower,H 101,2011-02-04 00:00:00,Rpt prt - to Agric Aff,lower,committee:referred
id,2011,lower,H 101,2011-02-15 00:00:00,Rpt out - rec d/p - to 2nd rdg,lower,committee:passed:favorable
id,2011,lower,H 101,2011-02-16 00:00:00,2nd rdg - to 3rd rdg,lower,bill:reading:3
id,2011,lower,H 101,2011-02-18 00:00:00,"3rd rdg - PASSED - 51-10-9AYES -- Andrus, Barrett, Bateman, Bayer, Bedke, Bell, Bilbao, Black, Block, Bolz, Buckner-Webb, Burgoyne, Chadderdon(Chadderdon), Chew, Collins, Crane, Cronin, Ellsworth, Eskridge, Gibbs(Wheeler), Guthrie, Hartgen, Higgins, Jaquet, Killen, King, Lacey, Lake, Luker, Marriott, McGeachin, McMillan, Nesset, Patrick, Pence, Perry, Raybould, Ringo, Roberts, Rusche, Schaefer, Simpson, Smith(30), Stevenson, Takasugi(Batt), Thayn, Thompson, Trail, Vander Woude, Wood(27), Wood(35)NAYS -- Barbieri, Boyle, DeMordaunt, Harwood, Moyle, Nonini, Palmer, Shepherd, Sims, Mr. SpeakerAbsent and excused -- Anderson, Hagedorn, Hart, Henderson, Loertscher, Nielsen, Shirley, Smith(24), WillsFloor Sponsor - LakeTitle apvd - to Senate",lower,bill:reading:3|bill:passed
id,2011,lower,H 101,2011-02-21 00:00:00,Senate intro - 1st rdg - to Agric Aff,upper,bill:introduced|bill:reading:1|committee:referred
id,2011,lower,H 101,2011-03-01 00:00:00,Rpt out - rec d/p - to 2nd rdg,upper,committee:passed:favorable
id,2011,lower,H 101,2011-03-02 00:00:00,2nd rdg - to 3rd rdg,upper,bill:reading:3
