vote_id,leg_id,name,vote
IDV00000001,IDL000001,Andreason,yes
IDV00000001,IDL000003, Bilyeu,yes
IDV00000001,IDL000004, Bock,yes
IDV00000001,IDL000005, Brackett,yes
IDV00000001,IDL000006, Broadsword,yes
IDV00000001,IDL000007, Cameron,yes
IDV00000001,IDL000008, Corder,yes
IDV00000001,IDL000009, Darrington,yes
IDV00000001,IDL000012, Goedde,yes
IDV00000001,IDL000013, Hammond,yes
IDV00000001,IDL000014, Heider,yes
IDV00000001,IDL000015, Hill,yes
IDV00000001,IDL000016, Keough,yes
IDV00000001,IDL000017, LeFavour,yes
IDV00000001,IDL000018, Lodge,yes
IDV00000001,IDL000019, Malepeai,yes
IDV00000001,IDL000020, McGee,yes
IDV00000001,IDL000022, McKenzie,yes
IDV00000001,IDL000024, Nuxoll,yes
IDV00000001,IDL000026, Schmidt,yes
IDV00000001,IDL000028, Smyser,yes
IDV00000001,IDL000029, Stegner,yes
IDV00000001,IDL000030, Stennett,yes
IDV00000001,IDL000032, Toryanski,yes
IDV00000001,IDL000033, Vick,yes
IDV00000001,IDL000034, Werk,yes
IDV00000001,IDL000002,Bair,no
IDV00000001,IDL000010, Davis,no
IDV00000001,IDL000011, Fulcher,no
IDV00000001,IDL000021, McKague,no
IDV00000001,IDL000023, Mortimer,no
IDV00000001,IDL000025, Pearce,no
IDV00000001,IDL000027, Siddoway,no
IDV00000001,IDL000031, Tippets,no
IDV00000001,IDL000035, Winder,no
IDV00000002,IDL000036,Anderson,yes
IDV00000002,IDL000043, Bell,yes
IDV00000002,IDL000044, Bilbao,yes
IDV00000002,IDL000045, Black,yes
IDV00000002,IDL000046, Block,yes
IDV00000002,IDL000047, Bolz,yes
IDV00000002,IDL000049, Buckner-Webb(McCoy),yes
IDV00000002,IDL000050, Burgoyne,yes
IDV00000002,IDL000051, Chadderdon(Chadderdon),yes
IDV00000002,IDL000052, Chew,yes
IDV00000002,IDL000053, Collins,yes
IDV00000002,IDL000055, Cronin,yes
IDV00000002,IDL000058, Ellsworth,yes
IDV00000002,IDL000059, Eskridge,yes
IDV00000002,IDL000061, Guthrie,yes
IDV00000002,IDL000062, Hagedorn,yes
IDV00000002,IDL000066, Henderson,yes
IDV00000002,IDL000067, Higgins,yes
IDV00000002,IDL000068, Jaquet,yes
IDV00000002,IDL000069, Killen,yes
IDV00000002,IDL000070, King,yes
IDV00000002,IDL000071, Lacey,yes
IDV00000002,IDL000074, Luker,yes
IDV00000002,IDL000076, McGeachin,yes
IDV00000002,IDL000077, McMillan,yes
IDV00000002,IDL000079, Nesset,yes
IDV00000002,IDL000083, Patrick,yes
IDV00000002,IDL000084, Pence,yes
IDV00000002,IDL000085, Perry,yes
IDV00000002,IDL000086, Raybould,yes
IDV00000002,IDL000087, Ringo,yes
IDV00000002,IDL000088, Roberts,yes
IDV00000002,IDL000089, Rusche,yes
IDV00000002,IDL000091, Shepherd,yes
IDV00000002,IDL000092, Shirley,yes
IDV00000002,IDL000095, Smith(30),yes
IDV00000002,IDL000096, Smith(24),yes
IDV00000002,IDL000097, Stevenson,yes
IDV00000002,IDL000102, Trail,yes
IDV00000002,IDL000104, Wills,yes
IDV00000002,IDL000105, Wood(27),yes
IDV00000002,IDL000037,Andrus,no
IDV00000002,IDL000038, Barbieri,no
IDV00000002,IDL000039, Barrett,no
IDV00000002,IDL000040, Bateman,no
IDV00000002,IDL000041, Bayer,no
IDV00000002,IDL000042, Bedke,no
IDV00000002,IDL000048, Boyle,no
IDV00000002,IDL000054, Crane,no
IDV00000002,IDL000060, Gibbs(Wheeler),no
IDV00000002,IDL000064, Hartgen,no
IDV00000002,IDL000065, Harwood,no
IDV00000002,IDL000072, Lake,no
IDV00000002,IDL000073, Loertscher,no
