state,session,chamber,bill_id,type,name,leg_id
id,2011,lower,H 1,primary, HEALTH AND WELFARE COMMITTEE,
id,2011,lower,H 10,primary, REVENUE AND TAXATION COMMITTEE,
id,2011,lower,H 100,primary, AGRICULTURAL AFFAIRS COMMITTEE,
id,2011,lower,H 101,primary, AGRICULTURAL AFFAIRS COMMITTEE,
id,2011,lower,H 102,primary, REVENUE AND TAXATION COMMITTEE,
id,2011,lower,H 103,primary, EDUCATION COMMITTEE,
id,2011,lower,H 104,primary, EDUCATION COMMITTEE,
id,2011,lower,H 105,primary, STATE AFFAIRS COMMITTEE,
id,2011,lower,H 106,primary, STATE AFFAIRS COMMITTEE,
id,2011,lower,H 107,primary, RESOURCES AND CONSERVATION COMMITTEE,
id,2011,lower,H 108,primary, COMMERCE AND HUMAN RESOURCES COMMITTEE,
id,2011,lower,H 109,primary, COMMERCE AND HUMAN RESOURCES COMMITTEE,
id,2011,lower,H 11,primary, REVENUE AND TAXATION COMMITTEE,
id,2011,lower,H 110,primary, LOCAL GOVERNMENT COMMITTEE,
id,2011,lower,H 111,primary, JUDICIARY,
id,2011,lower,H 111,primary, RULES,
id,2011,lower,H 111,primary, AND ADMINISTRATION COMMITTEE,
id,2011,lower,H 112,primary, LOCAL GOVERNMENT COMMITTEE,
id,2011,lower,H 113,primary, LOCAL GOVERNMENT COMMITTEE,
id,2011,lower,H 114,primary, LOCAL GOVERNMENT COMMITTEE,
id,2011,lower,H 115,primary, LOCAL GOVERNMENT COMMITTEE,
id,2011,lower,H 116,primary, STATE AFFAIRS COMMITTEE,
id,2011,lower,H 117,primary, STATE AFFAIRS COMMITTEE,
id,2011,lower,H 118,primary, EDUCATION COMMITTEE,
id,2011,lower,H 119,primary, JUDICIARY,
id,2011,lower,H 119,primary, RULES,
id,2011,lower,H 119,primary, AND ADMINISTRATION COMMITTEE,
id,2011,lower,H 12,primary, REVENUE AND TAXATION COMMITTEE,
id,2011,lower,H 120,primary, JUDICIARY,
id,2011,lower,H 120,primary, RULES,
id,2011,lower,H 120,primary, AND ADMINISTRATION COMMITTEE,
id,2011,lower,H 121,primary, JUDICIARY,
id,2011,lower,H 121,primary, RULES,
id,2011,lower,H 121,primary, AND ADMINISTRATION COMMITTEE,
id,2011,lower,H 122,primary, COMMERCE AND HUMAN RESOURCES COMMITTEE,
id,2011,lower,H 123,primary, EDUCATION COMMITTEE,
id,2011,lower,H 124,primary, REVENUE AND TAXATION COMMITTEE,
id,2011,lower,H 125,primary, REVENUE AND TAXATION COMMITTEE,
id,2011,lower,H 126,primary, REVENUE AND TAXATION COMMITTEE,
id,2011,lower,H 127,primary, TRANSPORTATION AND DEFENSE COMMITTEE,
id,2011,lower,H 128,primary, STATE AFFAIRS COMMITTEE,
id,2011,lower,H 129,primary, COMMERCE AND HUMAN RESOURCES COMMITTEE,
id,2011,lower,H 13,primary, REVENUE AND TAXATION COMMITTEE,
id,2011,lower,H 130,primary, BUSINESS COMMITTEE,
id,2011,lower,H 131,primary, BUSINESS COMMITTEE,
id,2011,lower,H 132,primary, BUSINESS COMMITTEE,
id,2011,lower,H 133,primary, BUSINESS COMMITTEE,
id,2011,lower,H 134,primary, BUSINESS COMMITTEE,
id,2011,lower,H 135,primary, RESOURCES AND CONSERVATION COMMITTEE,
id,2011,lower,H 136,primary, RESOURCES AND CONSERVATION COMMITTEE,
id,2011,lower,H 137,primary, RESOURCES AND CONSERVATION COMMITTEE,
id,2011,lower,H 138,primary, RESOURCES AND CONSERVATION COMMITTEE,
id,2011,lower,H 139,primary, JUDICIARY,
id,2011,lower,H 139,primary, RULES,
id,2011,lower,H 139,primary, AND ADMINISTRATION COMMITTEE,
id,2011,lower,H 14,primary, STATE AFFAIRS COMMITTEE,
id,2011,lower,H 140,primary, JUDICIARY,
id,2011,lower,H 140,primary, RULES,
id,2011,lower,H 140,primary, AND ADMINISTRATION COMMITTEE,
id,2011,lower,H 141,primary, JUDICIARY,
id,2011,lower,H 141,primary, RULES,
id,2011,lower,H 141,primary, AND ADMINISTRATION COMMITTEE,
id,2011,lower,H 142,primary, RESOURCES AND CONSERVATION COMMITTEE,
id,2011,lower,H 143,primary, RESOURCES AND CONSERVATION COMMITTEE,
id,2011,lower,H 144,primary, APPROPRIATIONS COMMITTEE,
id,2011,lower,H 145,primary, TRANSPORTATION AND DEFENSE COMMITTEE,
id,2011,lower,H 146,primary, TRANSPORTATION AND DEFENSE COMMITTEE,
id,2011,lower,H 147,primary, TRANSPORTATION AND DEFENSE COMMITTEE,
id,2011,lower,H 148,primary, LOCAL GOVERNMENT COMMITTEE,
id,2011,lower,H 149,primary, AGRICULTURAL AFFAIRS COMMITTEE,
id,2011,lower,H 15,primary, STATE AFFAIRS COMMITTEE,
id,2011,lower,H 150,primary, AGRICULTURAL AFFAIRS COMMITTEE,
id,2011,lower,H 151,primary, AGRICULTURAL AFFAIRS COMMITTEE,
id,2011,lower,H 152,primary, AGRICULTURAL AFFAIRS COMMITTEE,
id,2011,lower,H 153,primary, ENVIRONMENT,
id,2011,lower,H 153,primary, ENERGY,
id,2011,lower,H 153,primary, AND TECHNOLOGY COMMITTEE,
id,2011,lower,H 154,primary, COMMERCE AND HUMAN RESOURCES COMMITTEE,
id,2011,lower,H 155,primary, RESOURCES AND CONSERVATION COMMITTEE,
id,2011,lower,H 156,primary, STATE AFFAIRS COMMITTEE,
id,2011,lower,H 157,primary, EDUCATION COMMITTEE,
id,2011,lower,H 158,primary, EDUCATION COMMITTEE,
id,2011,lower,H 159,primary, EDUCATION COMMITTEE,
