state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
id,2011,upper,S 1001,IDV00000001,upper,  3rd rdg as amen - ,2011-03-29 00:00:00,other,26,9,0
id,2011,upper,S 1001,IDV00000002,lower,  Rls susp - ,2011-04-06 00:00:00,other,41,27,2
id,2011,upper,S 1003,IDV00000003,upper,  3rd rdg - ,2011-02-01 00:00:00,other,32,0,2
id,2011,upper,S 1003,IDV00000004,lower,  3rd rdg - ,2011-02-10 00:00:00,other,66,0,4
id,2011,upper,S 1004,IDV00000005,upper,  3rd rdg - ,2011-02-01 00:00:00,other,28,6,0
id,2011,upper,S 1006,IDV00000006,upper,  3rd rdg - ,2011-02-01 00:00:00,other,27,7,0
id,2011,upper,S 1006,IDV00000007,lower,  3rd rdg - ,2011-02-22 00:00:00,other,55,14,1
id,2011,upper,S 1007,IDV00000008,upper,  3rd rdg - ,2011-02-04 00:00:00,other,25,8,2
id,2011,upper,S 1007,IDV00000009,lower,  3rd rdg - ,2011-02-22 00:00:00,other,55,15,0
id,2011,upper,S 1008,IDV00000010,upper,  3rd rdg - ,2011-02-08 00:00:00,other,35,0,0
id,2011,upper,S 1008,IDV00000011,lower,  3rd rdg - ,2011-02-21 00:00:00,other,69,0,1
id,2011,upper,S 1009,IDV00000012,upper,  3rd rdg - ,2011-02-08 00:00:00,other,35,0,0
id,2011,upper,S 1009,IDV00000013,lower,  3rd rdg - ,2011-02-21 00:00:00,other,68,0,2
id,2011,upper,S 1010,IDV00000014,upper,  3rd rdg - ,2011-02-08 00:00:00,other,35,0,0
id,2011,upper,S 1010,IDV00000015,lower,  3rd rdg - ,2011-02-23 00:00:00,other,69,0,1
id,2011,upper,S 1011,IDV00000016,upper,  3rd rdg - ,2011-02-08 00:00:00,other,35,0,0
id,2011,upper,S 1011,IDV00000017,lower,  3rd rdg - ,2011-02-18 00:00:00,other,62,0,8
id,2011,upper,S 1012,IDV00000018,upper,  3rd rdg - ,2011-02-08 00:00:00,other,35,0,0
id,2011,upper,S 1012,IDV00000019,lower,  3rd rdg - ,2011-02-23 00:00:00,other,68,0,2
id,2011,upper,S 1014,IDV00000020,upper,  3rd rdg - ,2011-02-03 00:00:00,other,32,0,2
id,2011,upper,S 1014,IDV00000021,lower,  3rd rdg - ,2011-02-21 00:00:00,other,69,0,1
id,2011,upper,S 1017,IDV00000022,upper,  3rd rdg - ,2011-02-10 00:00:00,other,33,0,2
id,2011,upper,S 1017,IDV00000023,lower,  3rd rdg - ,2011-03-10 00:00:00,other,67,0,3
id,2011,upper,S 1018,IDV00000024,upper,  3rd rdg - ,2011-02-10 00:00:00,other,33,0,2
id,2011,upper,S 1018,IDV00000025,lower,  3rd rdg - ,2011-03-14 00:00:00,other,66,1,3
id,2011,upper,S 1019,IDV00000026,upper,  3rd rdg - ,2011-02-10 00:00:00,other,33,0,2
id,2011,upper,S 1019,IDV00000027,lower,  3rd rdg - ,2011-03-14 00:00:00,other,69,0,1
id,2011,upper,S 1020,IDV00000028,upper,  3rd rdg - ,2011-02-10 00:00:00,other,33,0,2
id,2011,upper,S 1020,IDV00000029,lower,  3rd rdg - ,2011-03-14 00:00:00,other,69,0,1
id,2011,upper,S 1021,IDV00000030,upper,  3rd rdg as amen - ,2011-03-04 00:00:00,other,35,0,0
id,2011,upper,S 1021,IDV00000031,lower,  3rd rdg - ,2011-04-05 00:00:00,other,68,1,1
id,2011,upper,S 1022,IDV00000032,upper,  3rd rdg - ,2011-03-01 00:00:00,other,34,0,1
id,2011,upper,S 1022,IDV00000033,lower,  3rd rdg - ,2011-03-23 00:00:00,other,70,0,0
id,2011,upper,S 1023,IDV00000034,upper,  3rd rdg - ,2011-02-02 00:00:00,other,22,12,0
id,2011,upper,S 1026,IDV00000035,upper,  3rd rdg as amen - ,2011-03-18 00:00:00,other,32,0,3
id,2011,upper,S 1026,IDV00000036,lower,  3rd rdg - ,2011-04-05 00:00:00,other,68,0,2
id,2011,upper,S 1029,IDV00000037,upper,  3rd rdg - ,2011-02-03 00:00:00,other,32,0,2
id,2011,upper,S 1029,IDV00000038,lower,  3rd rdg - ,2011-02-21 00:00:00,other,68,1,1
id,2011,upper,S 1030,IDV00000039,upper,  3rd rdg - ,2011-02-03 00:00:00,other,32,0,2
id,2011,upper,S 1030,IDV00000040,lower,  3rd rdg - ,2011-02-21 00:00:00,other,69,0,1
id,2011,upper,S 1031,IDV00000041,upper,  3rd rdg - ,2011-02-03 00:00:00,other,32,0,2
id,2011,upper,S 1031,IDV00000042,lower,  3rd rdg - ,2011-02-21 00:00:00,other,69,0,1
id,2011,upper,S 1041,IDV00000043,upper,  3rd rdg - ,2011-02-10 00:00:00,other,33,0,2
id,2011,upper,S 1041,IDV00000044,lower,  3rd rdg - ,2011-03-23 00:00:00,other,70,0,0
id,2011,upper,S 1042,IDV00000045,upper,  3rd rdg - ,2011-02-15 00:00:00,other,35,0,0
id,2011,upper,S 1042,IDV00000046,lower,  3rd rdg - ,2011-03-23 00:00:00,other,69,0,1
id,2011,upper,S 1043,IDV00000047,upper,  3rd rdg - ,2011-02-11 00:00:00,other,33,1,1
id,2011,upper,S 1043,IDV00000048,lower,  3rd rdg - ,2011-03-23 00:00:00,other,66,1,3
id,2011,upper,S 1044,IDV00000049,upper,  3rd rdg as amen - ,2011-02-18 00:00:00,other,34,0,1
id,2011,upper,S 1044,IDV00000050,lower,  3rd rdg - ,2011-03-04 00:00:00,other,64,0,6
id,2011,upper,S 1045,IDV00000051,upper,  3rd rdg - ,2011-02-10 00:00:00,other,33,0,2
id,2011,upper,S 1045,IDV00000052,lower,  3rd rdg - ,2011-02-23 00:00:00,other,67,0,3
id,2011,upper,S 1048,IDV00000053,upper,  3rd rdg - ,2011-02-02 00:00:00,other,34,0,0
id,2011,upper,S 1048,IDV00000054,lower,  3rd rdg - ,2011-02-10 00:00:00,other,66,0,4
id,2011,upper,S 1049,IDV00000055,upper,  3rd rdg - ,2011-02-23 00:00:00,other,34,0,1
id,2011,upper,S 1049,IDV00000056,lower,  3rd rdg - ,2011-03-28 00:00:00,other,70,0,0
id,2011,upper,S 1050,IDV00000057,upper,  3rd rdg - ,2011-02-11 00:00:00,other,33,1,1
id,2011,upper,S 1050,IDV00000058,lower,  3rd rdg - ,2011-02-28 00:00:00,other,68,0,2
id,2011,upper,S 1052,IDV00000059,upper,  3rd rdg - ,2011-02-08 00:00:00,other,35,0,0
id,2011,upper,S 1052,IDV00000060,lower,  3rd rdg - ,2011-02-18 00:00:00,other,62,0,8
id,2011,upper,S 1053,IDV00000061,upper,  3rd rdg as amen - ,2011-02-18 00:00:00,other,26,8,1
id,2011,upper,S 1055,IDV00000062,upper,  3rd rdg - ,2011-02-11 00:00:00,other,34,0,1
id,2011,upper,S 1055,IDV00000063,lower,  3rd rdg - ,2011-03-10 00:00:00,other,67,0,3
id,2011,upper,S 1056,IDV00000064,upper,  3rd rdg - ,2011-02-10 00:00:00,other,33,0,2
id,2011,upper,S 1056,IDV00000065,lower,  3rd rdg - ,2011-02-23 00:00:00,other,69,0,1
id,2011,upper,S 1057,IDV00000066,upper,  3rd rdg as amen - ,2011-02-18 00:00:00,other,34,0,1
id,2011,upper,S 1057,IDV00000067,lower,  3rd rdg - ,2011-03-04 00:00:00,other,65,0,5
id,2011,upper,S 1058,IDV00000068,upper,  3rd rdg - ,2011-02-17 00:00:00,other,33,0,2
id,2011,upper,S 1058,IDV00000069,lower,  3rd rdg - ,2011-02-25 00:00:00,other,57,9,4
id,2011,upper,S 1059,IDV00000070,upper,  3rd rdg - ,2011-02-17 00:00:00,other,33,0,2
id,2011,upper,S 1059,IDV00000071,lower,  3rd rdg - ,2011-03-03 00:00:00,other,63,1,6
id,2011,upper,S 1060,IDV00000072,upper,  3rd rdg - ,2011-02-11 00:00:00,other,34,0,1
id,2011,upper,S 1060,IDV00000073,lower,  3rd rdg - ,2011-02-23 00:00:00,other,56,11,3
id,2011,upper,S 1061,IDV00000074,upper,  3rd rdg - ,2011-02-17 00:00:00,other,33,0,2
id,2011,upper,S 1061,IDV00000075,lower,  3rd rdg - ,2011-03-04 00:00:00,other,68,0,2
id,2011,upper,S 1062,IDV00000076,upper,  3rd rdg - ,2011-02-17 00:00:00,other,33,0,2
id,2011,upper,S 1062,IDV00000077,lower,  3rd rdg - ,2011-03-04 00:00:00,other,67,0,3
id,2011,upper,S 1063,IDV00000078,upper,  3rd rdg - ,2011-02-23 00:00:00,other,32,3,0
id,2011,upper,S 1063,IDV00000079,lower,  3rd rdg - ,2011-03-04 00:00:00,other,49,17,4
id,2011,upper,S 1066,IDV00000080,upper,  3rd rdg - ,2011-02-23 00:00:00,other,34,0,1
id,2011,upper,S 1066,IDV00000081,lower,  3rd rdg - ,2011-03-14 00:00:00,other,62,7,1
id,2011,upper,S 1067,IDV00000082,upper,  3rd rdg - ,2011-03-14 00:00:00,other,35,0,0
id,2011,upper,S 1067,IDV00000083,lower,  3rd rdg - ,2011-03-25 00:00:00,other,68,0,2
id,2011,upper,S 1070,IDV00000084,upper,  3rd rdg as amen - ,2011-03-11 00:00:00,other,31,2,2
id,2011,upper,S 1070,IDV00000085,lower,  3rd rdg - ,2011-03-28 00:00:00,other,61,8,1
id,2011,upper,S 1071,IDV00000086,upper,  3rd rdg as amen - ,2011-03-04 00:00:00,other,35,0,0
id,2011,upper,S 1071,IDV00000087,lower,  3rd rdg - ,2011-03-23 00:00:00,other,60,10,0
id,2011,upper,S 1073,IDV00000088,upper,  3rd rdg - ,2011-02-18 00:00:00,other,26,8,1
