state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
id,2011,lower,H 1,"PHARMACY BOARD - Amends existing law relating to uniform controlled substances and pharmacists to provide pharmacists with the authority to prescribe certain compounds, mixtures or preparations and to provide restrictions on such authority; and to revise the definition of ""practice of pharmacy.""",2011-08-11 21:54:24.198000,2012-07-20 16:47:05.969000,bill,Drugs|Health
id,2011,lower,H 10,MOTOR FUELS - TAXATION - Amends existing law to provide nonapplication of the statute providing for revocation or cancellation of licenses to dispense motor fuel to distributor's licenses of motor fuel canceled for failing to comply with the bonding requirement.,2011-08-11 21:54:24.313000,2012-07-20 16:47:06.467000,bill,"Labor and Employment|Energy|Legal Issues|Budget, Spending, and Taxes|Commerce"
id,2011,lower,H 100,PEA AND LENTIL COMMISSION - Amends existing law relating to the Pea and Lentil Commission to revise composition and appointment provisions relating to the Idaho Pea and Lentil Commission.,2011-08-11 21:54:25.563000,2012-07-20 16:47:08.021000,bill,Agriculture and Food|Other
id,2011,lower,H 101,"STATE BRAND BOARD - Amends existing law relating to the State Brand Board to revise fee provisions relating to ownership and transportation certificates, the filing of renewal applications associated with the recording of brands, the recording of writings evidencing certain sales, assignments or transfers of brands and livestock dealer licensing.",2011-08-11 21:54:25.591000,2012-07-20 16:47:08.096000,bill,Agriculture and Food|Other|Legal Issues|Animal Rights and Wildlife Issues
id,2011,lower,H 102,"INCOME TAX - Amends existing law to update references to the Internal Revenue Code and to revise how the adjusted basis of depreciable property, depreciation and capital gains and losses shall be computed as a result of two 2010 Congressional enactments.",2011-08-11 21:54:25.603000,2012-07-20 16:47:08.108000,bill,"Other|Budget, Spending, and Taxes"
id,2011,lower,H 103,"PUBLIC MONEYS - RIGHT TO WORK - Adds to existing law relating to public moneys and right to work to prohibit payment of public moneys to labor organizations and to provide that employee wages, earnings and compensation, once earned, are not considered public moneys.",2011-08-11 21:54:25.610000,2012-07-20 16:47:08.129000,bill,Labor and Employment|Government Reform|Municipal and County Issues|Commerce
id,2011,lower,H 104,"EDUCATION - Amends existing law relating to education to provide that the board of trustees shall ensure that employees exclusively perform certain duties, to provide that employees shall not be compensated for any other activity, to provide exceptions and to provide that the board shall not include labor union or labor association activities as part of the duties of any position.",2011-08-11 21:54:25.619000,2012-07-20 16:47:08.135000,bill,Labor and Employment|Education|Government Reform
id,2011,lower,H 105,BUREAU OF EDUCATIONAL SERVICES FOR THE DEAF AND THE BLIND - Amends existing law to provide that the Idaho Bureau of Educational Services for the Deaf and the Blind is an employer for Public Employee Retirement System purposes.,2011-08-11 21:54:25.639000,2012-07-20 16:47:08.143000,bill,Labor and Employment|Education|Health
id,2011,lower,H 106,"COMMUNITY COLLEGES - Amends existing law relating to community colleges to require that community college trustee subdistricts be formed, to provide requirements for establishing community college trustee subdistricts, to provide duties of the board of trustees and the county clerk for establishing the boundaries of community college trustee subdistricts, to provide for the establishment of municipal subdistricts in certain circumstances and to define the boundaries of such municipal subdistricts; to revise and to provide additional provisions relating to the election of trustees; and to provide application of campaign reporting law to community college district trustee elections.",2011-08-11 21:54:25.645000,2012-07-20 16:47:08.151000,bill,Campaign Finance and Election Issues|Education|Municipal and County Issues
id,2011,lower,H 107,"AQUIFER PROTECTION DISTRICTS - Amends existing law relating to Aquifer Protection Districts to revise provisions relating to fees, to provide that fees shall not be charged to owners of nondeveloped properties and to restrict the amount of fees that a district may retain at any time.",2011-08-11 21:54:25.651000,2012-07-20 16:47:08.154000,bill,Environmental|Other|Municipal and County Issues
id,2011,lower,H 108,EMPLOYMENT SECURITY LAW - Amends and adds to existing law relating to the Employment Security Law to allow the Department of Labor to issue bonds to repay advances from the federal Unemployment Insurance Trust Fund.,2011-08-11 21:54:25.662000,2012-07-20 16:47:08.160000,bill,"Commerce|Housing and Property|Budget, Spending, and Taxes|Labor and Employment"
id,2011,lower,H 109,UNEMPLOYMENT BENEFITS - Amends existing law to add an additional temporary total unemployment rate indicator for extended benefits that qualify for federal funds for employment security law purposes.,2011-08-11 21:54:25.676000,2012-07-20 16:47:08.182000,bill,Labor and Employment|Legal Issues
id,2011,lower,H 11,"FOREST LANDS - Amends existing law to remove a requirement to conduct a forest management cost study every five years, to require a forest management cost study be conducted periodically and to revise the membership of the committee on forest land taxation methodologies for forest lands taxation purposes.",2011-08-11 21:54:24.325000,2012-07-20 16:47:06.491000,bill,"Environmental|Other|Budget, Spending, and Taxes|Housing and Property"
id,2011,lower,H 110,URBAN RENEWAL - Amends existing law relating to urban renewal to provide for a public hearing and to revise provisions relating to a public hearing on the urban renewal project.,2011-08-11 21:54:25.686000,2012-07-20 16:47:08.190000,bill,Public Services|Other|Municipal and County Issues
id,2011,lower,H 111,PEACE OFFICERS - INDIAN TRIBES - Amends and adds to existing law relating to peace officers to provide for enforcement of state law by law enforcement officers of federally recognized Indian tribes within the state and the requirements therefor; and to revise a definition.,2011-08-11 21:54:25.695000,2012-07-20 16:47:08.197000,bill,Public Services|Indigenous Peoples|Crime
id,2011,lower,H 112,AUCTIONEER LICENSES - Repeals existing law relating to auctioneer licenses.,2011-08-11 21:54:25.707000,2012-07-20 16:47:08.208000,bill,Housing and Property|Commerce|Other|Legal Issues|Labor and Employment
id,2011,lower,H 113,"PROPERTY TAX - Amends existing law relating to property tax to delete provisions relating to procedures associated with county assessors' approval, modification or disapproval of certain claims for property tax reduction and procedures relating to action by the County Board of Equalization associated with such claims; to revise provisions relating to the time in which the property tax reduction roll shall be certified to the county auditor and to the State Tax Commission; to revise the time in which claimants shall have to make written protest to the tax commission relating to the commission's intent to disapprove all or a portion of a claim; and to revise the time in which the tax commission shall have to provide written notice of disapproval to a claimant or a person or entity acting on behalf of the claimant.",2011-08-11 21:54:25.719000,2012-07-20 16:47:08.222000,bill,"Housing and Property|Other|Budget, Spending, and Taxes|Municipal and County Issues"
id,2011,lower,H 114,"URBAN RENEWAL - Amends existing law relating to urban renewal to provide for an election, to revise provisions relating to establishing a board of commissioners, to provide for composition of a board of commissioners, to provide for board terms, to revise provisions relating to removal of a commissioner, to provide for filling a vacancy and to revise provisions relating to the election of board officers.",2011-08-11 21:54:25.728000,2012-07-20 16:47:08.234000,bill,Campaign Finance and Election Issues|Environmental|Other|Municipal and County Issues
id,2011,lower,H 115,PLATS - Amends existing law relating to enforcing execution of plats to provide instruction to the county recorder to perform certain tasks; to permit billing of property owners of a certain assessment; to provide for payment when not paid as requested; and to revise how the assessment will be collected and where the assessment will go.,2011-08-11 21:54:25.740000,2012-07-20 16:47:08.245000,bill,"Environmental|Budget, Spending, and Taxes|Municipal and County Issues"
id,2011,lower,H 116,"AUDITORIUM DISTRICTS - Amends existing law relating to auditorium districts to define the term ""marketing,"" to provide that any district may market a district facility acquired, leased or built, or that is the subject of planning for acquisition, lease, design and/or construction; and to revise general powers of the board of an auditorium district.",2011-08-11 21:54:25.745000,2012-07-20 16:47:08.271000,bill,Commerce|Other|Municipal and County Issues
id,2011,lower,H 117,STATE SOVEREIGNTY - Adds to and amends existing law relating to state sovereignty and health insurance to provide that certain public laws shall not be enforced by the state of Idaho.,2011-08-11 21:54:25.754000,2012-07-20 16:47:08.276000,bill,Other|Health|Legal Issues|Insurance
id,2011,lower,H 118,"BOARD OF TRUSTEES - SCHOOL DISTRICTS - Amends existing law to provide that each newly elected trustee of a school district shall undertake and successfully complete a training course designed by the Idaho School Boards Association in conjunction with the State Department of Education regarding public education law, finance and management in Idaho.",2011-08-11 21:54:25.759000,2012-07-20 16:47:08.282000,bill,Education
id,2011,lower,H 119,UNIFORM CONTROLLED SUBSTANCES - Amends and adds to existing law relating to uniform controlled substances to identify additional substances to be classified in Schedule I.,2011-08-11 21:54:25.780000,2012-07-20 16:47:08.288000,bill,Drugs
id,2011,lower,H 12,"MOTOR FUELS - Amends existing law relating to the taxation of motor fuels to make technical corrections and to have the term ""motor fuel"" be the universal term when taxing petroleum products.",2011-08-11 21:54:24.338000,2012-07-20 16:47:06.508000,bill,"Energy|Transportation|Budget, Spending, and Taxes"
id,2011,lower,H 120,COUNTY SHERIFFS - Amends existing law relating to county sheriffs to provide additional qualifications for county sheriffs and to provide an exception.,2011-08-11 21:54:25.786000,2012-07-20 16:47:08.295000,bill,Campaign Finance and Election Issues|Public Services|Municipal and County Issues
id,2011,lower,H 121,"EXEMPTION FOR ATTACHMENT - Amends existing law to provide that all real and personal property of any married person at the time of his or her marriage, or which he or she subsequently acquires as separate property, and all noncommunity rents, issues and profits thereof, are exempt from execution for any separate debts incurred by his or her spouse.",2011-08-11 21:54:25.798000,2012-07-20 16:47:08.301000,bill,Housing and Property|Other|Business and Consumers|Family and Children Issues
id,2011,lower,H 122,EMPLOYMENT SECURITY LAW - Amends and adds to existing law relating to the Employment Security Law to allow the Department of Labor to revise the ratios of total base period earnings to the highest quarter earnings for employment security law purposes.,2011-08-11 21:54:25.810000,2012-07-20 16:47:08.310000,bill,Labor and Employment|Public Services
