leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
IDL000009,committee member,2013-2014,,joint,id,,IDC000013,Joint Millennium Fund Committee,,,
IDL000009,member,2011-2012,27,upper,id,Republican,,,,,
IDL000009,committee member,2011-2012,,upper,id,,IDC000005,Health and Welfare,,,
IDL000009,committee member,2011-2012,,upper,id,,IDC000006,Judiciary and Rules,,,
IDL000009,committee member,2011-2012,,upper,id,,IDC000009,State Affairs,,,
IDL000009,committee member,2011-2012,,joint,id,,IDC000013,Joint Millennium Fund Committee,,,
IDL000032,committee member,2013-2014,,joint,id,,IDC000013,Joint Millennium Fund Committee,,,
IDL000032,member,2011-2012,18,upper,id,Republican,,,,,
IDL000032,committee member,2011-2012,,upper,id,,IDC000003,Education,,,
IDL000032,committee member,2011-2012,,upper,id,,IDC000004,Finance,,,
IDL000032,committee member,2011-2012,,joint,id,,IDC000011,Joint Finance-Appropriations Committee,,,
IDL000032,committee member,2011-2012,,joint,id,,IDC000013,Joint Millennium Fund Committee,,,
IDL000001,member,2011-2012,15,upper,id,Republican,,,,,
IDL000001,committee member,2011-2012,,upper,id,,IDC000002,Commerce and Human Resources,,,
IDL000001,committee member,2011-2012,,upper,id,,IDC000003,Education,,,
IDL000003,member,2011-2012,29,upper,id,Democratic,,,,,
IDL000003,committee member,2011-2012,,upper,id,,IDC000007,Local Government and Taxation,,,
IDL000003,committee member,2011-2012,,upper,id,,IDC000010,Transportation,,,
IDL000003,committee member,2011-2012,,joint,id,,IDC000011,Joint Finance-Appropriations Committee,,,
IDL000006,member,2011-2012,2,upper,id,Republican,,,,,
IDL000006,committee member,2011-2012,,upper,id,,IDC000004,Finance,,,
IDL000006,committee member,2011-2012,,upper,id,,IDC000005,Health and Welfare,,,
IDL000006,committee member,2011-2012,,joint,id,,IDC000011,Joint Finance-Appropriations Committee,,,
IDL000008,member,2011-2012,22,upper,id,Republican,,,,,
IDL000008,committee member,2011-2012,,upper,id,,IDC000001,Agricultural Affairs,,,
IDL000008,committee member,2011-2012,,upper,id,,IDC000007,Local Government and Taxation,,,
IDL000008,committee member,2011-2012,,upper,id,,IDC000010,Transportation,,,
IDL000013,member,2011-2012,5,upper,id,Republican,,,,,
IDL000013,committee member,2011-2012,,upper,id,,IDC000001,Agricultural Affairs,,,
IDL000013,committee member,2011-2012,,upper,id,,IDC000007,Local Government and Taxation,,,
IDL000013,committee member,2011-2012,,upper,id,,IDC000010,Transportation,,,
IDL000013,committee member,2011-2012,,joint,id,,IDC000012,Joint Legislative Oversight Committee,,,
IDL000017,member,2011-2012,19,upper,id,Democratic,,,,,
IDL000017,committee member,2011-2012,,upper,id,,IDC000003,Education,,,
IDL000017,committee member,2011-2012,,upper,id,,IDC000004,Finance,,,
IDL000017,committee member,2011-2012,,upper,id,,IDC000006,Judiciary and Rules,,,
IDL000017,committee member,2011-2012,,joint,id,,IDC000011,Joint Finance-Appropriations Committee,,,
IDL000019,member,2011-2012,30,upper,id,Democratic,,,,,
IDL000020,member,2011-2012,10,upper,id,Republican,,,,,2012-02-22 00:00:00
IDL000020,committee member,2011-2012,,upper,id,,IDC000007,Local Government and Taxation,,,
IDL000020,committee member,2011-2012,,upper,id,,IDC000009,State Affairs,,,
IDL000020,committee member,2011-2012,,upper,id,,IDC000010,Transportation,,,
IDL000021,member,2011-2012,20,upper,id,Republican,,,,,
IDL000021,committee member,2011-2012,,upper,id,,IDC000002,Commerce and Human Resources,,,
IDL000021,committee member,2011-2012,,upper,id,,IDC000006,Judiciary and Rules,,,
IDL000028,member,2011-2012,11,upper,id,Republican,,,,,
IDL000028,committee member,2011-2012,,upper,id,,IDC000001,Agricultural Affairs,,,
IDL000028,committee member,2011-2012,,upper,id,,IDC000002,Commerce and Human Resources,,,
IDL000028,committee member,2011-2012,,upper,id,,IDC000005,Health and Welfare,,,
IDL000029,member,2011-2012,7,upper,id,Republican,,,,,2011-11-30 00:00:00
IDL000029,committee member,2011-2012,,upper,id,,IDC000002,Commerce and Human Resources,,,
IDL000029,committee member,2011-2012,,upper,id,,IDC000007,Local Government and Taxation,,,
IDL000044,member,2011-2012,11,lower,id,Republican,,,,,
IDL000044,committee member,2011-2012,,lower,id,,IDC000017,Business,,,
IDL000044,committee member,2011-2012,,lower,id,,IDC000021,Health and Welfare,,,
IDL000044,committee member,2011-2012,,lower,id,,IDC000026,State Affairs,,,
IDL000045,member,2011-2012,15,lower,id,Republican,,,,,
IDL000045,committee member,2011-2012,,lower,id,,IDC000017,Business,,,
IDL000045,committee member,2011-2012,,lower,id,,IDC000026,State Affairs,,,
IDL000046,member,2011-2012,24,lower,id,Republican,,,,,
IDL000046,committee member,2011-2012,,lower,id,,IDC000018,Commerce and Human Resources,,,
IDL000046,committee member,2011-2012,,lower,id,,IDC000019,Education,,,
IDL000046,committee member,2011-2012,,lower,id,,IDC000020,"Environment, Energy, and Technology",,,
IDL000051,member,2011-2012,4,lower,id,Republican,,,,,
IDL000051,committee member,2011-2012,,lower,id,,IDC000017,Business,,,
IDL000051,committee member,2011-2012,,lower,id,,IDC000019,Education,,,
IDL000051,committee member,2011-2012,,lower,id,,IDC000023,Local Government,,,
IDL000055,member,2011-2012,19,lower,id,Democratic,,,,,
IDL000055,committee member,2011-2012,,lower,id,,IDC000017,Business,,,
IDL000055,committee member,2011-2012,,lower,id,,IDC000019,Education,,,
IDL000055,committee member,2011-2012,,lower,id,,IDC000020,"Environment, Energy, and Technology",,,
IDL000055,committee member,2011-2012,,lower,id,,IDC000028,Ways and Means,,,
IDL000058,member,2011-2012,18,lower,id,Republican,,,,,
IDL000058,committee member,2011-2012,,lower,id,,IDC000022,"Judiciary, Rules, and Administration",,,
IDL000058,committee member,2011-2012,,lower,id,,IDC000025,Revenue and Taxation,,,
IDL000058,committee member,2011-2012,,lower,id,,IDC000027,Transportation and Defense,,,
IDL000063,member,2011-2012,3,lower,id,Republican,,,,,
IDL000063,committee member,2011-2012,,lower,id,,IDC000022,"Judiciary, Rules, and Administration",,,
IDL000063,committee member,2011-2012,,lower,id,,IDC000027,Transportation and Defense,,,
IDL000065,member,2011-2012,2,lower,id,Republican,,,,,
IDL000065,committee member,2011-2012,,lower,id,,IDC000020,"Environment, Energy, and Technology",,,
IDL000065,committee member,2011-2012,,lower,id,,IDC000024,Resources and Conservation,,,
IDL000065,committee member,2011-2012,,lower,id,,IDC000025,Revenue and Taxation,,,
IDL000067,member,2011-2012,16,lower,id,Democratic,,,,,
IDL000067,committee member,2011-2012,,lower,id,,IDC000024,Resources and Conservation,,,
IDL000067,committee member,2011-2012,,lower,id,,IDC000026,State Affairs,,,
IDL000067,committee member,2011-2012,,lower,id,,IDC000028,Ways and Means,,,
IDL000068,member,2011-2012,25,lower,id,Democratic,,,,,
IDL000068,committee member,2011-2012,,joint,id,,IDC000011,Joint Finance-Appropriations Committee,,,
IDL000068,committee member,2011-2012,,joint,id,,IDC000013,Joint Millennium Fund Committee,,,
IDL000068,committee member,2011-2012,,lower,id,,IDC000016,Appropriations,,,
IDL000068,committee member,2011-2012,,lower,id,,IDC000020,"Environment, Energy, and Technology",,,
IDL000068,committee member,2011-2012,,lower,id,,IDC000022,"Judiciary, Rules, and Administration",,,
IDL000069,member,2011-2012,17,lower,id,Democratic,,,,,
IDL000069,committee member,2011-2012,,lower,id,,IDC000022,"Judiciary, Rules, and Administration",,,
IDL000069,committee member,2011-2012,,lower,id,,IDC000027,Transportation and Defense,,,
IDL000072,member,2011-2012,28,lower,id,Republican,,,,,
IDL000072,committee member,2011-2012,,joint,id,,IDC000013,Joint Millennium Fund Committee,,,
