state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
il,97th,upper,SB 150,ILV00000091,upper,Third Reading,2011-04-15 00:00:00,other,38,0,6
il,93rd,upper,SR 1,ILV00002106,upper,Motion To Adopt,2004-07-07 00:00:00,other,26,14,4
il,93rd,upper,SR 1,ILV00002107,upper,Motion To Adopt,2004-07-06 00:00:00,other,23,13,8
il,93rd,upper,SR 1,ILV00002108,upper,Motion To Adopt,2003-01-08 00:00:00,other,40,0,4
il,93rd,upper,SR 2,ILV00002109,upper,Motion To Adopt,2003-01-08 00:00:00,other,40,0,4
il,93rd,upper,SR 89,ILV00002110,upper,Motion To Adopt,2003-05-30 00:00:00,other,44,0,0
il,93rd,upper,SR 130,ILV00002111,upper,Motion To Adopt,2003-05-30 00:00:00,other,44,0,0
il,93rd,upper,SR 171,ILV00002112,upper,Motion To Adopt,2004-04-22 00:00:00,other,37,0,7
il,93rd,upper,SR 474,ILV00002113,upper,Motion To Adopt,2004-04-22 00:00:00,other,37,0,7
il,93rd,upper,SR 645,ILV00002114,upper,Motion To Adopt,2004-11-17 00:00:00,other,44,0,0
il,93rd,upper,SR 649,ILV00002115,upper,Motion To Adopt,2004-07-24 00:00:00,other,41,0,3
il,93rd,upper,SB 1,ILV00002116,upper,Third Reading,2003-03-26 00:00:00,other,43,0,1
il,93rd,upper,SB 2,ILV00002117,lower,Third Reading,2003-05-07 00:00:00,other,85,1,2
il,93rd,upper,SB 2,ILV00002118,upper,Third Reading,2003-04-03 00:00:00,other,39,2,3
il,93rd,upper,SB 3,ILV00002119,lower,Third Reading,2003-05-20 00:00:00,other,85,0,3
il,93rd,upper,SB 3,ILV00002120,upper,Third Reading,2003-04-08 00:00:00,other,42,0,2
il,93rd,upper,SB 4,ILV00002121,upper,Concurrence,2003-05-31 00:00:00,other,43,0,1
il,93rd,upper,SB 4,ILV00002122,lower,Third Reading,2003-05-31 00:00:00,other,87,0,1
il,93rd,upper,SB 4,ILV00002123,upper,Third Reading,2003-03-25 00:00:00,other,35,0,9
il,93rd,upper,SB 8,ILV00002124,upper,Third Reading,2003-04-03 00:00:00,other,42,1,1
il,93rd,upper,SB 10,ILV00002125,upper,Third Reading,2003-04-03 00:00:00,other,36,3,5
il,93rd,upper,SB 13,ILV00002126,upper,Third Reading,2003-04-03 00:00:00,other,42,1,1
il,93rd,upper,SB 15,ILV00002127,lower,Third Reading,2003-05-08 00:00:00,other,81,5,2
il,93rd,upper,SB 15,ILV00002128,upper,Third Reading,2003-04-03 00:00:00,other,44,0,0
il,93rd,upper,SB 18,ILV00002129,upper,Third Reading,2003-03-26 00:00:00,other,23,20,1
il,93rd,upper,SB 19,ILV00002130,lower,Third Reading,2003-03-19 00:00:00,other,85,0,3
il,93rd,upper,SB 19,ILV00002131,upper,Third Reading,2003-02-06 00:00:00,other,40,0,4
il,93rd,upper,SB 20,ILV00002132,upper,Concurrence,2003-11-21 00:00:00,other,39,0,5
il,93rd,upper,SB 20,ILV00002133,lower,Third Reading,2003-11-20 00:00:00,other,84,0,3
il,93rd,upper,SB 20,ILV00002134,upper,Third Reading,2003-03-27 00:00:00,other,24,13,7
