id,state,chamber,committee,subcommittee,parent_id
ILC000181,il,lower,Veterans' Affairs,,
ILC000158,il,lower,Tollway Oversight,,
ILC000182,il,lower,Transportation: Railroad and Air,,
ILC000140,il,lower,Health Care Availability  Access,,
ILC000150,il,lower,"Museums, Arts, & Cultural Enhanceme",,
ILC000151,il,lower,Personnel & Pensions,,
ILC000161,il,lower,Transportation: Vehicles & Safety,,
ILC000168,il,lower,"Real Estate, Property, Probate, Tru",,
ILC000066,il,lower,Rules,,
ILC000174,il,lower,Labor & Commerce Committee,Unemployment Insurance Subcommittee,ILC000148
ILC000178,il,lower,Revenue & Finance,Property Tax Subcommittee,ILC000155
ILC000173,il,lower,Consumer Protection,Consumer Health Subcommittee,ILC000131
ILC000175,il,lower,Labor & Commerce Committee,Worker's Compensation Subcommittee,ILC000148
ILC000120,il,lower,Accountability & Administrative Rev,,
ILC000121,il,lower,Adoption Reform,,
ILC000122,il,lower,Agriculture & Conservation,,
ILC000123,il,lower,Approp-Elementary & Secondary Educ,,
ILC000124,il,lower,Appropriations-General Service,,
ILC000125,il,lower,Appropriations-Higher Education,,
ILC000126,il,lower,Appropriations-Human Services,,
ILC000127,il,lower,Appropriations-Public Safety,,
ILC000128,il,lower,Business Growth & Incentives,,
ILC000129,il,lower,Business Occupational Licenses,,
ILC000130,il,lower,Cities & Villages,,
ILC000131,il,lower,Consumer Protection,,
ILC000132,il,lower,Counties & Townships,,
ILC000133,il,lower,Economic Development,,
ILC000134,il,lower,Elementary & Secondary Education,,
ILC000135,il,lower,Energy,,
ILC000136,il,lower,Environment,,
ILC000137,il,lower,Executive,,
ILC000138,il,lower,Financial Institutions,,
ILC000139,il,lower,Health & Healthcare Disparities,,
ILC000141,il,lower,Health Care Licenses,,
ILC000142,il,lower,Higher Education,,
ILC000143,il,lower,Housing,,
ILC000144,il,lower,Human Services,,
ILC000146,il,lower,International Trade & Commerce,,
ILC000147,il,lower,Judiciary,,
ILC000148,il,lower,Labor & Commerce Committee,,
ILC000152,il,lower,Public Safety: Police & Fire Commit,,
ILC000154,il,lower,Restorative Justice,,
ILC000155,il,lower,Revenue & Finance,,
ILC000157,il,lower,State Government Administration,,
ILC000160,il,lower,"Transportation, Regulation, Roads",,
ILC000180,il,lower,Biotechnology Committee,,
ILC000163,il,lower,Human Services,Public Benefits Subcommittee,ILC000144
ILC000165,il,lower,"Criminal Procedure, Penalities",,
ILC000164,il,lower,Judiciary,Civil Process and Procedures Subcom,ILC000147
ILC000166,il,lower,"Criminal Procedure, Penalities",Firearms Subcommittee,ILC000165
ILC000162,il,lower,Human Services,Facilities Subcommittee,ILC000144
ILC000167,il,lower,"Criminal Procedure, Penalities",General Law Subcommittee,ILC000165
ILC000145,il,lower,Insurance,,
ILC000149,il,lower,Mass Transit,,
ILC000153,il,lower,Public Utilities,,
ILC000156,il,lower,Small Business Empowerment & Workfo,,
ILC000159,il,lower,Tourism & Conventions,,
ILC000169,il,lower,"Real Estate, Property, Probate, Tru",Sex Offenses Subcommittee,ILC000168
ILC000179,il,lower,Revenue & Finance,Sales and Other Taxes Subcommittee,ILC000155
ILC000176,il,lower,Revenue & Finance,Finance Subcommittee,ILC000155
ILC000177,il,lower,Revenue & Finance,Income Tax Subcommittee,ILC000155
ILC000183,il,lower,Transportation: Regis and Regu,,
ILC000170,il,upper,Labor and Commerce,,
ILC000097,il,upper,Assignments,,
ILC000099,il,upper,Appropriations I,,
ILC000102,il,upper,Criminal Law,,
ILC000104,il,upper,Energy,,
ILC000105,il,upper,Environment,,
ILC000108,il,upper,Financial Institutions,,
ILC000109,il,upper,Higher Education,,
ILC000110,il,upper,Human Services,,
ILC000111,il,upper,Insurance,,
ILC000112,il,upper,Judiciary,,
ILC000115,il,upper,Local Government,,
ILC000116,il,upper,Public Health,,
ILC000118,il,upper,State Government & Veterans Affairs,,
ILC000119,il,upper,Transportation,,
ILC000098,il,upper,Agriculture and Conservation,,
ILC000103,il,upper,Education,,
ILC000172,il,upper,Public Pensions & State Investments,,
ILC000100,il,upper,Appropriations II,,
ILC000101,il,upper,Committee of the Whole,,
ILC000106,il,upper,Executive,,
ILC000107,il,upper,Executive Appointments,,
ILC000117,il,upper,Revenue,,
ILC000171,il,upper,Licensed Activities and Pensions,,
